SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PERMAGNET,19950608,260,260,260,260,300,0
PERMAGNET,19950609,280,280,280,280,300,0
PERMAGNET,19950612,259,259,200,200,1400,0
PERMAGNET,19951005,205,205,205,205,15,0
PERMAGNET,19951013,205,205,205,205,5,0
PERMAGNET,19951017,202,202,202,202,10,0
PERMAGNET,19951020,219,219,219,219,10,0
PERMAGNET,19951023,220,220,220,220,15,0
PERMAGNET,19951027,232.95,234,232.95,233.3,95,0
PERMAGNET,19951030,210,210,210,210,65,0
PERMAGNET,19951031,209,215,209,215,20,0
PERMAGNET,19951101,215,230,229,230,20,0
PERMAGNET,19951102,220.05,220.05,220,220,25,0
PERMAGNET,19951108,215,215,215,215,20,0
PERMAGNET,19951109,210,220,210,220,30,0
PERMAGNET,19951116,210,210,210,210,10,0
PERMAGNET,19951117,215,215,215,215,5,0
PERMAGNET,19951122,215,215,215,215,15,0
PERMAGNET,19951128,220,225,220,225,20,0
PERMAGNET,19951130,210.05,210.05,210,210,70,0
PERMAGNET,19960105,210,195,195,195,10,0
PERMAGNET,19960108,200,200,192,192,15,0
PERMAGNET,19960227,190,190,190,190,5,0
PERMAGNET,19960315,202,202,202,202,5,0
PERMAGNET,19960319,200,200,200,200,10,0
PERMAGNET,19960329,200,185,179,180.35,205,0
PERMAGNET,19960401,180.35,162,162,162,5,0
PERMAGNET,19960402,162,145,145,145,65,0
PERMAGNET,19960404,145,145,131,131,30,0
PERMAGNET,19960416,141,142,141,142,35,0
PERMAGNET,19960423,131.5,131.5,131,131.25,10,0
PERMAGNET,19960424,132,132,132,132,30,0
PERMAGNET,19960425,132,145,135,145,35,0
PERMAGNET,19960426,145,145,145,145,10,0
PERMAGNET,19960429,145,150,145,150,20,0
PERMAGNET,19960430,159,159,159,159,5,0
PERMAGNET,19960501,146.25,146.25,146.25,146.25,10,0
PERMAGNET,19960503,145,145,145,145,20,0
PERMAGNET,19960508,148,148,148,148,5,0
PERMAGNET,19960509,148,149.9,149.25,149.25,20,0
PERMAGNET,19960516,141,141,141,141,10,0
PERMAGNET,19960517,141,141,135,135,35,0
PERMAGNET,19960604,132,132,131,131.5,10,0
PERMAGNET,19960605,130,130,125,125,30,0
PERMAGNET,19960610,118,118,118,118,10,0
PERMAGNET,19960611,130,130,130,130,10,0
PERMAGNET,19960612,120,120,120,120,10,0
PERMAGNET,19960613,132,132,132,132,25,0
PERMAGNET,19960614,135,135,135,135,50,0
PERMAGNET,19960617,130,130,130,130,5,0
PERMAGNET,19960618,143,143,141,141,45,0
PERMAGNET,19960625,130,130,130,130,35,0
PERMAGNET,19960627,130.05,130.05,130,130,15,0
PERMAGNET,19960628,130,130,130,130,20,0
PERMAGNET,19960703,117.05,117.05,117,117.05,10,0
PERMAGNET,19960704,127,127,127,127,5,0
PERMAGNET,19960705,126.5,126.5,126.5,126.5,5,0
PERMAGNET,19960723,125,125,125,125,5,0
PERMAGNET,19970130,120,120,120,120,250,0
PERMAGNET,19970131,115,115,115,115,25,0
PERMAGNET,19970203,105,105,105,105,5,0
PERMAGNET,19970204,105,105,105,105,25,0
PERMAGNET,19970613,11,11.2,11,11.2,3500,0
PERMAGNET,19970617,11.2,11.2,11.2,11.2,850,0
PERMAGNET,19970618,12.1,12.15,12.1,12.15,3000,0
PERMAGNET,19970620,13,13,13,13,5000,0
PERMAGNET,19970623,12,12,12,12,600,0
PERMAGNET,19970624,12.7,12.7,12,12.7,2600,0
PERMAGNET,19970625,12,12,12,12,100,0
PERMAGNET,19970627,12,12,12,12,100,0
PERMAGNET,19970630,12.6,12.6,12.6,12.6,100,0
PERMAGNET,19970702,12.2,12.2,12.2,12.2,300,0
PERMAGNET,19970704,11,11,11,11,1000,0
PERMAGNET,19970707,12,12,12,12,100,0
PERMAGNET,19970711,11.5,11.5,11.5,11.5,2000,0
PERMAGNET,19970714,12,12,11,11.9,1150,0
PERMAGNET,19970716,11.9,11.9,11,11,350,0
PERMAGNET,19970722,9.9,9.9,9.9,9.9,100,0
PERMAGNET,19970723,9,9,9,9,50,0
PERMAGNET,19970724,9,9.5,9,9.5,750,0
PERMAGNET,19970729,9,9,9,9,50,0
PERMAGNET,19970730,9,9,9,9,200,0
PERMAGNET,19970731,9,9,9,9,150,0
PERMAGNET,19970801,9,9,9,9,100,0
PERMAGNET,19970804,10,10,9,9,950,0
PERMAGNET,19970805,9.15,10.2,9.15,10.2,1150,0
PERMAGNET,19970806,10.1,10.1,10.1,10.1,300,0
PERMAGNET,19970808,10,10,10,10,400,0
PERMAGNET,19970811,10.2,10.2,10.2,10.2,2400,0
PERMAGNET,19970812,9.25,9.25,9.25,9.25,1000,0
PERMAGNET,19970813,9.5,9.5,9.5,9.5,500,0
PERMAGNET,19970826,9,9,9,9,50,0
