SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PERSISTENT,20100406,361.6,447.3,361.6,406.35,14945321,0
PERSISTENT,20100407,408,410.5,392.75,402.55,3828050,371306
PERSISTENT,20100408,400,431.9,398.3,414.3,8368229,586323
PERSISTENT,20100409,415,419.85,408.3,410.6,1580108,0
PERSISTENT,20100412,411.8,415.25,395.6,401.35,773464,0
PERSISTENT,20100413,400,409.9,397,400.2,836586,178563
PERSISTENT,20100415,404,408.8,395.6,397.95,628304,179064
PERSISTENT,20100416,397.9,404,395,400.1,395904,0
PERSISTENT,20100419,397,399.85,385,390.9,342144,0
PERSISTENT,20100420,392,396.8,385,392.7,182058,52815
PERSISTENT,20100421,394,412.85,393.55,402.65,910985,227071
PERSISTENT,20100422,400,409.4,398.1,401.1,375248,122372
PERSISTENT,20100423,401.6,407.9,393.3,396.35,244376,88921
PERSISTENT,20100426,402.1,411,399,401.95,432434,224491
PERSISTENT,20100427,403,403.8,392.8,394.5,182884,59756
PERSISTENT,20100428,405.5,410,382.55,384.95,121264,49590
PERSISTENT,20100429,387,401.5,387,396.95,223660,61091
PERSISTENT,20100430,398,405.9,396,398.65,237955,0
PERSISTENT,20100503,394.8,402.6,394.8,399.55,220852,85933
PERSISTENT,20100504,399,404.45,392,393.15,173937,78932
PERSISTENT,20100505,389,398.6,360.2,396.45,137039,52306
PERSISTENT,20100506,397.9,399,384.25,386.45,100163,47022
PERSISTENT,20100507,383,384.9,375,376.15,95456,47277
PERSISTENT,20100510,385,389,379.95,387.25,67927,32416
PERSISTENT,20100511,388.9,388.9,381,382.3,54571,0
PERSISTENT,20100512,382,385,377.35,379.85,84432,57157
PERSISTENT,20100513,380.25,387,378,381.6,63767,0
PERSISTENT,20100514,379.05,385.85,375.4,380,60395,32442
PERSISTENT,20100517,377,380.75,375.1,378.3,48566,34902
PERSISTENT,20100518,375.2,397.65,375.2,386.55,136106,38842
PERSISTENT,20100519,385,390.5,377,378.05,104296,58557
PERSISTENT,20100520,380,387.7,377,378.15,51531,28508
PERSISTENT,20100521,375.1,383.5,365.2,379.85,64011,39334
PERSISTENT,20100524,382.85,387,378,378.3,38771,16798
PERSISTENT,20100525,373.1,384.8,365,366.85,146537,115722
PERSISTENT,20100526,368.5,374.9,365,369.5,42248,25790
PERSISTENT,20100527,371.25,373.5,367.55,370.8,51295,39538
PERSISTENT,20100528,372.95,380,372.1,379.2,48612,30318
PERSISTENT,20100531,378.5,388.95,376,386.8,37752,20702
PERSISTENT,20100601,383,393,380.1,386.75,57710,33409
PERSISTENT,20100602,387.9,390.2,378.9,388.55,45289,29082
PERSISTENT,20100603,390.65,393.8,384.6,388.4,19783,9020
PERSISTENT,20100604,389.15,394.2,383.5,392.6,44721,20707
PERSISTENT,20100607,378.05,385,378.05,381.5,16304,8929
PERSISTENT,20100608,381,387,370,381.8,35286,19394
PERSISTENT,20100609,383,387,378,380.35,19327,10384
PERSISTENT,20100610,382.25,383.8,379,380.5,11305,6329
PERSISTENT,20100611,381,384.05,378,381.95,19786,15021
PERSISTENT,20100614,383.45,384.2,378.5,381,17125,9715
PERSISTENT,20100615,373,408,373,399.6,157425,85698
PERSISTENT,20100616,401.5,412,392.2,407.8,198182,86865
PERSISTENT,20100617,408,417.9,407,409.5,212069,71558
PERSISTENT,20100618,408.75,412.5,395,395.6,69665,50238
PERSISTENT,20100621,397.9,404,396.5,397.9,42183,20787
PERSISTENT,20100622,397.85,400.85,392,397.25,26721,18644
PERSISTENT,20100623,392,408.85,389,404.6,97900,57612
PERSISTENT,20100624,406.25,417.6,404.75,411.95,131120,61710
PERSISTENT,20100625,410,414.3,400.1,403.05,33697,18904
PERSISTENT,20100628,403.6,417,403,409.05,97547,44491
PERSISTENT,20100629,409.8,423.45,409.8,413.95,259189,81912
PERSISTENT,20100630,415.05,417.3,407,412,49613,21614
PERSISTENT,20100701,414.45,434,410,429.85,650991,180788
PERSISTENT,20100702,434.8,489,432,474.55,3538087,636354
PERSISTENT,20100705,475,487,458.75,474.7,1979136,159187
PERSISTENT,20100706,477.75,482.9,466,471.2,565500,62618
PERSISTENT,20100707,474,481,455.1,461.6,457938,87590
PERSISTENT,20100708,465.1,474.75,463.6,467.45,210576,45273
PERSISTENT,20100709,470,507.3,465.55,492.45,2022370,286595
PERSISTENT,20100712,461,501.9,461,484.2,670541,135399
PERSISTENT,20100713,483.45,504.7,481.25,497.7,868904,207590
