SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PFRL,20130717,174,174,165.3,166,115310,0
PFRL,20130718,157.7,165,157.7,164.85,22149,0
PFRL,20130719,160,161.8,156.65,156.65,28708,0
PFRL,20130722,150,155,148.85,149.6,11739,0
PFRL,20130723,142.5,147,142.15,144.55,9163,0
PFRL,20130724,137.5,144.95,137.5,142,3964,0
PFRL,20130725,135.15,139,134.9,135.65,12209,0
PFRL,20130726,128.9,142.4,128.9,142.4,5735,0
PFRL,20130729,135.5,149.5,135.5,141.4,23956,0
PFRL,20130730,136,148.45,135,146,26174,0
PFRL,20130731,140,164.9,131,154.2,14136,0
PFRL,20130801,158.8,164.95,155,161.35,19948,0
PFRL,20130802,163,172,155,155.35,38303,0
PFRL,20130805,155,164,152.15,158.75,29410,0
PFRL,20130806,153,160,130.25,147.5,12462,9428
PFRL,20130807,145,152,144,147.35,18507,0
PFRL,20130808,141.1,154.4,141,144.05,20670,0
PFRL,20130812,145,153.7,143.25,144.4,11958,0
PFRL,20130813,137.25,153.8,137.25,148.25,15162,0
PFRL,20130814,147.25,153.9,147.25,152.4,10550,0
PFRL,20130816,152.4,152.4,142.5,143.55,13893,0
PFRL,20130819,142,147,137,139.6,6607,0
PFRL,20130820,138,145,136.05,139.55,29038,0
PFRL,20130821,140.1,143.75,138.25,139,24666,0
PFRL,20130822,127,140.3,127,136.5,9676,0
PFRL,20130823,135.1,137,128,130.8,40028,23269
PFRL,20130827,132,133,130.1,132.15,2790,0
PFRL,20130828,131.9,135.25,121.5,133.05,22909,0
PFRL,20130829,133.05,133.05,127,130.15,1845,0
PFRL,20130830,130,131,126,127,1972,0
PFRL,20130902,125.4,129.95,125.1,126.2,1560,0
PFRL,20130903,125,127.9,121,124.55,2057,0
PFRL,20130904,124.5,133.85,116,125.9,8762,0
PFRL,20130905,125,129,122.05,125.35,2044,0
PFRL,20130906,125,125,121.1,123.3,3905,0
PFRL,20130910,128.95,130.8,121,129.25,7865,0
PFRL,20130911,122.5,128.5,122.5,125.45,5045,0
PFRL,20130912,124.15,135,119,124.75,15066,0
PFRL,20130913,124,127.65,123.1,124.05,1443,0
PFRL,20130916,123.7,126.7,120.05,121.6,2572,1664
PFRL,20130917,118.05,123,117.6,119,2461,1898
PFRL,20130918,124,124,116.1,118.6,2537,0
PFRL,20130919,120,122,119.5,120.55,3504,0
PFRL,20130920,120,121.75,116,118.15,2785,0
PFRL,20130923,111,118.9,111,115.75,3357,1773
PFRL,20130924,111.5,126,107.05,118.1,11676,7804
PFRL,20130925,113,118.75,113,114.2,2699,0
PFRL,20130926,109,121,109,119.85,13875,0
PFRL,20130927,116.6,120,115,116.9,2520,0
PFRL,20130930,113,117,110,111.75,3021,0
PFRL,20131001,111.25,116,105,107.95,28351,15156
