SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PILIND,20131009,2.55,2.6,2.55,2.6,1563,0
PILIND,20131010,2.6,2.7,2.6,2.7,301,0
PILIND,20131021,2.6,2.6,2.6,2.6,100,0
PILIND,20131031,2.95,3.1,2.95,3.1,11030,3000
PILIND,20131105,3.7,3.7,3.7,3.7,5000,5000
PILIND,20131108,3.7,3.7,3.7,3.7,4000,0
PILIND,20131119,3.7,3.7,3.7,3.7,8200,0
PILIND,20131120,3.7,3.7,3.7,3.7,8200,0
PILIND,20131121,3.7,3.7,3.55,3.55,9200,0
PILIND,20131122,3.7,3.7,3.5,3.7,4200,0
PILIND,20131125,3.55,3.55,3.55,3.55,3090,3090
PILIND,20131126,3.45,3.45,3.4,3.4,3090,3090
PILIND,20131127,3.35,3.35,3.35,3.35,3090,0
PILIND,20131128,3.25,3.4,3.25,3.4,9726,0
PILIND,20131129,3.55,3.55,3.55,3.55,2500,0
PILIND,20131202,3.55,3.7,3.55,3.7,6000,0
PILIND,20131203,3.7,3.7,3.7,3.7,4000,0
PILIND,20131204,3.7,3.85,3.7,3.85,5000,0
PILIND,20131205,3.85,4,3.8,4,5500,0
PILIND,20131206,4.2,4.2,4,4,4000,0
PILIND,20131209,3.8,4.1,3.8,4.1,2350,0
PILIND,20131210,4.3,4.3,4.3,4.3,3750,0
PILIND,20131211,4.1,4.1,4.1,4.1,4750,0
PILIND,20131212,4.1,4.1,3.9,3.9,4750,0
PILIND,20131216,4.05,4.05,4.05,4.05,5000,0
PILIND,20131217,4.25,4.25,4.25,4.25,5835,0
PILIND,20131218,4.45,4.45,4.45,4.45,5825,0
PILIND,20131219,4.4,4.4,4.4,4.4,5825,0
PILIND,20131220,4.25,4.25,4.25,4.25,5010,0
PILIND,20131223,4.4,4.4,4.4,4.4,5010,0
PILIND,20131224,4.3,4.45,4.3,4.3,8555,0
PILIND,20131226,4.4,4.4,4.3,4.3,9000,0
PILIND,20131227,4.5,4.5,4.3,4.3,8140,0
