SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PIRHEALTH,20080619,350.05,361.95,350.05,357.75,104500,99847
PIRHEALTH,20080620,354.15,361,325.15,329.9,57701,41696
PIRHEALTH,20080623,323.25,333,298,330.35,52806,33554
PIRHEALTH,20080624,325.2,334.8,309,315.6,33135,23611
PIRHEALTH,20080625,301.5,327,301,318.1,198435,189379
PIRHEALTH,20080626,320,331.95,308,313.55,128897,117205
PIRHEALTH,20080627,313,317.5,298.05,310.65,31671,24238
PIRHEALTH,20080630,307,319,289.7,305,42566,27165
PIRHEALTH,20080701,313,313,299,304.9,54068,43242
PIRHEALTH,20080702,298.85,310,295.2,306,29825,23943
PIRHEALTH,20080703,302.25,309.65,290.25,296.4,8412,4282
PIRHEALTH,20080704,298,298,291,293.9,27946,19220
PIRHEALTH,20080707,294.1,328.9,294,294.95,49184,46056
PIRHEALTH,20080708,294.95,298,279,285.6,24958,17284
PIRHEALTH,20080709,291,299.6,283,289.45,58791,47614
PIRHEALTH,20080710,285,291,281,289.45,20143,11905
PIRHEALTH,20080711,304,304,290,297.95,37416,27867
PIRHEALTH,20080714,309.95,309.95,287,290.3,13738,7221
PIRHEALTH,20080715,287,292,271,285.45,131313,122481
PIRHEALTH,20080716,285,300,281.3,297.15,13100,8411
PIRHEALTH,20080717,299,301,290,298.15,17728,10709
PIRHEALTH,20080718,290.1,298.15,282,294.85,55278,49608
PIRHEALTH,20080721,299,304.7,286,290.85,24461,15581
PIRHEALTH,20080722,292.1,292.1,283.1,284.95,531933,528200
PIRHEALTH,20080723,295,301.9,290,297.9,81540,0
PIRHEALTH,20080724,300,303,290.05,297.85,127067,104086
PIRHEALTH,20080725,282,314.7,282,311.25,208652,177421
PIRHEALTH,20080728,314.7,324,304.15,314.75,17761,12470
PIRHEALTH,20080729,316.5,316.95,310,314.4,5816,3599
PIRHEALTH,20080730,316.2,323.95,316,321.25,12551,9955
PIRHEALTH,20080731,323,330,316,320.8,44945,31945
PIRHEALTH,20080801,320,325,316.15,320.55,11725,8994
PIRHEALTH,20080804,320,342.45,320,339.1,40792,31801
PIRHEALTH,20080805,336,357.5,335,353.7,65882,58275
PIRHEALTH,20080806,362.9,366,342,348.6,718577,704530
PIRHEALTH,20080807,340,345.95,339.05,344.9,220081,215843
PIRHEALTH,20080808,340,344.95,335,336.95,104905,102695
PIRHEALTH,20080811,340,350,331.25,340,410422,389597
PIRHEALTH,20080812,320.9,345,320.9,325.15,438356,427853
PIRHEALTH,20080813,325,336.5,315.25,321.5,26223,14513
PIRHEALTH,20080814,323,327,320.05,320.2,3769,1622
PIRHEALTH,20080818,322,331,315.1,318.6,20796,13791
