SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
POLYCAB,20190416,633,667.8,630,654.8,22985293,0
POLYCAB,20190418,656.9,664.9,614,643.55,5415019,0
POLYCAB,20190422,643,645.8,625.25,628.1,1059760,0
POLYCAB,20190423,628,648,628,634.1,1208860,0
POLYCAB,20190424,636.5,640,628.25,637.5,1016453,0
POLYCAB,20190425,639.2,652,633,639.6,1261972,0
POLYCAB,20190426,642,647.4,640,644.65,594976,0
POLYCAB,20190430,646.95,646.95,630.15,639.25,519904,0
POLYCAB,20190502,638.9,651,631,641.25,514478,0
POLYCAB,20190503,642.7,646,637.65,641.85,271431,0
POLYCAB,20190506,638,649.9,633,642.7,425268,0
POLYCAB,20190507,644.95,653.5,643,648.6,580548,0
POLYCAB,20190508,646,648,640.15,646,264484,0
POLYCAB,20190509,646.25,647.4,639.35,645.7,301291,0
POLYCAB,20190510,646.05,677.7,645.3,655.15,771913,0
POLYCAB,20190513,660.6,662,651.05,654.9,301861,0
POLYCAB,20190514,656,659.75,626.3,633.75,1069899,0
POLYCAB,20190515,620,625.7,602,620.65,1442391,0
POLYCAB,20190516,625,625,583.3,599.35,918393,0
POLYCAB,20190517,596.15,601.5,587,595.7,328115,0
POLYCAB,20190520,610,612.65,595,604.85,728223,0
POLYCAB,20190521,605,609,599,605.05,252936,0
POLYCAB,20190522,605.05,623.6,601.1,609.75,282577,0
POLYCAB,20190523,614.5,619.65,600,601.9,200009,0
POLYCAB,20190524,605,609.75,602.35,605.15,150951,0
POLYCAB,20190527,608.75,633,606.25,620.2,262413,0
POLYCAB,20190528,625.1,630,621.4,625.75,113154,0
POLYCAB,20190529,622.1,629.65,618,619.95,69546,0
POLYCAB,20190530,616.15,623.7,612.65,618.9,81235,0
POLYCAB,20190531,620.15,622.75,608.3,610.85,175173,0
POLYCAB,20190603,614,614.8,602.45,607.9,150151,0
POLYCAB,20190604,609.9,620,606.1,610.6,67372,0
POLYCAB,20190606,610.8,613.95,602.5,604.4,46935,0
POLYCAB,20190607,609.05,609.1,601.05,602.05,30262,0
POLYCAB,20190610,605,609,597.6,602.5,46966,0
POLYCAB,20190611,602,606.9,600,600.75,47063,0
POLYCAB,20190612,600.05,602.8,595.15,595.95,46869,0
POLYCAB,20190613,600.05,604.4,590,594.45,73943,0
POLYCAB,20190614,592.1,599.9,590.1,596,44727,0
POLYCAB,20190617,596,596,587,588.75,41259,0
POLYCAB,20190618,588.6,593.5,586.25,589.15,43498,0
POLYCAB,20190619,590.15,591.45,578,585.65,103810,0
POLYCAB,20190620,591,594,581.1,589.9,39822,0
POLYCAB,20190621,590,594.8,588,592.35,28836,0
POLYCAB,20190624,590.25,599,590,596.3,41015,0
POLYCAB,20190625,595,604.5,593.05,601.4,50422,0
POLYCAB,20190626,600.05,614.75,600,611.85,104768,0
POLYCAB,20190627,611.85,614.4,606,613.45,31569,0
POLYCAB,20190628,613,624.9,613,622.05,68813,0
POLYCAB,20190701,626.4,646,626.4,643.35,347594,0
POLYCAB,20190702,640,640,628.5,635.8,46607,0
POLYCAB,20190703,632.2,654.8,631.6,644.4,90021,0
POLYCAB,20190704,648.1,652,642.55,647.2,95235,0
POLYCAB,20190705,650,650,615.75,620.15,650669,0
POLYCAB,20190708,619.9,619.9,598.2,600.9,162195,0
POLYCAB,20190709,604,612,602,611.4,36209,0
POLYCAB,20190710,610,619.3,610,613.95,25922,0
POLYCAB,20190711,614.1,625,613.95,618.15,25738,0
POLYCAB,20190712,618,623,616,617.1,22282,0
POLYCAB,20190715,615.5,620.75,612.2,615.5,26241,0
POLYCAB,20190716,615.1,624.8,614,622.2,43109,0
POLYCAB,20190717,621.5,629,620,626.8,30986,0
POLYCAB,20190718,626,628.75,622.15,624.4,54494,0
POLYCAB,20190719,623.95,626.95,605,614.25,91360,0
POLYCAB,20190722,614.25,614.3,596.75,598.1,49550,0
POLYCAB,20190723,602.85,608.6,598,603.9,50221,0
POLYCAB,20190724,603.9,607.7,586.1,587.9,33048,0
POLYCAB,20190725,587.9,592.75,580.1,587.9,46613,0
POLYCAB,20190726,589.9,592.5,583.1,588.3,24998,0
POLYCAB,20190729,615,646.9,601.7,608,239878,0
POLYCAB,20190730,603,607.95,565.8,571.2,202328,0
POLYCAB,20190731,569.95,570.05,548.6,560.4,104939,0
POLYCAB,20190801,563,575,557,564.45,58006,0
POLYCAB,20190802,564,564.9,554.3,557.05,69809,0
POLYCAB,20190805,557,562,549,551.35,70675,0
POLYCAB,20190806,549.95,572.9,547.1,570.8,42540,0
POLYCAB,20190807,565,574.9,561.35,567.2,23408,0
POLYCAB,20190808,569.4,570.5,555.1,564.7,23131,0
POLYCAB,20190809,566,585,560.1,574.2,48520,0
POLYCAB,20190813,584.85,584.85,562.55,564.8,27197,0
POLYCAB,20190814,563,574,560,570.35,36849,0
POLYCAB,20190816,571,574.8,563.2,567.55,14370,0
POLYCAB,20190819,570,570.3,560.65,562.4,19742,0
POLYCAB,20190820,560.1,564.1,555,556.7,47905,0
POLYCAB,20190821,560,560,545,546.25,31020,0
POLYCAB,20190822,547,547,525.15,535.75,63750,0
POLYCAB,20190823,532.55,545.45,526,540.25,37119,0
POLYCAB,20190826,555,569,541,565.5,72232,0
POLYCAB,20190827,565.5,587.5,565,584.75,64615,0
POLYCAB,20190828,580,586,570,571.1,26203,0
POLYCAB,20190829,577.35,595.65,577.35,593.65,116881,0
POLYCAB,20190830,593.7,620,586.35,614.75,126311,0
POLYCAB,20190903,610,613,585,592.05,56450,0
POLYCAB,20190904,592,606.2,583,603.5,70006,0
POLYCAB,20190905,603.5,612.75,595,604.35,70012,0
POLYCAB,20190906,603.1,611.85,603.05,607.8,40266,0
POLYCAB,20190909,608.3,624.4,608.3,620.35,83021,0
POLYCAB,20190911,621,626.5,610.45,621.4,59967,0
POLYCAB,20190912,621.4,633.75,620.4,623.05,52409,0
POLYCAB,20190913,625,637.4,622.5,632.5,108871,0
POLYCAB,20190916,630.1,640.5,625,635.7,58835,0
POLYCAB,20190917,637.7,637.7,617.1,631.5,258484,0
POLYCAB,20190918,629.7,645,629.7,633.15,72584,0
POLYCAB,20190919,633,633,616,621,52021,0
POLYCAB,20190920,622,647.95,611.7,642.25,260779,0
POLYCAB,20190923,660,699.8,650,690.65,603384,0
POLYCAB,20190924,697.7,710.95,680.15,685.55,204647,0
POLYCAB,20190925,681.05,700,676.25,680.2,114095,0
POLYCAB,20190926,684.9,699.95,681.95,696.3,177166,0
POLYCAB,20190927,701.1,708.9,685,699.1,203966,0
POLYCAB,20190930,699.1,709.5,675.05,685.45,266498,0
POLYCAB,20191001,684.7,687.35,656.05,676.65,102627,0
POLYCAB,20191003,676.65,692.75,664.05,675.15,52237,0
POLYCAB,20191004,679.8,689,665.1,667.5,42004,0
