SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PPIL,19950510,70,70,70,70,100,0
PPIL,19950512,70,70,70,70,100,0
PPIL,19950516,64,64,64,64,2350,0
PPIL,19950517,62.5,62.5,62.5,62.5,300,0
PPIL,19950518,61,61,60,61,1400,0
PPIL,19950519,65.5,65.5,65.5,65.5,2000,0
PPIL,19950522,61,61,61,61,300,0
PPIL,19950523,62.5,62.5,62,62,2650,0
PPIL,19950524,65,65.05,65,65,3450,0
PPIL,19950525,65,65,65,65,100,0
PPIL,19950526,65,65,65,65,400,0
PPIL,19950529,65,65,63.75,63.75,2750,0
PPIL,19950530,63,63,62,63,2400,0
PPIL,19950531,62,63,62,62.5,650,0
PPIL,19950601,62,62,62,62,200,0
PPIL,19950602,63.5,64.75,63.5,64.5,1000,0
PPIL,19950605,63,65,63,65,200,0
PPIL,19950606,63.75,64.75,63.75,64,450,0
PPIL,19950607,63.5,64,63.5,64,450,0
PPIL,19950608,64,64,58,60,400,0
PPIL,19950609,61,61.5,61,61.5,200,0
PPIL,19950612,60,60,60,60,500,0
PPIL,19950613,60,61,60,60,700,0
PPIL,19950614,60,60,60,60,300,0
PPIL,19950615,57,57,57,57,100,0
PPIL,19950616,56.95,57,56,56,600,0
PPIL,19950620,60,60,58,58,1100,0
PPIL,19950621,55,56,55,55,700,0
PPIL,19950626,51,51,51,51,300,0
PPIL,19950628,46,46,46,46,200,0
PPIL,19950629,46.5,47,46,46.5,450,0
PPIL,19950630,48,48,47.5,48,550,0
PPIL,19950704,45,45,45,45,50,0
PPIL,19950706,45.5,45.5,45.5,45.5,500,0
PPIL,19950707,45.5,47.5,45.5,47.5,300,0
PPIL,19950710,48,49,48,48,300,0
PPIL,19950711,48,48,47,47,200,0
PPIL,19950712,45.5,46,45.5,46,1300,0
PPIL,19950713,44,44,42,42.25,1050,0
PPIL,19950714,44,44,42,42,3250,0
PPIL,19950717,43,44.5,43,44.5,500,0
PPIL,19950718,48,51,48,50,600,0
PPIL,19950719,52,55,51.5,55,750,0
PPIL,19950720,55,63,55,62,750,0
PPIL,19950721,60.05,68.2,60,68.15,2400,0
PPIL,19950724,65.5,67.5,65.5,66.55,700,0
