SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PRECIMDIAM,19960912,32,35.2,32,35.2,200,0
PRECIMDIAM,19960913,34.95,35,34.95,35,300,0
PRECIMDIAM,19960916,38.5,38.5,38.35,38.35,200,0
PRECIMDIAM,19960918,38.5,38.5,38.25,38.25,1600,0
PRECIMDIAM,19960919,36.5,36.5,36,36,1000,0
PRECIMDIAM,19960923,36.1,37,34.5,34.75,6500,0
PRECIMDIAM,19960924,33,33,33,33,3000,0
PRECIMDIAM,19960925,36.25,36.25,36.25,36.25,2000,0
PRECIMDIAM,19960926,39.1,39.75,38,38.75,1600,0
PRECIMDIAM,19960927,41,41,35,35,3600,0
PRECIMDIAM,19960930,31.85,37,31.85,37,6000,0
PRECIMDIAM,19961001,35,37.5,34,36.5,10300,0
PRECIMDIAM,19961003,34.75,37,34.75,34.8,5600,0
PRECIMDIAM,19961004,33.1,36,33.1,33.55,2200,0
PRECIMDIAM,19961007,33,34,33,34,200,0
PRECIMDIAM,19961008,32.05,32.05,32,32,500,0
PRECIMDIAM,19961010,29,32.5,29,32.5,2600,0
PRECIMDIAM,19961014,32.5,32.5,32,32.05,600,0
PRECIMDIAM,19961015,32.5,33.5,32.5,33.5,2000,0
PRECIMDIAM,19961016,32,35,32,35,2300,0
PRECIMDIAM,19961017,35,35,35,35,1500,0
PRECIMDIAM,19961018,36,36,36,36,300,0
PRECIMDIAM,19961022,34.6,37.8,34.6,37.8,1100,0
PRECIMDIAM,19961023,34.6,34.6,34.6,34.6,300,0
PRECIMDIAM,19961024,37.9,37.9,37.9,37.9,600,0
PRECIMDIAM,19961025,39.9,39.9,39,39.45,4000,0
PRECIMDIAM,19961028,40,41,40,41,3000,0
PRECIMDIAM,19961029,38.5,38.9,38.4,38.9,3300,0
PRECIMDIAM,19961031,38.5,38.5,35.5,35.8,2100,0
PRECIMDIAM,19961101,38,38,37,37,4000,0
PRECIMDIAM,19961104,36,36.5,35.5,36.5,2000,0
PRECIMDIAM,19961105,35,35.5,33.5,35.5,2100,0
PRECIMDIAM,19961106,34,34,33.8,33.8,2000,0
PRECIMDIAM,19961107,37,37,36,36,2000,0
PRECIMDIAM,19961113,38,38,37,37,1000,0
PRECIMDIAM,19961114,38.5,38.5,38.5,38.5,500,0
PRECIMDIAM,19961115,38,38,35,35,600,0
PRECIMDIAM,19961118,32.05,32.05,32.05,32.05,100,0
PRECIMDIAM,19961119,34.75,34.75,34.3,34.3,1000,0
PRECIMDIAM,19961120,32.5,32.5,32.5,32.5,1000,0
PRECIMDIAM,19961121,29.5,29.5,29.5,29.5,500,0
PRECIMDIAM,19961125,31.8,31.8,31.8,31.8,500,0
PRECIMDIAM,19961126,34,34,34,34,500,0
PRECIMDIAM,19961127,32.5,32.5,32.5,32.5,100,0
PRECIMDIAM,19961129,32,32,32,32,500,0
PRECIMDIAM,19961202,33,33,33,33,200,0
PRECIMDIAM,19961203,32.65,32.65,32.65,32.65,400,0
PRECIMDIAM,19961204,29.9,29.9,29.9,29.9,300,0
PRECIMDIAM,19961205,27,27,27,27,100,0
PRECIMDIAM,19961206,27,27,27,27,200,0
PRECIMDIAM,19961210,29,29,29,29,100,0
PRECIMDIAM,19961211,28,28,28,28,600,0
PRECIMDIAM,19970103,30,30,30,30,500,0
PRECIMDIAM,19970301,30,30,30,30,100,0
PRECIMDIAM,19970317,27,27,27,27,1000,0
PRECIMDIAM,19970318,28.5,29.7,28.5,29.7,1100,0
PRECIMDIAM,19970319,29,29.7,27,29.4,20800,0
PRECIMDIAM,19970320,26.5,32.3,26.5,29.85,13100,0
PRECIMDIAM,19970321,29.9,30,27,29,2900,0
PRECIMDIAM,19970325,30,31.8,29,29.8,39800,0
PRECIMDIAM,19970326,29.95,32.05,27.8,30.45,7700,0
PRECIMDIAM,19970327,30,30,27.6,27.6,1000,0
PRECIMDIAM,19970401,25.5,26.5,25.15,26.5,3800,0
PRECIMDIAM,19970402,25.5,25.5,24,24,400,0
PRECIMDIAM,19970403,22,22,22,22,300,0
PRECIMDIAM,19970728,20,23,20,23,6000,0
PRECIMDIAM,19970915,24,24,24,24,2000,0
