SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PSLHOLD,19950908,83,83,83,83,100,0
PSLHOLD,19951017,88,88,88,88,200,0
PSLHOLD,19951102,90,90,90,90,500,0
PSLHOLD,19951107,95,95,95,95,1000,0
PSLHOLD,19960423,64.75,64.75,64.75,64.75,100,0
PSLHOLD,19960424,64.25,64.25,64.25,64.25,100,0
PSLHOLD,19960425,65,65,65,65,100,0
PSLHOLD,19960426,59,59,59,59,100,0
PSLHOLD,19960429,59,57.5,57,57,300,0
PSLHOLD,19960430,57,62,57,61.9,300,0
PSLHOLD,19960513,57,57,57,57,100,0
PSLHOLD,19960514,52,54,52,54,300,0
PSLHOLD,19960516,56,56,56,56,100,0
PSLHOLD,19960517,56.55,56.95,56,56.5,300,0
PSLHOLD,19960522,51.1,51.1,51,51,200,0
PSLHOLD,19960523,51,51,45.9,45.9,1000,0
PSLHOLD,19960524,45,45,45,45,100,0
PSLHOLD,19960528,46,46,46,46,200,0
PSLHOLD,19960529,47,47,47,47,200,0
PSLHOLD,19960530,46.95,46.95,46.95,46.95,100,0
PSLHOLD,19960531,47,49,47,49,200,0
PSLHOLD,19960603,50,50,50,50,100,0
PSLHOLD,19960604,55,55,55,55,200,0
PSLHOLD,19960605,56,56,53,53,500,0
PSLHOLD,19960606,55,55,53,54,1100,0
PSLHOLD,19960607,53,53,53,53,100,0
PSLHOLD,19960611,50,50.85,48.5,48.5,600,0
PSLHOLD,19960612,48.55,48.55,48.5,48.5,200,0
PSLHOLD,19960613,49.1,49.1,49.1,49.1,100,0
PSLHOLD,19960618,51.5,53,51.5,52,400,0
PSLHOLD,19960619,51,51,51,51,100,0
PSLHOLD,19960620,52.5,52.5,51,51,300,0
PSLHOLD,19960621,50.5,50.5,50,50,300,0
PSLHOLD,19960625,49.9,49.9,49.5,49.5,300,0
PSLHOLD,19960627,50,50,49.5,49.5,200,0
PSLHOLD,19960703,48.5,48.5,46.8,46.8,200,0
PSLHOLD,19960708,42,42.25,42,42.25,200,0
PSLHOLD,19960709,42,42,41,42,600,0
PSLHOLD,19960710,41,41,41,41,100,0
PSLHOLD,19960722,40.7,40.7,40.5,40.5,200,0
PSLHOLD,19960723,44.5,44.5,44.5,44.5,100,0
PSLHOLD,19960724,48.75,48.75,40,40,200,0
PSLHOLD,19960725,44,44,38.5,39.9,900,0
PSLHOLD,19960726,40.95,41,40.95,41,200,0
PSLHOLD,19960729,37.8,38.9,37.8,38.9,200,0
PSLHOLD,19960730,39,39,37.4,37.4,400,0
PSLHOLD,19960801,40.95,40.95,40.95,40.95,200,0
PSLHOLD,19960806,40,40,38.05,38.05,400,0
PSLHOLD,19960807,40,40,40,40,100,0
PSLHOLD,19960809,41.75,42,41.75,42,200,0
PSLHOLD,19960812,42.1,42.1,42,42.1,800,0
PSLHOLD,19960813,41.8,42,41.8,42,200,0
PSLHOLD,19960814,40.1,40.1,40,40,2100,0
PSLHOLD,19960816,40,40,38.5,38.5,300,0
PSLHOLD,19960819,37.05,37.05,37,37,200,0
PSLHOLD,19960820,37,37,37,37,100,0
PSLHOLD,19960821,37,37.5,37,37.5,200,0
PSLHOLD,19960823,38,38,38,38,100,0
PSLHOLD,19960827,39.95,39.95,39.95,39.95,100,0
PSLHOLD,19960828,40,41,40,41,200,0
PSLHOLD,19960830,40,40.85,40,40.85,300,0
PSLHOLD,19960902,40.5,40.5,40.25,40.5,600,0
PSLHOLD,19960903,40,40,39,40,500,0
PSLHOLD,19960906,40,40,40,40,100,0
PSLHOLD,19960909,38,38,37.5,37.5,200,0
PSLHOLD,19960910,37.75,39.25,35.75,36.4,600,0
PSLHOLD,19960916,35.1,35.1,35,35.05,300,0
PSLHOLD,19960919,35,35,35,35,200,0
