SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PSTL,20070105,106,163.8,106,157.7,15771480,0
PSTL,20070108,170,175.7,159.4,171.65,8502570,0
PSTL,20070109,173,206,168.3,206,8911605,0
PSTL,20070110,221,226.45,181.25,191.45,7261189,0
PSTL,20070111,189.2,215,189.2,210.6,4560125,560405
PSTL,20070112,216,223.3,191.6,195.2,5113031,781691
PSTL,20070115,197.3,201.1,190.05,195.55,1782410,288656
PSTL,20070116,199.4,207.9,194.6,202.25,1998760,304802
PSTL,20070117,202.9,203,192.1,193.75,780259,231277
PSTL,20070118,194.7,201.4,188.1,190.25,1067797,207691
PSTL,20070119,192,193.7,185,190.2,637733,147416
PSTL,20070122,191.5,218,191,209.85,1982291,589950
PSTL,20070123,216.95,251.85,214,251.85,5899358,0
PSTL,20070124,257,298,257,291.7,10862313,522972
PSTL,20070125,295.1,314.8,289,295.8,8424849,0
PSTL,20070129,299.9,312.95,294.2,304.95,4973763,588815
PSTL,20070131,307.1,335.45,301.25,335.45,6095621,681587
PSTL,20070201,337,369,337,365.25,6646215,574540
PSTL,20070202,377,401.8,372.35,401.8,1814327,0
PSTL,20070205,421.9,421.9,421.9,421.9,16677,16677
PSTL,20070206,443,443,443,443,8906,8906
PSTL,20070207,465.15,465.15,465.15,465.15,38036,38036
PSTL,20070208,488.45,488.45,441.9,441.9,272790,146936
PSTL,20070209,419.8,419.8,419.8,419.8,6270,6270
PSTL,20070212,398.85,410,398.85,398.85,206560,149209
PSTL,20070213,378.95,415,378.95,389.85,2027332,438637
PSTL,20070214,398.7,398.7,370.4,372.55,742478,145534
PSTL,20070215,381,391.2,378.05,391.2,187606,119867
PSTL,20070219,410.8,410.8,371.65,371.95,678700,240450
PSTL,20070220,374,387,353.35,353.55,866062,330976
PSTL,20070221,361,371.25,343.1,371.25,776660,153870
PSTL,20070222,386,386,352.7,354.55,392474,85805
PSTL,20070226,320.05,320.05,320.05,320.05,18277,18276
PSTL,20070227,304.05,304.05,304.05,304.05,7504,7504
PSTL,20070228,288.85,288.85,288.85,288.85,1437,1437
PSTL,20070301,274.45,274.45,274.45,274.45,2628,2628
PSTL,20070302,260.75,286,260.75,265.8,1908824,629258
PSTL,20070305,253,256.8,252.55,252.55,73152,47165
PSTL,20070306,241.1,265.2,239.95,239.95,370930,204628
PSTL,20070307,235,251.85,227.95,227.95,244911,98913
PSTL,20070308,220.1,239.35,216.55,219,926987,284757
PSTL,20070309,219,229.95,210.05,229.4,430855,162369
PSTL,20070312,230,240.9,230,240.9,93463,47909
PSTL,20070313,251.4,252.95,245,252.95,18676,17345
PSTL,20070314,249.75,265.6,241,258.95,297310,112532
PSTL,20070315,269.8,271.9,251.55,259.05,241434,111112
PSTL,20070316,265.45,272,259,267.6,254440,96642
PSTL,20070319,276,281,274.9,280.85,118873,43358
PSTL,20070320,281,294.85,275.5,284.2,211239,113549
PSTL,20070321,284.2,297,272,293.7,255204,80331
PSTL,20070322,298.8,302.4,285.5,293.25,233109,77506
PSTL,20070323,294.8,294.8,278.6,286.1,196046,92225
PSTL,20070326,272,272,271.8,271.8,4500,4500
PSTL,20070328,258.25,258.25,258.25,258.25,5827,5826
PSTL,20070329,245.35,268.5,245.35,256.9,209601,61807
PSTL,20070330,260,269.75,259.55,269.75,119446,26556
PSTL,20070402,268,279.3,256.3,257.7,133601,34217
