SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PVR,20060104,270,309.4,270,294.95,13493309,2316830
PVR,20060105,297,299.5,280.25,282.6,2561756,521470
PVR,20060106,282.9,283.85,271.05,275.45,1458627,283274
PVR,20060109,275.2,282.4,272.55,280,768134,149319
PVR,20060110,281.1,290,278.25,280.1,703707,127504
PVR,20060112,274,285.5,274,279,314842,108713
PVR,20060113,280,285.1,272,274.3,243554,110372
PVR,20060116,273.6,280.8,271.05,273.35,215211,0
PVR,20060117,274.9,276.9,264.15,265.3,145047,48797
PVR,20060118,262,270,256,264.65,124609,0
PVR,20060119,269.8,272.8,265.15,271.2,107393,36780
PVR,20060120,274.9,283.9,270,272.55,289170,100795
PVR,20060123,272,288.95,270.15,284.45,398111,141587
PVR,20060124,283.8,303,282.25,291.35,916628,241470
PVR,20060125,294.8,299.9,289,297.25,355035,152858
PVR,20060127,301,307.9,289,291.95,617562,0
PVR,20060130,295,296,282,287.25,108904,41572
PVR,20060131,289.4,293.95,275.45,280.75,330461,0
PVR,20060201,282,284,265,266.9,117315,0
PVR,20060202,269.8,273.3,251.25,255.95,216043,0
PVR,20060203,260.9,260.9,252.5,255.2,79298,24651
PVR,20060206,252.1,265,252.1,258.65,84284,34747
PVR,20060207,259.25,263.1,257,261.2,48348,20593
PVR,20060208,260.1,267.9,255.5,266,146156,83420
PVR,20060210,270,278,266.5,270.05,84881,20529
PVR,20060213,275.5,294.4,267.5,288.45,340673,140085
PVR,20060214,293,299.9,266.8,292.15,306916,0
PVR,20060215,295,295,282.1,289.3,88156,21771
PVR,20060216,273.1,291.5,273.1,286.45,59220,33318
PVR,20060217,289,306.25,280.1,300,743599,0
PVR,20060220,303,303.8,284.05,292.6,297556,115248
PVR,20060221,293,296,288,292.3,112083,0
PVR,20060222,294.8,299.85,280.45,284.7,217230,0
PVR,20060223,287.45,288,275.15,281.05,104359,0
PVR,20060224,283.75,289,280,285.25,80911,43699
PVR,20060227,280.1,291,280.1,288.95,35942,0
PVR,20060228,289.9,289.9,278,279.45,71307,54715
PVR,20060301,283.75,284.45,281,282.55,43140,0
PVR,20060302,286.9,288,282,285.15,72225,0
PVR,20060303,289.7,289.7,282,283.7,20398,13770
PVR,20060306,287.95,287.95,280,284.95,61762,46986
PVR,20060307,286.8,296.8,283.25,290.05,58737,31458
PVR,20060308,289,292,280.25,284.4,36270,0
PVR,20060309,286.8,287,277.15,284.6,32276,0
PVR,20060310,286,288.9,284.2,287.15,19464,0
PVR,20060313,288,288.8,280,281.1,7846,4046
PVR,20060314,280,301.9,280,290.45,82441,0
PVR,20060316,295,295,285.6,289.1,17461,0
PVR,20060317,295,295,286,290.5,24815,14884
PVR,20060320,294.9,294.9,287.2,290.5,25742,0
PVR,20060321,294.9,298.4,289,290.85,34198,0
PVR,20060322,290,296.9,288.1,291.9,28552,0
PVR,20060323,290.5,294,288.05,290,10107,0
PVR,20060324,290,293,289,290,13885,9964
PVR,20060327,286.2,299,286.2,291.8,22206,9802
PVR,20060328,292.95,295,280,284.05,23174,13619
PVR,20060329,286,295,283.05,288.25,18238,11649
PVR,20060330,290.9,295,286.1,293.15,15691,0
PVR,20060331,298,344.4,293,308.1,304089,110191
PVR,20060403,312,333.9,309,328.1,250987,0
PVR,20060404,332,335.3,311.2,314.9,103293,0
PVR,20060405,317.7,326,314.3,316.95,48621,0
PVR,20060407,316.6,331.85,316.5,325.7,108001,0
PVR,20060410,325,331,313,314.95,65148,0
PVR,20060412,318.8,335,306.3,309.6,88102,26410
PVR,20060413,309,318,303,314.25,60604,39135
PVR,20060417,318.95,325,308,314,98372,82405
PVR,20060418,313.95,318.7,313,315.2,29556,21595
PVR,20060419,317.9,318,303,306,31260,23279
PVR,20060420,306,317,305.2,314.9,25380,17697
PVR,20060421,322,322,309,310.6,8695,4420
PVR,20060424,323.5,329.95,307,310.05,17854,0
PVR,20060425,319,320,308.5,310,31534,26531
PVR,20060426,314.9,314.9,305,308.85,10731,3682
PVR,20060427,311,324.65,305.15,321.7,43571,0
PVR,20060428,303.35,321,291.35,318.15,10870,5776
PVR,20060429,318,325,310.3,320.15,8513,0
PVR,20060502,327.8,327.8,312,320.2,13748,10668
PVR,20060503,320.2,324.9,316,320.3,10626,8348
PVR,20060504,320,323.8,316.25,320.1,6610,4815
PVR,20060505,320,324,317.3,320.15,52924,50943
PVR,20060508,321.25,322,312,320.15,31400,28968
PVR,20060509,320,323.95,314,314.3,10123,8722
PVR,20060510,316,319,314,316.05,3603,0
PVR,20060511,325,325,300.05,305.3,9737,6306
PVR,20060512,302.2,315,302.2,312,10750,8063
PVR,20060515,321.5,334.35,295,301.55,51741,14490
PVR,20060516,307,310,256,296.65,18254,0
PVR,20060517,306,307,296,299.1,13653,6650
PVR,20060518,276.65,310,276.65,290,17983,11736
PVR,20060519,320,320,275,277.4,7686,3591
PVR,20060522,285,285,252.1,271.65,28366,25864
PVR,20060523,252,277.9,252,269.3,2962,1829
PVR,20060524,269,290,269,285.4,5048,2864
PVR,20060525,295,295,270,274.55,5171,3620
PVR,20060526,287,294.7,276.15,279.55,3157,1188
PVR,20060529,283,283.5,270,273.05,2934,1948
PVR,20060530,275,284,271.45,272.25,1949,929
PVR,20060531,265,279,253.6,267.15,4117,2361
PVR,20060601,271,278.95,250.1,257.35,9688,7148
PVR,20060602,240,258,230,246.25,8398,4464
PVR,20060605,250,250,235.5,236.9,3214,1733
PVR,20060606,230.1,239.9,230,233.9,4421,3285
PVR,20060607,226.15,249.8,204.9,229.85,18778,10587
PVR,20060608,216.05,228,190.15,206.35,22263,16316
PVR,20060609,234,234,200,227.3,12418,10172
PVR,20060612,231,235,220,222.9,1873,1256
PVR,20060613,226.1,226.1,196.15,215.1,9284,6433
PVR,20060614,210.15,223,188.4,194.05,10392,6361
PVR,20060615,200.15,212,200,206.8,8481,5913
PVR,20060616,224.5,224.5,195.1,202.35,8943,5221
PVR,20060619,212,214,205,209.7,3012,1627
PVR,20060620,205,213,205,208.55,2029,1074
PVR,20060621,210,217.7,205.15,210.95,2841,1049
PVR,20060622,218,221,213.1,215.05,4974,2375
PVR,20060623,218,218.55,206.5,215.45,2734,0
PVR,20060625,215,221,212.05,218.05,401,147
PVR,20060626,215,223.5,212.25,216.65,4544,0
PVR,20060627,216,221.9,210.25,219.85,10218,0
PVR,20060628,219.85,220.5,207,219.95,20409,0
PVR,20060629,220.8,220.9,210,212.05,121008,0
PVR,20060630,216.4,223,212,218.85,6556,0
PVR,20060703,219,219,213,216.3,2036,0
PVR,20060704,217.05,227.9,215.2,224.5,11030,0
PVR,20060705,239.9,239.9,210.3,228.75,8226,0
PVR,20060706,222.1,233.65,222.1,230.6,4597,0
PVR,20060707,234,248.7,230.5,235.9,57271,0
PVR,20060710,253.95,254,239.1,251.2,14684,7788
PVR,20060711,253.2,253.25,243,247.85,6662,0
PVR,20060712,240,242,237.25,240,35711,0
PVR,20060713,236,250,234,246.8,5896,0
PVR,20060714,233.05,243.7,233.05,239.2,2135,0
PVR,20060717,241,245,230.55,231.85,40040,0
PVR,20060718,231,237,222,224.15,1935,1223
PVR,20060719,224,230,214.5,215.6,5584,0
PVR,20060720,224,234.9,220,220.2,4277,0
PVR,20060721,224,224,211.25,220.6,2133,0
PVR,20060724,230,231.9,207,208.8,10629,8638
PVR,20060725,217,220.9,204.1,207.25,7260,5619
PVR,20060726,208,218.85,208,210.4,70031,0
PVR,20060727,213.95,216.45,211.7,215.05,6395,4204
PVR,20060728,216,224.5,215.1,219.45,4409,0
PVR,20060731,220.9,249.5,220.9,234.75,100443,11371
PVR,20060801,241,242.5,223.05,230.95,86143,0
PVR,20060802,228.2,241.95,228.2,234.95,26577,0
PVR,20060803,238.9,244,230,232.25,15109,0
PVR,20060804,237.4,239,225.3,228.6,8739,0
PVR,20060807,234,234,222,226.55,24585,0
PVR,20060808,228,229.45,226.05,227.05,3617,0
PVR,20060809,239,239,227.5,233.5,17336,9162
PVR,20060810,234.8,238,232,234.3,5464,2236
PVR,20060811,234,240,234,235.6,9483,3565
PVR,20060814,244,257.4,238.7,253.75,50422,17204
PVR,20060816,256.8,267.8,245.45,249.25,149530,0
PVR,20060817,254.9,254.9,245.5,250.3,47829,0
PVR,20060818,254.7,254.7,245.55,246.8,11534,0
PVR,20060821,243.05,248,243,245,14150,11127
PVR,20060822,248,251,244.5,245.55,15975,10352
PVR,20060823,243.05,254.4,236.5,242.9,32961,6261
PVR,20060824,241.2,246,231,244.8,11906,7534
PVR,20060825,246.55,258,245.5,247.3,42922,23383
PVR,20060828,254.9,254.9,245,247.55,12718,0
PVR,20060829,250,250,215.2,235.8,16725,0
PVR,20060830,244,246.25,240,243.35,10991,5239
PVR,20060831,244.8,244.8,225,235.5,20149,0
PVR,20060901,236.1,255,235,244.85,106698,0
PVR,20060904,248,249,240,245.75,27999,0
PVR,20060905,243,248.5,242,243.95,31932,11520
PVR,20060906,247.85,249.1,243,243.9,10306,3559
PVR,20060907,240.35,251.9,240.35,245.75,108622,0
PVR,20060908,247.95,248.9,241,242.2,26695,0
PVR,20060911,245.5,247.9,242,244.9,32577,0
PVR,20060912,236.1,249,235,247.25,21701,10770
PVR,20060913,250,250,243.15,244.95,19696,8359
PVR,20060914,240.5,254.95,240.5,245.45,31355,8190
PVR,20060915,249,254.75,241,252.5,34465,19711
PVR,20060918,255,264.95,250.05,254.8,129698,51712
PVR,20060919,257.95,263.05,252.5,255.4,493030,432575
PVR,20060920,260,271.65,255.05,262.85,102133,40914
PVR,20060921,265.9,268.4,255.6,257.05,48614,28138
PVR,20060922,262.7,262.7,252,253.6,21880,9023
PVR,20060925,255,265,254.1,256.95,26040,11316
PVR,20060926,261,264,254,255.9,38500,0
PVR,20060927,260,264,254,255.2,139373,116779
PVR,20060928,257.5,258.4,253,254.5,35639,0
PVR,20060929,250,258,250,255.55,20504,0
PVR,20061003,257.8,264,256.15,256.75,47496,0
PVR,20061004,256.75,260,239.1,255.7,27557,16203
PVR,20061005,265,265,254.1,255.25,20762,0
PVR,20061006,258.5,258.5,252.2,252.95,13532,0
PVR,20061009,255.2,255.2,250.5,251.1,19585,0
PVR,20061010,254.6,254.6,246,247.95,16931,0
PVR,20061011,250,254,243.15,244.7,19616,0
PVR,20061012,246,246.95,241.6,244.2,13542,7531
PVR,20061013,245.5,248,240.95,242.1,20633,0
PVR,20061016,245.8,245.8,239.25,243.25,25100,16013
PVR,20061017,241.1,245,236,241.8,12383,5965
PVR,20061018,241.8,243,238.55,240.75,5749,2678
PVR,20061019,240.2,244,240.1,241.8,6522,3370
PVR,20061020,241.95,245,238,239,16246,0
PVR,20061021,243,243,239.05,242.35,2900,0
PVR,20061023,242.9,243.85,237.5,238.3,5773,0
PVR,20061026,244.8,244.8,239.6,242.2,7138,0
PVR,20061027,244.7,251.9,235.15,242.85,48720,0
PVR,20061030,240.35,244,238.5,240.25,16938,0
PVR,20061031,240.25,247.9,238.5,240.6,52656,0
PVR,20061101,244.5,244.5,238.6,240.3,14903,0
PVR,20061102,240.5,243.5,238.5,239.1,8035,0
PVR,20061103,243.3,258.95,243.3,247.15,97536,0
PVR,20061106,249.45,249.9,245,245.6,21169,0
PVR,20061107,247.8,248.95,241,242.1,19329,0
PVR,20061108,242.25,242.9,237,239.2,12667,0
PVR,20061109,242.8,245,236,237.4,15418,0
PVR,20061110,240.6,240.6,236,237.5,15526,9156
PVR,20061113,237,241.8,237,239.25,23104,13312
PVR,20061114,242,274.7,235.75,236.6,39385,24467
PVR,20061115,238,242,233.5,234.4,15875,10530
PVR,20061116,237,247.4,234,244.7,391977,364188
PVR,20061117,251,275,241,241.8,39284,15122
PVR,20061120,234.25,238,231,235.5,10939,5224
PVR,20061121,241,241,236,238.8,11655,4771
PVR,20061122,241,243,238,239.35,8838,5625
PVR,20061123,240,264.9,240,253.6,162357,61155
PVR,20061124,254,256.15,245.3,246.6,32559,0
PVR,20061127,249.8,252.2,245,247.75,25989,0
PVR,20061128,243,257.8,243,247.6,96258,0
PVR,20061129,256.5,256.5,248.3,251.6,33434,0
PVR,20061130,252.9,253,248,249.05,13967,0
PVR,20061201,250.95,251,245.35,247.1,14257,0
PVR,20061204,246.15,247.5,245.2,246.25,8589,0
PVR,20061205,251,251.5,240.25,245.05,5936,0
PVR,20061206,250,250,242.35,248.5,21435,0
PVR,20061207,248.5,249.8,243.55,246.8,7250,0
PVR,20061208,252,255,245.1,250,102969,0
PVR,20061211,254.95,254.95,235.5,237.75,15776,0
PVR,20061212,235,241.5,221.1,224.5,14651,0
PVR,20061213,228,231.9,209.1,229.55,26551,0
PVR,20061214,236,238.9,232.5,236.7,12829,7148
PVR,20061215,239.8,241,232.3,234.5,13225,7499
PVR,20061218,236,240,230,231.75,18857,7466
PVR,20061219,232,233.95,228,229.3,8556,4435
PVR,20061220,232.7,232.7,229,229.65,4667,2342
PVR,20061221,229,229,225.1,226.7,8197,4699
PVR,20061222,227.55,231.45,227.55,230.2,4472,2236
PVR,20061226,225.2,233.95,225.2,230.2,7161,3221
PVR,20061227,234.9,235.9,230,234.85,25378,20632
PVR,20061228,236,236,228,231.15,16908,10182
PVR,20061229,232,233.75,228.15,229,57769,54517
PVR,20070102,231.1,235.85,230,231.55,6954,0
PVR,20070103,234,237,228.1,229.1,15307,0
PVR,20070104,231,232.8,229,229.7,9530,0
PVR,20070105,230,241,230,235.4,39069,0
PVR,20070108,238.9,238.9,230.9,231.9,11392,0
PVR,20070109,239,239,230,230.7,20011,0
PVR,20070110,230,237,228.2,231.95,48566,0
PVR,20070111,233,234.9,229.5,230.2,9468,4579
PVR,20070112,237,237,231.5,234.95,29395,20588
PVR,20070115,236,236.9,231.1,232.4,14408,10017
PVR,20070116,233,234,229,229.65,12959,7767
PVR,20070117,232.9,233.4,228.5,229.15,9416,6380
PVR,20070118,231.9,232.7,227.65,228.35,12596,10082
PVR,20070119,233.85,233.85,223.15,224.15,14863,9174
PVR,20070122,229.85,231.95,225.6,230.5,18330,10674
PVR,20070123,233.7,259,230.35,239.6,122884,0
PVR,20070124,240.5,253,238,239.9,66548,22732
PVR,20070125,244,244.95,241.5,242.9,31527,0
PVR,20070129,245,246.5,242.95,243.1,12955,8003
PVR,20070131,242.15,247.9,233,237.95,45426,23942
PVR,20070201,244,244,223.65,225.8,46603,26199
PVR,20070202,233,233.9,226.75,227.7,18565,0
PVR,20070205,228.05,230.7,225.05,226.85,20759,11428
