SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RAJINPIPE,19950510,62,62,61,61,200,0
RAJINPIPE,19950512,61,61,61,61,100,0
RAJINPIPE,19950515,60,60,54.5,54.5,800,0
RAJINPIPE,19950516,54,55,54,55,600,0
RAJINPIPE,19950517,56,56,54,54,200,0
RAJINPIPE,19950518,55,55,54,54,300,0
RAJINPIPE,19950519,54,55,52,52.5,600,0
RAJINPIPE,19950522,57,57,52,52.5,1100,0
RAJINPIPE,19950523,55,55,52.25,52.25,1000,0
RAJINPIPE,19950524,50,53,50,52,300,0
RAJINPIPE,19950525,50,50,50,50,100,0
RAJINPIPE,19950526,50,59,50,50,75400,0
RAJINPIPE,19950529,50,54,47.75,48.9,1500,0
RAJINPIPE,19950530,49,49.5,49,49.4,300,0
RAJINPIPE,19950531,49.6,49.6,49,49.5,500,0
RAJINPIPE,19950601,48.75,48.75,48,48,1300,0
RAJINPIPE,19950602,48,53,48,50.6,2400,0
RAJINPIPE,19950605,48,51,48,48.9,2100,0
RAJINPIPE,19950606,49,49,45,47.75,1300,0
RAJINPIPE,19950607,45,46,45,46,800,0
RAJINPIPE,19950608,42,43.9,41,42.3,600,0
RAJINPIPE,19950609,42,42,42,42,100,0
RAJINPIPE,19950612,42,45,40,41,1100,0
RAJINPIPE,19950613,44.95,45,39.75,41.65,4600,0
RAJINPIPE,19950614,44.5,44.5,44.5,44.5,100,0
RAJINPIPE,19950615,45,47,45,47,200,0
RAJINPIPE,19950616,47,47,46,46.75,1000,0
RAJINPIPE,19950619,47.5,60,47.5,60,2000,0
RAJINPIPE,19950620,60,60,54,55,400,0
RAJINPIPE,19950621,53,55,53,55,200,0
RAJINPIPE,19950622,53.05,53.05,51,52,400,0
RAJINPIPE,19950623,52,52,51,51,200,0
RAJINPIPE,19950626,51,51,49,49,400,0
RAJINPIPE,19950627,50,50,49,49.5,400,0
RAJINPIPE,19950628,49,49,49,49,100,0
RAJINPIPE,19950629,48,49,48,49,400,0
RAJINPIPE,19950630,48,49.75,47.5,49.4,400,0
RAJINPIPE,19950703,49,51,49,51,300,0
RAJINPIPE,19950704,49,49,48,48,600,0
RAJINPIPE,19950705,49,50,46,50,600,0
RAJINPIPE,19950706,50,50,48.9,48.9,400,0
