SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RANBAXY,19941110,670,670,670,670,150,0
RANBAXY,19941114,650,650,650,650,150,0
RANBAXY,19941115,650,650,650,650,500,0
RANBAXY,19941122,650,665,650,665,600,0
RANBAXY,19941123,660,680,660,680,600,0
RANBAXY,19941124,680,680,680,680,50,0
RANBAXY,19941201,680,680,680,680,100,0
RANBAXY,19941202,690,690,690,690,100,0
RANBAXY,19941208,660,660,660,660,100,0
RANBAXY,19941213,610,614.75,610,614.75,100,0
RANBAXY,19941214,627.5,630,627.5,630,150,0
RANBAXY,19941215,640,640,640,640,50,0
RANBAXY,19941216,635,640,635,640,100,0
RANBAXY,19941219,646,650,645,648,250,0
RANBAXY,19941220,655,655,650,650,100,0
RANBAXY,19941221,660,660,660,660,50,0
RANBAXY,19941222,670,670,670,670,50,0
RANBAXY,19941223,665,665,665,665,100,0
RANBAXY,19941227,665,665,665,665,150,0
RANBAXY,19941228,640,640,640,640,100,0
RANBAXY,19941229,640,640,640,640,100,0
RANBAXY,19950102,670,670,670,670,150,0
RANBAXY,19950103,665,665,650,650,100,0
RANBAXY,19950105,625,625,625,625,50,0
RANBAXY,19950106,610,645,610,645,600,0
RANBAXY,19950109,635,644,635,643.5,150,0
RANBAXY,19950110,646.6,646.6,630,631.6,42150,0
RANBAXY,19950111,625,625,615,625,150,0
RANBAXY,19950112,625,635,625,627.5,550,0
RANBAXY,19950113,630,630,625,625,350,0
RANBAXY,19950116,628.5,630,628,630,200,0
RANBAXY,19950117,630,630,630,630,250,0
RANBAXY,19950118,640,640,640,640,100,0
RANBAXY,19950119,634.75,635,634.75,635,150,0
RANBAXY,19950120,640,640,637.5,640,250,0
RANBAXY,19950123,620,630,620,630,500,0
RANBAXY,19950124,625,630,625,629.5,400,0
RANBAXY,19950125,624,631,624,630.5,450,0
RANBAXY,19950127,626,630,624,630,700,0
RANBAXY,19950130,640,640,630,640,400,0
RANBAXY,19950131,635,635,625,625,100,0
RANBAXY,19950201,635,635,635,635,50,0
RANBAXY,19950202,640,645,635.15,639.5,250,0
RANBAXY,19950203,650,650,640.25,640.25,150,0
RANBAXY,19950206,635,641,635,641,350,0
RANBAXY,19950207,615,635,610,626.65,400,0
RANBAXY,19950208,635,635,635,635,50,0
RANBAXY,19950209,630,645,630,630,250,0
RANBAXY,19950210,632,635,632,635,300,0
RANBAXY,19950213,625,635,625,633.25,350,0
RANBAXY,19950214,635.05,635.05,625,635,2150,0
RANBAXY,19950215,632,635,632,635,150,0
RANBAXY,19950216,625,635,625,625,750,0
RANBAXY,19950217,625,625,620,625,1500,0
RANBAXY,19950220,625,625,610,610,500,0
RANBAXY,19950221,610,610,590,595,750,0
RANBAXY,19950222,585,589,580,587,350,0
RANBAXY,19950223,600,600,580,600,300,0
RANBAXY,19950224,605,610,600,607.5,400,0
RANBAXY,19950228,620,650,615,615,250,0
RANBAXY,19950301,625,632.5,625,630,850,0
RANBAXY,19950302,630,640,630,640,450,0
RANBAXY,19950303,636,649.95,636,645.1,26050,0
RANBAXY,19950306,645,645,635,635,200,0
RANBAXY,19950307,642,647.5,639,639,200,0
RANBAXY,19950308,626,626,626,626,100,0
RANBAXY,19950309,635,637.5,635,635,650,0
RANBAXY,19950310,639,639,635,635,550,0
RANBAXY,19950313,600,630.5,600,630.5,250,0
RANBAXY,19950314,607.1,634,607.1,633,1000,0
RANBAXY,19950315,640,645,640,640,600,0
RANBAXY,19950316,630,630,630,630,50,0
RANBAXY,19950320,625,640,620,640,2950,0
RANBAXY,19950321,610,625,610,615,550,0
RANBAXY,19950322,621,621,621,621,150,0
RANBAXY,19950323,615,640,615,630,650,0
RANBAXY,19950324,625,634,625,625,450,0
RANBAXY,19950327,625,625,625,625,50,0
RANBAXY,19950328,628,631,620,620,350,0
RANBAXY,19950329,635,635,615,615,250,0
RANBAXY,19950330,622,624.95,620,622,1750,0
RANBAXY,19950331,622,624,622,623.5,450,0
RANBAXY,19950403,620.05,620.05,617,620,650,0
RANBAXY,19950404,620,645,620,645,2500,0
RANBAXY,19950407,627.5,628.1,627.5,628.1,150,0
RANBAXY,19950410,622,625,620,622,1250,0
RANBAXY,19950411,625,625,614,615.7,400,0
RANBAXY,19950412,620,627,620,627,350,0
RANBAXY,19950417,620,623,620,620.1,450,0
RANBAXY,19950418,620,625,617,620,700,0
RANBAXY,19950419,625,635,625,628,650,0
RANBAXY,19950420,620,625,620,624.9,400,0
RANBAXY,19950421,624.95,630,620,622,1550,0
RANBAXY,19950424,620.25,645,607,635.7,4350,0
RANBAXY,19950425,620,625,615,616,1350,0
RANBAXY,19950426,616,616,610,610,150,0
RANBAXY,19950427,605,605.05,601,602,1300,0
RANBAXY,19950428,590,600,585,590,10650,0
RANBAXY,19950502,580,580,540,556.35,1550,0
RANBAXY,19950503,515,541,510,540,1450,0
RANBAXY,19950504,545,565,545,550,1200,0
RANBAXY,19950505,565,580,565,575,800,0
RANBAXY,19950508,580,590,572,590,950,0
RANBAXY,19950509,590,595.05,590,592,850,0
RANBAXY,19950510,610,614.7,593,605,1800,0
RANBAXY,19950512,586,590,581,590,650,0
RANBAXY,19950515,585,590,585,585,900,0
RANBAXY,19950516,585,589.95,570,582.85,1250,0
RANBAXY,19950517,580,590,580,585,600,0
RANBAXY,19950518,595,604.5,595,600,400,0
RANBAXY,19950519,610,613,601,613,1500,0
RANBAXY,19950522,600,611.5,600,610.15,3600,0
RANBAXY,19950523,605,607.5,595,604.5,3050,0
RANBAXY,19950524,608,612,608,610.05,1100,0
RANBAXY,19950525,608.95,608.95,600,600,550,0
RANBAXY,19950526,601.5,615,601.5,612.25,2100,0
RANBAXY,19950529,600.6,611,600.6,611,1150,0
RANBAXY,19950530,608,614.75,605.5,610,1900,0
RANBAXY,19950531,612,616,612,615,2100,0
RANBAXY,19950601,613,620,613,620,1250,0
RANBAXY,19950602,615,620,615,616.05,2100,0
RANBAXY,19950605,615,620,615,620,4750,0
RANBAXY,19950606,619,620.05,619,620.05,1050,0
RANBAXY,19950607,620,622,620,620.5,1150,0
RANBAXY,19950608,619.95,620,619.15,620,5550,0
RANBAXY,19950609,619,620,615,619.2,650,0
RANBAXY,19950612,612,617,611,615,400,0
RANBAXY,19950613,615,615.05,615,615,1150,0
RANBAXY,19950614,615,618,612,615.05,600,0
RANBAXY,19950615,620,625,615,622,1500,0
RANBAXY,19950616,625,630,620,626.85,900,0
RANBAXY,19950619,621,640,621,637.5,1650,0
RANBAXY,19950620,630,642,630,640,1600,0
RANBAXY,19950621,640,640,632,636,400,0
RANBAXY,19950622,636,642,636,642,2200,0
RANBAXY,19950623,635,638,635,636,1050,0
RANBAXY,19950626,632,641,632,640.6,1450,0
RANBAXY,19950627,635,646.9,635,646.9,2100,0
RANBAXY,19950628,640,650,640,645.05,2750,0
RANBAXY,19950629,649,650,645.05,650,1250,0
RANBAXY,19950630,645,648,642,645,550,0
RANBAXY,19950703,642.5,642.5,625,625,350,0
RANBAXY,19950704,600,640,595.1,627.4,3050,0
RANBAXY,19950705,615,627.5,615,625,1900,0
RANBAXY,19950706,620,630,611.3,630,1250,0
RANBAXY,19950707,623,630,622.5,625.15,850,0
RANBAXY,19950710,623.05,629.9,623.05,625.5,400,0
RANBAXY,19950711,625,635,624,635,1500,0
RANBAXY,19950712,628,630,626,630,700,0
RANBAXY,19950713,630,633,630,633,850,0
RANBAXY,19950714,649,650,640,640.35,3200,0
RANBAXY,19950717,640,642,636,640.65,900,0
RANBAXY,19950718,640.05,640.05,640,640,500,0
RANBAXY,19950719,641,655,641,650.25,1700,0
RANBAXY,19950720,650,672,650,672,7950,0
RANBAXY,19950721,670,673.95,666.3,672.65,2150,0
RANBAXY,19950724,670,680,666.05,675.05,2400,0
RANBAXY,19950725,670,684.5,668.5,682.5,2000,0
RANBAXY,19950726,687,700,685.05,699.5,10500,0
RANBAXY,19950727,704,704,694,696.4,8200,0
RANBAXY,19950728,691,715,690,712.5,16200,0
RANBAXY,19950731,712,728,712,725.85,13150,0
RANBAXY,19950801,720,732.95,720,730.75,4500,0
RANBAXY,19950802,735,735,706,725,2300,0
RANBAXY,19950803,735,740,725,736,5700,0
RANBAXY,19950804,726,737.5,714,726.35,14200,0
RANBAXY,19950807,725,737,720.25,725,7200,0
RANBAXY,19950808,722.8,738,705,711,103550,0
RANBAXY,19950809,721,721,716,719.2,3300,0
RANBAXY,19950811,711.95,713.95,707,710.35,4250,0
RANBAXY,19950814,709,709.5,676,676,1800,0
RANBAXY,19950816,685.3,705,685.3,697.05,8300,0
RANBAXY,19950817,700,720,700,718.6,6500,0
RANBAXY,19950818,729,731.9,725,729.65,8600,0
RANBAXY,19950821,735,750,730,743,23950,0
