SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RBL,20080620,149.95,149.95,61,89.6,1607085,97661
RBL,20080623,89,89,72.05,73.15,332868,20904
RBL,20080624,67.1,77.5,66.2,70.75,477627,18586
RBL,20080625,70,70,63.95,66.7,141298,12314
RBL,20080626,74.5,74.5,66,67.85,84330,11587
RBL,20080627,67.85,67.85,60.45,62.3,22939,8227
RBL,20080630,63.75,63.75,53.5,54.8,28675,13762
RBL,20080701,55,59,52.35,55.05,15201,8591
RBL,20080702,53,55,51.2,53.95,8871,4799
RBL,20080703,52,52,50,50.55,7383,3740
RBL,20080704,50,60,50,55.55,10683,5449
RBL,20080707,55,59.95,53.5,55.05,3025,2185
RBL,20080708,54.9,57.95,52,56.55,3192,2678
RBL,20080709,56.25,61,56.25,58.85,11758,8690
RBL,20080710,59.9,60.95,56,60.15,922,752
RBL,20080711,63,63,57.5,57.65,1835,1684
RBL,20080714,55.15,65.2,55.1,61.4,4846,2152
RBL,20080715,58.1,60.4,57.15,58.45,916,563
RBL,20080716,57.4,62,57.35,58.3,3665,2660
RBL,20080717,57.35,58.8,55,56.75,1537,1097
RBL,20080718,55,56.6,53.65,55,3047,2443
RBL,20080721,53.25,54.85,53.1,54.45,1192,656
RBL,20080722,54.5,56.5,54.5,55.2,3063,2565
RBL,20080723,56.55,57.4,55,57.05,1461,0
RBL,20080724,54.5,57,54.45,55.85,1843,1439
RBL,20080725,55.1,58.85,55.1,56.45,979,679
RBL,20080728,54.25,56.5,54.15,54.75,8374,6077
RBL,20080729,54.15,55.95,53,54.35,2839,1731
RBL,20080730,55.25,57.75,53.1,56.15,1913,1310
RBL,20080731,51.8,56.95,51.8,56.75,1591,990
RBL,20080801,56.1,58.5,56.1,57,581,531
RBL,20080804,57.25,58.5,57.25,58.4,891,641
RBL,20080805,56,60.3,56,57.35,2547,1675
RBL,20080806,58,59.45,56.5,57.05,3161,2156
RBL,20080807,57.25,59,57.25,58.55,854,577
RBL,20080808,57.25,60,56,59.25,2540,1733
RBL,20080811,59.85,59.85,58.15,59.25,952,800
RBL,20080812,59.25,61.65,58.8,59.15,1482,1344
RBL,20080813,59,61.9,59,59.25,981,951
RBL,20080814,59.25,62,51,61,1677,1124
RBL,20080818,60.4,62.25,60.4,60.4,2365,2315
RBL,20080819,58.35,60.5,58,58.8,672,399
RBL,20080820,69.85,69.85,60,60.5,3421,2270
RBL,20080821,60.5,60.5,55.25,56.15,2402,2126
RBL,20080822,56.15,60.35,56.15,57.3,2794,2025
RBL,20080825,60,60,55,56.2,2293,1981
RBL,20080826,58,59,56.2,56.25,728,607
RBL,20080827,56.2,58.95,54.8,56.35,1214,1100
RBL,20080828,56.45,59,55.2,56.1,1912,1602
RBL,20080829,57,59.35,56.1,59,411,345
RBL,20080901,59,59,56.3,57.05,356,286
RBL,20080902,56.5,58.9,56.5,58,1027,894
RBL,20080904,58.5,59.25,57.05,58.75,1641,1500
RBL,20080905,57.05,60.55,56,60.1,983,828
RBL,20080908,56.65,58.95,56.65,58.1,524,255
RBL,20080909,53.5,60,53.5,57.5,2083,1131
RBL,20080910,56.6,59.3,56.55,57.6,472,334
RBL,20080911,60,60,56.5,57.15,263,205
RBL,20080912,56.5,57,56.5,56.6,164,164
RBL,20080915,56.6,56.7,56,56.15,1922,1723
RBL,20080916,56.1,56.1,56,56,1311,1111
RBL,20080917,53.6,57.1,53.3,56,1478,930
RBL,20080918,55,55,55,55,2451,2451
RBL,20080919,53,56,53,55,423,423
RBL,20080922,53,57.95,53,57.35,97,65
RBL,20080923,55,55.6,55,55.5,45,45
RBL,20080924,50.05,57.95,50.05,55.65,482,377
RBL,20080925,55,58,54.9,56,626,620
RBL,20080926,54,58.75,50.05,52.75,342,302
RBL,20080929,51.25,53.9,50.05,50.05,1375,1240
RBL,20080930,48,56.75,48,54,216,210
RBL,20081001,51.1,54.8,51.1,52.8,1465,853
RBL,20081003,52.05,55,52.05,54.6,354,354
RBL,20081006,52.05,52.05,50.1,51.2,815,611
RBL,20081007,49,52,49,49.05,373,366
RBL,20081008,47.05,58.4,47.05,51,845,718
RBL,20081010,48,49.5,42,45.25,1322,1099
RBL,20081013,48,52.95,44.35,49.95,1774,1614
RBL,20081014,50.25,51,49.1,50.25,536,536
RBL,20081015,48.5,50,47.1,49.95,494,494
RBL,20081016,44,48.4,44,48.4,914,714
RBL,20081017,46,49,45,48.4,702,676
