SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RELIGARE,20071121,323.75,601,323.75,525.3,16054884,2798103
RELIGARE,20071122,525,558,516.35,546.3,4480014,561119
RELIGARE,20071123,550.05,564,525.5,532,1407518,269460
RELIGARE,20071126,538.7,543,521,525.45,919696,254149
RELIGARE,20071127,522.1,525,496,504.8,880693,299861
RELIGARE,20071128,510,542,504,506.1,1231245,222398
RELIGARE,20071129,515,522,495.1,499.9,483387,148881
RELIGARE,20071130,495,514.9,495,505.45,317171,119634
RELIGARE,20071203,507.9,519,504,506.1,269053,89615
RELIGARE,20071204,510,517.8,506,508.05,321368,92723
RELIGARE,20071205,512,527.75,511,517.65,463031,174916
RELIGARE,20071206,525,537,520.05,524.8,544947,188742
RELIGARE,20071207,530.05,551.7,526,541.55,777003,206878
RELIGARE,20071210,544.9,560,538,549.05,823072,184068
RELIGARE,20071211,555,557.9,535,538.25,380565,146486
RELIGARE,20071212,535,539.8,529,531.15,329591,193179
RELIGARE,20071213,535,538,525,529.6,186421,81006
RELIGARE,20071214,531,536,523.05,525.35,134400,64878
RELIGARE,20071217,521.3,537.9,510.6,514.75,219816,93136
RELIGARE,20071218,512,518.9,500,502.8,242180,173422
RELIGARE,20071219,512.5,523.9,510,512.5,172792,82013
RELIGARE,20071220,513,521,499,512.2,240997,138528
RELIGARE,20071224,511,524.9,504,516.5,233424,76622
RELIGARE,20071226,519,526.5,513.1,518.9,143218,0
RELIGARE,20071227,518,559.7,518,541.9,743883,0
RELIGARE,20071228,540.9,572.35,532,551.85,866563,0
RELIGARE,20071231,555,634.4,555,610.45,2692146,920948
RELIGARE,20080101,614,639,614,619.3,1239272,401509
RELIGARE,20080102,620.8,729,620.8,694.1,5341595,968170
RELIGARE,20080103,685,727.8,685,697.8,1669131,517407
RELIGARE,20080104,705,716.8,680,683.75,837462,352744
RELIGARE,20080107,685,722,662.15,696.4,1034069,292343
RELIGARE,20080108,703.9,713.95,642.5,661.25,733761,277113
RELIGARE,20080109,620,687,620,661.9,1275510,278572
RELIGARE,20080110,675,689.6,632,646.9,686246,264522
RELIGARE,20080111,652,656.5,631.15,643.3,436162,179223
RELIGARE,20080114,645,651.5,635,638.7,235866,86611
RELIGARE,20080115,642,648,632,635.65,294041,159871
RELIGARE,20080116,630,678.7,615,646.75,682955,187828
RELIGARE,20080117,650,668.7,645,648.7,382386,0
RELIGARE,20080118,601,652.2,601,633.45,284239,0
RELIGARE,20080121,677.85,711.85,506.8,509.25,579248,0
RELIGARE,20080122,455.15,534,407.4,407.4,307598,0
RELIGARE,20080123,460,488.9,430,488.9,326554,0
RELIGARE,20080124,490,579,490,534,475340,198269
RELIGARE,20080125,550,576,543.05,566.15,194199,61139
RELIGARE,20080128,540,548,475.25,533.75,92420,32130
RELIGARE,20080129,539.7,554,517,520.55,212200,137386
RELIGARE,20080130,539,539,496,501.25,123731,0
RELIGARE,20080131,505,535,490,522.6,150053,48966
RELIGARE,20080201,530,535,502,518.8,121711,53706
RELIGARE,20080204,531,539.7,515.85,521.5,94424,36153
RELIGARE,20080205,525,532,510,525.4,72477,27557
RELIGARE,20080206,501.15,526.9,500,515.15,88241,53703
RELIGARE,20080207,520,526,505,505.4,100962,61446
RELIGARE,20080208,506.1,513.5,490,498.9,101309,39064
RELIGARE,20080211,504.8,504.8,399.15,444.25,170627,90005
RELIGARE,20080212,430,465,415,430.8,81846,38115
RELIGARE,20080213,450,450,400,416.65,133243,76830
RELIGARE,20080214,435,448.75,425,442.9,66545,26453
RELIGARE,20080215,435,453,432.2,444.4,51914,15148
RELIGARE,20080218,450,475,445,450.1,36010,13711
RELIGARE,20080219,460,465.6,451,454.1,80223,33557
RELIGARE,20080220,452,456.15,442,446.85,39694,21568
RELIGARE,20080221,450,455,430,442.05,47227,16933
RELIGARE,20080222,435.1,444.9,430.55,438.8,30013,15955
RELIGARE,20080225,432,456.25,431,450.85,120553,101081
RELIGARE,20080226,460,460,448.1,452.4,41038,10371
RELIGARE,20080227,455.05,465.5,443.3,461.95,63539,25834
RELIGARE,20080228,458.05,478,458,469.9,63455,24363
RELIGARE,20080229,451.5,472.7,451.5,460.65,28406,17442
RELIGARE,20080303,455,455,421,430.75,41214,23664
RELIGARE,20080304,430,435,415.55,427.9,62239,33963
RELIGARE,20080305,420.05,437.9,418,432.55,66528,36590
RELIGARE,20080307,422,422,360.3,409.6,103342,71490
RELIGARE,20080310,401,424.95,372.05,405.4,85790,40069
RELIGARE,20080311,410.95,427.9,400,423.6,61648,26744
RELIGARE,20080312,437.9,450,426,431,44183,16430
RELIGARE,20080313,420,420,390,406.25,53639,25839
RELIGARE,20080314,405.05,409.95,391.95,402.1,60832,29293
RELIGARE,20080317,351.75,400,351.75,369.05,93218,48689
RELIGARE,20080318,361,374,360,368.8,139173,104130
RELIGARE,20080319,395,399,355,359.8,63701,22769
RELIGARE,20080324,362,362,331.25,349.25,69572,53103
RELIGARE,20080325,353,380,345,365.7,209088,55121
RELIGARE,20080326,374.5,430,312.7,379.5,288098,64691
RELIGARE,20080327,371,398.2,370,375.95,152585,48708
RELIGARE,20080328,379.9,395,379.9,386.3,129117,36807
RELIGARE,20080331,387,395,366.2,372,95214,33562
RELIGARE,20080401,385,388.95,371.3,380.7,45062,10736
RELIGARE,20080402,388,399,370.3,375.2,40878,13480
RELIGARE,20080403,384,384,370.05,374.9,29542,13496
RELIGARE,20080404,372,372,362.05,367.05,45747,23528
RELIGARE,20080407,376.9,380,362.9,369.3,55294,14614
RELIGARE,20080408,374,374,368.1,370.25,25756,11702
RELIGARE,20080409,370.25,376.9,366,370.3,24821,9543
RELIGARE,20080410,370,385.95,369.5,370.95,52101,13443
RELIGARE,20080411,376.9,377,364.1,364.9,23754,13716
RELIGARE,20080415,361,375,361,371.25,37993,14357
RELIGARE,20080416,375,387.7,371.05,376.15,147618,49820
RELIGARE,20080417,380.5,386.3,375,375.35,41246,19233
RELIGARE,20080421,380,384.8,373.5,378.4,39071,21514
RELIGARE,20080422,381.15,411.8,380,389.05,414998,95406
RELIGARE,20080423,390,395.65,384.1,385.85,108865,73444
RELIGARE,20080424,386,393.95,373.35,376.25,61822,36390
RELIGARE,20080425,380,383.9,375.3,380,100089,81271
RELIGARE,20080428,380,387.9,380,384.55,107935,67682
RELIGARE,20080429,382.1,403.9,382.1,388.6,271597,120012
RELIGARE,20080430,391,411,389,403.8,451911,135760
RELIGARE,20080502,408,417.8,400,400.4,153088,48344
RELIGARE,20080505,405,409.7,399.55,400.45,74650,26547
RELIGARE,20080506,400,405,398,400.25,64470,41660
RELIGARE,20080507,396,403,396,397.65,32399,19747
RELIGARE,20080508,389.65,399,389.65,398.1,41809,19826
RELIGARE,20080509,395,397,389,390.05,49185,29560
RELIGARE,20080512,390,393,389.1,390.9,47426,25840
RELIGARE,20080513,395,395,389.1,390,42699,21019
RELIGARE,20080514,386.1,395,385,393.25,35678,19621
RELIGARE,20080515,395,412,391.25,407.75,149317,35700
RELIGARE,20080516,401,412.9,396.95,401.95,53351,14416
RELIGARE,20080520,403,404.9,395,400.9,36261,14233
RELIGARE,20080521,395,405,350,402.75,40099,16272
RELIGARE,20080522,397,403,396.05,398.45,24087,15051
RELIGARE,20080523,398.05,403,395,396.1,22741,14774
RELIGARE,20080526,390.05,394,390,392.4,20316,15047
RELIGARE,20080527,390,399,390,392.1,19424,13175
RELIGARE,20080528,395,458.5,392,393,28159,8091
RELIGARE,20080529,395,398.95,390.1,391.45,14580,7963
RELIGARE,20080530,393,397.9,390,391.1,16215,11472
RELIGARE,20080602,387,396,387,390,27257,24020
RELIGARE,20080603,390,404.9,390,391.8,105207,25772
RELIGARE,20080604,390.05,394,385.1,388.05,25222,19361
RELIGARE,20080605,384.15,392,384.15,390.1,18561,15330
RELIGARE,20080606,392,393.8,389.25,389.35,13095,9295
RELIGARE,20080609,375,389.35,373.75,387.35,33710,20561
RELIGARE,20080610,385,393,382.1,388.35,18650,11778
RELIGARE,20080611,395,432.75,388,423.2,415267,115619
RELIGARE,20080612,415.9,422.75,395.3,403.15,298293,43143
RELIGARE,20080613,405,415.95,400.1,402.6,110338,19899
RELIGARE,20080616,410,410,399.15,400.5,66512,30222
RELIGARE,20080617,399,406,399,402.6,31647,16871
