SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
REPRO,20051222,195,240.9,195,235.45,15101108,1196127
REPRO,20051223,242.1,252.4,239.65,242.85,5291329,246753
REPRO,20051226,235,242.85,218,220.95,1528113,132640
REPRO,20051227,220,228.4,214.35,224.4,2057071,93987
REPRO,20051228,225,226.5,218.6,219.95,482320,57553
REPRO,20051229,221,230.65,219.75,227.5,636145,75070
REPRO,20051230,230,241.4,225,232.7,1127858,106804
REPRO,20060102,233.5,234.95,222.55,223.9,292230,75217
REPRO,20060103,225.35,227.95,223.75,225.5,132392,35616
REPRO,20060104,221,233,220.1,223.65,255626,62377
REPRO,20060105,225,229,219.55,221.4,121404,35504
REPRO,20060106,222.5,225.95,215,216.7,59796,18515
REPRO,20060109,218.25,232,218,230.9,300730,96713
REPRO,20060110,232,248.2,227.7,236.7,730156,103336
REPRO,20060112,232.55,245.7,230.1,238.15,388175,64990
REPRO,20060113,239,243,228.2,230.45,139989,45573
REPRO,20060116,232.5,234.5,223.1,224.25,71892,0
REPRO,20060117,226,244.8,226,235.5,503134,123478
REPRO,20060118,234.5,237.7,227,230.45,218229,0
REPRO,20060119,232.9,236.5,231.15,232.25,94655,27945
REPRO,20060120,232.3,242.4,232.3,236.3,181716,41727
REPRO,20060123,235.15,283.6,235,283.6,1672663,261907
REPRO,20060124,290.15,307.85,281,283.5,2746925,310756
REPRO,20060125,284,289.9,255.5,261.9,1016104,159598
REPRO,20060127,265.55,283,258.35,277,698023,0
REPRO,20060130,273.3,280,257,260.9,314536,51509
REPRO,20060131,262,272.7,258,259.55,263313,0
REPRO,20060201,262.7,263.4,241.5,244.45,167715,0
REPRO,20060202,246.85,252,230,234.2,257858,0
REPRO,20060203,236.35,245.4,233.1,237.15,192785,56776
REPRO,20060206,239.45,246.9,232,235.65,163595,26494
REPRO,20060207,237.45,242.75,233,235.5,82491,20570
REPRO,20060208,238.75,238.75,231.1,234.5,48334,20173
REPRO,20060210,237.35,253.8,234.5,242.85,200186,46986
REPRO,20060213,244,248.4,238,241.6,92867,13885
REPRO,20060214,243.95,258,240.2,242.45,182717,0
REPRO,20060215,240.15,248,232.55,234.85,72539,13190
REPRO,20060216,238,246,235.05,238.9,77387,22799
REPRO,20060217,238.9,243.65,235,235.35,59792,0
REPRO,20060220,236,239.8,230.5,236.6,52700,21843
REPRO,20060221,235.5,242.8,234,235.5,47643,0
REPRO,20060222,238,238,233,235.05,28209,0
REPRO,20060223,237.75,237.75,234.5,235.1,14719,0
REPRO,20060224,236.6,242,225.15,228.4,55444,18052
REPRO,20060227,228.5,233.5,225.05,227.9,33992,0
REPRO,20060228,232,232,219,220.65,17900,7705
REPRO,20060301,224,229,218.5,226.45,36502,0
REPRO,20060302,226,236,224,225.95,52187,0
REPRO,20060303,225.95,230.95,224.25,227.9,21733,13279
REPRO,20060306,232,232,221,225.05,23494,15755
REPRO,20060307,224.5,227.9,221.5,225.35,28556,20916
REPRO,20060308,227.8,227.8,210.1,213.8,32375,0
REPRO,20060309,218.95,218.95,208,214.85,29763,0
REPRO,20060310,219.9,220.05,208.35,210.35,19556,0
REPRO,20060313,211.75,214.9,209.2,210.15,17090,8875
REPRO,20060314,235.5,235.5,201.3,203.25,27692,0
REPRO,20060316,214.95,214.95,203,204.2,8556,0
REPRO,20060317,202.2,207,201,205.05,11689,6810
REPRO,20060320,219.5,224.7,200.5,215.2,65578,0
REPRO,20060321,222,222,210,211.55,13442,0
REPRO,20060322,205.5,211.9,205.5,208.35,6418,0
REPRO,20060323,225,225,205,207.35,7608,0
REPRO,20060324,208.6,209.8,204.3,205.95,6347,4748
REPRO,20060327,212,212,205,205.35,49454,47650
REPRO,20060328,209,209.8,202.35,205.25,16390,12977
REPRO,20060329,185.35,238,185.35,223.7,108188,21859
REPRO,20060330,227.2,234.1,225,228.8,41336,0
REPRO,20060331,229,229.8,220,221.8,10227,5823
REPRO,20060403,221.6,236,221.6,229.3,23465,0
REPRO,20060404,235,235,220,222.9,12109,0
REPRO,20060405,223,227.9,221,225.55,11553,0
REPRO,20060407,221.05,226.2,212,221.8,15758,0
REPRO,20060410,235,235,210.7,215.4,5981,0
REPRO,20060412,220,220,207,209,5421,4012
REPRO,20060413,210,210,195.15,200.3,6459,4438
REPRO,20060417,203,209,203,205.05,3335,2030
REPRO,20060418,214,214,206.05,209.9,7702,3806
REPRO,20060419,209,215,208.9,210.05,5432,3508
REPRO,20060420,210,211.8,205,206.2,9083,7933
REPRO,20060421,206.3,206.5,200.1,201.25,7040,4129
REPRO,20060424,203,215,201.15,202.5,6945,0
REPRO,20060425,204.5,206.45,198,203.35,7374,6553
REPRO,20060426,202.2,210.9,200,206.85,6238,4486
REPRO,20060427,210,212.8,203,204,3514,0
REPRO,20060428,204.9,208,196.8,203.45,12909,6166
REPRO,20060429,211,211,200.6,202.9,3230,0
REPRO,20060502,200.2,210.85,200.2,206.5,4988,3626
REPRO,20060503,207.9,208,202.05,204.55,3105,1852
REPRO,20060504,204.95,231.5,203,217.55,104480,26860
REPRO,20060505,219,231,206.6,213.4,35130,11501
REPRO,20060508,214.4,230,212,218.55,267217,252795
REPRO,20060509,225.05,237,220.1,223.35,69192,33423
REPRO,20060510,229.5,229.5,210,213.1,17602,0
REPRO,20060511,218.5,218.5,204,206.45,10721,6844
REPRO,20060512,205.75,213,204.5,206.45,11694,5029
REPRO,20060515,205,212.8,190.3,194.75,13765,7528
REPRO,20060516,198.7,198.7,174,193.05,11549,0
REPRO,20060517,198,210.9,198,208.4,9553,5901
REPRO,20060518,201,201,186,188.5,7351,3839
REPRO,20060519,186.1,189,172.05,180.15,5181,2649
REPRO,20060522,189,189,144.2,172.45,19719,15957
REPRO,20060523,173,174,146,167.3,46721,37229
REPRO,20060524,165.7,180,165.7,169.65,2352,1118
REPRO,20060525,169,169,161,161.55,3509,2827
REPRO,20060526,161.5,174,161.5,171.8,1404,787
REPRO,20060529,167,174.9,162.8,166.8,2396,1581
REPRO,20060530,168,169,163.3,167.75,838,621
REPRO,20060531,162.5,166.5,148,163.65,8851,7725
REPRO,20060601,158,162,148,149.7,2965,1860
REPRO,20060602,136.05,155,135,150.25,8542,5133
REPRO,20060605,150,154.55,142,148.45,480,401
REPRO,20060606,142.15,149.2,139,144.7,2308,1752
REPRO,20060607,140,144,132,141.25,5330,4368
REPRO,20060608,134.2,134.2,113,113,8053,7021
REPRO,20060609,109,124.4,101,119.65,6144,2769
REPRO,20060612,119.9,123.45,110,115.4,1564,677
REPRO,20060613,107,114.9,98,101,6478,5169
REPRO,20060614,110,110,90.1,93.55,3835,2647
