SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RETFMID150,20190204,60.55,60.65,60.05,60.05,7154,6648
RETFMID150,20190206,59.8,59.8,59.5,59.5,4,4
RETFMID150,20190207,60.65,60.65,60.05,60.15,278,95
RETFMID150,20190208,60,60,60,60,4,4
RETFMID150,20190211,58.95,58.95,58.95,58.95,5000,5000
RETFMID150,20190212,58.85,58.85,58.85,58.85,150,150
RETFMID150,20190213,59,59,59,59,2,2
RETFMID150,20190214,58.4,58.5,58.4,58.5,151,151
RETFMID150,20190215,58.25,58.25,58.25,58.25,200,200
RETFMID150,20190219,58.1,58.1,58.1,58.1,200,200
RETFMID150,20190221,58.8,58.8,58.8,58.8,100,100
RETFMID150,20190222,58.81,59.6,58.81,59.41,10785,10784
RETFMID150,20190225,59.55,59.55,59.55,59.55,141,141
RETFMID150,20190226,69.98,69.98,58.9,59.2,4365,4364
RETFMID150,20190227,59.9,59.9,59.15,59.35,8096,1944
RETFMID150,20190228,59.9,59.9,59.8,59.8,5001,5001
RETFMID150,20190301,60.2,60.65,60.2,60.65,837456,837455
RETFMID150,20190305,61.2,61.6,61.2,61.6,255,255
RETFMID150,20190306,62.45,62.55,62.4,62.4,134051,134051
RETFMID150,20190307,62.3,62.6,62.3,62.4,15352,15352
RETFMID150,20190308,62.25,62.25,62,62,1380,1380
RETFMID150,20190311,62.6,63.28,62.35,63.28,80881,80871
RETFMID150,20190312,63.84,63.9,63.4,63.83,942247,812309
RETFMID150,20190313,63.7,63.75,63,63.38,268541,235541
RETFMID150,20190314,63.62,63.62,63.25,63.36,120055,109555
RETFMID150,20190315,63.75,63.75,63.58,63.72,232587,232587
RETFMID150,20190318,63.72,63.72,63.5,63.5,421,221
RETFMID150,20190319,63.9,63.97,63.47,63.92,49121,49109
RETFMID150,20190320,63.36,63.95,63.36,63.68,82818,81498
RETFMID150,20190322,63.89,63.89,63.45,63.45,200411,0
RETFMID150,20190325,63.45,63.45,62.45,62.66,30345,0
RETFMID150,20190326,63.13,65,62.66,63.27,47650,0
RETFMID150,20190327,61.25,64,61.25,63.91,1115504,0
RETFMID150,20190328,64.1,75.7,64.04,66.82,64508,0
RETFMID150,20190329,65,71.95,63,64.46,27906,0
RETFMID150,20190401,65,65.55,65,65.16,3489,0
RETFMID150,20190402,65,65.5,65,65.36,391785,0
RETFMID150,20190403,65,65.36,64.72,64.72,36172,0
RETFMID150,20190404,64.72,64.72,64.07,64.65,8875,0
RETFMID150,20190405,64.9,64.9,64.76,64.9,34837,0
RETFMID150,20190408,65,65.05,63.95,63.96,28483,0
RETFMID150,20190409,74.75,74.75,63.78,64.6,69604,0
