SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RGL,20190408,308.5,310,304.75,306.85,1898,0
RGL,20190409,309.8,309.8,305.1,306.3,2488,0
RGL,20190410,305.2,308.95,305.1,307.35,1341,0
RGL,20190411,304.05,319.9,304.05,307.25,7032,0
RGL,20190412,307,314.85,305,306.3,11645,0
RGL,20190415,305,308.45,303,304.95,5345,0
RGL,20190416,305.05,310.75,301.25,303.7,9261,0
RGL,20190418,305.25,308,302.5,303.6,7976,0
RGL,20190422,309.85,309.9,298.1,303.4,5650,0
RGL,20190423,303.85,305,302.95,304.1,7704,0
RGL,20190424,308.75,309.5,304.1,306,706,0
RGL,20190425,304.95,305,301.05,303.85,13179,0
RGL,20190426,305.05,306.95,298,302.5,13786,0
RGL,20190430,311,311,302.85,304.75,2432,0
RGL,20190502,303.9,307.15,303.9,306.85,1282,0
RGL,20190503,305.05,305.8,304.1,304.15,1824,0
RGL,20190506,306.9,306.95,302.1,303.5,1037,0
RGL,20190507,303,306.75,297.95,298.7,7489,0
RGL,20190508,296.05,298.65,288.35,289.6,11807,0
RGL,20190509,295.95,297.1,291,292.85,12760,0
RGL,20190510,294.05,296.15,285,291.4,3405,0
RGL,20190513,293.3,294.75,284.75,285.4,1827,0
RGL,20190514,285,291,284,289.15,4734,0
RGL,20190515,285.4,292.7,285.4,287.85,518,0
RGL,20190516,288.05,288.75,284.5,285.95,1689,0
RGL,20190517,285.55,291.95,285.55,291,2947,0
RGL,20190520,293.05,301.55,293,299.9,1496,0
RGL,20190521,297.55,299.5,291.65,292.95,1154,0
RGL,20190522,291.05,296.9,284.2,296.45,3716,0
RGL,20190523,298.95,298.95,291.2,293.2,3178,0
RGL,20190524,293.3,300.75,293.15,299.9,5351,0
RGL,20190527,307.45,329.8,301,308.15,11776,0
RGL,20190528,307.8,312.25,302.35,304.7,11876,0
RGL,20190529,296.4,309.9,290.35,291.6,11388,0
RGL,20190530,291.3,298.4,291.25,294.65,932,0
RGL,20190531,293.05,294,289,289.65,4765,0
RGL,20190603,288.25,294.75,288.25,292,2209,0
RGL,20190604,291.95,293.35,281.25,283.75,13457,0
RGL,20190606,284.1,289.7,284.1,286.55,1912,0
RGL,20190607,288.75,289.8,284.1,286.6,1945,0
RGL,20190610,287.3,289.9,281.7,285.05,2685,0
RGL,20190611,281.25,282,276.05,281.75,7528,0
RGL,20190612,282.05,289.45,282,287.8,307,0
RGL,20190613,278.05,289.95,278,284,727,0
RGL,20190614,284.05,284.05,272.4,274.65,5993,0
RGL,20190617,273.05,285.95,270,272.2,1323,0
RGL,20190618,268,289.8,260.35,271.65,555,0
RGL,20190619,280.8,280.8,272.2,273.85,685,0
RGL,20190620,268.35,277.95,267,269.3,2410,0
RGL,20190621,265,271.95,264,264.9,2159,0
RGL,20190624,264.9,275,264.9,268.05,2100,0
RGL,20190625,268,274.6,266,270.1,514,0
RGL,20190626,267.5,276.55,267.5,270.7,2982,0
RGL,20190627,269.15,275.05,265.4,274.85,1350,0
RGL,20190628,268.5,282.05,268.5,279.75,1066,0
RGL,20190701,271,288.95,271,284.85,499,0
RGL,20190702,277,285.25,277,280.15,1343,0
RGL,20190703,273,283.4,273,279.95,1600,0
RGL,20190704,273,282.95,273,275.8,1096,0
RGL,20190705,271,280,269.95,273.15,1093,0
RGL,20190708,272,276.5,269.25,269.8,6239,0
RGL,20190709,265,284.4,265,274.75,2342,0
RGL,20190710,266.05,275.05,266.05,271.35,5803,0
RGL,20190711,268,277.05,261.1,264.8,5582,0
RGL,20190712,266,273.05,259,259.7,12779,0
RGL,20190715,256.35,274,256,265.25,1796,0
RGL,20190716,258,269,258,265.35,1634,0
RGL,20190717,267,270.75,260.05,270,347,0
RGL,20190718,264,274.85,261.5,263.5,1162,0
RGL,20190719,264,266.4,261.2,263.9,682,0
RGL,20190722,263.9,266,261.55,262.45,1496,0
RGL,20190723,264,267.95,262.7,263.2,1094,0
RGL,20190724,270,270,256,266.3,1157,0
RGL,20190725,261,268.85,260,267.55,559,0
RGL,20190726,259,262,252.35,260.85,1736,0
RGL,20190729,257,263.05,250,250.45,5830,0
RGL,20190730,245,259,245,249.75,2261,0
RGL,20190731,244,253.5,244,246.2,1851,0
RGL,20190801,238,249.9,232.95,237.2,9309,0
RGL,20190802,234,240,220,226.5,5600,0
RGL,20190805,221,230,201,202.55,22459,0
RGL,20190806,204,210,199,203.45,97492,0
RGL,20190807,210.8,215,205.95,214.85,2723,0
RGL,20190808,211,246,210.1,233.55,2006,0
RGL,20190809,239,279,227.35,268.95,13691,0
RGL,20190813,268.95,279.8,256,261.15,4833,0
RGL,20190814,259.7,295,255.05,285.6,8034,0
RGL,20190816,277,283,263.55,275.7,1833,0
RGL,20190819,270,281.95,265.35,280,200,0
RGL,20190820,270,275,266,269.4,529,0
RGL,20190821,263.05,265.05,262,263.05,1180,0
RGL,20190822,280.9,280.9,260,261.6,1146,0
RGL,20190823,263,270,256.55,261.4,1323,0
RGL,20190826,262,275.4,262,263.3,3961,0
RGL,20190827,260.1,263.95,257.1,258.05,1429,0
RGL,20190828,258,258,246,250.6,3840,0
RGL,20190829,252,255,245,246.55,2056,0
RGL,20190830,254.95,255,250,251.4,1579,0
RGL,20190903,246.15,258.95,226.3,251.35,1480,0
RGL,20190904,240,255.05,240,252.25,222,0
RGL,20190905,245.05,262.7,243.5,243.9,4000,0
RGL,20190906,244.55,255,225.6,241.05,4729,0
