SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RHONEPOULN,19941221,411,411,411,411,100,0
RHONEPOULN,19941228,387.5,387.5,387.5,387.5,50,0
RHONEPOULN,19950105,377,377,377,377,100,0
RHONEPOULN,19950216,390,390,390,390,100,0
RHONEPOULN,19950217,390,390,390,390,200,0
RHONEPOULN,19950220,360,360,360,360,100,0
RHONEPOULN,19950223,370,370,370,370,150,0
RHONEPOULN,19950224,360,360,360,360,100,0
RHONEPOULN,19950303,350,350,350,350,50,0
RHONEPOULN,19950307,380,380,380,380,50,0
RHONEPOULN,19950310,380,380,380,380,100,0
RHONEPOULN,19950322,345,345,345,345,50,0
RHONEPOULN,19950327,347,370,347,370,100,0
RHONEPOULN,19950418,340,340,340,340,50,0
RHONEPOULN,19950508,330,330,330,330,50,0
RHONEPOULN,19950509,325,325,325,325,50,0
RHONEPOULN,19950512,310,310,310,310,100,0
RHONEPOULN,19950609,350,350,350,350,100,0
RHONEPOULN,19950612,380,380,310,310,1300,0
RHONEPOULN,19950613,310,320,310,320,250,0
RHONEPOULN,19950619,334,334,334,334,100,0
RHONEPOULN,19950620,330,330,330,330,100,0
RHONEPOULN,19950623,325,325,325,325,50,0
RHONEPOULN,19950705,307,307,307,307,50,0
RHONEPOULN,19950710,320,320,320,320,50,0
RHONEPOULN,19950717,325,325,325,325,50,0
RHONEPOULN,19950718,355,355,355,355,100,0
RHONEPOULN,19950719,366,366,366,366,50,0
RHONEPOULN,19950721,384,385,384,385,200,0
RHONEPOULN,19950725,395,410,395,410,200,0
RHONEPOULN,19950726,401,410,401,409.8,350,0
RHONEPOULN,19950727,410,425,410,425,600,0
RHONEPOULN,19950728,415.05,415.05,415.05,415.05,100,0
RHONEPOULN,19950731,415,430,415,420,200,0
RHONEPOULN,19950801,418,420,418,420,100,0
RHONEPOULN,19950802,420,422.1,420,422,500,0
RHONEPOULN,19950803,420,420,420,420,100,0
RHONEPOULN,19950804,410,410,410,410,50,0
RHONEPOULN,19950808,410,418,410,418,700,0
RHONEPOULN,19950809,415,415,415,415,100,0
RHONEPOULN,19950811,410,410,410,410,200,0
RHONEPOULN,19950814,405,405,405,405,50,0
RHONEPOULN,19950816,415,417.95,415,417.95,100,0
RHONEPOULN,19950818,430,430,430,430,5000,0
RHONEPOULN,19950831,390,397.5,390,397.5,150,0
RHONEPOULN,19950901,396,396,391,391,150,0
RHONEPOULN,19950908,400,400,395.05,395.05,100,0
RHONEPOULN,19950912,401.95,401.95,395,395,100,0
RHONEPOULN,19950913,399.95,399.95,399.95,399.95,50,0
RHONEPOULN,19950914,395,395,395,395,100,0
RHONEPOULN,19950915,386,390,386,390,100,0
RHONEPOULN,19950918,395,400,395,400,150,0
RHONEPOULN,19950919,384,384,384,384,50,0
RHONEPOULN,19950920,390,390,390,390,50,0
RHONEPOULN,19950922,375,375,375,375,50,0
RHONEPOULN,19950928,390,390,390,390,50,0
RHONEPOULN,19950929,386.1,386.1,386.1,386.1,100,0
RHONEPOULN,19951006,390,390,390,390,50,0
RHONEPOULN,19951009,390,390,390,390,100,0
RHONEPOULN,19951010,401,413,401,412.55,450,0
RHONEPOULN,19951011,415,415,410,412,450,0
RHONEPOULN,19951012,412,427,420,425,300,0
RHONEPOULN,19951013,425,425,425,425,100,0
RHONEPOULN,19951016,425,426,425,425,300,0
RHONEPOULN,19951017,428,462,428,440,550,0
RHONEPOULN,19951018,440,459.9,440,459.9,300,0
RHONEPOULN,19951019,445,450,440,450,200,0
RHONEPOULN,19951020,438,440,438,438,150,0
RHONEPOULN,19951023,435,440,435,437.8,250,0
RHONEPOULN,19951030,424,424,424,424,50,0
RHONEPOULN,19951031,414.5,415,414.5,415,850,0
RHONEPOULN,19951101,410,410,410,410,50,0
RHONEPOULN,19951102,410,410,410,410,50,0
RHONEPOULN,19951106,390,400,390,400,100,0
RHONEPOULN,19951109,390,395,390,390,700,0
RHONEPOULN,19951114,370,370,370,370,50,0
RHONEPOULN,19951115,337,337,337,337,100,0
RHONEPOULN,19951116,360,360,359.5,359.5,250,0
RHONEPOULN,19951117,360,365,355,355,150,0
RHONEPOULN,19951121,369,369,369,369,100,0
RHONEPOULN,19951122,355,357,355,357,150,0
RHONEPOULN,19951123,350,350,350,350,450,0
RHONEPOULN,19951124,350,355,350,355,250,0
RHONEPOULN,19951128,355,360,357,360,250,0
RHONEPOULN,19951129,365,365,365,365,100,0
RHONEPOULN,19951130,365,400,365,400,300,0
RHONEPOULN,19951201,402,411,400,411,300,0
RHONEPOULN,19951204,415,415,395,395,100,0
RHONEPOULN,19951205,405,430,405,414.5,750,0
RHONEPOULN,19951206,414.5,425,411.05,420,250,0
RHONEPOULN,19951207,420,434,425,434,250,0
RHONEPOULN,19951208,426.05,431.95,426.05,428.25,250,0
RHONEPOULN,19951211,430,430,420.05,420.05,200,0
RHONEPOULN,19951212,419,419,410,410.05,300,0
RHONEPOULN,19951213,418,425,418,425,300,0
RHONEPOULN,19951214,424,435,424,435,550,0
RHONEPOULN,19951215,450,459.95,450,450,650,0
RHONEPOULN,19951218,435.05,435.05,425,425,450,0
RHONEPOULN,19951219,421,425,411,425,200,0
RHONEPOULN,19951222,425,430,425,430,200,0
RHONEPOULN,19951226,440,440,430,430,250,0
RHONEPOULN,19951227,430,435,430,435,150,0
RHONEPOULN,19951228,431.05,435,431,435,150,0
RHONEPOULN,19960103,435,435,435,435,50,0
RHONEPOULN,19960104,430,430,430,430,100,0
RHONEPOULN,19960105,450,450,450,450,50,0
RHONEPOULN,19960108,430,430,430,430,200,0
RHONEPOULN,19960109,425,425,420.1,425,250,0
RHONEPOULN,19960112,430,430,426,426,100,0
RHONEPOULN,19960115,420,430.05,420,427.5,350,0
RHONEPOULN,19960116,427.5,440,435,435,200,0
RHONEPOULN,19960117,439.95,439.95,435,435,200,0
RHONEPOULN,19960118,423,423,420,420,300,0
RHONEPOULN,19960119,410,415,410,415,250,0
RHONEPOULN,19960122,409,410,409,410,200,0
RHONEPOULN,19960123,410.05,410.05,410.05,410.05,50,0
RHONEPOULN,19960124,410,415,410,415,100,0
RHONEPOULN,19960125,418.9,432,410.05,410.05,250,0
RHONEPOULN,19960130,412,412,406.05,406.05,250,0
RHONEPOULN,19960131,425,425,417,417,150,0
RHONEPOULN,19960201,425,425,425,425,50,0
RHONEPOULN,19960205,420,427,420,427,100,0
RHONEPOULN,19960206,426,426,413,413,300,0
RHONEPOULN,19960207,420,420,420,420,50,0
RHONEPOULN,19960208,438,438,438,438,50,0
RHONEPOULN,19960209,435,435,435,435,50,0
RHONEPOULN,19960212,436.05,442,436.05,442,200,0
RHONEPOULN,19960213,470,470,448.1,448.1,300,0
RHONEPOULN,19960214,450,475,450,475,500,0
RHONEPOULN,19960219,500,500,475,475,100,0
RHONEPOULN,19960220,476,476,465.2,465.2,150,0
RHONEPOULN,19960222,479.85,479.85,470,475,350,0
RHONEPOULN,19960223,475,482,475,480,350,0
RHONEPOULN,19960226,473.05,475,473,475,250,0
RHONEPOULN,19960227,475,490,475,490,400,0
RHONEPOULN,19960307,475,475,475,475,350,0
RHONEPOULN,19960308,474,475,460.05,460.05,200,0
RHONEPOULN,19960312,449.95,504,417,417,400,0
RHONEPOULN,19960318,430,435,430,435,100,0
RHONEPOULN,19960321,420,420,420,420,50,0
RHONEPOULN,19960322,425,425,420.05,420.05,800,0
RHONEPOULN,19960325,422,422,421,421,1050,0
RHONEPOULN,19960326,410.05,417.95,410.05,417.95,100,0
RHONEPOULN,19960329,417.95,445,445,445,100,0
RHONEPOULN,19960402,450,455,450,450,200,0
RHONEPOULN,19960403,450,484,470,483.6,300,0
RHONEPOULN,19960404,464,470,464,470,350,0
RHONEPOULN,19960408,479.95,480,472.1,472.1,400,0
RHONEPOULN,19960409,465,465,465,465,100,0
RHONEPOULN,19960411,459.75,466,459.75,463.95,200,0
RHONEPOULN,19960412,469,470,469,469.35,150,0
RHONEPOULN,19960416,461,461,461,461,150,0
RHONEPOULN,19960417,461,500,480,490,400,0
RHONEPOULN,19960418,500,505,490,490,300,0
RHONEPOULN,19960419,490,500,495,500,800,0
RHONEPOULN,19960423,470,478,470,474,100,0
RHONEPOULN,19960426,460,460,460,460,150,0
RHONEPOULN,19960429,465,469,462,469,300,0
RHONEPOULN,19960430,469,457.05,457.05,457.05,50,0
RHONEPOULN,19960501,457.05,486,470,486,2000,0
RHONEPOULN,19960502,486,490,478,489.35,850,0
RHONEPOULN,19960503,489.35,499.95,490,497.1,1300,0
RHONEPOULN,19960506,497.1,493,479,492,600,0
RHONEPOULN,19960507,492,493,490,490,200,0
RHONEPOULN,19960508,490,504,490,503.9,950,0
RHONEPOULN,19960509,503.9,507,501,501,750,0
RHONEPOULN,19960510,501,499,485.25,499,150,0
RHONEPOULN,19960513,499,532.6,505,523.5,3200,0
RHONEPOULN,19960514,523.5,525,515,524,600,0
RHONEPOULN,19960515,524,524.5,520,524.5,500,0
RHONEPOULN,19960516,538.75,554,528,540.5,1250,0
RHONEPOULN,19960517,540.5,582.9,561,566,2150,0
RHONEPOULN,19960520,566,560,540,540,550,0
RHONEPOULN,19960521,540,546.9,530,530.1,1050,0
RHONEPOULN,19960522,530.1,544.95,534.05,534.05,100,0
RHONEPOULN,19960523,534.05,525,501,524.25,400,0
RHONEPOULN,19960524,524.25,530,518,530,550,0
RHONEPOULN,19960527,520.5,520.5,520,520,150,0
RHONEPOULN,19960528,520,530,517,530,300,0
RHONEPOULN,19960529,530,563,530,563,350,0
RHONEPOULN,19960530,563,560,550,550,350,0
RHONEPOULN,19960531,550,555,554,555,200,0
RHONEPOULN,19960603,555,576,560,572.5,750,0
RHONEPOULN,19960604,572.5,626,600,620.7,1700,0
RHONEPOULN,19960605,615.5,622,615,616.55,1300,0
RHONEPOULN,19960606,620,630,611.75,621.35,700,0
RHONEPOULN,19960607,617.5,617.5,617.5,617.5,50,0
RHONEPOULN,19960610,620,630,620,625.05,800,0
RHONEPOULN,19960611,630,630,600,603.65,600,0
RHONEPOULN,19960612,644.7,644.7,615,615,5050,0
RHONEPOULN,19960613,610,615,606,615,450,0
RHONEPOULN,19960614,610,630,610,630,1050,0
RHONEPOULN,19960617,627.5,627.5,621,621,550,0
RHONEPOULN,19960618,600,615,600,615,350,0
RHONEPOULN,19960619,613,615,610,615,450,0
RHONEPOULN,19960620,605,610,603,610,250,0
RHONEPOULN,19960621,610,610,605,605.05,400,0
RHONEPOULN,19960624,590,590,588,588,150,0
RHONEPOULN,19960625,600,615,600,610.7,1000,0
RHONEPOULN,19960626,620,620,611,615,300,0
RHONEPOULN,19960627,615,615,615,615,100,0
RHONEPOULN,19960628,619.95,620,617,619,200,0
RHONEPOULN,19960701,615,616,608,613.25,750,0
RHONEPOULN,19960702,605,620,605,615.5,350,0
RHONEPOULN,19960703,614,615,611,611.35,350,0
RHONEPOULN,19960704,600,614,600,614,200,0
RHONEPOULN,19960705,622,622.5,617.05,617.05,200,0
RHONEPOULN,19960708,618,624,618,624,200,0
RHONEPOULN,19960709,620,622,615,619,700,0
RHONEPOULN,19960710,619,619,610,617.75,250,0
RHONEPOULN,19960711,615,621,615,621,250,0
RHONEPOULN,19960712,620,624,620,620,250,0
RHONEPOULN,19960715,620,620,616,618,500,0
RHONEPOULN,19960716,624.5,624.5,620.05,620.05,450,0
RHONEPOULN,19960717,637,650,637,638.5,950,0
RHONEPOULN,19960718,645,655,644.5,650.25,1650,0
RHONEPOULN,19960719,645.5,660,645,650,800,0
RHONEPOULN,19960722,665,665,665,665,100,0
RHONEPOULN,19960723,660,660.5,650,657,800,0
RHONEPOULN,19960724,657,657,645.05,645.05,650,0
RHONEPOULN,19960725,650,650,642,642,150,0
RHONEPOULN,19960726,635.5,642,635.5,642,250,0
RHONEPOULN,19960729,638,638,625,625.35,400,0
RHONEPOULN,19960730,620,620,610,614.5,700,0
RHONEPOULN,19960731,610,615,610,615,550,0
RHONEPOULN,19960801,620,620,620,620,100,0
RHONEPOULN,19960802,620,685,620,685,1400,0
RHONEPOULN,19960805,685,690,678,679,700,0
RHONEPOULN,19960806,665,690,665,689.3,1600,0
RHONEPOULN,19960807,700.05,735,700,719.8,2200,0
RHONEPOULN,19960808,715,735,715,720,2700,0
RHONEPOULN,19960809,705,714,700,713.25,1100,0
RHONEPOULN,19960812,714.5,714.5,705,705,200,0
RHONEPOULN,19960813,703,703,681.1,686.85,1550,0
RHONEPOULN,19960814,684,697,681.15,697,1600,0
RHONEPOULN,19960816,690,693.25,687.05,691.75,1500,0
RHONEPOULN,19960819,690,700,687,690,2150,0
RHONEPOULN,19960820,690,693,668,674.9,2250,0
RHONEPOULN,19960821,658.05,679,655,675.85,1500,0
RHONEPOULN,19960822,663,663,663,663,50,0
RHONEPOULN,19960823,660,670,660,670,600,0
RHONEPOULN,19960826,670,670,669,670,450,0
RHONEPOULN,19960827,667.6,679.45,667.6,673.4,1000,0
RHONEPOULN,19960828,671,676,670,675,250,0
RHONEPOULN,19960829,678,678,678,678,50,0
RHONEPOULN,19960830,670,670,668,668,150,0
RHONEPOULN,19960902,670,679,670,670,150,0
RHONEPOULN,19960903,669.6,669.6,635,640,800,0
RHONEPOULN,19960904,630,630,617,617,550,0
RHONEPOULN,19960905,626,626,626,626,100,0
RHONEPOULN,19960906,629.95,630,629.95,630,100,0
RHONEPOULN,19960909,612.05,612.05,611.1,611.85,250,0
RHONEPOULN,19960910,596.05,596.05,590,590.05,500,0
RHONEPOULN,19960913,587.1,589,587.1,587.15,200,0
RHONEPOULN,19960916,575,575,575,575,50,0
RHONEPOULN,19960917,552.05,559,550,553.7,300,0
RHONEPOULN,19960918,571.95,590,560.35,585,450,0
RHONEPOULN,19960919,600,600,585,597.95,300,0
RHONEPOULN,19960920,591.05,599.9,591,599.9,250,0
RHONEPOULN,19960923,582,582,580.05,580.05,100,0
RHONEPOULN,19960924,570,590,570,590,200,0
RHONEPOULN,19960925,580,595,580,594.15,1250,0
RHONEPOULN,19960926,585.35,593,585.35,593,1250,0
RHONEPOULN,19960927,588.85,592,588.85,590.25,300,0
RHONEPOULN,19960930,580.05,599.75,580,599.75,600,0
RHONEPOULN,19961001,589,590,580,583.1,700,0
RHONEPOULN,19961003,581,582.05,570,570,1450,0
RHONEPOULN,19961004,570,570,566.5,566.5,500,0
RHONEPOULN,19961007,555,560,550,554.3,2800,0
RHONEPOULN,19961008,547,550,540.5,540.75,750,0
RHONEPOULN,19961009,543,545,543,545,250,0
RHONEPOULN,19961011,555,555,555,555,50,0
RHONEPOULN,19961015,543.5,543.5,520.25,520.25,300,0
RHONEPOULN,19961016,545,545,545,545,50,0
RHONEPOULN,19961017,530,530,529,529,250,0
RHONEPOULN,19961018,535,535,518.5,518.5,300,0
RHONEPOULN,19961022,540,550,521,522.05,650,0
RHONEPOULN,19961023,543,555,542,553.95,1300,0
RHONEPOULN,19961024,550,563,550,555,550,0
RHONEPOULN,19961025,549,549,538,538,200,0
RHONEPOULN,19961028,555,555,544,544,150,0
RHONEPOULN,19961029,546,555,545,548,750,0
RHONEPOULN,19961031,560,586,560,575,450,0
RHONEPOULN,19961101,580,601,580,589.75,1200,0
RHONEPOULN,19961104,581,585,581,583.5,150,0
RHONEPOULN,19961105,587,587,561.6,562.7,350,0
RHONEPOULN,19961106,575,578,575,575,650,0
RHONEPOULN,19961110,575,575,575,575,50,0
RHONEPOULN,19961111,578,578,560.05,562.15,500,0
RHONEPOULN,19961113,570,582,570,582,350,0
RHONEPOULN,19961114,572.5,575,572,575,200,0
RHONEPOULN,19961115,575.05,580,575,580,450,0
RHONEPOULN,19961118,580,607,580,600,850,0
RHONEPOULN,19961119,600,600,580,580,1200,0
RHONEPOULN,19961120,592.9,600,592.9,597.5,1000,0
RHONEPOULN,19961121,600,605,595,595,800,0
RHONEPOULN,19961122,592.25,592.25,591.25,591.25,400,0
RHONEPOULN,19961125,577.95,584,577.95,584,300,0
RHONEPOULN,19961126,574.05,574.05,571,571,400,0
RHONEPOULN,19961127,565.5,568,565,567.5,350,0
RHONEPOULN,19961128,554.5,554.5,550,550,550,0
RHONEPOULN,19961129,551.35,555,551.35,551.75,250,0
RHONEPOULN,19961202,555,555,555,555,50,0
RHONEPOULN,19961203,540.25,545,532.05,532.05,650,0
RHONEPOULN,19961204,530,543.25,528,540,900,0
RHONEPOULN,19961205,540,553.5,540,550,350,0
RHONEPOULN,19961206,545,545,545,545,50,0
RHONEPOULN,19961209,555,565,555,565,500,0
RHONEPOULN,19961210,560,564.95,557,559.2,750,0
RHONEPOULN,19961211,570,575,570,573.35,150,0
RHONEPOULN,19961212,581,581,581,581,50,0
RHONEPOULN,19961213,592.5,592.5,592.5,592.5,50,0
RHONEPOULN,19961216,599,599,596,598,200,0
RHONEPOULN,19961217,595,597,590,590,250,0
RHONEPOULN,19961218,596.75,610,596.75,608,700,0
RHONEPOULN,19961219,606,608,605,605.1,650,0
RHONEPOULN,19961220,614.5,630,614.5,622.5,5400,0
RHONEPOULN,19961223,626,626,625,625,150,0
RHONEPOULN,19961224,620,624.75,620,624.5,150,0
RHONEPOULN,19961226,630,633.5,626,633.5,500,0
RHONEPOULN,19961231,629,629,616.1,616.1,300,0
RHONEPOULN,19970101,633,659,633,648.65,5850,0
RHONEPOULN,19970102,668,670,655,655,550,0
RHONEPOULN,19970103,656,656,650,651.7,200,0
RHONEPOULN,19970106,659,661.05,659,661.05,500,0
RHONEPOULN,19970107,660.5,670.05,660,670.05,400,0
RHONEPOULN,19970108,683,694,682,694,300,0
RHONEPOULN,19970109,715,715,715,715,50,0
RHONEPOULN,19970110,716,716,695,695,400,0
RHONEPOULN,19970113,710,710,710,710,150,0
RHONEPOULN,19970114,710,714,701,701,600,0
RHONEPOULN,19970115,715,715,704.2,712.05,700,0
RHONEPOULN,19970116,708,708,682.05,684.8,800,0
RHONEPOULN,19970117,665.5,666,660,666,250,0
RHONEPOULN,19970120,651,655,647.05,649.9,500,0
RHONEPOULN,19970121,640,644,630,635.4,800,0
RHONEPOULN,19970122,621.5,650,621.5,650,100,0
RHONEPOULN,19970127,650,651,650,651,100,0
RHONEPOULN,19970128,664.9,664.9,657.25,657.25,100,0
RHONEPOULN,19970129,675,675,665,668,350,0
RHONEPOULN,19970130,674,674,674,674,100,0
RHONEPOULN,19970131,655,655,655,655,100,0
RHONEPOULN,19970203,631.1,633,631.1,632.5,150,0
RHONEPOULN,19970204,633,641.85,633,639.6,250,0
RHONEPOULN,19970206,645,645,645,645,100,0
RHONEPOULN,19970207,636,636,631,631,250,0
RHONEPOULN,19970211,632,635,632,634.75,200,0
RHONEPOULN,19970212,630,633,625,626.5,550,0
RHONEPOULN,19970214,620.25,620.25,620,620.05,200,0
RHONEPOULN,19970217,615,620,608.4,608.4,450,0
RHONEPOULN,19970218,605,615,605,615,350,0
RHONEPOULN,19970219,606,606,590,591.55,650,0
RHONEPOULN,19970220,580.25,580.25,552,564.5,1000,0
RHONEPOULN,19970221,560,565,556,564.25,500,0
RHONEPOULN,19970224,525,530,525,529.95,550,0
RHONEPOULN,19970225,518,522.85,495.1,513.7,1100,0
RHONEPOULN,19970226,520,528.75,515,525.4,1750,0
RHONEPOULN,19970227,533,562.15,530,562.15,1000,0
RHONEPOULN,19970228,605,605,590,597.5,300,0
RHONEPOULN,19970301,638.95,638.95,610,621,600,0
RHONEPOULN,19970303,620,650,620,639.75,1600,0
RHONEPOULN,19970304,630,635,625,628.95,1150,0
RHONEPOULN,19970305,626,626,624.95,625,250,0
RHONEPOULN,19970306,606.05,615,606,613,500,0
RHONEPOULN,19970310,600,600,585,585,500,0
RHONEPOULN,19970311,570,575,560,571.65,650,0
RHONEPOULN,19970312,570,570,560.05,570,650,0
RHONEPOULN,19970313,565,565,560,560,450,0
RHONEPOULN,19970314,560,562,555,562,450,0
RHONEPOULN,19970317,566,567,562,562.1,350,0
RHONEPOULN,19970318,561,573,561,565.5,1250,0
RHONEPOULN,19970319,575,585,575,580.5,450,0
RHONEPOULN,19970320,593,609.95,591.4,609.85,650,0
RHONEPOULN,19970321,625,645.5,623,624.15,1250,0
RHONEPOULN,19970325,621,622,591.1,598.35,850,0
RHONEPOULN,19970326,600,600,591,595,400,0
RHONEPOULN,19970327,599.75,601.95,599.75,601.95,350,0
RHONEPOULN,19970331,560,574,559.85,560.85,850,0
RHONEPOULN,19970401,570,600,546,585.65,3550,0
RHONEPOULN,19970402,601,617,595.05,602.4,2250,0
RHONEPOULN,19970403,606.2,608,603.1,605,1000,0
RHONEPOULN,19970404,603.5,603.5,592.1,596,700,0
RHONEPOULN,19970407,594,594,590,590,400,0
RHONEPOULN,19970409,593,609.7,593,608.35,1400,0
RHONEPOULN,19970410,604.5,604.5,595,595,650,0
RHONEPOULN,19970411,590,600,588.5,598.6,1200,0
RHONEPOULN,19970412,589.5,595,585,595,600,0
RHONEPOULN,19970415,591.5,594,590.5,594,350,0
RHONEPOULN,19970417,597.7,611.7,597.7,611.7,550,0
RHONEPOULN,19970421,616,616,605,610,300,0
RHONEPOULN,19970422,600.5,600.5,600,600,150,0
RHONEPOULN,19970423,604,604.95,600,600,450,0
RHONEPOULN,19970424,603,604.9,600,600,750,0
RHONEPOULN,19970425,601.95,602.5,601.5,601.95,250,0
RHONEPOULN,19970428,600,600.05,596.6,596.6,1050,0
RHONEPOULN,19970429,597,597.9,575.05,578.4,1200,0
RHONEPOULN,19970430,600,600,595,595,400,0
RHONEPOULN,19970502,599,604.9,595,601.2,500,0
RHONEPOULN,19970505,610,617,607,610.7,450,0
RHONEPOULN,19970506,610,610,602.25,602.25,350,0
RHONEPOULN,19970507,605,610,605,605,450,0
RHONEPOULN,19970508,603.35,610,603.35,610,150,0
RHONEPOULN,19970509,605,615,605,606,500,0
RHONEPOULN,19970512,605,610,605,607.65,500,0
RHONEPOULN,19970513,609,615,609,610.85,750,0
RHONEPOULN,19970514,620,620,609,610,450,0
RHONEPOULN,19970515,620,630,616.25,627.95,1150,0
RHONEPOULN,19970516,625,671,625,671,1450,0
RHONEPOULN,19970519,699,699,670,670,750,0
RHONEPOULN,19970520,660,660,650,653.4,550,0
RHONEPOULN,19970521,650.05,699,622,628,3250,0
RHONEPOULN,19970522,650,664,631,634.35,750,0
RHONEPOULN,19970523,628,632.35,618,619.4,750,0
RHONEPOULN,19970526,617,617,613.6,614.3,150,0
RHONEPOULN,19970527,620,634,620,627.65,1200,0
RHONEPOULN,19970528,625,634.9,625,634.9,100,0
RHONEPOULN,19970529,625,625,622,622,250,0
RHONEPOULN,19970530,632,635,627,627,150,0
RHONEPOULN,19970603,627.05,627.05,610,611.55,1200,0
RHONEPOULN,19970604,624,624,624,624,50,0
RHONEPOULN,19970605,620,621,620,621,250,0
RHONEPOULN,19970606,629,639,611,613.15,1100,0
RHONEPOULN,19970609,591,610,590,601,350,0
RHONEPOULN,19970610,600,604.9,600,604,200,0
RHONEPOULN,19970611,600.6,617.95,600.5,617.95,400,0
RHONEPOULN,19970612,610,610,598,598.45,1500,0
RHONEPOULN,19970613,599.5,605.7,599.5,603,1000,0
RHONEPOULN,19970616,592,600,592,596.55,300,0
RHONEPOULN,19970617,582,582,562.1,562.45,2100,0
RHONEPOULN,19970618,593,600,588,588,1050,0
RHONEPOULN,19970619,589,589,568,568,1000,0
RHONEPOULN,19970620,584,585,570,570,550,0
RHONEPOULN,19970623,573,580,570,570,800,0
RHONEPOULN,19970624,570.05,570.05,540,552.5,3150,0
RHONEPOULN,19970625,565,565,556,560,1300,0
RHONEPOULN,19970626,560,560,554,554,700,0
RHONEPOULN,19970627,550,550,546,546,600,0
RHONEPOULN,19970630,540,573.45,540,570,800,0
RHONEPOULN,19970701,572,595,557,568.05,1700,0
RHONEPOULN,19970702,589,600,565,575,3200,0
RHONEPOULN,19970703,585,585,575,575,1400,0
RHONEPOULN,19970704,585,585,540,567.2,4000,0
RHONEPOULN,19970707,568,594,565,569.45,6150,0
RHONEPOULN,19970708,576,589,566,584.35,2850,0
RHONEPOULN,19970709,595,619,595,614.7,19750,0
RHONEPOULN,19970710,624,648,615,618.55,21850,0
RHONEPOULN,19970711,610,610,590,598,2800,0
RHONEPOULN,19970714,594,605,581,583.5,3050,0
RHONEPOULN,19970715,589.7,591,561,564.95,18150,0
RHONEPOULN,19970716,589,597,575.25,580,2850,0
RHONEPOULN,19970717,577,577,562,570.25,4000,0
RHONEPOULN,19970721,580,598,570.1,574.55,4250,0
RHONEPOULN,19970722,579.9,586.5,575,578.4,6750,0
RHONEPOULN,19970723,616,618.5,608,617.35,43150,0
RHONEPOULN,19970724,620,632,616,620.7,29950,0
RHONEPOULN,19970725,615.5,620.95,615.5,620.45,3650,0
RHONEPOULN,19970728,623.5,628.5,620,625.8,3350,0
RHONEPOULN,19970729,625.5,631,621,630,8850,0
RHONEPOULN,19970730,634.9,646.95,631,632.2,7550,0
RHONEPOULN,19970731,636.75,645,631.75,642.8,8850,0
RHONEPOULN,19970801,652,677,647.9,674.7,13700,0
RHONEPOULN,19970804,685,705,682,684.9,15350,0
