SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RITCO,20220412,118.75,118.75,118.75,118.75,16155,0
RITCO,20220413,124.65,124.65,124.65,124.65,21410,0
RITCO,20220418,130.85,130.85,118.5,130,400462,0
RITCO,20220419,134.6,136.5,129,135.9,289553,0
RITCO,20220420,142.65,142.65,129.15,129.55,226290,0
RITCO,20220421,129.9,134,123.1,128.6,125146,0
RITCO,20220422,132.7,135,125,128.3,94436,0
RITCO,20220425,128.3,128.3,121.9,121.9,28352,0
RITCO,20220426,126,127.95,115.85,127.95,49877,0
RITCO,20220427,134.3,134.3,121.6,134.25,134382,0
RITCO,20220428,136.95,140.95,134.5,140.95,87729,0
RITCO,20220429,144,147.95,135.35,147.55,135873,0
RITCO,20220502,152,154.9,140.2,153.05,121974,0
RITCO,20220504,160.7,160.7,145.4,145.4,76000,0
RITCO,20220505,138.15,144.95,138.15,138.15,49386,0
RITCO,20220506,131.25,145.05,131.25,135.55,119247,0
RITCO,20220509,135,139.45,129,136.85,38985,0
RITCO,20220510,137,137,130.05,130.05,15771,0
RITCO,20220511,127.05,135.8,123.55,123.6,70572,0
RITCO,20220512,126.5,126.5,117.45,118.2,53258,0
RITCO,20220513,123.5,124.1,115,124.1,27521,0
RITCO,20220516,126.5,130.3,120.35,130.3,20807,0
RITCO,20220517,136,136,124.85,127.3,26798,0
RITCO,20220518,130,133.65,123.05,133.65,155591,0
RITCO,20220519,133.05,133.05,127,127.95,16062,0
