SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ROTO,20220421,463.9,464,435.1,450.7,61128,0
ROTO,20220422,441,457.8,425.05,432.7,35503,0
ROTO,20220425,437,449,421.4,425.95,14042,0
ROTO,20220426,441,441,413.1,418,16406,0
ROTO,20220427,418,429.7,405,424.75,15944,0
ROTO,20220428,439.8,469,426.25,436.6,133586,0
ROTO,20220429,444,446.9,420,422.55,18837,0
ROTO,20220502,430,436.45,415.55,419,16007,0
ROTO,20220504,420,437.8,410.95,417.2,59994,0
ROTO,20220505,420,426.65,409.9,413.85,6506,0
ROTO,20220506,398.15,431.95,397.3,426.55,33800,0
ROTO,20220509,430,434.8,414.9,430.15,27170,0
ROTO,20220510,433.25,441.85,410,412.4,39952,0
ROTO,20220511,412.05,419.9,390.45,414.9,24565,0
ROTO,20220512,415,416.45,396,408.45,27361,0
ROTO,20220513,418.45,429.05,410.45,413.45,15478,0
ROTO,20220516,416,436.8,416,431.25,34351,0
ROTO,20220517,436.25,446,435.25,437.45,14291,0
ROTO,20220518,439.45,447.45,431,435.55,11699,0
ROTO,20220519,434.8,486.15,420.9,463.3,206439,0
