SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RUCHISTRIP,19950510,12,12,12,12,700,0
RUCHISTRIP,19950512,12,12,12,12,200,0
RUCHISTRIP,19950516,11,11,11,11,100,0
RUCHISTRIP,19950517,10.95,11,10,10.15,1800,0
RUCHISTRIP,19950519,10.75,10.75,10.75,10.75,1300,0
RUCHISTRIP,19950522,10.25,10.25,10.25,10.25,300,0
RUCHISTRIP,19950525,10.3,10.3,10.3,10.3,100,0
RUCHISTRIP,19950526,10.25,10.25,10.25,10.25,500,0
RUCHISTRIP,19950529,10.25,10.25,10.25,10.25,200,0
RUCHISTRIP,19950530,10.5,10.5,10.5,10.5,200,0
RUCHISTRIP,19950607,12,12,12,12,1000,0
RUCHISTRIP,19950608,11.8,11.8,11.55,11.55,1300,0
RUCHISTRIP,19950609,11.5,11.5,11.5,11.5,1000,0
RUCHISTRIP,19950612,12,12,12,12,400,0
RUCHISTRIP,19950613,11.75,12.45,11.75,12.45,900,0
RUCHISTRIP,19950614,12,12.25,12,12,2700,0
RUCHISTRIP,19950615,11.5,11.5,11.25,11.25,700,0
RUCHISTRIP,19950616,11.5,11.5,11.5,11.5,200,0
RUCHISTRIP,19950620,12,12,12,12,500,0
RUCHISTRIP,19950621,11.05,11.1,11.05,11.1,200,0
RUCHISTRIP,19950622,11.5,11.5,11.05,11.05,900,0
RUCHISTRIP,19950628,10,10,10,10,700,0
RUCHISTRIP,19950629,10.05,10.7,10.05,10.7,600,0
RUCHISTRIP,19950630,10.25,10.25,10,10,1700,0
RUCHISTRIP,19950703,10,10,10,10,700,0
RUCHISTRIP,19950704,10,10,10,10,500,0
RUCHISTRIP,19950706,9.25,9.25,9.25,9.25,500,0
RUCHISTRIP,19950707,9.25,9.25,9.25,9.25,800,0
RUCHISTRIP,19950712,10,10,10,10,500,0
RUCHISTRIP,19950714,10,10,10,10,200,0
RUCHISTRIP,19950717,9.95,9.95,9.95,9.95,700,0
RUCHISTRIP,19950718,10.25,10.25,10,10.25,1200,0
RUCHISTRIP,19950719,10.75,10.75,10.5,10.5,1500,0
RUCHISTRIP,19950720,10.5,10.75,10,10,13700,0
RUCHISTRIP,19950721,10.1,10.1,10,10,7000,0
RUCHISTRIP,19950724,10,10,10,10,1000,0
RUCHISTRIP,19950725,10,10,10,10,4200,0
RUCHISTRIP,19950726,10.5,10.5,10.5,10.5,500,0
RUCHISTRIP,19950727,10.5,10.5,10.25,10.25,1300,0
RUCHISTRIP,19950728,10.15,10.15,9.7,9.7,700,0
RUCHISTRIP,19950731,9.6,9.6,9.6,9.6,200,0
RUCHISTRIP,19950801,9.7,10.25,9.6,9.7,1100,0
RUCHISTRIP,19950809,9.5,9.5,9.5,9.5,600,0
RUCHISTRIP,19950811,9.8,9.8,9.8,9.8,100,0
RUCHISTRIP,19950818,9.5,9.5,9.5,9.5,100,0
RUCHISTRIP,19950822,9.5,9.5,9.5,9.5,200,0
RUCHISTRIP,19950823,9.5,9.5,9.5,9.5,500,0
RUCHISTRIP,19950825,9.45,9.5,9,9.25,1100,0
RUCHISTRIP,19950828,9.9,9.9,9.9,9.9,200,0
RUCHISTRIP,19950831,9,9,9,9,200,0
RUCHISTRIP,19950905,9,9,9,9,1300,0
RUCHISTRIP,19950906,9,9,8,8,1400,0
RUCHISTRIP,19950907,8.5,8.5,8.5,8.5,300,0
RUCHISTRIP,19950908,8.5,8.5,8.05,8.05,1000,0
RUCHISTRIP,19950911,8,8,8,8,1600,0
RUCHISTRIP,19950912,8,9,8,8.05,1400,0
RUCHISTRIP,19950919,8,8,8,8,100,0
RUCHISTRIP,19950926,9,9,9,9,1700,0
RUCHISTRIP,19950927,9,9,9,9,200,0
RUCHISTRIP,19950928,9,9,9,9,300,0
RUCHISTRIP,19950929,8.75,8.75,8.75,8.75,900,0
RUCHISTRIP,19951005,9,9,9,9,100,0
RUCHISTRIP,19951006,9,9.5,7,9.5,1500,0
RUCHISTRIP,19951009,8.9,8.9,8.9,8.9,200,0
RUCHISTRIP,19951010,8.9,8.9,8.9,8.9,200,0
RUCHISTRIP,19951011,8.9,9,8.9,9,300,0
RUCHISTRIP,19951012,9,9,9,9,600,0
RUCHISTRIP,19951013,9,9,9,9,700,0
RUCHISTRIP,19951016,9,8.1,8.1,8.1,100,0
RUCHISTRIP,19951017,8.25,9,8.25,8.9,1000,0
RUCHISTRIP,19951030,9,9,9,9,500,0
RUCHISTRIP,19951031,8.5,8.5,8.5,8.5,200,0
RUCHISTRIP,19951103,8.5,8.5,8.5,8.5,200,0
RUCHISTRIP,19951107,9,9,9,9,100,0
RUCHISTRIP,19951113,8.5,8.5,8.5,8.5,100,0
RUCHISTRIP,19951114,7.7,7.7,7.7,7.7,200,0
RUCHISTRIP,19951115,7.5,7.5,7.5,7.5,500,0
RUCHISTRIP,19951116,7.5,7.5,7.5,7.5,400,0
RUCHISTRIP,19951117,7.25,7.25,7.25,7.25,1300,0
RUCHISTRIP,19951120,7.25,7.25,6.75,6.75,1800,0
RUCHISTRIP,19951121,7,7,6.75,7,4800,0
RUCHISTRIP,19951122,7,7,6.75,6.75,1800,0
RUCHISTRIP,19951123,6.75,6.75,6.75,6.75,200,0
RUCHISTRIP,19951124,7,7,7,7,1900,0
RUCHISTRIP,19951127,7.5,7.5,7.5,7.5,500,0
RUCHISTRIP,19951128,7,7,6.75,6.75,600,0
RUCHISTRIP,19951129,6.75,6.75,6.75,6.75,400,0
RUCHISTRIP,19951130,7,7.25,7,7.25,1900,0
RUCHISTRIP,19951201,7,7.25,7,7.25,1700,0
RUCHISTRIP,19951204,7.4,7.4,7.4,7.4,200,0
RUCHISTRIP,19951205,7,7,7,7,2000,0
RUCHISTRIP,19951206,7,7.5,7.25,7.5,700,0
RUCHISTRIP,19951207,7.5,7.5,7.5,7.5,1100,0
RUCHISTRIP,19951208,7.25,7.25,7,7,400,0
RUCHISTRIP,19951211,7,7.25,7,7.25,1700,0
RUCHISTRIP,19951212,7.25,7.25,7,7,2300,0
RUCHISTRIP,19951213,7,7,6.8,7,500,0
RUCHISTRIP,19951214,6.8,7.2,6.8,7.2,1100,0
RUCHISTRIP,19951215,6.7,6.7,6.7,6.7,200,0
RUCHISTRIP,19951218,6.7,6.95,6.7,6.75,400,0
RUCHISTRIP,19951219,6.85,6.85,6.8,6.8,900,0
RUCHISTRIP,19951220,7,7,7,7,200,0
RUCHISTRIP,19951221,7.1,7.1,6.5,6.5,2600,0
RUCHISTRIP,19951222,6.4,6.4,6,6,1800,0
RUCHISTRIP,19951226,6.05,6.05,5.8,6,2600,0
RUCHISTRIP,19951227,6,6.5,6,6.5,1300,0
RUCHISTRIP,19951228,6.4,7,6.4,7,900,0
RUCHISTRIP,19951229,6.75,6.8,6.55,6.8,2100,0
RUCHISTRIP,19960101,6.9,6.9,6.55,6.55,700,0
RUCHISTRIP,19960102,6.75,6.75,6.25,6.3,4100,0
RUCHISTRIP,19960103,6.75,6.75,6.5,6.55,2600,0
RUCHISTRIP,19960104,6.4,6.95,6.4,6.95,1200,0
RUCHISTRIP,19960108,6.45,6.45,6.45,6.45,500,0
RUCHISTRIP,19960109,6.5,6.5,6.25,6.4,2900,0
RUCHISTRIP,19960110,6.25,6.25,6.25,6.25,500,0
RUCHISTRIP,19960111,6.25,6.45,6.25,6.25,1000,0
RUCHISTRIP,19960112,6.25,6.4,6.4,6.4,500,0
RUCHISTRIP,19960115,6.3,7,6.25,7,2100,0
RUCHISTRIP,19960116,6.5,6.5,6.5,6.5,500,0
RUCHISTRIP,19960117,6,6.5,6,6.4,400,0
RUCHISTRIP,19960118,6,6,6,6,200,0
RUCHISTRIP,19960119,6.05,6.05,5.5,5.5,1900,0
RUCHISTRIP,19960122,5.75,5.75,5.6,5.6,500,0
RUCHISTRIP,19960123,5.85,5.95,5.8,5.9,900,0
RUCHISTRIP,19960124,5.7,5.7,5.7,5.7,600,0
RUCHISTRIP,19960125,5.4,5.8,5.4,5.8,400,0
RUCHISTRIP,19960129,5.95,6,5.7,5.7,900,0
RUCHISTRIP,19960130,5.7,5.75,5.7,5.75,400,0
RUCHISTRIP,19960131,5.75,5.75,5.75,5.75,100,0
RUCHISTRIP,19960201,5.85,5.85,5.8,5.8,300,0
RUCHISTRIP,19960202,5.8,5.8,5.8,5.8,1000,0
RUCHISTRIP,19960205,6.25,6.3,6.25,6.3,2800,0
RUCHISTRIP,19960206,6.3,6.3,5.8,5.9,4600,0
RUCHISTRIP,19960207,6.1,6.1,5.8,5.8,900,0
RUCHISTRIP,19960208,5.8,6,5.8,6,1400,0
RUCHISTRIP,19960209,6,6.1,6,6.1,1700,0
RUCHISTRIP,19960212,6.25,6.25,6,6,16400,0
