SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
RUSHABEAR,19970203,26,26,26,26,100,0
RUSHABEAR,19970204,28,28,28,28,800,0
RUSHABEAR,19970205,30.8,30.8,30.8,30.8,200,0
RUSHABEAR,19970206,31,31,30.5,30.5,800,0
RUSHABEAR,19970207,28.5,28.5,28,28.25,400,0
RUSHABEAR,19970210,28,30,28,28,500,0
RUSHABEAR,19970211,30,30.25,30,30.25,400,0
RUSHABEAR,19970212,30.6,31,30.55,31,1200,0
RUSHABEAR,19970213,32.5,32.5,30,30.2,800,0
RUSHABEAR,19970214,29.25,29.25,29,29,300,0
RUSHABEAR,19970217,28,28,27,27,400,0
RUSHABEAR,19970218,27,27,27,27,100,0
RUSHABEAR,19970219,26.25,26.25,26.1,26.1,200,0
RUSHABEAR,19970221,25.1,25.5,25,25.5,600,0
RUSHABEAR,19970224,23,23,23,23,700,0
RUSHABEAR,19970225,22,22,20.7,20.75,1200,0
RUSHABEAR,19970226,20.05,20.5,18.75,18.75,4100,0
RUSHABEAR,19970227,18.75,20,18.2,18.2,1700,0
RUSHABEAR,19970303,19.8,19.8,19.8,19.8,100,0
RUSHABEAR,19970304,20,21,19.75,19.75,3100,0
RUSHABEAR,19970305,21,21,20,20,3200,0
RUSHABEAR,19970306,20.5,21,20,20,2400,0
RUSHABEAR,19970311,18.05,18.05,18,18,700,0
RUSHABEAR,19970313,17.5,17.5,17,17,700,0
RUSHABEAR,19970314,17,17,17,17,200,0
RUSHABEAR,19970321,16.75,17.5,16.75,17,22000,0
RUSHABEAR,19970325,16,17,15.5,16.5,19100,0
RUSHABEAR,19970326,16,16.9,15,15,3800,0
RUSHABEAR,19970327,15.95,15.95,14,15.15,300,0
RUSHABEAR,19970331,14.15,16.5,14,16.5,12300,0
RUSHABEAR,19970401,15.35,15.35,15.35,15.35,100,0
RUSHABEAR,19970403,14,14.6,14,14.6,600,0
RUSHABEAR,19970404,14,14,14,14,300,0
RUSHABEAR,19970407,13,13,13,13,800,0
RUSHABEAR,19970409,13.5,13.5,13.2,13.2,300,0
RUSHABEAR,19970410,12.75,12.75,12.2,12.2,600,0
RUSHABEAR,19970411,12.15,12.15,12.15,12.15,100,0
RUSHABEAR,19970412,12.5,12.5,12.5,12.5,500,0
RUSHABEAR,19970421,13,13,13,13,500,0
RUSHABEAR,19970422,11.75,11.75,11.75,11.75,1000,0
RUSHABEAR,19970423,12,12,12,12,200,0
RUSHABEAR,19970425,12,12,12,12,1500,0
RUSHABEAR,19970505,12,12,12,12,200,0
RUSHABEAR,19970506,12,12,12,12,100,0
RUSHABEAR,19970515,11,11,11,11,300,0
RUSHABEAR,19970516,9.9,9.9,9.9,9.9,100,0
RUSHABEAR,19970519,9.3,10,9.3,9.3,1100,0
RUSHABEAR,19970521,9,9,9,9,100,0
RUSHABEAR,19970526,8,8,8,8,1200,0
RUSHABEAR,19970527,8,8,8,8,100,0
RUSHABEAR,19970528,6.85,6.85,6.8,6.8,200,0
RUSHABEAR,19970529,6.65,6.65,6.6,6.6,600,0
RUSHABEAR,19970623,6,7,6,7,2800,0
RUSHABEAR,19970624,7,7,6.5,6.5,500,0
RUSHABEAR,19970626,7.25,7.25,6,6,7400,0
RUSHABEAR,19970627,6.25,6.25,6,6,1500,0
RUSHABEAR,19970701,6.75,6.75,6.15,6.15,8500,0
RUSHABEAR,19970702,6.25,6.25,6,6,5100,0
RUSHABEAR,19970703,6.5,6.5,6,6,3600,0
RUSHABEAR,19970704,5.75,6,5.75,6,1400,0
RUSHABEAR,19970714,6.25,6.25,6.25,6.25,1000,0
RUSHABEAR,19970715,6.9,6.9,6.9,6.9,100,0
RUSHABEAR,19970716,6,6,5.9,5.9,1100,0
RUSHABEAR,19970717,5.9,5.9,5.9,5.9,200,0
