SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SAHPETRO,20040924,44,44,33,33.7,2355120,0
SAHPETRO,20040927,34.35,34.35,31.1,31.8,668418,0
SAHPETRO,20040928,31,31.6,30.2,30.3,342583,0
SAHPETRO,20040929,30.6,31,30.25,30.55,166474,69452
SAHPETRO,20040930,30.8,31.55,30.65,31.05,164661,82382
SAHPETRO,20041001,31.1,31.3,30,30.3,98659,0
SAHPETRO,20041004,30.3,31,30.05,30.2,152798,75230
SAHPETRO,20041005,30.1,30.65,29.35,29.75,173651,0
SAHPETRO,20041006,30,33.9,29.05,32.4,917336,0
SAHPETRO,20041007,32.5,33.3,32.05,32.4,226790,95541
SAHPETRO,20041008,32.8,32.85,31.5,31.85,109976,0
SAHPETRO,20041009,32,32,31.55,31.8,47961,0
SAHPETRO,20041011,31.85,32.25,31.1,31.3,72825,49137
SAHPETRO,20041012,31.4,31.4,30.3,30.45,79681,0
SAHPETRO,20041014,30.65,30.75,29.9,29.95,109174,78830
SAHPETRO,20041015,30,30.3,29.5,29.75,114156,71941
SAHPETRO,20041018,29.9,30.35,29.35,29.5,45141,0
SAHPETRO,20041019,29.85,29.85,29.05,29.55,79441,0
SAHPETRO,20041020,30,31.35,30,30.3,189124,99543
SAHPETRO,20041021,30.5,30.55,29.5,29.7,80405,0
SAHPETRO,20041025,29.95,29.95,29.2,29.3,39489,25498
SAHPETRO,20041026,29.25,29.65,27.8,28,147916,0
SAHPETRO,20041027,28.9,29.25,28.3,28.55,103941,50280
SAHPETRO,20041028,29,29.25,28.3,28.45,75100,49488
SAHPETRO,20041029,28.95,29,28.35,28.5,52161,0
SAHPETRO,20041101,29,29.3,28.45,28.5,71282,0
SAHPETRO,20041102,28.9,29,28.5,28.6,53228,0
SAHPETRO,20041103,28.7,28.8,28.1,28.25,71753,54625
SAHPETRO,20041104,28.2,28.55,27.95,28.05,103324,80359
SAHPETRO,20041105,28.7,28.95,27.25,27.45,145511,105357
SAHPETRO,20041108,27.9,28,27.05,27.2,115928,73503
SAHPETRO,20041109,27.5,27.9,27,27.1,79824,51364
SAHPETRO,20041110,27,27.6,26.8,27.3,150232,0
SAHPETRO,20041111,27.35,27.6,26.5,26.7,148988,88295
SAHPETRO,20041112,26.5,27.4,26.4,26.65,46411,37365
SAHPETRO,20041116,26.7,29.35,26.25,28.75,550484,0
SAHPETRO,20041117,29.1,32.4,28.9,30.9,1066751,0
SAHPETRO,20041118,31.3,31.4,29.8,30.2,256968,157768
SAHPETRO,20041119,30.1,30.7,29.25,29.5,154796,100070
SAHPETRO,20041122,29.15,29.5,28.1,29.35,71399,48602
SAHPETRO,20041123,29.1,30.8,29.1,30.3,277074,0
SAHPETRO,20041124,30.2,30.4,29.3,29.55,75872,0
SAHPETRO,20041125,29.5,30.1,29.15,29.35,107484,0
SAHPETRO,20041129,29.3,30.4,29.1,29.95,138412,114149
SAHPETRO,20041130,30,30,28.75,29,90712,78746
SAHPETRO,20041201,31.45,31.45,28.55,29.3,71311,49762
SAHPETRO,20041202,29.8,30.15,29,29.35,114204,0
SAHPETRO,20041203,29.75,29.95,28.75,28.8,140096,0
SAHPETRO,20041206,33.3,33.3,28.3,29.05,79143,0
SAHPETRO,20041207,29,29,28.15,28.25,54129,0
SAHPETRO,20041208,28.7,28.95,28.4,28.6,50964,0
SAHPETRO,20041209,28.55,28.85,28.3,28.45,36434,0
SAHPETRO,20041210,28.8,28.8,28.1,28.4,45674,0
SAHPETRO,20041213,28,29.7,28,29.4,113633,0
SAHPETRO,20041214,30.25,31,29.1,30.85,372254,241015
SAHPETRO,20041215,31.45,31.45,29.35,29.5,122889,94579
SAHPETRO,20041216,29.1,29.8,29,29.3,73166,0
SAHPETRO,20041217,29.3,29.95,28.85,29.35,68430,0
SAHPETRO,20041220,29,29.45,28.9,29.05,40220,0
SAHPETRO,20041221,29.85,31.4,29.1,29.85,359371,0
SAHPETRO,20041222,30,30.4,29.1,29.5,91034,0
SAHPETRO,20041223,29,29.75,28.8,29.1,79518,64547
SAHPETRO,20041224,29.5,29.75,28.85,29.05,87158,0
SAHPETRO,20041227,28.5,29.75,28.15,29.05,155572,0
SAHPETRO,20041228,29.6,29.85,29,29.65,195220,122343
SAHPETRO,20041229,31.5,31.5,29.25,29.5,201845,124398
SAHPETRO,20041230,29.7,30.65,29.25,29.45,198849,0
SAHPETRO,20041231,29.25,30.8,29.25,30.25,236983,132071
SAHPETRO,20050103,31.4,31.8,30.2,31.4,673927,410025
SAHPETRO,20050104,31.9,32,30.85,31.4,521038,0
SAHPETRO,20050105,31.1,32.5,28.4,29.15,535544,244283
SAHPETRO,20050106,29.15,29.85,28.6,29.15,137076,0
SAHPETRO,20050107,29.75,30,29.2,29.6,97921,0
SAHPETRO,20050110,29.8,30.75,29.65,29.85,146615,0
