SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SAIL,19941107,55,55,55,55,1200,0
SAIL,19941108,54.5,54.5,54.5,54.5,300,0
SAIL,19941109,54.25,54.25,53.5,53.75,1700,0
SAIL,19941110,54,54.5,54,54.5,1000,0
SAIL,19941111,52.5,52.5,52.5,52.5,8900,0
SAIL,19941114,53.5,54.5,53.5,54.5,1300,0
SAIL,19941115,52.5,53.75,52.5,52.5,2900,0
SAIL,19941116,53.5,53.5,53.5,53.5,600,0
SAIL,19941117,53.5,53.5,53.5,53.5,900,0
SAIL,19941121,53.75,54,53.75,54,1100,0
SAIL,19941122,52,52,52,52,100,0
SAIL,19941123,54,54,53.5,53.5,1500,0
SAIL,19941124,52.75,52.75,51.5,52.5,1600,0
SAIL,19941125,54,54,52.5,52.5,1600,0
SAIL,19941129,52.25,55.5,52,54.25,38400,0
SAIL,19941130,56,56,54.5,54.5,3900,0
SAIL,19941201,54.75,55,53.75,54,22000,0
SAIL,19941202,54.5,56.25,54.5,55,8800,0
SAIL,19941205,54.5,54.5,53,53.25,10600,0
SAIL,19941206,54,54,52.5,52.75,4000,0
SAIL,19941207,52.5,52.5,51.5,51.5,1300,0
SAIL,19941208,52.25,52.25,52.25,52.25,200,0
SAIL,19941209,52,54.5,52,54.5,6900,0
SAIL,19941212,51.5,52,51.5,52,200,0
SAIL,19941213,50,51,50,51,800,0
SAIL,19941214,52,52.5,52,52.25,700,0
SAIL,19941215,51.5,52.5,51.5,52,600,0
SAIL,19941216,52.5,52.5,52.5,52.5,800,0
SAIL,19941219,53,53,51,51,400,0
SAIL,19941220,51.5,51.5,49.25,49.25,1400,0
SAIL,19941221,52,52,51,51.5,1800,0
SAIL,19941222,51,51.5,50.5,50.75,600,0
SAIL,19941223,50,51.6,50,51.5,1800,0
SAIL,19941226,52.25,52.5,52.25,52.5,500,0
SAIL,19941227,52.5,53,52.25,52.25,1600,0
SAIL,19941228,52.25,52.5,52.25,52.5,300,0
SAIL,19941229,52,52,51.5,51.5,900,0
SAIL,19941230,52,52,52,52,100,0
SAIL,19950102,51,52,50.65,50.65,3000,0
SAIL,19950103,51,52,51,51,7800,0
SAIL,19950104,50.5,51,50.25,50.25,1100,0
SAIL,19950105,50,50,49,49,1300,0
SAIL,19950106,50,50,50,50,200,0
SAIL,19950109,50,50,45,45.5,3100,0
SAIL,19950110,49,49,47,47,1600,0
