SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SANDERIND,19950920,10,10,10,10,200,0
SANDERIND,19951130,9,9,9,9,500,0
SANDERIND,19951204,9,9,8.1,8.4,1500,0
SANDERIND,19951205,8.45,8.45,7.7,7.7,1200,0
SANDERIND,19951206,7.75,7.75,7.75,7.75,200,0
SANDERIND,19951207,7.5,8,7.5,8,2100,0
SANDERIND,19951211,8.5,8.5,8.5,8.5,100,0
SANDERIND,19951212,8,8,8,8,1000,0
SANDERIND,19951213,8,8.3,8,8,2300,0
SANDERIND,19951214,8.1,8.1,8.1,8.1,200,0
SANDERIND,19951218,7.5,7.5,7.5,7.5,200,0
SANDERIND,19951219,7.5,7.5,7.2,7.3,4500,0
SANDERIND,19951220,7.5,7.5,7.1,7.1,400,0
SANDERIND,19951226,7.5,7.5,7.5,7.5,500,0
SANDERIND,19960101,7.25,7.25,7.25,7.25,600,0
SANDERIND,19960102,7.5,8,7.5,8,1100,0
SANDERIND,19960103,8,8.25,8,8.2,500,0
SANDERIND,19960104,7.5,8.15,7.5,8.1,2700,0
SANDERIND,19960105,7.9,8.7,7.9,8.4,1300,0
SANDERIND,19960108,8.2,8.2,8.15,8.15,700,0
SANDERIND,19960109,7.5,8.15,7.35,7.35,1600,0
SANDERIND,19960110,7.35,8,8,8,600,0
SANDERIND,19960111,7.8,8,7.8,8,1000,0
SANDERIND,19960112,7.75,8,7.75,8,1200,0
SANDERIND,19960116,7.45,7.5,7.45,7.5,900,0
SANDERIND,19960117,7.9,7.9,7.9,7.9,200,0
SANDERIND,19960118,7.5,7.5,7.5,7.5,600,0
SANDERIND,19960119,7.5,7.5,7.5,7.5,600,0
SANDERIND,19960122,7.25,7.3,7.25,7.3,600,0
SANDERIND,19960123,7.3,7.4,7.15,7.4,1600,0
SANDERIND,19960124,7.4,7.5,7,7,5500,0
SANDERIND,19960125,7,7,6.65,7,1100,0
SANDERIND,19960129,7,7,6.85,6.9,1800,0
SANDERIND,19960130,7,7,7,7,500,0
SANDERIND,19960131,7.2,7.2,7.1,7.2,2500,0
SANDERIND,19960201,7.2,7.9,7,7,5700,0
SANDERIND,19960206,7.6,7.75,7.6,7.75,700,0
SANDERIND,19960207,7.75,7.75,7.25,7.3,1300,0
SANDERIND,19960208,7.6,7.6,7.5,7.55,1600,0
SANDERIND,19960209,7.75,7.8,7.75,7.8,400,0
SANDERIND,19960213,7.8,7.55,7.5,7.5,2000,0
SANDERIND,19960214,8,8,7.2,7.5,1300,0
SANDERIND,19960215,7.5,8,7.5,8,1900,0
SANDERIND,19960216,8,8,7.75,7.75,1400,0
SANDERIND,19960219,7.45,8.5,7.45,8.5,1400,0
SANDERIND,19960220,8.5,8.5,8.5,8.5,300,0
SANDERIND,19960222,8.4,8.4,8.4,8.4,400,0
SANDERIND,19960223,8,8.1,7.75,7.75,4300,0
SANDERIND,19960226,7.7,8,7.7,7.7,5300,0
SANDERIND,19960227,7.7,7.15,7.1,7.1,6000,0
SANDERIND,19960228,7.3,7.5,7.3,7.5,1600,0
SANDERIND,19960229,7.05,7.25,7.05,7.25,200,0
SANDERIND,19960301,7.25,7.5,7.35,7.35,500,0
SANDERIND,19960306,7.25,7.25,7,7.05,2700,0
SANDERIND,19960307,7.3,7.3,7.25,7.25,700,0
