SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SAREGAMA,20010820,116.45,129,112,112.3,298,0
SAREGAMA,20010821,125,125,116,119.8,332,0
SAREGAMA,20010823,120.1,124,120,120,227,0
SAREGAMA,20010824,120,120,115.65,118,294,0
SAREGAMA,20010827,120.1,124,118.1,119.05,420,0
SAREGAMA,20010828,112.75,124,112.75,116.7,188,0
SAREGAMA,20010829,120,125,115.05,125,2357,0
SAREGAMA,20010830,120.05,125,120,124.55,689,0
SAREGAMA,20010831,116.15,125,116.15,124.4,503,0
SAREGAMA,20010903,118.1,124.9,118.1,122.35,344,0
SAREGAMA,20010904,119.05,121.95,119.05,119.95,412,0
SAREGAMA,20010905,130,130,115.35,118.45,560,0
SAREGAMA,20010906,118,118,115,115.05,532,0
SAREGAMA,20010907,112,115,109,110.1,783,0
SAREGAMA,20010910,115,117,115,117,157,0
SAREGAMA,20010911,115.95,116.4,113,116.3,352,0
SAREGAMA,20010912,106,113.95,105.5,107.9,948,0
SAREGAMA,20010913,108.1,112.5,108,108.15,636,0
SAREGAMA,20010914,105,106,99,99,317,0
SAREGAMA,20010917,93,93,83,84.25,987,0
SAREGAMA,20010918,84,93.95,84,91,1286,0
SAREGAMA,20010919,101,101,91.05,92.55,895,0
SAREGAMA,20010920,95,96.8,89.1,95.45,400,0
SAREGAMA,20010921,94,94,84.25,85.05,540,0
SAREGAMA,20010924,86,92.65,83.05,92.65,607,0
SAREGAMA,20010925,93.25,93.25,89,90.25,856,0
SAREGAMA,20010926,103.8,103.8,88.25,90.1,254,0
SAREGAMA,20010927,90.5,94,90,93.2,372,0
SAREGAMA,20010928,95,111.8,94,107.25,1350,0
SAREGAMA,20011001,101,106,95,97.65,1117,0
SAREGAMA,20011003,101,101,95,95.6,188,0
SAREGAMA,20011004,95.05,101.45,93,93.05,549,0
SAREGAMA,20011005,110,110,95.2,95.9,81,0
SAREGAMA,20011008,92,93.2,92,93.2,59,0
SAREGAMA,20011009,93.15,98.55,92,92.1,685,0
SAREGAMA,20011010,92,97,92,94.5,1638,0
SAREGAMA,20011011,99.2,101.95,87,88.55,4468,0
SAREGAMA,20011012,85,94.9,85,93.15,466,0
SAREGAMA,20011015,83,95.7,83,94,269,0
SAREGAMA,20011016,90,96,90,95.25,613,0
SAREGAMA,20011017,96,97.85,93.2,95.5,970,0
SAREGAMA,20011018,95,95,93.8,94.15,379,0
SAREGAMA,20011019,90.05,97,90.05,94.35,577,0
SAREGAMA,20011022,99,99.7,97.3,97.8,1596,0
SAREGAMA,20011023,98,104,98,102.4,1059,0
SAREGAMA,20011024,103,103,96.55,101.1,1151,0
SAREGAMA,20011025,100,101,96.05,98.35,125,0
SAREGAMA,20011029,100.5,101.35,96.65,98.9,331,0
SAREGAMA,20011030,98.35,110,98.35,104.15,2283,0
SAREGAMA,20011031,100.1,103.1,100,100.3,613,0
SAREGAMA,20011101,100.5,104.25,98.1,100.45,736,0
SAREGAMA,20011102,99.5,99.5,95,95.45,2654,0
SAREGAMA,20011105,93.3,100,93.3,98.8,725,0
SAREGAMA,20011106,98,102,97.25,98.95,935,0
SAREGAMA,20011107,100.5,104.5,99.6,101.65,2094,0
SAREGAMA,20011108,102,113.65,101.1,110.15,5834,0
SAREGAMA,20011109,107,119.9,107,117.1,3914,0
