SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SAWPIPES,19941116,435,435,435,435,100,0
SAWPIPES,19941117,450,450,450,450,100,0
SAWPIPES,19941124,450,450,450,450,100,0
SAWPIPES,19941125,420,420,420,420,100,0
SAWPIPES,19941214,355,355,355,355,100,0
SAWPIPES,19941215,345,355,345,355,400,0
SAWPIPES,19941216,379,379,379,379,100,0
SAWPIPES,19941219,400,400,400,400,100,0
SAWPIPES,19941220,410,411.5,400,405,900,0
SAWPIPES,19941221,420,420,415,416.75,400,0
SAWPIPES,19950104,425,425,425,425,100,0
SAWPIPES,19950105,425,430,425,425,500,0
SAWPIPES,19950110,400,400,400,400,100,0
SAWPIPES,19950111,375,375,375,375,100,0
SAWPIPES,19950116,400,400,400,400,100,0
SAWPIPES,19950117,400,410,400,405,300,0
SAWPIPES,19950119,420,420,420,420,100,0
SAWPIPES,19950120,430,430,420,420,300,0
SAWPIPES,19950125,380,380,380,380,200,0
SAWPIPES,19950127,375,375,371,371,800,0
SAWPIPES,19950131,370,370,360,360,200,0
SAWPIPES,19950201,360,360,360,360,400,0
SAWPIPES,19950202,360,365,360,362,400,0
SAWPIPES,19950206,355,360,355,360,200,0
SAWPIPES,19950208,335,335,335,335,100,0
SAWPIPES,19950210,346,346,342,342,900,0
SAWPIPES,19950213,350,350,340.05,346.7,300,0
SAWPIPES,19950214,355,355,355,355,300,0
SAWPIPES,19950215,356.25,358,356.25,358,300,0
SAWPIPES,19950216,356.25,357,356.25,357,200,0
SAWPIPES,19950217,355,355,343,343,1300,0
SAWPIPES,19950220,340,340,340,340,100,0
SAWPIPES,19950221,340,340,340,340,100,0
SAWPIPES,19950223,350,350,349.95,350,900,0
SAWPIPES,19950224,350,365,350,361.8,1400,0
SAWPIPES,19950228,350,352.5,345,345,300,0
SAWPIPES,19950301,350,350,315,320,1400,0
SAWPIPES,19950302,320,330,320,327.5,500,0
SAWPIPES,19950303,329.95,346,329.95,338,3700,0
SAWPIPES,19950306,350,360,340,355,3000,0
SAWPIPES,19950307,355,365,350,362.7,1500,0
SAWPIPES,19950308,358,365,354,354.5,1000,0
SAWPIPES,19950309,355,355,350,355,1200,0
SAWPIPES,19950310,353,360,353,360,1700,0
SAWPIPES,19950313,360,360,332,332,600,0
SAWPIPES,19950314,340,345,330,331.75,2000,0
SAWPIPES,19950315,345,345,335,340,3900,0
SAWPIPES,19950316,331,331,330,330,400,0
SAWPIPES,19950320,330,330,330,330,200,0
SAWPIPES,19950321,320,320,306,306.35,400,0
SAWPIPES,19950322,305,321,305,320,600,0
SAWPIPES,19950323,325,329,325,329,200,0
SAWPIPES,19950324,331,331,325,327.5,3100,0
SAWPIPES,19950327,330,330,320,320,600,0
SAWPIPES,19950328,328,329,318,318.25,1100,0
