SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SBIETFIT,20201022,250,250,201.2,216,5181,0
SBIETFIT,20201023,216,243.8,207.25,226.42,1584,0
SBIETFIT,20201026,213.6,238.5,213.01,213.99,2487,0
SBIETFIT,20201027,214,216.85,210.8,211.99,1000,0
SBIETFIT,20201028,211.99,214.97,208,208.5,968,0
SBIETFIT,20201029,211.99,212.99,208.06,212.87,719,0
SBIETFIT,20201030,214.75,214.75,208.07,213,647,0
SBIETFIT,20201102,214,214.9,207.14,209.25,2245,0
SBIETFIT,20201103,212.45,217.99,208.76,210.34,1746,0
SBIETFIT,20201104,214,224,210.01,213.4,2818,0
SBIETFIT,20201105,218,221.94,215,215,2685,0
SBIETFIT,20201106,215,217,213.02,216.63,455,0
SBIETFIT,20201109,215.01,219.25,215,217.97,1885,0
SBIETFIT,20201110,216.5,217.77,210,211.01,2671,0
SBIETFIT,20201111,212.5,214.99,211,214.85,1308,0
SBIETFIT,20201112,218,218.69,214.01,217.98,506,0
SBIETFIT,20201113,217.8,217.8,210.5,215,847,0
SBIETFIT,20201114,248.88,248.88,213.7,218.24,2911,0
SBIETFIT,20201117,218.7,218.7,213.55,215.38,3443,0
SBIETFIT,20201118,216.98,216.98,213.01,213.98,5439,0
SBIETFIT,20201119,216.99,216.99,206,210.37,13936,0
SBIETFIT,20201120,212,214.7,210.67,213.01,1958,0
SBIETFIT,20201123,213.05,220.5,213.05,220.5,4663,0
SBIETFIT,20201124,220.5,224.6,220.02,222.12,1897,0
SBIETFIT,20201125,220,223.61,218.5,220.11,1059,0
SBIETFIT,20201126,220.95,220.95,217,220.59,296,0
SBIETFIT,20201127,220.58,223.59,218.02,220.96,463,0
SBIETFIT,20201201,220.96,222.7,217.01,220.51,1452,0
SBIETFIT,20201202,225.4,226.9,220.12,224.32,1435,0
SBIETFIT,20201203,224,226.69,222.19,224.06,1163,0
SBIETFIT,20201204,224,225.88,222.25,223.84,1131,0
SBIETFIT,20201207,226.9,226.9,221.1,226.43,681,0
SBIETFIT,20201208,228.45,233.5,224.37,230.89,3164,0
SBIETFIT,20201209,227.04,232.98,227.04,230.12,4061,0
SBIETFIT,20201210,228,230,227.45,228.36,282,0
SBIETFIT,20201211,228.4,230.99,226.9,228,804,0
SBIETFIT,20201214,229.87,229.87,226.01,228.84,1241,0
SBIETFIT,20201215,228.84,229.55,226.6,228.06,641,0
SBIETFIT,20201216,227.1,230,227.1,229.97,1057,0
SBIETFIT,20201217,235,235,229.02,229.89,1043,0
SBIETFIT,20201218,233,235,232.33,233.81,4373,0
SBIETFIT,20201221,233.81,236.99,227.55,228.73,6713,0
SBIETFIT,20201222,228,237,228,236.56,2865,0
SBIETFIT,20201223,240,244,239,243.54,3767,0
SBIETFIT,20201224,248,249.8,240.2,242.89,2478,0
SBIETFIT,20201228,248,248,240.89,243.25,2340,0
SBIETFIT,20201229,247.96,247.96,239.5,244.39,1602,0
SBIETFIT,20201230,244.39,245,243,244.91,923,0
SBIETFIT,20201231,244.91,246.97,241.1,243.5,3461,0
