SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SBT,19980303,619,619,550,587,260,0
SBT,19980304,580,610,540,610,660,0
SBT,19980305,615,620,600,600,1015,0
SBT,19980306,591,595,560,577.5,565,0
SBT,19980309,590,592,547,575,490,0
SBT,19980310,570,570,531,537,735,0
SBT,19980311,555,571.95,550,557.5,395,0
SBT,19980312,550,555,550,550.05,110,0
SBT,19980316,554,555,545,547,175,0
SBT,19980317,550,550,515,519.65,325,0
SBT,19980318,547.95,547.95,539,539.65,220,0
SBT,19980319,535,535,518,518,250,0
SBT,19980320,516,525,514,524.1,185,0
SBT,19980324,517,525,505,517.7,425,0
SBT,19980325,533,533,515,515,210,0
SBT,19980326,511,525,511,517,120,0
SBT,19980327,533,533,513.5,524,110,0
SBT,19980330,518,518,500,502.05,145,0
SBT,19980331,485,510,485,495.3,240,0
SBT,19980401,505,511,503,510,95,0
SBT,19980402,515,515,500,500,130,0
SBT,19980403,510,510,500,503,75,0
SBT,19980406,500,500,491,495,95,0
SBT,19980407,495,500,492,493.65,205,0
SBT,19980409,520,543,520,540,435,0
SBT,19980410,530,574,530,553.5,280,0
SBT,19980413,540,550,530,535.45,335,0
SBT,19980415,560,580,558,565.8,480,0
SBT,19980416,572,575,556,556.15,410,0
SBT,19980417,550,550,546,550,140,0
SBT,19980420,565,570,550,553,355,0
SBT,19980421,550,560,543,557.35,245,0
SBT,19980422,565,565,541,541,260,0
SBT,19980423,549,550,535,540,40,0
SBT,19980424,530,530,525,529.95,195,0
SBT,19980427,530,537,525,530,80,0
SBT,19980428,495,520,495,508.15,75,0
SBT,19980429,520,520,505,506.6,275,0
SBT,19980430,500,515,490,510,105,0
SBT,19980504,512,512,502,505,170,0
SBT,19980505,500,508,492,506.3,255,0
SBT,19980506,554,556,541,545,370,0
SBT,19980508,535,535,524.5,534.8,305,0
SBT,19980511,537.5,539,530,539,315,0
SBT,19980512,527,543.5,527,541.2,195,0
SBT,19980513,530,530,510,520.95,405,0
SBT,19980514,534,534,506,523.65,125,0
SBT,19980515,525,525,520,525,125,0
SBT,19980518,517,519,513,518.6,90,0
SBT,19980519,520,520,512,518,155,0
SBT,19980520,511,517.9,511,514.6,320,0
SBT,19980521,518,518,512.5,512.6,80,0
SBT,19980522,510,514,509,513.6,100,0
SBT,19980525,500,507.5,490,503.5,110,0
SBT,19980526,500,505,500,505,40,0
SBT,19980527,515,515,495.05,495.05,10,0
SBT,19980528,500,507,500,507,85,0
SBT,19980529,500,505,491,505,40,0
SBT,19980601,501.55,509.95,500,502.35,205,0
SBT,19980602,495.05,495.05,470.1,488.05,65,0
SBT,19980603,470,480.1,468,470,195,0
SBT,19980604,467,467,450,451.25,440,0
SBT,19980605,440.5,451,435,435,220,0
SBT,19980608,432.8,432.8,395,398.9,420,0
SBT,19980609,400,407,370,375.35,1030,0
SBT,19980610,380,384,378.65,379.2,860,0
SBT,19980611,360,397.9,360,397.85,215,0
SBT,19980612,435,435.45,403,410,160,0
SBT,19980615,375,386,375,380.1,130,0
SBT,19980616,370,381,357,370.8,210,0
SBT,19980617,390,390,390,390,230,0
SBT,19980618,401,401,390,390,105,0
SBT,19980619,399,399,380,380,40,0
SBT,19980622,373,399,362,399,75,0
SBT,19980623,380,405,364,365.55,205,0
SBT,19980624,399.95,399.95,380,380,45,0
SBT,19980625,377.1,390,377.1,380,75,0
SBT,19980626,385,385,369.05,369.25,120,0
SBT,19980629,379,379,360,360.6,530,0
SBT,19980630,341,360,340,343.55,465,0
SBT,19980701,350,352,342,348,160,0
SBT,19980702,350,359.9,350,350.25,185,0
SBT,19980703,359.5,359.5,349,351.9,60,0
SBT,19980706,352,359.9,347,359.9,120,0
SBT,19980707,355,355,345,346.1,190,0
SBT,19980708,350,350,346,346,45,0
SBT,19980709,358,365,350,351.1,110,0
SBT,19980710,342,357.5,340,352,260,0
SBT,19980713,357.5,365.9,350.25,351.35,260,0
SBT,19980714,351.05,355,350,352.7,185,0
SBT,19980715,360.5,360.5,350,350,290,0
SBT,19980716,360,360,349.5,350,475,0
SBT,19980717,365,365,355,356.6,170,0
SBT,19980720,365,370,346,353,290,0
SBT,19980721,345.1,357,345.1,348.15,225,0
SBT,19980722,370,370,355,355,90,0
SBT,19980723,355,355,347,347,105,0
SBT,19980724,349.9,349.9,349.9,349.9,50,0
SBT,19980727,345,345,340,340,160,0
SBT,19980728,343,347.5,340,347.5,55,0
SBT,19980729,343.6,350,343.05,350,95,0
SBT,19980730,352.5,376,347,352.9,85,0
SBT,19980731,345,346,345,345.65,35,0
SBT,19980803,345,345,345,345,60,0
SBT,19980804,349,349,345,345.8,285,0
SBT,19980805,340,350,340,349.95,165,0
SBT,19980806,360,360,350,355,205,0
SBT,19980807,350,351,349,351,15,0
SBT,19980810,354,354,347,347,15,0
SBT,19980811,350,352,340,340.5,150,0
SBT,19980812,340,345,340,345,15,0
SBT,19980813,340,354,340,342.5,150,0
SBT,19980814,350,351.75,345,346,180,0
SBT,19980817,350,354,350,354,50,0
SBT,19980818,345,346,340,343.5,115,0
