SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SDBL,20140401,235,243,235,243,50201,0
SDBL,20140402,210,249,210,230,217,0
SDBL,20140403,248,248,244,244,20010,0
SDBL,20140404,247,247,247,247,20000,0
SDBL,20140407,249,249,232.95,243,40675,0
SDBL,20140409,236,242,206.25,242,25304,0
SDBL,20140410,288,288,230,241.85,20480,0
SDBL,20140411,245,245,234,237,35711,0
SDBL,20140415,237,250,232.5,239.55,38206,0
SDBL,20140416,233.05,239,233,238.05,36088,0
SDBL,20140417,239,240,233.5,239.3,30009,0
SDBL,20140421,235,263,231.5,238.25,41640,0
SDBL,20140422,233,240,231.5,239.15,43217,0
SDBL,20140423,238.95,238.95,228,237,41568,0
SDBL,20140425,231,239,226,238.95,43151,0
SDBL,20140428,231,236,210,234.95,44624,0
SDBL,20140429,227,249.75,221.95,231.35,45309,0
SDBL,20140430,224.4,232.1,215.5,215.95,31063,0
SDBL,20140502,225,235,205,220,10371,0
SDBL,20140505,225,225,207.7,214,30023,0
SDBL,20140506,208,216,208,215,20014,20011
SDBL,20140507,210,217,206.2,214,48065,0
SDBL,20140508,213.9,214,213.8,214,32030,0
SDBL,20140509,209,216,208.6,215.3,30017,0
SDBL,20140512,220,220,213,214,20009,20002
SDBL,20140513,214,216,202,214.65,37075,32060
SDBL,20140514,208,213,171.75,208.3,14828,0
SDBL,20140515,199,209,199,204.95,10975,10780
SDBL,20140516,206,221,181.25,216.5,15571,0
SDBL,20140519,215,218,210,212.2,21361,0
SDBL,20140520,212.2,221,205.05,214.9,213,0
SDBL,20140521,210,210,207,208.5,2,0
SDBL,20140522,250,250,212.1,220,652,0
SDBL,20140523,220.5,248,220.5,235.45,291,0
SDBL,20140526,250,275,240,256.7,1506,0
SDBL,20140527,250,256.65,220,228.55,1311,0
SDBL,20140528,269.6,269.6,225,226.95,208,0
SDBL,20140529,240,240,206.6,214.1,2390,201
SDBL,20140530,220,224,212,217,470,0
SDBL,20140602,212,218.9,210,212.25,440,193
SDBL,20140603,212,217,211,214.95,271,256
SDBL,20140604,214,224,212.3,212.3,142,0
SDBL,20140605,215,215,212,212.5,206,0
SDBL,20140606,224,229,206,212.6,215,98
SDBL,20140609,228.85,229,213,220,151,0
SDBL,20140610,236,240,228.5,228.9,949,0
SDBL,20140611,230,244,223,223,525,0
SDBL,20140612,220.25,239.75,220.25,237.15,1332,0
SDBL,20140613,235.2,236.1,226,236,26,0
SDBL,20140616,226.05,236,226.05,236,248,0
SDBL,20140617,225.25,234.95,225.25,230.55,4124,0
SDBL,20140618,230,240,229,234.6,641,0
SDBL,20140619,230.05,240,230,230.5,388,0
SDBL,20140620,231.05,239.95,231,231,2529,0
SDBL,20140623,229,235.35,222,234.9,370,0
SDBL,20140624,235,244,235,243.05,671,0
SDBL,20140625,239.8,239.8,232.6,238.45,136,0
SDBL,20140626,233.1,233.1,233.1,233.1,1,0
SDBL,20140627,226,244.75,226,232.8,49,0
SDBL,20140630,230,233.4,230,230.1,49,0
SDBL,20140701,230,230,226.25,226.25,100,0
SDBL,20140702,230.1,234.5,230.1,230.1,50,0
SDBL,20140703,232,232,232,232,101,0
SDBL,20140704,232,233,232,232.5,2,0
SDBL,20140707,230.5,230.5,226.5,229.8,82,0
SDBL,20140708,229.9,229.9,221.5,221.5,177,0
SDBL,20140709,221.5,221.5,215.8,215.8,51,0
SDBL,20140710,215.05,215.05,215.05,215.05,1,0
SDBL,20140711,225,225,225,225,7,0
SDBL,20140714,236,239,225,225.1,63,0
SDBL,20140715,226,226,221.15,225,228,0
SDBL,20140716,225,228.95,220.5,220.5,103,0
SDBL,20140717,222,228,222,222.4,205,202
SDBL,20140718,227,227,222.8,222.8,50,50
SDBL,20140721,224,224,211.25,216,541,0
SDBL,20140722,215.5,219,215.5,218.1,111,0
SDBL,20140723,220,225.8,218.1,221.05,21283,0
SDBL,20140724,221.1,223,212.25,213,22006,0
SDBL,20140725,217.4,222,206.05,212.2,22420,0
SDBL,20140728,215,221.8,210,217.8,22251,0
SDBL,20140730,218.25,218.85,209.1,210.9,21210,0
SDBL,20140731,214.5,217.9,210,214.3,21471,0
SDBL,20140801,214.5,217.7,206.05,209.05,22156,0
SDBL,20140804,211.5,217.95,211,213.05,21290,0
SDBL,20140805,212.5,217.7,207.05,209.7,21742,0
SDBL,20140806,212.5,220,206.35,215.2,21796,0
