SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SETF10GILT,20160623,117.23,117.23,117.23,117.23,34,0
SETF10GILT,20160708,130,130,130,130,34,0
SETF10GILT,20160711,130,130,119,128.58,39,0
SETF10GILT,20160714,170,170,130,150,78,0
SETF10GILT,20160715,170,170,130,169.97,173,0
SETF10GILT,20160729,131.09,172,131.09,140.02,97,0
SETF10GILT,20160801,141.26,141.26,141.26,141.26,34,0
SETF10GILT,20160802,165,165,164,164,12,0
SETF10GILT,20160804,128.35,128.35,128.35,128.35,2,0
SETF10GILT,20160805,135.01,135.01,135.01,135.01,1,0
SETF10GILT,20160816,135.01,135.01,135.01,135.01,5,0
SETF10GILT,20160817,135.02,135.02,135.02,135.02,5,5
SETF10GILT,20160818,135.05,135.05,135.05,135.05,5,0
SETF10GILT,20160819,137,137,137,137,2,2
SETF10GILT,20160822,136.5,136.5,136.5,136.5,5,5
SETF10GILT,20160824,140,140,140,140,10,0
SETF10GILT,20160831,136.25,136.25,136.25,136.25,10,10
SETF10GILT,20160901,123,123,123,123,34,0
SETF10GILT,20160902,180,180,141.01,142.03,638,0
SETF10GILT,20160906,140.2,140.2,135.01,136.1,69,68
SETF10GILT,20160907,136.5,137.05,136.5,137.05,89,71
SETF10GILT,20160908,152.1,174,152.1,174,285,265
SETF10GILT,20160909,174,174,174,174,5,5
SETF10GILT,20160914,142.06,172.99,142.06,143.51,26,12
SETF10GILT,20160915,145,150.95,145,150.85,49,49
SETF10GILT,20160916,179.9,179.9,144.41,150,33,0
SETF10GILT,20160920,150,150,150,150,57,0
SETF10GILT,20160921,149,174.92,149,173.93,115,0
SETF10GILT,20160922,173.93,173.93,173.93,173.93,47,0
SETF10GILT,20160927,179.8,179.8,179.8,179.8,15,15
SETF10GILT,20160928,151.11,151.11,151.11,151.11,100,100
SETF10GILT,20160929,151,153.5,151,153.25,105,105
SETF10GILT,20161003,160.5,175,160.5,169.67,323,0
SETF10GILT,20161004,151.53,179.99,151.52,155.98,303,218
SETF10GILT,20161005,157,173.1,157,159.05,148,106
SETF10GILT,20161013,159.05,159.05,159.05,159.05,34,0
SETF10GILT,20161017,152.15,179.6,136.51,150.49,1161,611
SETF10GILT,20161024,164,164,160.01,162,20,10
SETF10GILT,20161025,160,160,160,160,5,0
SETF10GILT,20161101,160,160,160,160,1,1
SETF10GILT,20161102,160,160,160,160,30,30
SETF10GILT,20161110,179.9,179.9,140,177.99,7,4
SETF10GILT,20161115,156,156,156,156,220,170
SETF10GILT,20161117,181.9,181.9,181.9,181.9,30,30
SETF10GILT,20161121,148,181.89,146,146,88,10
SETF10GILT,20161125,184.99,184.99,150,151,32,20
SETF10GILT,20161129,151,151,146,147.05,510,500
SETF10GILT,20161207,146.21,178.01,146.21,164,546,2
SETF10GILT,20161208,172,175,152.06,164.9,303,142
SETF10GILT,20161212,151.55,151.65,151.55,151.65,4,2
SETF10GILT,20161213,147.66,169.07,147.66,152.99,305,105
SETF10GILT,20161214,162,163,151.5,152,768,311
SETF10GILT,20161223,161.5,161.5,150.5,152,500,300
SETF10GILT,20161226,162,162,147.2,147.2,6,6
SETF10GILT,20161229,162,162,159.7,159.7,30,0
SETF10GILT,20161230,164,169.95,150.08,151.12,231,0
SETF10GILT,20170102,164.75,164.75,147.29,153.98,44,0
SETF10GILT,20170104,162.94,162.94,161.99,161.99,10,0
SETF10GILT,20170105,160,160,155,155,65,0
SETF10GILT,20170106,170,170,170,170,10,0
SETF10GILT,20170109,175,175,154,154,53,0
SETF10GILT,20170116,160,160,157.75,159,229,199
SETF10GILT,20170117,160,160,158.5,158.5,193,193
SETF10GILT,20170118,161,161.15,160,160.95,45,45
SETF10GILT,20170119,161,161.15,160,160.25,60,0
SETF10GILT,20170123,189,193.28,160.07,162,1389,1203
SETF10GILT,20170124,161.25,161.25,156.01,156.01,78,0
SETF10GILT,20170125,162.35,162.45,161.3,161.3,50,30
SETF10GILT,20170127,161.2,161.2,161.2,161.2,50,50
SETF10GILT,20170131,162.8,162.8,162.8,162.8,60,0
SETF10GILT,20170202,161.5,161.5,161.5,161.5,28,0
SETF10GILT,20170203,162.8,162.8,162.8,162.8,40,40
SETF10GILT,20170208,161.7,161.7,161.7,161.7,30,0
SETF10GILT,20170209,160.01,192.99,158.01,158.01,1338,0
SETF10GILT,20170210,158.11,158.11,158.11,158.11,100,100
SETF10GILT,20170213,158.01,158.01,158,158,6,0
SETF10GILT,20170215,157.1,157.1,157.1,157.1,14,14
