SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SGIL,20210728,182.95,200,150.55,174.3,105787,0
SGIL,20210729,192,198.8,152.4,187.25,299214,0
SGIL,20210730,196.9,197,190,192.7,126940,0
SGIL,20210802,198.75,198.75,184,187,37190,0
SGIL,20210803,190,190,176.9,177.95,42930,0
SGIL,20210804,179.7,179.95,173,173.15,22727,0
SGIL,20210805,175.35,180,169.85,178.75,12012,0
SGIL,20210806,189,189,171.6,176.9,13274,0
SGIL,20210809,194,194,171,171.5,8489,0
SGIL,20210810,174,174.1,156.2,163.8,17880,0
SGIL,20210811,165.1,168.85,150.95,164.25,18273,0
SGIL,20210812,165.05,179,165.05,177.95,17660,0
SGIL,20210813,184.9,185,166,167.85,8208,0
SGIL,20210816,170,174,162.15,173.35,7410,0
SGIL,20210817,172.95,173,164.15,165.65,8358,0
SGIL,20210818,163.95,169,159,159.6,2461,0
SGIL,20210820,163.9,163.9,150.8,153.1,42260,0
SGIL,20210823,167.95,167.95,142.25,150.05,8914,0
SGIL,20210824,150,162,150,160.05,5087,0
SGIL,20210825,163.95,163.95,155,156,3361,0
SGIL,20210826,158,158,151.3,153.2,2873,0
SGIL,20210827,150.1,155.15,150.05,153.95,3245,0
SGIL,20210830,155.05,159,152.35,153.4,4554,0
SGIL,20210831,152.5,168,152.5,159.55,10052,0
SGIL,20210901,164.35,164.35,157.1,159.9,6203,0
SGIL,20210902,164.6,164.6,155.25,159,3149,0
SGIL,20210903,160,162,153.75,155,6275,0
SGIL,20210906,158,161.65,155.3,158.8,2544,0
SGIL,20210907,163.85,163.85,154,155.45,5483,0
SGIL,20210908,155.45,159.55,152.25,155.1,3015,0
SGIL,20210909,153.05,160,152.35,158.95,7397,0
SGIL,20210913,157.9,162.95,149.05,152.5,25119,0
SGIL,20210914,152.5,154.2,148.15,149.25,8049,0
SGIL,20210915,152.25,157.05,147.1,155.85,40511,0
SGIL,20210916,159.85,159.85,150.6,152.1,7771,0
SGIL,20210917,155.15,155.15,149.15,150,9389,0
SGIL,20210920,150,153,149,149.2,4962,0
SGIL,20210921,145,152.8,143,150,17074,0
SGIL,20210922,150,153,143.15,148.4,8657,0
SGIL,20210923,152,152,144,148.7,6944,0
SGIL,20210924,152.9,152.9,145,147.95,7482,0
SGIL,20210927,147.95,149.5,138.6,141.65,8404,0
SGIL,20210928,147,149.1,141,145.25,6131,0
SGIL,20210929,148,148,141.05,144.55,1869,0
SGIL,20210930,146.75,150.25,144.55,146.15,12121,0
SGIL,20211001,148.65,148.65,139.9,142.4,15895,0
SGIL,20211004,146,150,137.85,143.35,27667,0
SGIL,20211005,147.6,147.6,138.15,142.2,11658,0
SGIL,20211006,147.5,147.65,141.9,143.3,18665,0
SGIL,20211007,145,148.45,142,142.65,15897,0
SGIL,20211008,142.65,147.15,139.95,141.4,14248,0
SGIL,20211011,144,156,142,150.8,35176,0
SGIL,20211012,153,158,150,154,34394,0
SGIL,20211013,158,162,154.55,155.05,27807,0
SGIL,20211014,158.15,159.15,142.35,150.75,32244,0
SGIL,20211018,154,155.7,147.8,148.9,18832,0
SGIL,20211019,152.9,152.9,145.05,151.2,28535,0
SGIL,20211020,154,157.7,144.6,156.25,38019,0
SGIL,20211021,156.35,158.95,149,153.2,19470,0
SGIL,20211022,156.85,156.85,145.4,148,19481,0
