SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHAREINDIA,20200921,110,119.8,107.3,109.6,81349,0
SHAREINDIA,20200922,109.6,109.9,96.25,100.35,14468,0
SHAREINDIA,20200923,103,104.4,96,99.9,4966,0
SHAREINDIA,20200924,103,103,97.5,100.2,6047,0
SHAREINDIA,20200925,104,106,98.1,104.7,31355,0
SHAREINDIA,20200928,104.5,106.95,101.25,103.7,13502,0
SHAREINDIA,20200929,103.75,104.3,101.5,102,17805,0
SHAREINDIA,20200930,102.3,103.95,100.8,103.7,27115,0
SHAREINDIA,20201001,104,104.5,101,101.2,11245,0
SHAREINDIA,20201005,102,104,101.1,101.85,18058,0
SHAREINDIA,20201006,101,108.5,97.3,106.4,26637,0
SHAREINDIA,20201007,103.55,107,103.5,104.5,30699,0
SHAREINDIA,20201008,103.5,104.65,103,103.95,13631,0
SHAREINDIA,20201009,102.6,103.95,100.75,102.2,12649,0
SHAREINDIA,20201012,103.5,103.5,101,101.7,13369,0
SHAREINDIA,20201013,103.2,103.2,101,101.6,19238,0
SHAREINDIA,20201014,99.55,103.25,97.6,99,6605,0
SHAREINDIA,20201015,97.15,103,97.1,99.45,8113,0
SHAREINDIA,20201016,100,101.75,99.05,101,14234,0
SHAREINDIA,20201019,101,101.5,98.6,99.5,16974,0
SHAREINDIA,20201020,99.75,101.8,98.2,99.6,13182,0
SHAREINDIA,20201021,99,101.05,99,100,15539,0
SHAREINDIA,20201022,98.2,101.2,98.2,100.65,12139,0
SHAREINDIA,20201023,101,109.7,98.4,102.05,8724,0
SHAREINDIA,20201026,102.4,103.4,92.2,100.85,20340,0
SHAREINDIA,20201027,102.4,103.5,100.65,102.15,18699,0
SHAREINDIA,20201028,102,104.35,101.35,102.45,14130,0
SHAREINDIA,20201029,101.5,102.65,100.1,101.1,14587,0
SHAREINDIA,20201030,100.6,105,99,99.35,27976,0
SHAREINDIA,20201102,99.4,101.05,99.4,100.25,15115,0
SHAREINDIA,20201103,100,100.9,98.05,98.05,12290,0
SHAREINDIA,20201104,99,99.7,99,99,12702,0
SHAREINDIA,20201105,100.5,104.75,100.25,101.9,19356,0
SHAREINDIA,20201106,101.05,102.25,97.1,99.65,17611,0
SHAREINDIA,20201109,99.65,101.35,98.45,101,7159,0
SHAREINDIA,20201110,102,102.8,99,100.5,21510,0
