SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHARONBIO,20111207,329.9,329.9,271.25,291.85,22243,100
SHARONBIO,20111208,298,299.4,294,295.1,23466,759
SHARONBIO,20111209,290,298,290,296,18650,0
SHARONBIO,20111212,298.05,299.3,294.5,296.05,21519,535
SHARONBIO,20111213,296.5,298,296,296.2,25391,47
SHARONBIO,20111214,295.6,297.7,295,295.7,10233,7
SHARONBIO,20111215,295,298,293.35,294.55,15514,353
SHARONBIO,20111216,295,297,294.5,296.7,15714,404
SHARONBIO,20111219,295.75,296,292,295,10702,402
SHARONBIO,20111220,295.95,296.95,290,295.1,17915,7562
SHARONBIO,20111221,295.95,295.95,292.95,294.9,10287,79
SHARONBIO,20111222,295.95,296,291.05,292.95,24403,14015
SHARONBIO,20111223,295,296,293,295,16158,604
SHARONBIO,20111226,295,298.5,294.1,295.1,15777,244
SHARONBIO,20111227,295,297.8,290.5,295.25,15815,30
SHARONBIO,20111228,294.95,298,292.8,295.7,11393,81
SHARONBIO,20111229,294.55,294.9,292.2,294,10420,41
SHARONBIO,20111230,296,301,293.1,296.65,11156,344
SHARONBIO,20120102,296,299,294.5,296.5,23020,6302
SHARONBIO,20120103,302,306,300,304,19847,8918
SHARONBIO,20120104,302.6,306,301,303,15982,4880
SHARONBIO,20120105,302.75,304,297,298.55,11854,0
SHARONBIO,20120106,299,299,295,297.3,11096,398
SHARONBIO,20120107,298,299,295,295.15,5375,250
SHARONBIO,20120109,296.95,297,291.95,292.75,17525,303
SHARONBIO,20120110,251.25,297.85,251.25,295.95,19356,3708
SHARONBIO,20120111,295,296,293.2,294.6,17583,6864
SHARONBIO,20120112,294.5,295,291.05,293.8,13688,2751
SHARONBIO,20120113,295.85,296,293,295,10769,116
SHARONBIO,20120116,295,297,293.05,295.7,11471,0
SHARONBIO,20120117,295,302,290,299.4,12888,690
SHARONBIO,20120118,299,304,298,300.65,14794,3776
SHARONBIO,20120119,303,309,292,305.95,18646,6499
SHARONBIO,20120120,303,320,303,318.95,17290,0
SHARONBIO,20120123,318,319.8,315,316.05,12827,1521
SHARONBIO,20120124,319,319.05,315.15,316.05,10995,255
SHARONBIO,20120125,316.25,317,312,316.15,12545,573
SHARONBIO,20120127,317.8,318.95,316,318.65,12975,0
SHARONBIO,20120130,318.5,319,313,316.45,19263,0
SHARONBIO,20120131,316,322,315.95,319.95,13760,0
SHARONBIO,20120201,320,323,311.05,321.65,12342,1400
SHARONBIO,20120202,318.95,326,318.55,325,17785,0
SHARONBIO,20120203,323.5,325,323,324.85,11011,534
SHARONBIO,20120206,323.65,332,323,326.9,11885,669
SHARONBIO,20120207,327,335,326,333.95,12309,980
SHARONBIO,20120208,334.1,334.1,331.25,332.9,18897,0
SHARONBIO,20120209,332.8,336.95,331,335.55,13652,2301
SHARONBIO,20120210,335,339,334,335.35,11778,905
SHARONBIO,20120213,336,341.05,336,341.05,21191,762
SHARONBIO,20120214,342,346,336,343,19421,7337
