SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHEMAROO,20141001,180,182,171,171,1311237,0
SHEMAROO,20141007,162.45,162.45,162.45,162.45,71470,0
SHEMAROO,20141008,154.35,154.35,154.35,154.35,160175,0
SHEMAROO,20141009,146.65,158,146.65,156.05,568988,0
SHEMAROO,20141010,149.65,156,149.65,154,235579,0
SHEMAROO,20141013,155,159.65,152.7,157.8,74449,0
SHEMAROO,20141014,154.05,156.5,152.75,153.8,34303,0
SHEMAROO,20141016,153.8,154.85,147,148.65,34505,0
SHEMAROO,20141017,147,148.75,144,146.1,16504,0
SHEMAROO,20141020,148,153.4,148,153.4,10922,0
SHEMAROO,20141021,159,165,153.5,160.35,238290,93423
SHEMAROO,20141022,159.75,171,157.55,163.15,215936,83375
SHEMAROO,20141023,163.15,164.75,161,162.2,31129,26653
SHEMAROO,20141027,161.05,164.35,156.05,157.1,37560,25875
SHEMAROO,20141028,157.5,157.5,153.05,154.9,38793,25663
SHEMAROO,20141029,154.5,161.5,153.55,157.4,47083,31586
SHEMAROO,20141030,157.9,161.75,155.25,160.25,43939,31536
SHEMAROO,20141031,163.7,165.4,158.65,163.95,147988,112825
SHEMAROO,20141103,161.1,163.95,161,161.5,25458,18475
SHEMAROO,20141105,162.5,166,160.2,161.2,49138,40760
SHEMAROO,20141107,161.2,162.45,160,160.05,20402,14995
SHEMAROO,20141110,160.7,162.85,159.05,160.3,39621,35052
SHEMAROO,20141111,160.05,167,160,164.2,148843,124819
SHEMAROO,20141112,165.45,170.5,162.6,166.05,153740,61463
SHEMAROO,20141113,166,168.75,163,163.25,27158,16892
SHEMAROO,20141114,162.25,167.75,162.2,165.1,29516,22355
SHEMAROO,20141117,166,174.5,164,172.75,123998,75652
SHEMAROO,20141118,174,195.9,173.8,186.15,714880,172944
SHEMAROO,20141119,187.75,192.35,178,181.3,224149,77988
SHEMAROO,20141120,217.4,217.4,200.1,205.75,987159,363822
SHEMAROO,20141121,208.8,209.6,197.1,205.15,317856,132785
SHEMAROO,20141124,207.65,209,201.55,204.95,233866,103209
SHEMAROO,20141125,207,207,190.7,194.8,126856,55347
SHEMAROO,20141126,194.65,201,192.95,198.5,80191,0
SHEMAROO,20141127,198,207.5,198,203.95,131494,0
SHEMAROO,20141128,200,206,199,200.35,55345,0
SHEMAROO,20141201,200,203.9,192.65,193.8,44933,0
SHEMAROO,20141202,194.4,196.95,190.2,193.8,39010,17127
SHEMAROO,20141203,195,198,191,192.85,35610,0
