SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHILPI,20110408,78,84.7,45.4,48.05,51820648,4820715
SHILPI,20110411,45.6,48.4,41.3,44.05,8726177,453792
SHILPI,20110413,43.5,46.5,42.75,44.8,3222441,321368
SHILPI,20110415,45.25,45.25,41.8,42.45,1216324,387898
SHILPI,20110418,42.05,43.25,36.05,37.45,1575140,447494
SHILPI,20110419,37,37.4,35.45,35.75,1196292,239615
SHILPI,20110420,35.1,38.4,35,36.75,1428357,268382
SHILPI,20110421,36.8,37.5,35.5,36.3,743215,225532
SHILPI,20110425,36.65,36.65,34.3,34.75,395311,139073
SHILPI,20110426,34.25,36.45,32.6,34.85,1123667,310231
SHILPI,20110427,34.95,35.8,34.55,34.8,429866,101849
SHILPI,20110428,35,35,32.8,33.15,287828,119740
SHILPI,20110429,33,33.95,30.7,31.1,369655,170640
SHILPI,20110502,31.9,31.9,29.2,29.7,366230,132205
SHILPI,20110503,29.1,29.5,24.25,27.5,611939,144807
SHILPI,20110504,26.15,27.8,25.2,25.5,452572,144675
SHILPI,20110505,26,26,24,24.5,580290,155123
SHILPI,20110506,24.6,25.1,24,24.35,310392,100952
SHILPI,20110509,24.1,24.75,24.05,24.3,160466,74469
SHILPI,20110510,24.4,24.4,23,23.2,186979,69567
SHILPI,20110511,23.3,24.8,23,23.9,464937,94340
SHILPI,20110512,24,25.35,23.3,23.95,324451,82667
SHILPI,20110513,23.8,24.5,23.25,23.45,151013,66122
SHILPI,20110516,23.65,23.7,22.75,22.95,110431,47240
SHILPI,20110517,23.5,23.5,21.1,21.3,181851,89766
SHILPI,20110518,21.4,22.7,20.6,21.85,628968,0
SHILPI,20110519,22,22.4,21.6,21.8,194890,86867
SHILPI,20110520,21.5,21.8,20.45,20.85,296940,104617
SHILPI,20110523,20.45,20.7,19.4,19.75,105535,0
SHILPI,20110524,19.45,20,18.45,18.75,230242,83228
SHILPI,20110525,18.3,19.7,18.3,19.25,245832,128161
SHILPI,20110526,19.15,19.4,18.85,18.95,70621,0
SHILPI,20110527,19,19.25,18.7,19.05,72195,0
SHILPI,20110530,19.05,19.5,18.75,19.25,85575,0
SHILPI,20110531,19,19.3,18.8,19,70169,0
SHILPI,20110601,18.8,19.5,18.8,19.35,61650,0
SHILPI,20110602,19.3,19.65,19,19.05,76962,0
SHILPI,20110603,19.2,19.5,18.6,18.85,123799,38106
SHILPI,20110606,19.15,19.15,18.55,18.9,43842,20764
SHILPI,20110607,18.5,19.2,18.5,18.8,38385,15251
SHILPI,20110608,18.9,19,18.5,18.55,34771,0
SHILPI,20110609,18.6,18.8,17.7,17.95,89411,49643
SHILPI,20110610,18,18.25,17.55,17.7,58524,0
SHILPI,20110613,17.7,17.95,17.4,17.65,62005,35072
SHILPI,20110614,17.5,18,17.5,17.6,59039,37938
SHILPI,20110615,17.7,17.85,17.1,17.3,50624,25886
SHILPI,20110616,17,17.35,16.55,17,41068,0
SHILPI,20110617,17.1,17.65,16.5,17,86342,0
SHILPI,20110620,16.85,17.1,16.15,16.15,72233,0
SHILPI,20110621,16.5,16.5,15.35,15.35,68146,41383
SHILPI,20110622,15.7,15.7,14.6,14.6,60635,0
SHILPI,20110623,14.5,14.5,13.9,13.9,70204,43810
SHILPI,20110624,13.5,14.5,13.3,14.05,128111,48396
SHILPI,20110627,13.85,14.75,13.85,14.75,69069,0
SHILPI,20110628,15.1,15.5,15.05,15.5,80477,0
SHILPI,20110629,16.25,16.3,15.8,16.3,34821,0
SHILPI,20110630,17.1,17.15,17.05,17.15,21196,17090
SHILPI,20110701,18.05,18.05,17.95,18.05,23079,0
SHILPI,20110704,18.95,18.95,17.65,18.85,286265,127394
SHILPI,20110705,18.8,18.8,18.1,18.3,62220,34663
SHILPI,20110706,19,19,17.55,17.9,36430,20334
SHILPI,20110707,17.7,18.25,17.5,17.65,52876,28151
SHILPI,20110708,18,18,17,17.05,35447,0
SHILPI,20110711,17.1,17.35,16.8,16.9,28550,20028
SHILPI,20110712,17.05,17.05,16.2,16.25,27803,0
SHILPI,20110713,16.1,16.45,16.05,16.15,18920,12658
SHILPI,20110714,16.2,16.6,15.85,15.95,26551,0
SHILPI,20110715,16,16.25,15.65,16,20414,12936
SHILPI,20110718,15.85,16.35,15.6,16.2,24527,0
SHILPI,20110719,16.05,17.05,16,17.05,41873,0
SHILPI,20110720,17.8,17.9,17.5,17.85,68295,0
SHILPI,20110721,18.35,18.75,18.2,18.6,63306,0
SHILPI,20110722,18.6,18.6,17.7,17.7,43579,0
SHILPI,20110725,17.7,17.85,17.05,17.3,43205,25261
SHILPI,20110726,17.4,17.45,16.5,16.95,27374,0
SHILPI,20110727,16.8,17.05,16.2,16.55,18272,12582
SHILPI,20110728,16.45,17,16.1,16.3,36242,17267
SHILPI,20110729,16.25,16.65,16.05,16.45,37518,0
SHILPI,20110801,15.9,17.25,15.9,16.7,45530,30497
SHILPI,20110802,16.65,16.85,16,16.2,16569,12259
SHILPI,20110803,16.05,16.25,15.8,15.95,26914,0
SHILPI,20110804,15.15,16.2,15.15,15.85,22037,17137
SHILPI,20110805,15.3,15.45,15.1,15.1,33286,0
SHILPI,20110808,14.6,14.6,14.35,14.45,28518,0
SHILPI,20110809,14,14.75,13.75,14.15,62930,38113
SHILPI,20110810,14.85,14.9,14,14.85,25541,0
SHILPI,20110811,14.7,14.8,14.15,14.3,38575,0
SHILPI,20110812,14,14.5,13.6,14,29176,0
SHILPI,20110816,14,14.3,13.55,13.65,28309,18558
SHILPI,20110817,13.4,13.5,13,13,44961,0
SHILPI,20110818,13.2,13.2,12.4,12.45,27531,12113
SHILPI,20110819,12.45,12.5,11.85,12,44199,34103
SHILPI,20110822,12.5,12.5,11.85,12.4,26947,0
SHILPI,20110823,12,12.95,12,12.45,19559,14540
SHILPI,20110824,12.15,13.1,12.15,12.65,15659,8128
SHILPI,20110825,13,13,12.2,12.35,19953,0
SHILPI,20110826,12,12.75,11.8,12.05,23237,17361
SHILPI,20110829,12.05,12.6,11.75,12.05,39359,0
SHILPI,20110830,12,12.55,12,12.35,17931,0
SHILPI,20110902,12.05,12.75,12.05,12.4,15429,9461
SHILPI,20110905,12.85,12.85,12.15,12.3,18709,11056
SHILPI,20110906,12.25,12.3,12.05,12.2,15886,13235
SHILPI,20110907,12.25,12.8,12.15,12.3,36674,25580
SHILPI,20110908,12.35,13.55,12.35,12.75,27347,22548
SHILPI,20110909,12.4,14.05,12.4,13.65,60911,0
SHILPI,20110912,13.85,15.05,13.35,15,49444,0
SHILPI,20110913,15.5,16.35,14.75,15.25,78183,0
SHILPI,20110914,15.05,16.1,15.05,15.35,37301,0
SHILPI,20110915,15.35,15.5,14.85,15,18900,0
SHILPI,20110916,14.6,14.9,14.05,14.2,25002,15462
SHILPI,20110919,14.2,14.35,13.8,14.2,39916,28899
SHILPI,20110920,14,14.25,13.9,14.1,22403,16508
SHILPI,20110921,15.2,15.2,14,14.15,12522,0
