SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHREPRECOT,19950512,13,13,13,13,300,0
SHREPRECOT,19950515,13,13,13,13,200,0
SHREPRECOT,19950517,12,12,12,12,500,0
SHREPRECOT,19950518,12,12.5,12,12.5,1100,0
SHREPRECOT,19950519,12.1,12.5,12,12.25,1600,0
SHREPRECOT,19950522,11.6,12,11.6,12,1500,0
SHREPRECOT,19950523,12,12.1,12,12.1,600,0
SHREPRECOT,19950524,11.95,12,11.95,12,2500,0
SHREPRECOT,19950525,12.05,12.5,12,12.5,1500,0
SHREPRECOT,19950526,12,12.25,12,12.05,1900,0
SHREPRECOT,19950529,12.1,12.1,11.25,11.5,1700,0
SHREPRECOT,19950530,11.5,11.5,11.25,11.4,1900,0
SHREPRECOT,19950531,11.85,11.9,11.85,11.9,1100,0
SHREPRECOT,19950601,11.95,12,11.95,12,1500,0
SHREPRECOT,19950602,12.7,13.5,12.7,13.5,5000,0
SHREPRECOT,19950605,11.8,12.2,11.8,12.2,1500,0
SHREPRECOT,19950606,11.95,12.95,11.95,12.85,1000,0
SHREPRECOT,19950607,12,12,12,12,100,0
SHREPRECOT,19950608,12.25,12.75,12.25,12.75,3700,0
SHREPRECOT,19950609,11.5,11.75,11.5,11.75,700,0
SHREPRECOT,19950612,11.05,11.05,11.05,11.05,300,0
SHREPRECOT,19950613,11.25,11.9,11.25,11.8,2500,0
SHREPRECOT,19950614,11,11,11,11,1900,0
SHREPRECOT,19950615,10.5,10.5,10,10.4,2800,0
SHREPRECOT,19950616,10,11,10,10.75,5300,0
SHREPRECOT,19950619,11.1,11.1,11.1,11.1,1200,0
SHREPRECOT,19950620,11.1,12,11.1,12,3000,0
SHREPRECOT,19950621,11.85,12.75,11.85,12.5,8100,0
SHREPRECOT,19950622,13,13,12.55,12.9,3000,0
SHREPRECOT,19950623,12.95,13,12.95,13,300,0
SHREPRECOT,19950626,12.25,12.25,12.25,12.25,500,0
SHREPRECOT,19950627,12,13.1,12,12.55,2900,0
SHREPRECOT,19950628,12.75,12.75,12.75,12.75,500,0
SHREPRECOT,19950629,13,13,12.5,12.5,600,0
SHREPRECOT,19950630,12.25,12.25,12,12,400,0
SHREPRECOT,19950704,12,12,12,12,100,0
SHREPRECOT,19950705,12.1,12.1,12.1,12.1,1100,0
SHREPRECOT,19950706,12,12,12,12,2000,0
SHREPRECOT,19950707,12.05,12.75,12.05,12.75,3400,0
SHREPRECOT,19950710,12.6,13,12.6,13,2200,0
SHREPRECOT,19950711,13,13,12.25,12.25,5300,0
SHREPRECOT,19950712,12.25,12.5,12,12,9400,0
