SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHREYANIND,19950510,95,100,95,100,1400,0
SHREYANIND,19950512,97,101,97,100,7200,0
SHREYANIND,19950515,98,107,98,107,3100,0
SHREYANIND,19950516,102,105,101,102.5,2450,0
SHREYANIND,19950517,105,111,105,111,750,0
SHREYANIND,19950518,113,113,110,110.05,1000,0
SHREYANIND,19950519,110,110,106,110,2350,0
SHREYANIND,19950522,107,110,107,110,2150,0
SHREYANIND,19950523,109,111,108,110.1,2950,0
SHREYANIND,19950524,110,115,110,115,2750,0
SHREYANIND,19950525,110.5,115,110,115,3500,0
SHREYANIND,19950526,111.95,116,111.95,116,1350,0
SHREYANIND,19950529,115,116,115,115,750,0
SHREYANIND,19950530,114,116,113,113,4650,0
SHREYANIND,19950531,114.95,115,112,112,800,0
SHREYANIND,19950601,111,115,110,114.75,3400,0
SHREYANIND,19950602,114,115,114,115,800,0
SHREYANIND,19950605,119,122,118,118,1600,0
SHREYANIND,19950606,117,117.05,115,115,1150,0
SHREYANIND,19950607,115,120,115,120,850,0
SHREYANIND,19950608,118,123,118,121,1900,0
SHREYANIND,19950609,122,125,122,125,1650,0
SHREYANIND,19950612,125,130,125,129,1900,0
SHREYANIND,19950613,130,140,120,128,3650,0
SHREYANIND,19950614,127,130,127,130,1900,0
SHREYANIND,19950615,125,130,125,129.5,1550,0
SHREYANIND,19950616,124,127.5,124,125,1000,0
SHREYANIND,19950619,125,125,124,124,1100,0
SHREYANIND,19950620,120,120,111,114,550,0
SHREYANIND,19950621,110,115,110,113,4350,0
SHREYANIND,19950622,112.5,113,112.25,112.4,550,0
SHREYANIND,19950623,112,113,107,107,2350,0
SHREYANIND,19950626,110,114,108,113.35,1700,0
SHREYANIND,19950627,111.3,120,111,119.35,2700,0
SHREYANIND,19950628,112,116,112,116,250,0
SHREYANIND,19950629,113,113,113,113,150,0
SHREYANIND,19950630,112,113,112,113,200,0
SHREYANIND,19950703,112,112,110,110,350,0
SHREYANIND,19950704,109.75,110,108,108,550,0
SHREYANIND,19950705,110,111,109,110.2,600,0
SHREYANIND,19950706,108,109,108,108,200,0
SHREYANIND,19950707,110,112,110,111,400,0
SHREYANIND,19950710,108,113,108,113,300,0
SHREYANIND,19950711,113,113,112.05,112.05,100,0
SHREYANIND,19950712,112.05,112.5,112.05,112.5,150,0
SHREYANIND,19950717,112,112,112,112,50,0
SHREYANIND,19950720,119,120,119,120,350,0
SHREYANIND,19950721,123.5,123.5,123.5,123.5,700,0
SHREYANIND,19950724,123,123,123,123,50,0
SHREYANIND,19950725,124,125,124,124,400,0
SHREYANIND,19950726,121,123,121,123,1100,0
SHREYANIND,19950727,119,119,117,117,1350,0
SHREYANIND,19950728,113,113,113,113,100,0
SHREYANIND,19950803,112,112,112,112,50,0
SHREYANIND,19950804,110,114,110,114,300,0
SHREYANIND,19950807,120,120,120,120,250,0
SHREYANIND,19950808,122,135,121,135,1050,0
SHREYANIND,19950809,135,135,135,135,50,0
SHREYANIND,19950811,130,130,130,130,50,0
SHREYANIND,19950814,125,125,125,125,100,0
SHREYANIND,19950816,128,128,128,128,100,0
SHREYANIND,19950817,137,144,137,143,650,0
SHREYANIND,19950818,140,143.1,139,140,900,0
SHREYANIND,19950821,140,142,140,142,600,0
SHREYANIND,19950822,143,143.5,140,141.15,1000,0
SHREYANIND,19950823,141,142,140,140,850,0
SHREYANIND,19950824,138.9,140,138.9,140,850,0
SHREYANIND,19950825,134,137,134,135.5,200,0
SHREYANIND,19950828,139,142.5,139,142,3150,0
SHREYANIND,19950830,147,147.5,147,147.5,350,0
SHREYANIND,19950831,140,148.9,140,148.45,1150,0
SHREYANIND,19950901,150,152,145.5,145.5,1350,0
SHREYANIND,19950905,147,150,145,148.5,4250,0
SHREYANIND,19950906,148,164,148,161,8150,0
SHREYANIND,19950907,161,161,152.5,153,6550,0
SHREYANIND,19950908,153,153,152.5,153,700,0
SHREYANIND,19950911,148,150.5,147,149,650,0
SHREYANIND,19950912,145.05,146.75,145.05,146.75,1000,0
SHREYANIND,19950913,145,150,145,148,1850,0
SHREYANIND,19950914,145,150,145,150,1300,0
SHREYANIND,19950915,148,151.9,148,149.5,3000,0
SHREYANIND,19950918,150,152,150,150.5,1150,0
SHREYANIND,19950919,150,153,148.05,151.9,3950,0
SHREYANIND,19950920,148,148,148,148,900,0
SHREYANIND,19950921,140,141,140,141,150,0
SHREYANIND,19950922,143.5,143.5,138,138,600,0
SHREYANIND,19950925,136,138.5,136,136.25,950,0
SHREYANIND,19950926,132,132,125,132,550,0
SHREYANIND,19950927,130,130,130,130,150,0
SHREYANIND,19950928,129,130,125,125,750,0
