SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SHRMHONDA,19950308,126,126,125,125,200,0
SHRMHONDA,19950315,115,115,115,115,100,0
SHRMHONDA,19950322,105,105,105,105,100,0
SHRMHONDA,19950328,111,111,111,111,100,0
SHRMHONDA,19950329,112,112,112,112,100,0
SHRMHONDA,19950330,113,113,113,113,100,0
SHRMHONDA,19950403,105,105,105,105,200,0
SHRMHONDA,19950417,105,105,105,105,100,0
SHRMHONDA,19950425,105,105,105,105,200,0
SHRMHONDA,19950427,105,105,105,105,100,0
SHRMHONDA,19950508,108,108,108,108,200,0
SHRMHONDA,19950509,117.5,125,117.5,122.5,400,0
SHRMHONDA,19950517,119.95,120,119.95,120,200,0
SHRMHONDA,19950518,126,126,126,126,100,0
SHRMHONDA,19950519,126,126,126,126,100,0
SHRMHONDA,19950523,125,125,124,124,200,0
SHRMHONDA,19950524,123,123,123,123,200,0
SHRMHONDA,19950601,123,123,122,122,200,0
SHRMHONDA,19950602,122,122,122,122,100,0
SHRMHONDA,19950605,122,124,122,124,600,0
SHRMHONDA,19950607,125,125,125,125,100,0
SHRMHONDA,19950608,130,130,130,130,800,0
SHRMHONDA,19950612,128.5,128.5,127.5,127.5,1900,0
SHRMHONDA,19950613,126.5,126.5,126.5,126.5,100,0
SHRMHONDA,19950614,126.5,126.5,126.5,126.5,100,0
SHRMHONDA,19950615,126,129,126,129,600,0
SHRMHONDA,19950616,129,133,129,133,200,0
SHRMHONDA,19950619,135,135,135,135,400,0
SHRMHONDA,19950620,143,143,138,138,400,0
SHRMHONDA,19950621,140,140,140,140,500,0
SHRMHONDA,19950626,148,148,148,148,500,0
SHRMHONDA,19950627,140,140,140,140,800,0
SHRMHONDA,19950629,136,140,136,140,800,0
SHRMHONDA,19950630,136,136,136,136,100,0
SHRMHONDA,19950704,142.75,145,142.75,145,200,0
SHRMHONDA,19950705,136,136,136,136,100,0
SHRMHONDA,19950706,144,144,144,144,200,0
SHRMHONDA,19950707,144,144,144,144,200,0
SHRMHONDA,19950711,145,145,140,140,300,0
SHRMHONDA,19950713,142,145,142,144.5,1200,0
SHRMHONDA,19950714,150,150,150,150,100,0
SHRMHONDA,19950717,150.25,152,150,152,1300,0
SHRMHONDA,19950718,151,151,151,151,200,0
SHRMHONDA,19950719,162,162,162,162,200,0
SHRMHONDA,19950720,160,160,160,160,300,0
SHRMHONDA,19950721,159,159,159,159,100,0
SHRMHONDA,19950727,157.5,158,157.5,158,600,0
SHRMHONDA,19950728,157,159.95,157,159.05,700,0
SHRMHONDA,19950731,149.5,155,149.5,155,500,0
SHRMHONDA,19950801,148,155,148,155,300,0
SHRMHONDA,19950802,156,160,156,160,300,0
SHRMHONDA,19950803,160,160,160,160,300,0
SHRMHONDA,19950804,163.5,164,163.5,164,600,0
SHRMHONDA,19950807,170,170,170,170,100,0
SHRMHONDA,19950808,165,165,165,165,200,0
SHRMHONDA,19950809,162,162,162,162,100,0
SHRMHONDA,19950811,155,155,155,155,100,0
SHRMHONDA,19950821,150,150,150,150,100,0
SHRMHONDA,19950825,148,148,148,148,100,0
SHRMHONDA,19950828,155,158,155,158,300,0
SHRMHONDA,19950901,158,158,158,158,100,0
SHRMHONDA,19950905,155,155,155,155,100,0
SHRMHONDA,19950907,158,158,158,158,100,0
SHRMHONDA,19950908,159,160,159,160,200,0
SHRMHONDA,19950913,157,157,157,157,100,0
SHRMHONDA,19950915,154,154,154,154,200,0
SHRMHONDA,19950918,150,150,150,150,300,0
SHRMHONDA,19950919,159.95,160,159.95,160,200,0
SHRMHONDA,19950920,159.95,162,159.95,162,300,0
SHRMHONDA,19950926,152,154,152,154,200,0
SHRMHONDA,19950927,155,155,155,155,100,0
SHRMHONDA,19950928,154,155,154,155,600,0
SHRMHONDA,19950929,152.1,152.1,152,152,200,0
SHRMHONDA,19951005,163,163,163,163,1200,0
SHRMHONDA,19951009,160,162.5,160,160,500,0
SHRMHONDA,19951010,158,162,158,162,400,0
SHRMHONDA,19951011,159,160.75,159,160.75,400,0
SHRMHONDA,19951012,159,163,159,163,800,0
SHRMHONDA,19951013,160,164,160,164,600,0
SHRMHONDA,19951016,160,160,160,160,100,0
SHRMHONDA,19951017,157.5,157.5,157.5,157.5,200,0
SHRMHONDA,19951018,155.5,155.5,154,154,200,0
SHRMHONDA,19951019,159,160,159,160,200,0
SHRMHONDA,19951030,150,156,150,156,500,0
SHRMHONDA,19951031,155,155,155,155,200,0
SHRMHONDA,19951101,152,160,152,160,1500,0
SHRMHONDA,19951102,158,158,158,158,100,0
SHRMHONDA,19951103,155,155,150,150,600,0
SHRMHONDA,19951109,147,147,147,147,100,0
SHRMHONDA,19951110,147,150,147,150,500,0
SHRMHONDA,19951116,135,135,135,135,100,0
SHRMHONDA,19951117,135,135,135,135,100,0
SHRMHONDA,19951121,135,135,135,135,200,0
SHRMHONDA,19951122,125,127.5,125,127.5,200,0
SHRMHONDA,19951123,120,120,120,120,100,0
SHRMHONDA,19951124,119.95,119.95,119.95,119.95,100,0
SHRMHONDA,19951130,119.95,124,124,124,100,0
SHRMHONDA,19951204,115,115,115,115,100,0
SHRMHONDA,19951205,115.05,115.05,115.05,115.05,300,0
SHRMHONDA,19951207,117,117,117,117,100,0
SHRMHONDA,19951208,127.95,128,127.95,128,200,0
SHRMHONDA,19951211,128,140,134.6,140,1100,0
SHRMHONDA,19951212,140,142,139,140,1600,0
SHRMHONDA,19951213,140,141.6,141.5,141.6,200,0
SHRMHONDA,19951215,142,142,141.55,141.55,200,0
SHRMHONDA,19951218,141.55,145,142,145,600,0
SHRMHONDA,19951219,145,143.25,143,143.25,900,0
SHRMHONDA,19951221,144,145.5,144,145.5,600,0
SHRMHONDA,19951222,150,150,150,150,100,0
SHRMHONDA,19951226,150,150,148.05,148.05,1400,0
SHRMHONDA,19951227,148.05,151,149,151,700,0
SHRMHONDA,19951228,151,151.75,150,151,900,0
SHRMHONDA,19951229,151,151,151,151,200,0
SHRMHONDA,19960101,151,151,151,151,100,0
SHRMHONDA,19960102,151,150.05,150.05,150.05,400,0
SHRMHONDA,19960103,150.05,152,150,150,400,0
