SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SIMPLEXINF,20051221,1315,1350,1260,1334.65,5575,5222
SIMPLEXINF,20051222,1357,1444,1349,1415.3,8006,7108
SIMPLEXINF,20051223,1450,1464,1390,1400.8,4598,3728
SIMPLEXINF,20051226,1411,1411,1378,1385.4,2044,1839
SIMPLEXINF,20051227,1370,1399.7,1370,1387.3,5528,5327
SIMPLEXINF,20051228,1390,1420,1390,1412.2,11576,10953
SIMPLEXINF,20051229,1396,1484.7,1396,1472,3023,2166
SIMPLEXINF,20051230,1498,1520,1475,1500,4670,3846
SIMPLEXINF,20060102,1535,1535,1495,1501.75,1421,1384
SIMPLEXINF,20060103,1505,1534.9,1500,1504.8,3132,2786
SIMPLEXINF,20060104,1490,1510,1490,1501,727,685
SIMPLEXINF,20060105,1503,1503,1480,1496.4,1751,1649
SIMPLEXINF,20060106,1500,1500,1483.05,1485,647,593
SIMPLEXINF,20060109,1485,1499,1472,1483.1,1682,1572
SIMPLEXINF,20060110,1483.1,1489.8,1456,1470.4,1030,881
SIMPLEXINF,20060112,1475,1534,1470,1517.6,2344,1727
SIMPLEXINF,20060113,1540,1585,1528.7,1562.95,3465,2049
SIMPLEXINF,20060116,1562.95,1562.95,1499,1552.4,1023,0
SIMPLEXINF,20060117,1569.95,1570,1532.05,1532.05,3931,3654
SIMPLEXINF,20060118,1468.15,1545,1467,1520.7,3688,0
SIMPLEXINF,20060119,1550,1625,1540,1609.65,2750,1683
SIMPLEXINF,20060120,1648,1760,1612,1738.4,3802,2655
SIMPLEXINF,20060123,1751.55,1798.95,1730,1772.55,1423,894
SIMPLEXINF,20060124,1799,1799,1710,1735.2,1646,1505
SIMPLEXINF,20060125,1755,1755,1672,1697.15,1120,971
SIMPLEXINF,20060127,1700,1720,1670,1687.45,2248,0
SIMPLEXINF,20060130,1687.45,1709.7,1556.05,1658.25,840,671
SIMPLEXINF,20060131,1670,1670,1625,1659.85,1848,0
SIMPLEXINF,20060201,1679,1699.75,1556,1568.65,1294,0
SIMPLEXINF,20060202,1545,1600,1500,1533.15,2017,0
SIMPLEXINF,20060203,1511,1559,1475,1500.4,443,418
SIMPLEXINF,20060206,1500.4,1560,1500.4,1526.35,3928,3809
SIMPLEXINF,20060207,1564.5,1564.5,1500.25,1503.85,505,418
SIMPLEXINF,20060208,1504,1550,1503,1530.05,3599,3455
SIMPLEXINF,20060210,1510.25,1540,1510,1525.3,333,212
SIMPLEXINF,20060213,1536,1760,1536,1733.25,2973,1993
SIMPLEXINF,20060214,1845.95,1850,1626.15,1656.45,1923,0
SIMPLEXINF,20060215,1700,1717.35,1610,1645.9,960,842
SIMPLEXINF,20060216,1679,1698,1640.05,1680.45,7288,7164
SIMPLEXINF,20060217,1700,1714,1590,1614.85,724,0
SIMPLEXINF,20060220,1652,1660,1577.55,1630.15,418,345
SIMPLEXINF,20060221,1700,1700,1615.05,1662.4,3484,0
SIMPLEXINF,20060222,1662,1678,1600,1645.5,1333,0
SIMPLEXINF,20060223,1660,1697.5,1620,1668.45,379,0
SIMPLEXINF,20060224,1750,1750,1635,1650.5,5177,5134
SIMPLEXINF,20060227,1610.05,1694.9,1600,1625.7,1205,0
SIMPLEXINF,20060228,1667.45,1680,1628,1650.3,622,516
SIMPLEXINF,20060301,1689,1689,1651.6,1663.45,678,0
SIMPLEXINF,20060302,1690,1825,1665,1728.95,7559,0
SIMPLEXINF,20060303,1785.5,1810,1745,1761.5,2735,1443
SIMPLEXINF,20060306,1820,1900,1820,1879.75,6696,5194
SIMPLEXINF,20060307,1945,1945,1860,1871.35,3972,2843
SIMPLEXINF,20060308,1887,1900,1830.45,1840,1634,0
SIMPLEXINF,20060309,1775,1830,1750.05,1796.35,4630,0
SIMPLEXINF,20060310,1780.2,1888,1780,1839.3,6125,0
SIMPLEXINF,20060313,1910,2015,1822,1946.75,8470,5800
SIMPLEXINF,20060314,1950,2045,1947.15,1995.9,5617,0
SIMPLEXINF,20060316,2045,2045,1980.1,1987.45,5079,0
SIMPLEXINF,20060317,2039,2039.5,1983,2000.25,6527,5652
SIMPLEXINF,20060320,2040,2043.8,2005,2023.15,4779,0
SIMPLEXINF,20060321,1958,2050,1958,1983.75,712,0
SIMPLEXINF,20060322,1981,2020,1948,1954.6,5530,0
SIMPLEXINF,20060323,1950,1980,1850.1,1908.75,3725,0
SIMPLEXINF,20060324,1900,1949.9,1870,1898.5,5635,3312
SIMPLEXINF,20060327,1830,1959.95,1830,1910.6,14502,13275
SIMPLEXINF,20060328,1948.95,1948.95,1866,1871.8,11875,11639
SIMPLEXINF,20060329,1870.55,1930,1856.3,1912.2,2947,2587
SIMPLEXINF,20060330,2000,2001,1865.3,1901.65,9296,0
SIMPLEXINF,20060331,1901.5,1929.9,1890,1897.65,8645,8556
SIMPLEXINF,20060403,1901.1,2000,1901.05,1994.75,8819,0
SIMPLEXINF,20060404,2088,2115,1950,2099.05,7548,0
