SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SIRCA,20190722,207.9,207.9,188,200.85,14828,0
SIRCA,20190723,185.9,203,185.9,198,25579,0
SIRCA,20190724,200.1,200.1,193,193.1,6179,0
SIRCA,20190725,190.4,197,190,192.6,6277,0
SIRCA,20190726,180,192.5,180,189.95,4865,0
SIRCA,20190729,173,197.05,173,185.5,2733,0
SIRCA,20190730,176,195,172.55,177.9,2188,0
SIRCA,20190731,172.5,183.7,160.95,177.65,11078,0
SIRCA,20190801,162,179.7,162,175,1202,0
SIRCA,20190802,164,190,164,177.1,9278,0
SIRCA,20190805,164,195,164,182.2,12843,0
SIRCA,20190806,182.2,188.95,182.2,187.45,18573,0
SIRCA,20190807,195,195,185,185.25,13216,0
SIRCA,20190808,174.4,194.95,174.4,185,1616,0
SIRCA,20190809,181,185.1,180.5,183.55,2632,0
SIRCA,20190813,186,186,175.05,180.4,2373,0
SIRCA,20190814,185,190.1,184.95,189,4495,0
SIRCA,20190816,192.5,200.05,191.85,197.5,17142,0
SIRCA,20190819,208.85,208.85,190.1,193.15,4046,0
SIRCA,20190820,191.7,195,185.1,187.25,3657,0
SIRCA,20190821,199.35,199.35,183.5,186,4340,0
SIRCA,20190822,190,190,180.1,180.85,2435,0
SIRCA,20190823,180,181,180,181,250,0
SIRCA,20190826,181,188,181,181.25,1151,0
SIRCA,20190827,188,190.3,181.05,183.05,1323,0
SIRCA,20190828,183.05,187.9,183,187.8,91,0
SIRCA,20190829,187.8,187.8,183,184.4,734,0
SIRCA,20190830,189.9,189.9,186,187.45,905,0
SIRCA,20190903,182.1,196,182,192.75,3477,0
SIRCA,20190904,192.75,192.75,186,186.05,792,0
SIRCA,20190905,186.25,194.8,186,193,5146,0
SIRCA,20190906,190,194.9,183.35,190.45,6510,0
SIRCA,20190909,193.5,193.5,185,190,323,0
SIRCA,20190911,198,198,185.05,188.95,2245,0
SIRCA,20190912,187,193.95,185.5,185.5,1145,0
SIRCA,20190913,187,190.6,185.05,186,2915,0
SIRCA,20190916,194.8,194.8,183.65,186.6,5096,0
SIRCA,20190917,185.1,187.1,183.05,183.45,2614,0
SIRCA,20190918,184.95,186.25,184,184.15,4376,0
SIRCA,20190919,184.8,190,184.5,185.5,16568,0
SIRCA,20190920,191.5,208.85,187.6,188.5,3416,0
SIRCA,20190923,205,205,184.05,199.8,25580,0
SIRCA,20190924,212,212,196.05,196.8,5314,0
SIRCA,20190925,200,200,190.75,198.5,11698,0
SIRCA,20190926,200,209.8,188.3,188.55,8413,0
SIRCA,20190927,199.55,199.55,188.2,195.45,3951,0
SIRCA,20190930,195,196.5,189.05,190.4,1676,0
SIRCA,20191001,196.5,196.5,186,189.8,1679,0
SIRCA,20191003,194.95,194.95,183.9,184.75,2019,0
SIRCA,20191004,192,192,180.05,181.1,2233,0
SIRCA,20191007,181.7,192.9,179,180,4095,0
SIRCA,20191009,180.05,188.95,180.05,185.15,939,0
SIRCA,20191010,189,189,176.2,187,3710,0
SIRCA,20191011,185.9,185.9,178,185.85,970,0
SIRCA,20191014,182,189.5,176.9,184.25,1831,0
SIRCA,20191015,182.5,188,182.05,183,1244,0
SIRCA,20191016,187.6,188.85,182,188.15,4350,0
SIRCA,20191017,188,188,184,185.95,2060,0
SIRCA,20191018,185,188.8,180,185.9,3259,0
SIRCA,20191022,180.1,193,180.1,188.8,744,0
SIRCA,20191023,184,190,181.1,184.4,3792,0
SIRCA,20191024,190.4,191.6,182,182.95,11764,0
SIRCA,20191025,191.4,191.4,175.2,180,7381,0
SIRCA,20191027,189.95,193.65,185,186.8,4894,0
SIRCA,20191029,196.9,196.9,174.05,175.6,28366,0
SIRCA,20191030,182.45,183.75,165.25,167.3,10019,0
SIRCA,20191031,165.45,170.8,160.15,165.2,17815,0
SIRCA,20191101,170.8,178.2,158.5,166.1,14051,0
SIRCA,20191104,166.05,184.7,166.05,179.05,9025,0
SIRCA,20191105,183.85,183.95,175.05,179.6,8244,0
SIRCA,20191106,182.4,182.4,172,175.7,7062,0
SIRCA,20191107,171,179,171,173.35,5868,0
SIRCA,20191108,169.05,180,169.05,177.9,1541,0
SIRCA,20191111,179.45,183.95,179,182.35,15974,0
SIRCA,20191113,184.85,190,184,189.35,46479,0
SIRCA,20191114,195.5,227.2,195.05,227.2,193811,0
SIRCA,20191115,234.9,247.05,222.1,237.1,137849,0
SIRCA,20191118,230,245,230,241.8,14866,0
SIRCA,20191119,244,248.9,235,245.65,32657,0
SIRCA,20191120,244,245,220,236.65,10980,0
SIRCA,20191121,235.95,247.4,225.55,242.9,13009,0
SIRCA,20191122,241.8,255,238,249.95,28630,0
SIRCA,20191125,248,254,246.1,251.1,40864,0
SIRCA,20191126,253,253.9,241.05,244.6,7871,0
SIRCA,20191127,252,252,240.15,243.8,5026,0
SIRCA,20191128,251.75,251.75,240.55,244.85,4979,0
SIRCA,20191129,249,249,242,243.2,3642,0
SIRCA,20191202,243,250,243,245.85,11206,0
SIRCA,20191203,244,248.95,243.3,244.15,2296,0
SIRCA,20191204,245,249,244.5,247.1,2104,0
SIRCA,20191205,249.9,249.9,241.2,245.05,7031,0
SIRCA,20191206,241.05,250,241,246.7,27806,0
SIRCA,20191209,246.7,246.7,243.2,243.6,6636,0
SIRCA,20191210,251.6,255,236,236.1,3540,0
SIRCA,20191211,231,243,231,235.1,1891,0
SIRCA,20191212,235.1,240,232,236.35,2374,0
SIRCA,20191213,239.95,248,234.7,242.75,14186,0
SIRCA,20191216,241,245.5,241,243.8,2061,0
SIRCA,20191217,243,243.5,241.75,241.75,2746,0
SIRCA,20191218,248,248,237.6,239.85,4764,0
SIRCA,20191219,239.85,241,227.9,239,6200,0
SIRCA,20191220,239.95,239.95,234,238.35,1132,0
SIRCA,20191223,238.35,240,236,237.5,3013,0
SIRCA,20191224,236,239,235,235.2,1591,0
SIRCA,20191226,240,240,232,238,553,0
SIRCA,20191227,240,240,230.05,236.45,1081,0
SIRCA,20191230,244,244,232,239.8,2386,0
SIRCA,20191231,241,245,235,237.75,4281,0
SIRCA,20200101,230.6,240,230.6,235,2922,0
SIRCA,20200102,230,240,230,238.7,2587,0
SIRCA,20200103,240,244,233.05,243.15,6329,0
SIRCA,20200106,248.4,248.4,236,236.95,4701,0
SIRCA,20200107,248.4,248.4,235,236.65,5789,0
SIRCA,20200108,232.5,241.1,232.5,239.85,3308,0
SIRCA,20200109,239.85,240,235.2,240,2635,0
SIRCA,20200110,235,242.85,235,240,4125,0
SIRCA,20200113,245,245,230.5,240.85,2756,0
SIRCA,20200114,248.4,248.4,235,237.3,1993,0
SIRCA,20200115,235.1,240,230.1,232.75,4190,0
SIRCA,20200116,230.1,239.9,230,235,6775,0
SIRCA,20200117,236,239.8,229,230.75,10861,0
SIRCA,20200120,237.95,237.95,226.6,227.95,14355,0
SIRCA,20200121,228,233.95,224.05,229.05,7863,0
SIRCA,20200122,231.95,239.75,227,235.25,3834,0
SIRCA,20200123,239.9,245,232.2,234.95,7479,0
SIRCA,20200124,235,246.2,234,244.1,24928,0
SIRCA,20200127,248.4,256.3,245,255.25,13431,0
SIRCA,20200128,255.25,268,255.25,268,31653,0
SIRCA,20200129,275,281.4,270,280.1,14477,0
SIRCA,20200130,289,292,280.1,289,10694,0
SIRCA,20200131,299.95,299.95,274.55,277.75,14796,0
SIRCA,20200201,263.9,291.6,263.9,288.55,26252,0
SIRCA,20200203,300,302.95,291.05,302.5,21851,0
SIRCA,20200204,312.9,313,302.5,310.1,14261,0
SIRCA,20200205,295.1,314.9,295.1,307.7,7917,0
SIRCA,20200206,300,320,300,318.15,18123,0
SIRCA,20200207,320,324.9,318,323.8,14438,0
SIRCA,20200210,324.9,338,324,327.1,26014,0
SIRCA,20200211,328,331,320,328.75,33861,0
SIRCA,20200212,337.95,337.95,328,332,23067,0
SIRCA,20200213,332,333,327,329.6,7509,0
SIRCA,20200214,327,346,327,337.1,24491,0
SIRCA,20200217,334.5,334.5,320.25,320.25,13004,0
SIRCA,20200218,320.6,333,309,319.5,23731,0
SIRCA,20200219,320,326,316,325.9,9045,0
SIRCA,20200220,323,330.3,323,330.25,6029,0
SIRCA,20200224,330.25,330.25,320,321.25,7353,0
SIRCA,20200225,320,323.5,315,318.2,13804,0
SIRCA,20200226,319,329,315,321.65,5355,0
SIRCA,20200227,321,326,307,325.75,16844,0
SIRCA,20200228,315.1,325,310,318,7676,0
SIRCA,20200302,322,333.5,316,320.95,8347,0
SIRCA,20200303,320.95,327,313.5,316.6,6192,0
SIRCA,20200304,321.95,321.95,300.8,300.8,13518,0
SIRCA,20200305,300.95,313,298,302.6,14725,0
SIRCA,20200306,300,300,287.5,288.3,21866,0
SIRCA,20200309,290,290,273.9,273.9,14055,0
SIRCA,20200311,279,284.75,267,274.95,9835,0
SIRCA,20200312,262,262.25,259.8,259.8,4533,0
SIRCA,20200313,246.85,266.85,246.85,246.85,21154,0
SIRCA,20200316,234.55,249.9,234.55,234.55,16934,0
SIRCA,20200317,222.85,229.5,222.85,222.85,24599,0
SIRCA,20200318,212.1,212.1,211.75,211.75,3893,0
SIRCA,20200319,201.2,201.2,201.2,201.2,819,0
SIRCA,20200320,192,192,191.15,191.15,17632,0
SIRCA,20200323,181.6,181.6,181.6,181.6,590,0
SIRCA,20200324,172.55,172.55,172.55,172.55,663,0
SIRCA,20200325,172.55,181.15,163.95,169.5,114785,0
SIRCA,20200326,169.5,177.95,162,165.6,122398,0
SIRCA,20200327,173.25,173.85,157.4,169.05,23403,0
SIRCA,20200330,176.25,177.5,167.45,176.25,21894,0
SIRCA,20200331,184.8,185.05,178.05,185.05,5815,0
SIRCA,20200401,194,194.3,190.1,194.3,7819,0
SIRCA,20200403,204,204,196,204,4883,0
SIRCA,20200407,214.2,214.2,194.65,205.15,17501,0
SIRCA,20200408,208,211.95,195,196.55,7292,0
SIRCA,20200409,200.05,206.35,195,206.2,7409,0
SIRCA,20200413,201.05,212.8,195.9,198.75,10032,0
SIRCA,20200415,206.75,206.75,194.6,197.3,5500,0
SIRCA,20200416,195,197,195,195.75,3776,0
SIRCA,20200417,196,200,190,191.4,4698,0
SIRCA,20200420,196.95,196.95,190,192.05,8719,0
SIRCA,20200421,190,191.4,182.45,183.6,10223,0
SIRCA,20200422,189.85,189.85,174.45,178.85,9528,0
SIRCA,20200423,185,187.75,173.5,186,12832,0
SIRCA,20200424,194.95,195.3,185,189.5,5713,0
SIRCA,20200427,184.55,193.85,184.55,187.15,7873,0
SIRCA,20200428,186,192.45,183.05,185.65,2625,0
SIRCA,20200429,183,194.4,180.05,190.1,6355,0
SIRCA,20200430,197.95,197.95,189,190.45,7388,0
SIRCA,20200504,181,186,180.95,181.25,27960,0
SIRCA,20200505,190.3,190.3,181.3,183.1,8837,0
