SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SIYSIL,20070129,200,249,200,216.6,2326,1005
SIYSIL,20070131,213.6,213.6,213.15,213.6,400,375
SIYSIL,20070201,212,220,212,212.55,759,400
SIYSIL,20070202,215,215,207,209.75,143,0
SIYSIL,20070205,207.9,207.9,204,205.75,65,65
SIYSIL,20070206,234.5,234.5,205.25,205.25,16,0
SIYSIL,20070207,208,235,197.25,197.25,2749,304
SIYSIL,20070208,215,215,194.1,194.1,4716,426
SIYSIL,20070209,202.95,202.95,191,198.5,241,28
SIYSIL,20070212,204.9,204.9,182,194.9,6232,230
SIYSIL,20070213,199.9,199.9,180.15,185.05,433,344
SIYSIL,20070214,197.5,197.5,172.1,185,757,327
SIYSIL,20070215,199.65,199.65,183.2,183.2,32,30
SIYSIL,20070219,183,190,183,190,593,392
SIYSIL,20070220,193,193.05,193,193.05,31,31
SIYSIL,20070221,187,194.95,175.5,194,1250,625
SIYSIL,20070222,181,199,181,195,5000,0
SIYSIL,20070226,163,198,163,190,2840,30
SIYSIL,20070227,197,197,172.4,188.95,2861,257
SIYSIL,20070228,161.2,188.05,161,173.1,207,75
SIYSIL,20070301,180,180,180,180,4,4
SIYSIL,20070302,168,210,168,178.4,9130,95
SIYSIL,20070305,161.5,177,161.5,170.55,772,302
SIYSIL,20070306,175,175,150,151,1352,1246
SIYSIL,20070307,175,175,145.5,159.2,1806,723
SIYSIL,20070308,147.1,170,147,159.25,1106,229
SIYSIL,20070309,176,176,152.5,152.6,2214,214
SIYSIL,20070312,160,160,148.05,148.05,63,63
SIYSIL,20070313,148.5,158.95,131,157.85,1109,205
SIYSIL,20070314,151,160,151,160,17,17
SIYSIL,20070315,160,190.5,151,163,251,191
SIYSIL,20070316,159,162,157,160.05,320,50
SIYSIL,20070319,185,185,154,159.3,5959,76
SIYSIL,20070320,152.05,169.95,152.05,157.4,469,69
SIYSIL,20070321,157,168,157,164.7,940,70
SIYSIL,20070322,162,169.95,162,169.95,200,0
SIYSIL,20070323,155,161.5,154,154.6,359,110
SIYSIL,20070326,137,174,137,152.4,2825,5
SIYSIL,20070328,153.1,153.1,153,153,34,34
SIYSIL,20070329,158,164.9,150,150.05,1212,40
SIYSIL,20070330,144.3,156,144.3,151.7,924,10
SIYSIL,20070402,155,156.8,148.35,148.35,489,89
SIYSIL,20070404,152.85,152.85,140,142.8,1372,290
SIYSIL,20070405,152,152,148.95,149,81,81
SIYSIL,20070409,140,159.9,140,149.05,77,0
SIYSIL,20070410,150,150,145.35,149,164,114
SIYSIL,20070411,150,154.75,150,150.05,1101,0
SIYSIL,20070412,156,157.95,140.6,150.5,1163,0
SIYSIL,20070413,143.6,150,143.6,148.5,314,0
SIYSIL,20070416,148,158,148,155,101,91
SIYSIL,20070417,147.5,154,147,150.45,357,0
SIYSIL,20070418,155,155,147.05,147.35,415,0
SIYSIL,20070419,148.55,148.55,148.55,148.55,50,0
SIYSIL,20070420,148,151.8,148,149,974,0
SIYSIL,20070423,147,147,147,147,109,109
SIYSIL,20070424,146.5,148.95,146.5,148.95,210,210
SIYSIL,20070425,148.9,148.9,143.15,143.15,800,0
SIYSIL,20070426,149,149,143.15,145.95,467,52
SIYSIL,20070427,145,145,141,141.55,583,568
SIYSIL,20070430,143,143,138,139.9,634,632
SIYSIL,20070503,140,144,140,140.3,354,162
SIYSIL,20070504,142.95,145.15,140.25,143.45,647,445
SIYSIL,20070507,148.95,148.95,140.45,144.9,665,321
SIYSIL,20070508,135.1,159,135.1,139.25,630,0
SIYSIL,20070509,138.5,143,138.5,138.5,65,59
SIYSIL,20070510,138.05,143.95,138.05,138.9,268,0
SIYSIL,20070511,138,148.4,133.5,139,144,0
SIYSIL,20070514,138.6,143.95,138.6,138.8,21,0
SIYSIL,20070515,140,141.9,139,139.95,518,0
SIYSIL,20070516,148.45,148.45,139.25,140,167,105
SIYSIL,20070517,144,146.45,143,146.45,17,0
SIYSIL,20070518,132.1,146,132.1,140.25,337,0
SIYSIL,20070521,137.2,143.7,136.15,140.45,529,0
