SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SOFTTECH,20220225,136,140.95,127.7,127.9,21671,0
SOFTTECH,20220228,134,134,121.55,121.95,2851,0
SOFTTECH,20220302,127.7,128,115.9,115.9,11990,0
SOFTTECH,20220303,121,121,111.7,118.55,5058,0
SOFTTECH,20220304,124.45,124.45,112.65,114.2,2802,0
SOFTTECH,20220307,110.05,118,108.55,108.65,1826,0
SOFTTECH,20220308,113.65,113.65,103.55,111,1459,0
SOFTTECH,20220309,116,116,106.2,109.85,2481,0
SOFTTECH,20220310,114.7,114.7,105.6,109.55,1015,0
SOFTTECH,20220311,107,115,105.05,115,1909,0
SOFTTECH,20220314,120.75,120.75,110.35,112.55,1060,0
SOFTTECH,20220315,113,118.15,107.1,108.85,884,0
SOFTTECH,20220316,114,114,104.2,109.35,1696,0
SOFTTECH,20220317,110,113.3,110,111.3,502,0
SOFTTECH,20220321,114,114,106.35,108.9,754,0
SOFTTECH,20220322,105.15,113,105.15,108.25,876,0
SOFTTECH,20220323,105.85,112.75,105.85,109,907,0
SOFTTECH,20220324,105.3,112.8,105.3,107.4,1205,0
SOFTTECH,20220325,108.55,112.75,104.15,105.7,2997,0
SOFTTECH,20220328,109.95,109.95,103.75,105.75,1013,0
SOFTTECH,20220329,101.95,111,100.5,108.15,2088,0
SOFTTECH,20220330,113.55,113.55,102.75,102.75,1321,0
SOFTTECH,20220331,106.65,106.7,100.75,102,1097,0
SOFTTECH,20220401,102,107,97.5,106,2618,0
SOFTTECH,20220404,102.95,109.5,100.7,102.55,10300,0
SOFTTECH,20220405,101.75,107.65,101,107.65,5836,0
SOFTTECH,20220406,113,113,102.3,112.25,18454,0
SOFTTECH,20220407,114.6,115.1,107,110,4649,0
SOFTTECH,20220408,114.45,116.1,109.95,114.9,4363,0
SOFTTECH,20220411,119,126.35,110,126.35,5825,0
SOFTTECH,20220412,138.4,138.95,122.2,135.95,50127,0
SOFTTECH,20220413,143,144.8,126.55,137.75,12852,0
SOFTTECH,20220418,140,140,129.4,132,5986,0
SOFTTECH,20220419,133.7,137.35,123.55,124.75,9718,0
SOFTTECH,20220420,127.25,131.2,112.3,113.95,21579,0
SOFTTECH,20220421,118.85,119.6,108.35,119.5,5234,0
SOFTTECH,20220422,124.95,124.95,115.1,120.6,254,0
SOFTTECH,20220425,124,124,114.65,120.8,5679,0
SOFTTECH,20220426,115.1,126.8,115,122.45,5916,0
SOFTTECH,20220427,122.45,122.45,116.35,116.35,10933,0
SOFTTECH,20220428,116,120.9,115,120.85,1258,0
SOFTTECH,20220429,115.05,120.8,114.85,114.85,2237,0
SOFTTECH,20220502,112.55,119,112.55,116.95,155,0
SOFTTECH,20220504,113.05,121.95,111.25,112,963,0
SOFTTECH,20220505,112,115,112,115,577,0
SOFTTECH,20220506,115,119.45,115,118.15,1145,0
SOFTTECH,20220509,118.15,124,112.3,113.05,226,0
SOFTTECH,20220510,113.05,118.6,107.55,118.6,162,0
SOFTTECH,20220511,121,121,112.7,119.8,227,0
SOFTTECH,20220512,119,119,113.85,117.8,117,0
SOFTTECH,20220513,117.8,119.9,111.95,111.95,552,0
SOFTTECH,20220516,111.95,117.3,107.35,111,418,0
SOFTTECH,20220517,111,111,109,109,225,0
SOFTTECH,20220518,114.45,114.45,106,109.75,1831,0
SOFTTECH,20220519,104.55,111.8,104.55,111.8,12,0
