SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SOLARINDS,20090413,193.55,235.5,193.55,217,810,10
SOLARINDS,20090415,218,235,218,235,122,122
SOLARINDS,20090416,238.45,238.45,220.05,220.05,292,237
SOLARINDS,20090417,201,255,201,234.35,1500,170
SOLARINDS,20090420,270,273.9,230,245.5,150,95
SOLARINDS,20090421,249.95,250,235,238.6,343,306
SOLARINDS,20090422,248,254.9,248,251,10098,10071
SOLARINDS,20090424,266.95,295,232.15,288.45,2227,449
SOLARINDS,20090427,295,304.6,272.1,275.15,1153,0
SOLARINDS,20090428,277,290,273.1,274,164,147
SOLARINDS,20090429,280,280,280,280,10,10
SOLARINDS,20090504,260,274,255.05,269.95,182,110
SOLARINDS,20090505,279.9,285.95,268.25,269,106,94
SOLARINDS,20090506,269.5,270,253.15,260,291,200
SOLARINDS,20090507,275,311,263,296.7,812,432
SOLARINDS,20090508,278.6,291,278.4,290,276,221
SOLARINDS,20090511,288,300,283.2,299.95,520,299
SOLARINDS,20090512,283.8,283.8,283.8,283.8,10,10
SOLARINDS,20090513,289.5,289.5,280.5,280.5,60,60
SOLARINDS,20090514,289,289,260.35,265,1068,43
SOLARINDS,20090515,275,275,275,275,250,250
SOLARINDS,20090519,275.3,298.95,275.3,292,256,251
SOLARINDS,20090520,306.6,310,270,295.4,5227,4887
SOLARINDS,20090521,329.5,329.5,292.45,292.5,19689,17671
SOLARINDS,20090522,293.2,305,285,287.1,2833,2826
SOLARINDS,20090525,305,320,285.75,310.2,87,86
SOLARINDS,20090526,310,310,296.65,301.3,363,350
SOLARINDS,20090527,307.95,307.95,298.35,307.75,2005,5
SOLARINDS,20090528,310,317.95,310,314.95,90,87
SOLARINDS,20090529,270.05,332,270.05,307.45,290,261
SOLARINDS,20090601,300,310,300,309.3,8559,3527
SOLARINDS,20090602,309,321,309,316,1403,1323
SOLARINDS,20090603,317,318,306.05,310,2172,751
SOLARINDS,20090604,296,316.85,271.5,290.2,5611,3481
SOLARINDS,20090605,290,294.5,243,247.25,47454,40545
SOLARINDS,20090608,252,264.95,240.05,240.75,28172,21755
SOLARINDS,20090609,250,261,236.65,256.05,1983,1505
SOLARINDS,20090610,250,307.3,250,303.35,32400,20658
SOLARINDS,20090611,306,310,278,284.25,9674,5377
SOLARINDS,20090612,298.5,316,281.3,286.8,24116,11322
SOLARINDS,20090615,280,291.75,275.3,278.55,1945,1510
SOLARINDS,20090616,277.95,288,270,279.45,1332,870
SOLARINDS,20090617,274.1,284.95,260.1,264.35,3013,2504
SOLARINDS,20090618,254,277,251.3,252.45,2369,1986
SOLARINDS,20090619,254.05,268.65,252,262.8,7108,6421
SOLARINDS,20090622,259.9,262.9,254,257.95,866,813
SOLARINDS,20090623,248,260,248,258.35,594,427
SOLARINDS,20090624,251,256.85,240.15,252.1,1156,614
SOLARINDS,20090625,256.5,265,256.5,260.4,446,410
SOLARINDS,20090626,260,268,260,261.25,322,269
SOLARINDS,20090629,278,294,263.2,282.3,4894,2756
SOLARINDS,20090630,294,295,278.1,281.15,1794,1425
SOLARINDS,20090701,283,294.75,274,275.15,313,216
SOLARINDS,20090702,280,284,280,282.45,265,256
SOLARINDS,20090703,285,285,273.05,280.6,1035,595
SOLARINDS,20090706,284,289.95,270.05,276,762,687
SOLARINDS,20090707,269.3,277,269,270.15,258,0
SOLARINDS,20090708,275,275,264.1,273.25,441,388
SOLARINDS,20090709,265,269,254.3,264.55,1634,796
SOLARINDS,20090710,269.05,274,263.1,269.35,295,292
SOLARINDS,20090713,258.05,271,257,261,2085,1543
SOLARINDS,20090714,265,275,235.15,274.85,1565,981
SOLARINDS,20090715,274.85,285,265.1,282.95,1605,1285
SOLARINDS,20090716,282.55,292,281,290.9,1681,0
SOLARINDS,20090717,295,300,287.2,297.2,1825,1655
SOLARINDS,20090720,300,308,300,303,665,608
SOLARINDS,20090721,308,312,303,308.25,562,525
SOLARINDS,20090722,312.8,319,310,313.85,1195,1069
SOLARINDS,20090723,310,320,310,310.6,495,355
SOLARINDS,20090724,317,319.95,309,310.85,1012,668
SOLARINDS,20090727,311,327,310.1,323.5,2559,1636
SOLARINDS,20090728,324.05,334.8,313.5,329.85,1147,685
SOLARINDS,20090729,335,337,325.1,334.1,868,583
SOLARINDS,20090730,317.5,338,317.5,338,195,138
SOLARINDS,20090731,340,344.7,322.1,322.1,2484,2430
SOLARINDS,20090803,334.8,345,325,338.75,1672,1260
SOLARINDS,20090804,330,334.95,325,330,1396,1330
SOLARINDS,20090805,326,337.95,326,334.95,27807,27330
SOLARINDS,20090806,321.35,335,321.35,329.8,3674,3438
SOLARINDS,20090807,329,352,325.1,334.8,14465,3426
SOLARINDS,20090810,358.8,358.8,319,328.6,3277,2182
SOLARINDS,20090811,325.1,337.85,325.05,337,934,890
SOLARINDS,20090812,328,345,326,341.8,754,676
SOLARINDS,20090813,344.6,350,336,346.05,2121,1750
SOLARINDS,20090814,340.05,349.95,340,345.45,4308,3987
SOLARINDS,20090817,330.05,343,315.15,330.7,1520,886
SOLARINDS,20090818,327,340.1,327,340.05,1465,1365
SOLARINDS,20090819,332,342.85,332,339.15,1392,570
SOLARINDS,20090820,342,344.05,335,340.15,4198,3781
SOLARINDS,20090821,334,342,334,338,764,599
SOLARINDS,20090824,333.3,340.25,331.1,334.45,524,350
SOLARINDS,20090825,334.25,340.8,334.25,337.1,570,469
SOLARINDS,20090826,341,353,335.15,342.85,1454,1305
SOLARINDS,20090827,338.05,365,327.05,342.05,1546,1187
SOLARINDS,20090828,344.2,350,338,344.35,954,774
SOLARINDS,20090831,332.2,345,332.15,345,928,769
SOLARINDS,20090901,331.1,346,331.1,338,1772,1645
SOLARINDS,20090902,322.05,353,322.05,335,1648,1589
SOLARINDS,20090903,325.05,349.8,320,342.6,418,187
SOLARINDS,20090904,340,349.75,335,340.55,814,636
SOLARINDS,20090907,356.8,356.8,335.5,344.2,891,610
