SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SOUTHWEST,20190418,34,34,31,32.1,1295,0
SOUTHWEST,20190422,32,32,27.65,28.1,6884,0
SOUTHWEST,20190423,31.9,31.9,26.65,28.25,3479,0
SOUTHWEST,20190424,28.8,28.8,26.7,28.7,300,0
SOUTHWEST,20190425,28.1,28.1,28.1,28.1,15,0
SOUTHWEST,20190426,28.8,28.8,26.5,26.5,1160,0
SOUTHWEST,20190430,28.5,28.5,26.5,26.65,15231,0
SOUTHWEST,20190502,28,28,26.5,27.9,2628,0
SOUTHWEST,20190503,25.7,27.9,25.7,27.8,6391,0
SOUTHWEST,20190506,29,29,26.6,28,62,0
SOUTHWEST,20190507,28.2,29,28.05,28.05,4972,0
SOUTHWEST,20190508,29,29,27.6,28.8,19080,0
SOUTHWEST,20190509,29,29,27,28.5,54,0
SOUTHWEST,20190510,28,28,27.9,27.9,15401,0
SOUTHWEST,20190513,28.4,28.4,25.5,28.35,1499,0
SOUTHWEST,20190514,28.95,28.95,28,28,16,0
SOUTHWEST,20190515,29.9,29.9,24.5,28.5,1384,0
SOUTHWEST,20190516,26.05,28.5,24.25,28.5,2958,0
SOUTHWEST,20190517,26.1,28,26.1,28,1673,0
SOUTHWEST,20190520,29,29,26.5,27.9,92,0
SOUTHWEST,20190521,29,29,27,28.2,1026,0
SOUTHWEST,20190522,29,29,28,28,502,0
SOUTHWEST,20190524,28.95,28.95,26,27.5,103,0
SOUTHWEST,20190527,29,29,28.5,28.5,36,0
SOUTHWEST,20190528,28.95,28.95,26,28.45,35,0
SOUTHWEST,20190529,32,32,25,26.1,3588,0
SOUTHWEST,20190530,26.95,27.95,24.05,24.85,1951,0
SOUTHWEST,20190531,27.45,28.85,25.05,27.6,1659,0
SOUTHWEST,20190603,27,29.5,23.5,25.55,8985,0
SOUTHWEST,20190604,24.3,26.95,24.05,26.3,4203,0
SOUTHWEST,20190606,26.3,26.95,24.1,25.2,3082,0
