SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SPARTEK,19950512,52.5,52.5,50,50,650,0
SPARTEK,19950515,52.25,52.25,52.25,52.25,500,0
SPARTEK,19950516,55,55,54,55,500,0
SPARTEK,19950517,60,60,60,60,100,0
SPARTEK,19950518,55,56,55,56,150,0
SPARTEK,19950522,55,55,54,54,300,0
SPARTEK,19950523,56.25,56.25,56.25,56.25,100,0
SPARTEK,19950526,55,55,55,55,100,0
SPARTEK,19950529,55,55,55,55,100,0
SPARTEK,19950531,53,53,53,53,100,0
SPARTEK,19950602,52.25,52.25,52.25,52.25,200,0
SPARTEK,19950605,56,56,52.25,52.25,300,0
SPARTEK,19950606,54,54,54,54,100,0
SPARTEK,19950607,60,60,60,60,300,0
SPARTEK,19950608,60,60,60,60,100,0
SPARTEK,19950609,59,59,59,59,100,0
SPARTEK,19950612,59,59,57.95,57.95,1100,0
SPARTEK,19950614,57,58,57,58,150,0
SPARTEK,19950615,57,57,56,56,700,0
SPARTEK,19950619,55,55,55,55,50,0
SPARTEK,19950620,56.95,56.95,56.95,56.95,100,0
SPARTEK,19950621,54.5,54.5,54.5,54.5,100,0
SPARTEK,19950622,54,54,54,54,200,0
SPARTEK,19950623,50.5,50.5,50.5,50.5,200,0
SPARTEK,19950626,51,51,51,51,100,0
SPARTEK,19950714,46,50,46,50,350,0
SPARTEK,19950717,46,50,46,50,150,0
SPARTEK,19950817,45,45,45,45,50,0
SPARTEK,19950818,45,45,45,45,50,0
SPARTEK,19950824,45,45,45,45,50,0
SPARTEK,19950825,45,45,45,45,50,0
SPARTEK,19951004,44.95,45,44.95,45,200,0
SPARTEK,19951030,40.9,41,40.9,41,200,0
SPARTEK,19951108,38,38,38,38,50,0
SPARTEK,19951110,38,38,38,38,500,0
SPARTEK,19951220,35,35.05,35,35.05,300,0
SPARTEK,19951221,35.05,35,34.75,35,250,0
SPARTEK,19951229,33,33,33,33,50,0
SPARTEK,19960102,33,33,33,33,50,0
SPARTEK,19960105,32,33,32,33,200,0
SPARTEK,19960109,30,30,30,30,100,0
SPARTEK,19960111,32,32,32,32,100,0
SPARTEK,19960112,32,32,32,32,100,0
SPARTEK,19960122,32,32,32,32,400,0
SPARTEK,19960123,32.5,32.5,32.5,32.5,500,0
SPARTEK,19960129,31.5,31.5,31.5,31.5,300,0
SPARTEK,19960202,33,33,33,33,500,0
SPARTEK,19960212,32,32,32,32,50,0
SPARTEK,19960213,33,33,33,33,100,0
SPARTEK,19960214,33,33,33,33,150,0
SPARTEK,19960215,33,33,29.75,29.75,150,0
SPARTEK,19960216,32.5,32.5,32.5,32.5,100,0
SPARTEK,19960219,32.5,30,30,30,50,0
SPARTEK,19960220,30,31.55,31,31.55,800,0
SPARTEK,19960222,30.5,32.25,30.5,32.25,100,0
SPARTEK,19960227,31,31,31,31,100,0
SPARTEK,19960304,28,28,28,28,100,0
SPARTEK,19960306,28,28,28,28,50,0
SPARTEK,19960308,28,28,28,28,100,0
SPARTEK,19960311,27.5,28,27.5,28,100,0
SPARTEK,19960312,26,26,26,26,100,0
SPARTEK,19960313,24,24,24,24,100,0
SPARTEK,19960314,26,26,26,26,100,0
SPARTEK,19960315,24,24,24,24,100,0
SPARTEK,19960318,26,26,26,26,100,0
SPARTEK,19960319,23.5,23.5,23.5,23.5,100,0
SPARTEK,19960321,23.5,23.5,23.2,23.2,350,0
SPARTEK,19960322,25,25,25,25,50,0
SPARTEK,19960326,27,27,27,27,300,0
SPARTEK,19960327,27,29,29,29,100,0
SPARTEK,19960329,31,31,30.25,30.25,700,0
SPARTEK,19960403,32,32,32,32,300,0
SPARTEK,19960404,32,32,29,29,450,0
SPARTEK,19960408,29,32,29,32,250,0
SPARTEK,19960409,30,30,30,30,100,0
SPARTEK,19960411,28,28,28,28,50,0
SPARTEK,19960418,28,30,28,30,500,0
SPARTEK,19960419,30,30,29.5,29.5,150,0
SPARTEK,19960423,29.45,29.5,29.45,29.5,300,0
SPARTEK,19960424,29.5,29.5,29,29,400,0
SPARTEK,19960425,29,29,26.5,26.5,800,0
SPARTEK,19960429,26.5,28.4,25,28.4,950,0
SPARTEK,19960501,29.25,29.25,29,29,600,0
