SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SPIC,19941107,101,102,101,101.25,9800,0
SPIC,19941108,102.5,102.5,101,101,3000,0
SPIC,19941109,99,99,98,98,600,0
SPIC,19941114,90,90,90,90,50,0
SPIC,19941115,92.25,94,90,94,2700,0
SPIC,19941116,93,94.5,93,94.5,550,0
SPIC,19941117,96,96,95.5,95.5,1500,0
SPIC,19941121,98,98,95.5,96,900,0
SPIC,19941122,94,94,94,94,400,0
SPIC,19941123,95,95,90,91,1350,0
SPIC,19941128,90,90,90,90,50,0
SPIC,19941129,91,91,90,91,950,0
SPIC,19941130,90,91,89.5,90,4600,0
SPIC,19941202,95,95,88,88,300,0
SPIC,19941205,88.5,90,88.5,88.5,500,0
SPIC,19941206,88,88.75,88,88,8450,0
SPIC,19941207,88,89,88,88.75,500,0
SPIC,19941208,87.5,87.5,87.5,87.5,100,0
SPIC,19941213,88,88,88,88,250,0
SPIC,19941214,88,88,86.5,87,700,0
SPIC,19941219,88,88,87,87,600,0
SPIC,19941220,88,88.5,87.95,88.5,6700,0
SPIC,19941223,94,94,94,94,100,0
SPIC,19941227,85.5,86,85.5,86,350,0
SPIC,19950102,88.05,88.05,88,88,250,0
SPIC,19950103,88,88.5,88,88.2,150,0
SPIC,19950104,87,87,86.75,86.75,1000,0
SPIC,19950105,85,85,85,85,50,0
SPIC,19950106,83,83,81.5,81.5,10800,0
SPIC,19950109,82,82,79.5,80,1700,0
SPIC,19950110,80,80,80,80,12200,0
SPIC,19950111,78,78,75,75,3200,0
SPIC,19950112,80,80,77.5,77.5,1150,0
SPIC,19950113,79,79,75,75.15,2100,0
SPIC,19950116,80,80,72.5,75,51500,0
SPIC,19950117,75,75,74,75,3200,0
SPIC,19950118,75,75.75,75,75.75,12500,0
SPIC,19950119,77.5,77.5,75,75.5,3250,0
SPIC,19950120,77.5,77.5,75.9,75.9,800,0
SPIC,19950123,76,76,74,74,700,0
SPIC,19950124,74,74,72,72,150,0
SPIC,19950125,74.5,74.5,72,72.5,5250,0
SPIC,19950127,74,74,72,72.3,2300,0
SPIC,19950130,74,74.5,74,74.5,1600,0
SPIC,19950131,76,76.5,75.5,76.2,900,0
SPIC,19950201,74.5,74.5,73,73,1650,0
SPIC,19950202,74,74.5,73,73,400,0
SPIC,19950203,74,74,73,73.75,1450,0
SPIC,19950206,70,73.5,70,72.75,950,0
SPIC,19950207,70,72.5,69.95,72.5,450,0
