SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SRTRANSFIN,19960918,14.5,15.95,14.5,15.95,700,0
SRTRANSFIN,19960919,15.5,15.5,15.5,15.5,50,0
SRTRANSFIN,19960920,14.75,14.75,14.75,14.75,500,0
SRTRANSFIN,19960923,14.5,14.75,14.5,14.75,800,0
SRTRANSFIN,19960924,14.05,14.45,14.05,14.45,350,0
SRTRANSFIN,19960926,14.5,14.5,14.5,14.5,400,0
SRTRANSFIN,19961001,14.15,14.15,13.55,13.55,550,0
SRTRANSFIN,19961004,13.25,13.25,13.25,13.25,500,0
SRTRANSFIN,19961007,13.25,13.75,13,13,4250,0
SRTRANSFIN,19961008,13,13,12.25,12.75,4100,0
SRTRANSFIN,19961009,13.1,13.4,13.1,13.4,400,0
SRTRANSFIN,19961010,13.4,13.4,13,13.3,4100,0
SRTRANSFIN,19961011,13.5,14.25,13.4,14.25,2000,0
SRTRANSFIN,19961014,13.55,14.25,13.55,14.25,2700,0
SRTRANSFIN,19961015,13.6,14.25,13.6,14,2900,0
SRTRANSFIN,19961016,14.25,14.25,14,14.05,2300,0
SRTRANSFIN,19961017,14.05,14.95,14,14.2,1400,0
SRTRANSFIN,19961018,14,14,13.8,13.8,1600,0
SRTRANSFIN,19961022,14,14,14,14,200,0
SRTRANSFIN,19961023,14,14.45,14,14.45,1700,0
SRTRANSFIN,19961024,13.8,13.9,13.8,13.9,500,0
SRTRANSFIN,19961025,14,14,13.5,13.5,1200,0
SRTRANSFIN,19961028,14,14.15,14,14,800,0
SRTRANSFIN,19961029,14.1,14.3,14,14.3,850,0
SRTRANSFIN,19961031,14,14,13.9,14,2600,0
SRTRANSFIN,19961101,14.25,14.25,14,14.05,1550,0
SRTRANSFIN,19961104,14.2,14.2,13.75,14,3200,0
SRTRANSFIN,19961105,14,14.95,13.8,13.9,2750,0
SRTRANSFIN,19961106,13.5,13.5,12.55,12.55,1700,0
SRTRANSFIN,19961107,12.15,12.5,12.15,12.4,2000,0
SRTRANSFIN,19961108,12.5,12.5,12.2,12.2,2800,0
SRTRANSFIN,19961110,12.5,12.5,12.5,12.5,100,0
SRTRANSFIN,19961111,12.45,12.45,12.3,12.4,2800,0
SRTRANSFIN,19961113,12.8,12.8,12.5,12.5,700,0
SRTRANSFIN,19961114,12.8,12.8,12.6,12.75,1700,0
SRTRANSFIN,19961115,12.75,12.9,12.75,12.9,2100,0
SRTRANSFIN,19961118,12.9,12.95,12.7,12.75,2000,0
SRTRANSFIN,19961119,12.55,12.95,12.55,12.7,2700,0
SRTRANSFIN,19961120,12.7,12.7,12.7,12.7,600,0
SRTRANSFIN,19961121,12.6,12.6,12.6,12.6,200,0
SRTRANSFIN,19961122,12.5,12.5,12.5,12.5,400,0
SRTRANSFIN,19961125,12.6,12.6,12.3,12.3,500,0
SRTRANSFIN,19961126,12.55,12.6,12.55,12.6,700,0
SRTRANSFIN,19961127,12.6,12.65,12.6,12.6,1200,0
SRTRANSFIN,19961128,12.65,12.65,12.4,12.4,1100,0
SRTRANSFIN,19961129,12.65,12.65,12.3,12.3,250,0
SRTRANSFIN,19961202,12.65,12.65,12.25,12.6,2700,0
SRTRANSFIN,19961203,12.25,12.3,12.25,12.25,1750,0
SRTRANSFIN,19961204,12.6,12.75,12.6,12.75,1100,0
SRTRANSFIN,19961209,12.4,12.4,12.4,12.4,200,0
SRTRANSFIN,19961210,12.25,12.4,12.25,12.4,850,0
SRTRANSFIN,19961211,12.4,12.4,12.25,12.25,650,0
SRTRANSFIN,19961212,12.25,12.25,11.9,11.9,1550,0
SRTRANSFIN,19961213,11.9,11.9,11.6,11.9,1200,0
SRTRANSFIN,19961216,11.45,11.8,11.45,11.8,1200,0
SRTRANSFIN,19961217,11.8,11.8,11.2,11.5,1600,0
SRTRANSFIN,19961218,11.45,11.45,11.45,11.45,100,0
SRTRANSFIN,19961219,11.5,11.8,11.5,11.8,850,0
SRTRANSFIN,19961220,11.75,11.8,11.5,11.8,5600,0
SRTRANSFIN,19961223,12,12,11.5,11.5,550,0
SRTRANSFIN,19961224,12.1,12.25,11.6,11.65,2100,0
SRTRANSFIN,19961226,11.6,12.25,11.6,12.25,1300,0
SRTRANSFIN,19961231,12.05,12.35,12.05,12.35,350,0
SRTRANSFIN,19970101,12.45,13.5,12.25,13.5,3650,0
SRTRANSFIN,19970102,13.5,13.5,12.75,12.75,1500,0
SRTRANSFIN,19970103,12.9,12.9,12.5,12.5,1100,0
