SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SSLFINANCE,19960919,43,43,43,43,100,0
SSLFINANCE,19961004,38.7,38.7,38.7,38.7,100,0
SSLFINANCE,19961007,34.85,34.85,34.85,34.85,100,0
SSLFINANCE,19961008,31.4,31.4,31.4,31.4,100,0
SSLFINANCE,19961009,28.3,28.3,28.3,28.3,500,0
SSLFINANCE,19961010,25.5,29,25.5,27.05,10400,0
SSLFINANCE,19961011,27.95,29.5,25.25,25.6,14900,0
SSLFINANCE,19961014,25.5,27.45,24,24,2400,0
SSLFINANCE,19961015,23.75,23.75,23.7,23.7,400,0
SSLFINANCE,19961016,25,25,21.9,21.9,1000,0
SSLFINANCE,19961017,20.75,20.75,19.75,19.75,1100,0
SSLFINANCE,19961018,18,18.05,17.9,17.9,700,0
SSLFINANCE,19961022,17.9,17.9,17.9,17.9,700,0
SSLFINANCE,19961023,18,18.35,17,17,800,0
SSLFINANCE,19961024,17.25,17.25,16.5,16.5,1200,0
SSLFINANCE,19961025,16,16,14.9,14.9,300,0
SSLFINANCE,19961028,13.5,13.5,13.5,13.5,200,0
SSLFINANCE,19961029,13.45,13.45,13.45,13.45,100,0
SSLFINANCE,19961031,13.45,13.45,13.45,13.45,300,0
SSLFINANCE,19961101,12.55,12.55,12.55,12.55,200,0
SSLFINANCE,19961104,11.5,11.5,11.5,11.5,100,0
SSLFINANCE,19961106,11.4,11.4,11.4,11.4,200,0
SSLFINANCE,19961113,11.4,11.75,11.4,11.5,1700,0
SSLFINANCE,19961114,11.5,12.55,11,12.5,2500,0
SSLFINANCE,19961115,12.75,13,11.75,11.95,4600,0
SSLFINANCE,19961118,12.5,13,12.5,12.5,1200,0
SSLFINANCE,19961119,12.3,13,12.2,12.8,3100,0
SSLFINANCE,19961120,12.4,13.25,12.25,12.5,4600,0
SSLFINANCE,19961121,12.65,12.7,11.5,11.85,4400,0
SSLFINANCE,19961122,12,12.25,12,12,1500,0
SSLFINANCE,19961125,11,11,11,11,600,0
SSLFINANCE,19961126,10.75,11.5,10.5,10.5,1000,0
SSLFINANCE,19961127,11.25,11.25,11.25,11.25,100,0
SSLFINANCE,19961128,10.25,10.25,10.25,10.25,100,0
SSLFINANCE,19961203,10.25,10.25,10.25,10.25,300,0
SSLFINANCE,19961205,10,10,10,10,300,0
SSLFINANCE,19961210,9,9,9,9,300,0
SSLFINANCE,19961212,9,9,9,9,500,0
SSLFINANCE,19961218,9,9,9,9,500,0
SSLFINANCE,19961219,9,9,9,9,100,0
SSLFINANCE,19961223,9.9,9.9,9.9,9.9,100,0
SSLFINANCE,19970101,9,9,9,9,100,0
SSLFINANCE,19970102,9,9,8.75,8.75,700,0
SSLFINANCE,19970103,8,8,8,8,2100,0
SSLFINANCE,19970106,8.75,8.75,8.75,8.75,100,0
SSLFINANCE,19970107,8,8.7,8,8.7,200,0
SSLFINANCE,19970108,9,9,9,9,2000,0
SSLFINANCE,19970109,9,9,9,9,200,0
SSLFINANCE,19970110,9,9.25,8.5,8.5,2400,0
SSLFINANCE,19970120,9,9,8.5,8.5,1600,0
SSLFINANCE,19970121,9.25,9.25,9.25,9.25,500,0
SSLFINANCE,19970122,9.25,10.5,9.25,10.45,2000,0
SSLFINANCE,19970124,11.45,11.45,11.45,11.45,100,0
SSLFINANCE,19970127,11.95,11.95,11.95,11.95,100,0
SSLFINANCE,19970128,12,12.5,12,12.5,600,0
SSLFINANCE,19970129,13.75,13.75,13.75,13.75,1700,0
SSLFINANCE,19970130,14,14.25,14,14.25,200,0
SSLFINANCE,19970131,14.2,14.2,13.5,13.9,400,0
SSLFINANCE,19970203,13.45,13.45,13.25,13.25,300,0
SSLFINANCE,19970204,13,13,13,13,200,0
SSLFINANCE,19970206,13.75,13.75,12,12,500,0
SSLFINANCE,19970210,12.4,12.4,12.25,12.25,700,0
SSLFINANCE,19970211,11.05,11.05,11.05,11.05,200,0
SSLFINANCE,19970212,10.25,10.25,10.25,10.25,100,0
SSLFINANCE,19970217,9.25,9.25,9.25,9.25,200,0
SSLFINANCE,19970218,8.7,8.7,8.35,8.35,1700,0
SSLFINANCE,19970219,7.3,7.3,7.25,7.25,1000,0
SSLFINANCE,19970220,7.05,7.05,7.05,7.05,200,0
SSLFINANCE,19970221,7.1,7.1,6,6.05,3700,0
SSLFINANCE,19970225,6.35,6.5,6.35,6.5,1000,0
SSLFINANCE,19970226,6.5,6.5,6.5,6.5,1000,0
