SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
STERLINHOL,19950103,105,105,105,105,100,0
STERLINHOL,19950104,111.25,111.25,111.25,111.25,100,0
STERLINHOL,19950105,115,115,115,115,700,0
STERLINHOL,19950106,120,127.5,120,127.5,4200,0
STERLINHOL,19950109,125.25,125.25,125,125.15,300,0
STERLINHOL,19950110,120,122.5,112.5,112.5,1100,0
STERLINHOL,19950111,113,115,113,115,600,0
STERLINHOL,19950119,113,113,113,113,100,0
STERLINHOL,19950127,107,107,107,107,100,0
STERLINHOL,19950130,107,107,106,106,200,0
STERLINHOL,19950131,115,115,115,115,200,0
STERLINHOL,19950202,122.5,122.5,122.5,122.5,400,0
STERLINHOL,19950203,115,117,115,117,600,0
STERLINHOL,19950206,113,113,113,113,200,0
STERLINHOL,19950207,112.5,112.5,112.5,112.5,300,0
STERLINHOL,19950208,113,113,113,113,500,0
STERLINHOL,19950209,110,113.25,110,113.25,1000,0
STERLINHOL,19950214,103,103,103,103,300,0
STERLINHOL,19950215,103,103,102.5,102.5,400,0
STERLINHOL,19950217,100,100,100,100,100,0
STERLINHOL,19950220,96.05,96.05,96,96,200,0
STERLINHOL,19950221,93,93,93,93,500,0
STERLINHOL,19950223,95,97,95,97,500,0
STERLINHOL,19950228,105,105,105,105,200,0
STERLINHOL,19950301,100,100,100,100,100,0
STERLINHOL,19950302,100,100,100,100,400,0
STERLINHOL,19950303,104.95,104.95,103,103,600,0
STERLINHOL,19950306,100,104,100,103,1700,0
STERLINHOL,19950307,101,102,101,102,1100,0
STERLINHOL,19950308,101.1,102,100,102,700,0
STERLINHOL,19950309,102,102,102,102,200,0
STERLINHOL,19950310,101,101,97.5,97.75,400,0
STERLINHOL,19950314,102.5,102.5,98.75,99,1400,0
STERLINHOL,19950315,100,100,99,99,1100,0
STERLINHOL,19950316,100,100,100,100,500,0
STERLINHOL,19950321,98.5,98.5,90,90,300,0
STERLINHOL,19950322,98.5,98.5,98.5,98.5,100,0
STERLINHOL,19950323,101,101,99,99,3100,0
STERLINHOL,19950324,100,100,95,98,1400,0
STERLINHOL,19950327,98,99,98,99,1300,0
STERLINHOL,19950328,101,101,99,99,1500,0
STERLINHOL,19950330,100,103,100,103,1900,0
STERLINHOL,19950331,101,103,101,103,500,0
STERLINHOL,19950403,102,105,102,104,1400,0
STERLINHOL,19950404,103,107,103,104,2000,0
STERLINHOL,19950407,108,115,108,115,1300,0
STERLINHOL,19950410,115,115.5,113,114,1200,0
STERLINHOL,19950411,116,116,114,114.1,1100,0
STERLINHOL,19950412,115.75,120,115.75,119.45,2600,0
STERLINHOL,19950417,117,117,112,115,2700,0
STERLINHOL,19950418,113,116,113,114.8,2700,0
STERLINHOL,19950419,111.5,115,111.5,115,600,0
STERLINHOL,19950420,111,112.05,111,111.5,2700,0
STERLINHOL,19950421,110,112,110,110.5,1200,0
STERLINHOL,19950424,107.5,107.5,107.5,107.5,1000,0
STERLINHOL,19950425,102.5,105,102.5,103.75,3300,0
STERLINHOL,19950426,103,105,103,105,200,0
STERLINHOL,19950427,103,103,101.5,101.5,1700,0
STERLINHOL,19950428,104.5,105,100,101,1700,0
STERLINHOL,19950502,97.6,97.6,95,97,1400,0
STERLINHOL,19950503,95,97,95,97,600,0
STERLINHOL,19950504,98,98.05,98,98,500,0
STERLINHOL,19950505,99.5,99.5,98.5,99.05,2800,0
STERLINHOL,19950509,108,108,102,103.75,3700,0
STERLINHOL,19950510,104,108,104,108,900,0
STERLINHOL,19950512,102,103,102,103,200,0
STERLINHOL,19950515,101,101,97,97.05,6300,0
STERLINHOL,19950516,100,100,98,98,1100,0
STERLINHOL,19950517,96,97,96,97,200,0
STERLINHOL,19950518,100,103,100,102,700,0
STERLINHOL,19950519,100,102,100,101.05,400,0
STERLINHOL,19950522,98.5,101,98.5,100.25,1800,0
STERLINHOL,19950523,99,99,99,99,500,0
STERLINHOL,19950524,100,100,100,100,100,0
STERLINHOL,19950525,101,101,101,101,400,0
STERLINHOL,19950526,102,104,102,103.5,6700,0
STERLINHOL,19950529,103,103.5,102.25,102.6,10600,0
STERLINHOL,19950530,102.5,105,102.5,103,1500,0
STERLINHOL,19950531,105,105.5,103,103,2300,0
STERLINHOL,19950601,101.25,105,101.25,105,200,0
STERLINHOL,19950602,104,105,103,103,3100,0
STERLINHOL,19950605,100,103,100,102.5,2200,0
STERLINHOL,19950606,102,103,101,102.15,2400,0
STERLINHOL,19950607,104,104,102,102,800,0
STERLINHOL,19950608,104.5,104.5,95,99,500,0
STERLINHOL,19950609,101,102.5,101,102,1500,0
STERLINHOL,19950612,103,103,99,101,400,0
STERLINHOL,19950613,100,105,99,103.5,1300,0
STERLINHOL,19950614,105,108,105,107,1600,0
STERLINHOL,19950615,105,105,104.95,104.95,2100,0
STERLINHOL,19950616,103,104.95,101.75,101.75,2200,0
STERLINHOL,19950619,102,102,100,101.3,1000,0
STERLINHOL,19950620,102,102,100,100.65,700,0
STERLINHOL,19950621,101,101,101,101,100,0
STERLINHOL,19950623,100,100,100,100,100,0
STERLINHOL,19950626,97,97,97,97,200,0
STERLINHOL,19950627,96.5,96.6,96.5,96.6,300,0
STERLINHOL,19950628,97.25,97.25,97,97.2,800,0
STERLINHOL,19950629,96,97.25,96,97,900,0
STERLINHOL,19950703,95,95,95,95,200,0
STERLINHOL,19950704,94.5,95,83,85,1100,0
STERLINHOL,19950705,82,82,79.5,81,2200,0
STERLINHOL,19950706,81,81,81,81,300,0
STERLINHOL,19950707,83,83,80.5,81,600,0
STERLINHOL,19950710,81,81.5,81,81.5,1000,0
STERLINHOL,19950711,81.5,81.8,78,80.25,1400,0
STERLINHOL,19950712,84,84,80,80,2400,0
STERLINHOL,19950714,83.05,85,83,85,1200,0
STERLINHOL,19950717,85.5,92.5,85,92.5,1500,0
STERLINHOL,19950718,92,93,89,89,1800,0
STERLINHOL,19950719,94,94,93,93.5,1100,0
STERLINHOL,19950720,95,95,92.25,94,3700,0
STERLINHOL,19950721,95,96,92.55,95,5700,0
STERLINHOL,19950724,95.25,95.25,95.25,95.25,1000,0
STERLINHOL,19950725,92.5,95,92.1,92.1,400,0
STERLINHOL,19950726,95,95,93,94,1000,0
STERLINHOL,19950727,90,93,90,90,2900,0
STERLINHOL,19950728,92,95.5,92,95.5,700,0
STERLINHOL,19950731,93,94,91.5,92.4,1700,0
STERLINHOL,19950801,90,94,90,94,200,0
STERLINHOL,19950803,93,93,93,93,200,0
STERLINHOL,19950804,90,90.1,89,89,700,0
STERLINHOL,19950807,90,92,90,91.75,1300,0
STERLINHOL,19950808,100,100,87,87,500,0
STERLINHOL,19950809,88,91,88,90.7,1100,0
STERLINHOL,19950811,86,89,86,86,10300,0
STERLINHOL,19950816,83,83,80,80,5200,0
STERLINHOL,19950817,85,85,81,81.25,1000,0
STERLINHOL,19950818,81,82.95,81,82.95,1000,0
STERLINHOL,19950821,80,81,79.95,80,1600,0
STERLINHOL,19950822,80.05,80.05,79,80,1800,0
STERLINHOL,19950823,80,80,80,80,400,0
STERLINHOL,19950824,81,81,80,81,400,0
STERLINHOL,19950825,80,81.5,80,81.2,5400,0
STERLINHOL,19950828,79,81,79,80.7,4900,0
STERLINHOL,19950830,80,81,80,81,700,0
STERLINHOL,19950831,79,80.25,79,80.25,700,0
STERLINHOL,19950901,79,79,79,79,6000,0
STERLINHOL,19950905,78,78.1,78,78,800,0
STERLINHOL,19950906,77.9,78.25,77.9,78.25,300,0
STERLINHOL,19950907,78,78,78,78,300,0
STERLINHOL,19950908,76,78,75.5,78,300,0
STERLINHOL,19950911,75.5,76.45,75,75,800,0
STERLINHOL,19950912,76,76,74,74,400,0
STERLINHOL,19950913,78,78,75,76,1000,0
STERLINHOL,19950914,74,75.75,74,75.75,300,0
STERLINHOL,19950915,73,74.25,72,73.15,2600,0
STERLINHOL,19950918,73.05,73.25,70,70.5,4000,0
STERLINHOL,19950919,71,71.1,70,70.5,3200,0
STERLINHOL,19950920,71,71,70,70,3000,0
STERLINHOL,19950921,71,72,70,70,900,0
STERLINHOL,19950922,70.5,72,70.5,71.7,800,0
STERLINHOL,19950925,74,76,74,75,1300,0
STERLINHOL,19950926,75,75.9,74.25,75.25,1200,0
STERLINHOL,19950927,79,80,77,78.05,1700,0
STERLINHOL,19950928,74,80,74,75,400,0
STERLINHOL,19950929,72,80,72,79.65,4500,0
STERLINHOL,19951004,78,79.5,78,79.5,800,0
STERLINHOL,19951005,78,78,78,78,4600,0
STERLINHOL,19951006,78,79,78,78,300,0
STERLINHOL,19951009,80,83,78,78,600,0
STERLINHOL,19951010,78,80,78.25,79.4,1600,0
STERLINHOL,19951011,79.4,79.9,78.3,79,500,0
STERLINHOL,19951012,79,80,79.5,79.5,300,0
STERLINHOL,19951013,79.5,78,76,76.4,800,0
STERLINHOL,19951016,76.4,78.05,77,77,1100,0
STERLINHOL,19951017,77,77,73.5,73.5,1400,0
STERLINHOL,19951018,75,75,75,75,100,0
STERLINHOL,19951019,75,74,72,73,700,0
STERLINHOL,19951020,73,75,73.75,73.75,600,0
STERLINHOL,19951024,75,75,73,73,600,0
STERLINHOL,19951025,73.5,74,73.5,74,900,0
STERLINHOL,19951026,75,75,73.25,73.45,400,0
STERLINHOL,19951027,73.45,75,73,73,200,0
STERLINHOL,19951030,73,73,72,72.5,1800,0
STERLINHOL,19951031,72.5,72,70,71,700,0
STERLINHOL,19951101,72,75,72,75,4000,0
STERLINHOL,19951102,75,76.95,74.25,75,5500,0
STERLINHOL,19951103,73,76.25,73,75.55,2600,0
STERLINHOL,19951106,75.55,76.5,72.6,76,3200,0
STERLINHOL,19951107,76,76,74,74,2600,0
STERLINHOL,19951108,74,75,74,74,3200,0
STERLINHOL,19951109,74,75.5,72.5,75.5,5300,0
STERLINHOL,19951110,75.5,75,72,75,19200,0
STERLINHOL,19951113,75,75,73,74,2000,0
STERLINHOL,19951114,74,72,70.1,70.2,3400,0
STERLINHOL,19951115,70.2,70,68.6,70,16200,0
STERLINHOL,19951116,70,70.5,67.5,67.5,3500,0
STERLINHOL,19951117,67.5,66,66,66,1000,0
STERLINHOL,19951120,66,66.75,63,64.75,16700,0
STERLINHOL,19951121,64.75,64.1,63,64,6600,0
STERLINHOL,19951122,64,62.75,60,60.4,2800,0
STERLINHOL,19951123,60.4,60,58.25,58.25,1100,0
STERLINHOL,19951124,57,59.25,56.5,57.4,4800,0
STERLINHOL,19951127,57.4,61.5,59.75,60,2000,0
STERLINHOL,19951128,57,60.5,57,60.5,1500,0
STERLINHOL,19951129,60.5,59,55,57,1000,0
STERLINHOL,19951130,58.5,59,58.5,59,200,0
STERLINHOL,19951201,59,63,58,59.5,400,0
STERLINHOL,19951204,57.05,60.45,57.05,60,900,0
STERLINHOL,19951205,60,61,60,60,700,0
STERLINHOL,19951206,60,63,60,60,600,0
STERLINHOL,19951207,60,61,59.5,59.5,700,0
STERLINHOL,19951208,62,62,61,61,300,0
STERLINHOL,19951211,61,60.75,59,59,1300,0
STERLINHOL,19951212,59,59.5,57,57.2,7200,0
STERLINHOL,19951213,57,57.45,56.5,56.5,1700,0
STERLINHOL,19951214,56.5,57,56.5,56.5,500,0
STERLINHOL,19951215,56.5,57.45,56.5,57,2100,0
STERLINHOL,19951218,57,58,56,56,1200,0
STERLINHOL,19951219,56,56,55,56,1700,0
STERLINHOL,19951220,56,55.95,55,55.95,2200,0
STERLINHOL,19951221,55.95,56.05,55,55,1300,0
STERLINHOL,19951222,55,58,55,55,1600,0
STERLINHOL,19951226,59,59,55,55,400,0
STERLINHOL,19951227,55,57,55.25,56,1000,0
STERLINHOL,19951228,56,56.05,55.75,56,1500,0
STERLINHOL,19951229,56,57.7,55,55.05,2300,0
STERLINHOL,19960101,57,57.5,56.5,56.5,300,0
STERLINHOL,19960102,56.5,57,56,56,1000,0
STERLINHOL,19960103,56,57.9,55,56.5,1600,0
STERLINHOL,19960104,56.5,56.2,55.1,55.1,400,0
STERLINHOL,19960105,55.1,55.5,55,55.25,700,0
STERLINHOL,19960108,55.25,55.25,55,55,1300,0
STERLINHOL,19960109,55,56.5,54.5,54.5,2000,0
STERLINHOL,19960110,54.5,54,53.5,53.55,2900,0
STERLINHOL,19960111,53.55,53.95,53,53.4,1100,0
STERLINHOL,19960112,53,54.95,53,53.5,900,0
STERLINHOL,19960115,53.5,53.95,53,53.5,700,0
STERLINHOL,19960116,53.3,54,52.75,53.2,5000,0
STERLINHOL,19960117,53.5,53.5,51.1,53,900,0
STERLINHOL,19960118,53,53.5,50.5,53.5,500,0
STERLINHOL,19960119,53.5,54.95,51.5,51.5,1300,0
STERLINHOL,19960122,51.5,52,50.5,52,1700,0
STERLINHOL,19960123,52,52.5,50,52.35,4500,0
STERLINHOL,19960124,52.35,48.5,47.05,47.05,2400,0
STERLINHOL,19960125,47.05,48,47,47,2000,0
STERLINHOL,19960129,47,47.75,46,47,1200,0
STERLINHOL,19960130,47,49.7,48,49.5,2500,0
STERLINHOL,19960131,49.5,50.65,49.5,50.25,2300,0
STERLINHOL,19960201,51,55,51,54.5,1200,0
STERLINHOL,19960202,55,57.5,55,57.5,2600,0
STERLINHOL,19960205,57.5,62,57.5,58.35,3000,0
STERLINHOL,19960206,58.35,60,55,58.6,5700,0
STERLINHOL,19960207,58.6,59,55,55.85,4300,0
STERLINHOL,19960208,55.85,57.95,55.85,57.95,2300,0
STERLINHOL,19960209,58.25,62,58.25,60,4600,0
STERLINHOL,19960212,60,66,60.75,62.75,7700,0
STERLINHOL,19960213,62.75,64,60.25,63.95,4400,0
