SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
STRTECH,20071217,372,372,330,345.6,682443,395366
STRTECH,20071218,345,351,329,345.3,241786,80093
STRTECH,20071219,354,362,330,337,321925,121285
STRTECH,20071220,349.8,359.8,335.1,338.4,95311,31978
STRTECH,20071224,344,346.9,335,342.15,79219,27847
STRTECH,20071226,346.9,352.5,342.2,346.1,145459,0
STRTECH,20071227,348,350,326.1,330.7,750107,0
STRTECH,20071228,331,335.9,330,333.2,431058,0
STRTECH,20071231,344.75,344.75,332.35,334.6,431745,282986
STRTECH,20080101,333,341,333,336.8,110534,40449
STRTECH,20080102,338,340,329,335.55,90384,36570
STRTECH,20080103,320,338,320,332.3,239255,151351
STRTECH,20080104,335,349.9,322,341.75,270806,93072
STRTECH,20080107,343.9,351.7,338.1,342.9,163040,56614
STRTECH,20080108,342,352,326.1,330.75,246480,101604
STRTECH,20080109,332.9,335.75,327,329.4,218213,111589
STRTECH,20080110,330,334.9,306.1,309.55,162266,81572
STRTECH,20080111,258,315.9,258,304.55,85895,34798
STRTECH,20080114,308,318.4,305,315.2,108480,58788
STRTECH,20080115,318.75,318.75,297.15,300.65,105666,53104
STRTECH,20080116,298.95,299.9,288.95,293.5,60850,26912
STRTECH,20080117,301,309.9,295,302.4,96085,0
STRTECH,20080118,299.9,303,280,284.05,70147,0
STRTECH,20080121,280.2,282.5,221,229.6,171256,0
STRTECH,20080122,200,220,121.1,157.35,468428,0
STRTECH,20080123,171.2,237.9,170,224.5,385110,0
STRTECH,20080124,232,249.8,190,200.8,240276,108998
STRTECH,20080125,209.8,232.5,206.3,228.45,166430,58050
STRTECH,20080128,217.4,230.7,207.05,227.8,133287,55748
STRTECH,20080129,235,245,218.2,221.15,89219,39620
STRTECH,20080130,223,223,208,211.6,156938,0
STRTECH,20080131,213,217,185.15,194.6,1064652,768255
STRTECH,20080201,202.8,212.5,195.25,210.55,169676,57868
STRTECH,20080204,212.4,223,212.2,216,187499,84870
STRTECH,20080205,212.4,227.9,212.4,226.45,148873,58304
STRTECH,20080206,215.1,223,205,221.2,87335,23146
