SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
STYABS,20120620,714,724,710,716,794,0
STYABS,20120621,701.05,728,700,715.75,1007,0
STYABS,20120622,710,725,710,715.05,284,0
STYABS,20120625,720,728,715.05,720.2,360,0
STYABS,20120626,717,727.9,710.25,715.1,217,0
STYABS,20120627,724.85,724.85,715,717.1,74,0
STYABS,20120628,720,726,702.25,704.85,829,0
STYABS,20120629,727,743.95,713,736.8,2439,0
STYABS,20120702,734.6,738.5,723.1,731.35,368,0
STYABS,20120703,730,733.5,720,722.5,359,0
STYABS,20120704,726,734.95,717.3,734.3,61,0
STYABS,20120705,720,750,720,727.2,914,0
STYABS,20120706,724,733,720,720.15,433,0
STYABS,20120709,640,734.95,640,728.2,117,0
STYABS,20120710,711.4,728.95,711.4,725.15,152,0
STYABS,20120711,714,722.85,711.9,720.35,396,0
STYABS,20120712,720,728.2,712,712.75,155,0
STYABS,20120713,726.7,727,710.5,712.2,181,0
STYABS,20120716,715,715,703.05,708.05,539,0
STYABS,20120717,715,717.5,709,709.75,620,0
STYABS,20120718,705,705,679.95,690,3701,0
STYABS,20120719,708,708,690.35,694.3,1041,0
STYABS,20120720,731,731,688.05,692.95,479,0
STYABS,20120723,690,690,685.1,686.1,290,0
STYABS,20120724,686,690.65,675.8,677.05,1341,0
STYABS,20120725,680,685,675,675.4,500,0
STYABS,20120726,695,695,678,679,1650,0
STYABS,20120727,679,699.95,666.05,687.95,84,0
STYABS,20120730,698.85,698.85,665,666.75,442,0
STYABS,20120731,666,666,643,645.45,634,0
STYABS,20120801,660,660,650.15,654.4,309,0
STYABS,20120802,780,780,665,674.05,104,0
STYABS,20120803,675,675,645.25,652.5,160,0
STYABS,20120806,674,694,660,676.75,1770,0
STYABS,20120807,679.9,679.95,668.35,670,103,0
STYABS,20120808,645,681,645,679,1195,0
STYABS,20120809,670.35,677.95,670,670.35,266,0
STYABS,20120810,680,682,670.05,672.7,734,0
STYABS,20120813,749,749,670.5,675,1520,0
STYABS,20120814,673,685,670,674.5,294,0
STYABS,20120816,678.95,678.95,670,670,455,0
STYABS,20120817,675,675,670,670.65,367,0
STYABS,20120821,679,679,670,670.4,510,0
STYABS,20120822,698.7,698.7,669,669.95,2678,0
STYABS,20120823,665,673,663.05,666,96,0
STYABS,20120824,675,675,657,667.05,560,0
STYABS,20120827,669.9,680,665,670,356,0
STYABS,20120828,655.05,680,643,651.3,3544,0
STYABS,20120829,665,665,641.1,645.15,186,0
STYABS,20120830,627.7,659,627.7,648.15,155,0
STYABS,20120831,650,670,643,646.05,118,0
STYABS,20120903,648.95,649,643.05,644,188,0
STYABS,20120904,643,643,634.7,635.1,622,0
STYABS,20120905,630.1,634.95,600,604.65,2508,0
STYABS,20120906,601.05,615,601.05,606,298,0
STYABS,20120907,615,630,610,610.05,271,0
STYABS,20120908,610,610,610,610,1,0
STYABS,20120910,674.85,674.85,585.65,607.6,1476,0
STYABS,20120911,610,645,591,620.65,2691,0
STYABS,20120912,625,639,616.5,616.5,448,0
STYABS,20120913,610.15,612,601.3,607,852,0
STYABS,20120914,620,630,611.3,624,670,0
STYABS,20120917,632,633.95,612.95,614.75,98,0
STYABS,20120918,629.95,640,608,633.5,425,0
STYABS,20120920,633.4,633.4,617.6,627.9,318,198
STYABS,20120921,639.95,639.95,620,626.3,1030,652
STYABS,20120924,625,639.95,615.1,631,493,458
STYABS,20120925,622.05,639.5,622,633.5,578,252
STYABS,20120926,625.05,635,620,629.7,1413,1037
STYABS,20120927,634,634,630,630,140,122
STYABS,20120928,626.5,638,622.05,632.1,71,50
STYABS,20121001,625,640,625,630.15,647,591
STYABS,20121003,640,644.5,626.75,636.75,869,699
STYABS,20121004,640,669,640,659.85,2226,0
STYABS,20121005,644,651,635,650,1927,0
STYABS,20121008,658,669,645,649.25,708,436
STYABS,20121009,665,669,652,668.2,895,0
STYABS,20121010,665,667.8,643.5,659.1,1065,848
STYABS,20121011,663.95,663.95,645.65,648.3,88,0
STYABS,20121012,666,666,635.55,649.15,436,0
STYABS,20121015,653.95,653.95,647,649.85,70,68
STYABS,20121016,645,645,628.6,632.65,876,587
STYABS,20121017,643,643,621.55,626,959,755
STYABS,20121018,640,642.7,630,639.6,505,359
STYABS,20121019,637,639.85,617,627.5,711,0
STYABS,20121022,625.05,638.7,621.2,628.85,585,306
STYABS,20121023,629,629,629,629,35,0
STYABS,20121025,654,654,626.2,630.45,341,313
STYABS,20121026,625,630,618.95,620.85,616,0
STYABS,20121029,639.85,669.65,615.15,664.55,4356,2482
STYABS,20121030,665,673.65,640.5,648.85,2071,983
STYABS,20121031,650,661.8,640.4,650.85,608,0
STYABS,20121101,648.5,659.55,641.35,655.75,317,0
STYABS,20121102,663,663,645,649.6,1047,759
STYABS,20121105,656,659.45,641.25,649,497,324
STYABS,20121106,665,665,643.2,645,1214,0
STYABS,20121107,650,655,646,647.35,1673,0
STYABS,20121108,656.95,656.95,640.1,650,669,0
STYABS,20121109,650,667,646,649.85,18094,0
STYABS,20121112,650,653.95,638,640.3,1203,0
STYABS,20121113,658.75,658.9,647,647.1,836,751
STYABS,20121115,649.95,650,641.55,650,2840,2840
STYABS,20121116,650,650,644,649.15,4261,4211
STYABS,20121119,645,663.85,645,650,1966,0
STYABS,20121120,653,655,638.05,646.1,1718,0
STYABS,20121121,649.95,650,626,631.65,2063,1591
STYABS,20121122,635.25,663,624.05,652.35,1933,1314
STYABS,20121123,650,682,650,670.05,3114,0
STYABS,20121126,670.05,689,661,679.65,5537,4049
