SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SUNSTARLUB,19970807,8.9,8.95,8.5,8.95,600,0
SUNSTARLUB,19970808,9.4,10.25,9.4,10.2,1800,0
SUNSTARLUB,19970811,10.5,10.5,9.8,9.9,3500,0
SUNSTARLUB,19970812,9.9,10.1,9.75,10.1,5100,0
SUNSTARLUB,19970813,10.85,10.85,9.75,9.75,600,0
SUNSTARLUB,19970814,10.2,10.7,9.9,10,3300,0
SUNSTARLUB,19970818,10.5,10.5,10,10,1200,0
SUNSTARLUB,19970819,9.75,10,9.25,9.8,2100,0
SUNSTARLUB,19970820,9.85,9.85,9.3,9.4,3700,0
SUNSTARLUB,19970821,9.55,10.45,9.2,9.5,3800,0
SUNSTARLUB,19970822,10.35,10.35,9.25,9.25,1800,0
SUNSTARLUB,19970825,9,9,8.5,8.6,2100,0
SUNSTARLUB,19970826,8.3,8.5,8.2,8.25,1400,0
SUNSTARLUB,19970827,8.75,9.35,8.75,9,3500,0
SUNSTARLUB,19970828,9.2,9.25,8.35,8.75,1500,0
SUNSTARLUB,19970829,8.75,8.75,8.4,8.4,1500,0
SUNSTARLUB,19970901,8.4,8.4,8.25,8.25,300,0
SUNSTARLUB,19970902,8.4,8.7,8.3,8.3,700,0
SUNSTARLUB,19970903,8.65,8.75,8.2,8.3,2200,0
SUNSTARLUB,19970904,8.2,8.4,8.2,8.4,200,0
SUNSTARLUB,19970905,8.1,8.3,8.1,8.25,700,0
SUNSTARLUB,19970908,7.6,7.85,7.55,7.85,4900,0
SUNSTARLUB,19970909,7.4,8.05,7.35,8.05,2000,0
SUNSTARLUB,19970910,7.4,8.15,7.35,7.9,700,0
SUNSTARLUB,19970911,7.45,7.85,7.45,7.85,900,0
SUNSTARLUB,19970912,7.45,7.6,7.25,7.6,1600,0
SUNSTARLUB,19970915,7.5,7.5,7.5,7.5,200,0
SUNSTARLUB,19970916,7.5,7.8,7.5,7.8,300,0
SUNSTARLUB,19970917,7.35,7.9,7.35,7.85,500,0
SUNSTARLUB,19970918,7.5,7.5,7.25,7.5,1200,0
SUNSTARLUB,19970919,7.75,7.75,7.75,7.75,200,0
SUNSTARLUB,19970922,7.75,7.8,7.3,7.3,2300,0
SUNSTARLUB,19970923,7.8,7.8,7.25,7.25,1300,0
SUNSTARLUB,19970924,7.05,7.25,7.05,7.25,200,0
SUNSTARLUB,19970925,7.25,7.45,7.15,7.45,700,0
SUNSTARLUB,19970926,7.4,7.5,7.4,7.5,400,0
SUNSTARLUB,19970929,7.45,8,7.25,7.25,2500,0
SUNSTARLUB,19970930,7.15,7.15,7,7,5200,0
SUNSTARLUB,19971001,6.5,7.4,6.5,7.15,11800,0
SUNSTARLUB,19971009,8,8,6.9,6.95,1000,0
SUNSTARLUB,19971010,7,7,6.5,6.5,900,0
SUNSTARLUB,19971014,5.8,7,5.75,6,400,0
SUNSTARLUB,19971015,6.9,6.9,5.8,6.35,800,0
SUNSTARLUB,19971016,7.3,7.3,6.5,6.7,1800,0
SUNSTARLUB,19971017,7.7,7.7,6.55,6.6,2100,0
SUNSTARLUB,19971020,7.5,7.5,6.75,6.75,2200,0
SUNSTARLUB,19971021,6.9,7,6.5,6.5,1800,0
SUNSTARLUB,19971022,6.45,6.45,6.45,6.45,100,0
SUNSTARLUB,19971023,6.35,6.4,6.35,6.4,300,0
SUNSTARLUB,19971024,6.55,7.4,6.3,6.3,7700,0
SUNSTARLUB,19971027,6.5,6.5,6.5,6.5,300,0
SUNSTARLUB,19971028,5.9,5.9,5.55,5.55,4200,0
SUNSTARLUB,19971029,6.1,6.2,6.1,6.15,1000,0
SUNSTARLUB,19971030,6.25,6.3,6.25,6.25,900,0
SUNSTARLUB,19971103,6.5,6.5,5.8,5.8,5200,0
SUNSTARLUB,19971104,5.85,5.85,5,5.05,2000,0
SUNSTARLUB,19971105,5.2,5.85,5,5,12800,0
SUNSTARLUB,19971106,5.25,5.7,5.25,5.7,1200,0
SUNSTARLUB,19971107,5.7,5.9,5.5,5.9,1800,0
SUNSTARLUB,19971110,5.8,5.8,5.5,5.7,400,0
SUNSTARLUB,19971111,5.7,6,5.7,5.9,2900,0
SUNSTARLUB,19971112,5.75,5.8,5.5,5.5,2200,0
SUNSTARLUB,19971113,5.5,5.8,5.5,5.5,900,0
SUNSTARLUB,19971117,5.6,5.6,5.35,5.35,300,0
SUNSTARLUB,19971118,5.6,5.75,5.6,5.65,1200,0
SUNSTARLUB,19971119,5.5,5.6,5.05,5.6,1800,0
SUNSTARLUB,19971120,5.75,6,5.75,6,1200,0
SUNSTARLUB,19971121,6,6,5.4,5.95,1300,0
SUNSTARLUB,19971126,5.9,6,5.9,6,1000,0
SUNSTARLUB,19971127,5.95,6,5.95,6,600,0
SUNSTARLUB,19971128,6.1,6.1,6.1,6.1,300,0
SUNSTARLUB,19971201,6.1,6.1,6.1,6.1,500,0
SUNSTARLUB,19971202,6.1,6.1,6.1,6.1,100,0
SUNSTARLUB,19971203,6.25,6.25,6.25,6.25,800,0
SUNSTARLUB,19971204,6,6.25,6,6,1300,0
SUNSTARLUB,19971205,6,6.25,6,6.25,1300,0
SUNSTARLUB,19971209,6.25,6.45,6.25,6.25,1100,0
SUNSTARLUB,19971210,6.25,6.25,6.25,6.25,500,0
SUNSTARLUB,19971211,6,6,6,6,1000,0
SUNSTARLUB,19971216,5.75,5.75,5.75,5.75,300,0
SUNSTARLUB,19971229,5.1,5.4,5.1,5.4,200,0
SUNSTARLUB,19971230,5.25,5.25,5.25,5.25,100,0
SUNSTARLUB,19971231,5.1,5.1,5.1,5.1,300,0
SUNSTARLUB,19980101,5.25,5.25,5.1,5.1,400,0
SUNSTARLUB,19980102,5.5,5.9,5.5,5.9,1200,0
SUNSTARLUB,19980105,5.9,6.2,5.9,6.2,400,0
SUNSTARLUB,19980106,6,6,6,6,1500,0
SUNSTARLUB,19980107,6.25,6.25,6.25,6.25,500,0
SUNSTARLUB,19980108,5.85,5.85,5.6,5.6,1200,0
SUNSTARLUB,19980109,6.25,6.25,6.25,6.25,200,0
SUNSTARLUB,19980114,5.5,5.5,5.5,5.5,100,0
SUNSTARLUB,19980115,5.05,5.4,5.05,5.3,1000,0
SUNSTARLUB,19980116,4.65,4.65,4.65,4.65,100,0
SUNSTARLUB,19980119,5,5.2,5,5.2,1400,0
SUNSTARLUB,19980120,5,5.15,5,5.15,1200,0
SUNSTARLUB,19980121,5.2,5.95,5.15,5.95,5200,0
SUNSTARLUB,19980122,6.65,6.7,6.05,6.2,1700,0
SUNSTARLUB,19980123,5.65,6.25,5.65,6.1,1300,0
SUNSTARLUB,19980127,5.9,5.9,5.2,5.8,1700,0
SUNSTARLUB,19980128,5.7,5.7,5.7,5.7,800,0
SUNSTARLUB,19980129,6.1,6.1,6.1,6.1,200,0
SUNSTARLUB,19980130,6.05,6.05,6.05,6.05,200,0
SUNSTARLUB,19980202,6.05,6.05,5.65,5.75,700,0
SUNSTARLUB,19980205,5.25,5.25,5.25,5.25,100,0
SUNSTARLUB,19980211,6,6,6,6,500,0
SUNSTARLUB,19980212,5.8,5.8,5.8,5.8,200,0
SUNSTARLUB,19980213,5.7,6.05,5.7,6.05,3100,0
SUNSTARLUB,19980217,5.9,6,5.9,6,700,0
SUNSTARLUB,19980218,5.9,5.9,5.9,5.9,500,0
SUNSTARLUB,19980219,5.7,5.7,5.7,5.7,100,0
SUNSTARLUB,19980220,5.25,5.25,5.25,5.25,200,0
SUNSTARLUB,19980224,5.5,5.9,5.5,5.9,300,0
SUNSTARLUB,19980225,5.5,5.5,5.5,5.5,100,0
SUNSTARLUB,19980226,5,5,4.95,4.95,200,0
SUNSTARLUB,19980227,5,5.5,5,5.45,300,0
SUNSTARLUB,19980312,5,5,5,5,200,0
SUNSTARLUB,19980316,5,5.5,5,5.5,600,0
SUNSTARLUB,19980317,5.5,6,5.5,6,1800,0
SUNSTARLUB,19980318,6.35,6.4,6.35,6.4,400,0
SUNSTARLUB,19980319,6,6,6,6,200,0
SUNSTARLUB,19980320,6.2,6.2,6.2,6.2,300,0
SUNSTARLUB,19980324,6,6.6,6,6.6,1000,0
SUNSTARLUB,19980325,6.6,6.6,6.6,6.6,500,0
SUNSTARLUB,19980326,6.65,6.65,6.65,6.65,100,0
SUNSTARLUB,19980327,7,7,6.9,6.95,600,0
SUNSTARLUB,19980330,7.2,7.2,7.2,7.2,1200,0
SUNSTARLUB,19980401,7.1,7.25,7.1,7.1,2000,0
SUNSTARLUB,19980402,7,7,7,7,200,0
SUNSTARLUB,19980406,6.5,6.7,6.5,6.7,400,0
SUNSTARLUB,19980407,7,7.1,6.4,6.55,2100,0
SUNSTARLUB,19980409,7,7.5,6.5,7.1,4000,0
SUNSTARLUB,19980410,7.45,8,7.45,7.85,2600,0
SUNSTARLUB,19980413,6.75,8,6.75,7.5,300,0
SUNSTARLUB,19980416,8,8.65,8,8.5,2400,0
SUNSTARLUB,19980417,8.75,9.7,8.15,8.7,29300,0
SUNSTARLUB,19980420,8.9,9.2,8,8.25,19400,0
SUNSTARLUB,19980421,8.75,8.75,7.85,8.25,12700,0
SUNSTARLUB,19980422,8.7,8.75,7.25,7.8,110800,0
SUNSTARLUB,19980423,7.5,7.95,7.5,7.9,7000,0
SUNSTARLUB,19980424,7.9,7.9,7.5,7.65,1700,0
SUNSTARLUB,19980427,7.65,7.65,7.25,7.25,300,0
SUNSTARLUB,19980428,6.65,7.25,6.65,6.7,2800,0
SUNSTARLUB,19980429,6.25,6.9,6.1,6.1,6500,0
SUNSTARLUB,19980504,6.25,6.7,6.25,6.7,300,0
SUNSTARLUB,19980505,6,6.8,6,6.5,9600,0
SUNSTARLUB,19980506,6.75,6.9,6.75,6.9,1200,0
SUNSTARLUB,19980508,7.5,7.95,7.05,7.6,2900,0
SUNSTARLUB,19980511,7.3,7.6,7.3,7.55,1300,0
SUNSTARLUB,19980512,7.3,7.75,7.3,7.5,3500,0
SUNSTARLUB,19980513,7,7.8,7,7,6200,0
SUNSTARLUB,19980514,7,7,7,7,1000,0
SUNSTARLUB,19980515,7,7.2,7,7.2,600,0
SUNSTARLUB,19980518,7.25,7.25,6.6,7.25,2600,0
SUNSTARLUB,19980519,7.75,7.75,6.6,6.6,700,0
SUNSTARLUB,19980520,7.15,7.15,7.15,7.15,100,0
SUNSTARLUB,19980521,6.6,7.2,6.6,7.2,300,0
SUNSTARLUB,19980522,7,7.1,7,7.1,800,0
SUNSTARLUB,19980525,7.4,7.4,7,7,2800,0
SUNSTARLUB,19980526,7,7,6.7,7,1400,0
SUNSTARLUB,19980527,7.75,7.75,7.75,7.75,400,0
SUNSTARLUB,19980528,7.75,7.75,7.1,7.15,1000,0
SUNSTARLUB,19980529,7.15,7.2,7,7,800,0
SUNSTARLUB,19980601,7.1,7.1,7.05,7.05,1100,0
SUNSTARLUB,19980602,7.1,7.7,7,7,3600,0
SUNSTARLUB,19980604,6.6,6.6,6.6,6.6,100,0
SUNSTARLUB,19980605,6.6,7,6.6,7,1500,0
SUNSTARLUB,19980608,7.5,8,7.5,8,1300,0
SUNSTARLUB,19980609,8.95,8.95,7.5,8.9,3000,0
SUNSTARLUB,19980610,8.65,8.65,8.05,8.05,3500,0
SUNSTARLUB,19980611,7.55,8,7.55,8,4600,0
SUNSTARLUB,19980612,7.4,8,7.05,7.6,2300,0
SUNSTARLUB,19980615,7.9,7.9,7,7.25,3800,0
SUNSTARLUB,19980616,6.5,7,6.5,6.85,2700,0
SUNSTARLUB,19980617,6.75,7.7,6.75,7.05,1100,0
SUNSTARLUB,19980618,7.8,7.8,7.3,7.3,1000,0
SUNSTARLUB,19980619,7.3,7.3,6.6,6.6,1500,0
SUNSTARLUB,19980622,6.5,6.5,6.5,6.5,100,0
SUNSTARLUB,19980625,6.65,6.65,6.4,6.5,1000,0
SUNSTARLUB,19980626,7,7.5,6.5,6.5,1400,0
SUNSTARLUB,19980629,6.85,7.5,6.8,7.25,1600,0
SUNSTARLUB,19980630,7.25,11.75,7,8.7,15900,0
SUNSTARLUB,19980701,12.2,12.2,8,9.1,4700,0
SUNSTARLUB,19980702,9.8,9.8,8.5,9,3200,0
SUNSTARLUB,19980703,9.6,9.6,8.1,8.8,3400,0
SUNSTARLUB,19980706,11.4,11.4,8,8.05,1400,0
SUNSTARLUB,19980707,8.85,9,8.15,8.9,2200,0
SUNSTARLUB,19980708,12,12,8.7,8.8,300,0
SUNSTARLUB,19980709,10.1,10.1,9,9.1,2000,0
