SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
SUPRAJIT,20050218,82,84,79.25,79.7,18358,0
SUPRAJIT,20050221,82.8,84.75,78.1,78.75,13659,0
SUPRAJIT,20050222,76,79.95,76,76.85,4183,0
SUPRAJIT,20050223,77,77.85,75,76.1,4229,0
SUPRAJIT,20050224,70,83.9,61.05,79.85,24207,0
SUPRAJIT,20050225,78,80,77.5,77.75,2207,1344
SUPRAJIT,20050228,80.75,81,74.25,76.55,2056,0
SUPRAJIT,20050301,75.25,78.05,74.5,78,6283,0
SUPRAJIT,20050302,78,80.95,76.5,77.7,2076,2015
SUPRAJIT,20050303,77.75,81.9,77.5,79.1,5092,2716
SUPRAJIT,20050304,80.5,82,78.5,79,2369,0
SUPRAJIT,20050307,80.5,81,79.25,80.1,5904,0
SUPRAJIT,20050308,80.6,81.95,77.1,77.95,23187,20440
SUPRAJIT,20050309,79,79.6,76,77,1339,0
SUPRAJIT,20050310,77,78.6,77,77.2,7876,0
SUPRAJIT,20050311,79.7,82.9,78.2,80.15,10858,0
SUPRAJIT,20050314,81,81.75,78.25,78.75,4531,0
SUPRAJIT,20050315,79.95,81,77.5,78.15,3790,2064
SUPRAJIT,20050316,79,81,78,78.4,6131,0
SUPRAJIT,20050317,80.4,80.4,77.4,78.5,1676,0
SUPRAJIT,20050318,77.5,78.85,75.55,75.65,2751,0
SUPRAJIT,20050321,75.5,76.7,74.15,74.7,2115,1970
SUPRAJIT,20050322,75.4,75.4,71.5,72.4,4049,0
SUPRAJIT,20050323,71.4,75.5,70.9,73.35,6063,0
SUPRAJIT,20050324,72.5,72.5,70,70,3823,3150
SUPRAJIT,20050328,71,72.15,68,70.3,2014,1582
SUPRAJIT,20050329,70,70,68.3,68.45,2326,0
SUPRAJIT,20050330,69.95,69.95,68.2,68.2,150,150
SUPRAJIT,20050331,73.5,79,69.5,76.05,3174,0
SUPRAJIT,20050401,76,76,73.15,73.95,2721,2561
SUPRAJIT,20050404,75,77,71.25,72,3430,2540
SUPRAJIT,20050405,72.65,74.05,72.45,73.35,1454,1354
SUPRAJIT,20050406,75,76.9,72.35,75,6803,0
SUPRAJIT,20050407,75.2,75.35,74,74,1275,0
SUPRAJIT,20050408,75,77,74,75.4,4625,0
SUPRAJIT,20050411,75.5,78.95,75.5,76.35,8575,7012
SUPRAJIT,20050412,78.5,78.5,75.3,76.5,1634,1400
SUPRAJIT,20050413,76.3,76.3,75,75,400,0
SUPRAJIT,20050415,72.5,75,71,71.85,2289,1911
SUPRAJIT,20050418,70,74.2,69,74.05,1884,0
SUPRAJIT,20050419,74,75.7,73.2,73.75,3694,0
SUPRAJIT,20050420,75,84,72,75.2,4495,0
SUPRAJIT,20050421,75,77,74,74.05,10638,0
SUPRAJIT,20050422,78.95,82.9,76.5,78.05,15693,0
SUPRAJIT,20050425,79.8,82.2,79.75,80.7,10462,0
SUPRAJIT,20050426,81.5,82.95,81,81.45,15125,0
SUPRAJIT,20050427,81.5,82,77.05,77.8,9837,0
SUPRAJIT,20050428,79,79.95,77.75,78.4,5227,0
SUPRAJIT,20050429,79.8,79.9,77,78.2,3105,0
SUPRAJIT,20050502,78.95,79,75,75.7,5246,0
SUPRAJIT,20050503,75.1,77.75,75.1,76.85,1172,0
SUPRAJIT,20050504,77.85,78,75.75,77.75,3420,0
SUPRAJIT,20050505,80,80,77.6,77.85,6780,0
SUPRAJIT,20050506,78,79,77.9,78.85,3598,0
SUPRAJIT,20050509,80,80.25,79,79.6,6896,0
SUPRAJIT,20050510,80,82,79,79.05,13436,0
SUPRAJIT,20050511,79,80.05,78.35,79.45,12764,0
SUPRAJIT,20050512,82.9,94,80.5,91.75,62862,0
SUPRAJIT,20050513,94.5,106.7,94.5,98.45,219983,0
SUPRAJIT,20050516,102,107,99,101.05,108575,0
SUPRAJIT,20050517,102,102,92.2,93.8,57317,0
SUPRAJIT,20050518,92.3,99,92.3,96.55,38443,0
SUPRAJIT,20050519,98,101.5,96.5,96.65,22344,0
SUPRAJIT,20050520,98.5,98.5,94.2,94.85,18082,0
SUPRAJIT,20050523,94.5,96,94,94.6,23500,0
SUPRAJIT,20050524,96.75,97.4,93.4,93.75,19737,0
SUPRAJIT,20050525,95,96,93,93.45,15190,0
SUPRAJIT,20050526,92.8,95.9,92.8,93.8,7680,0
SUPRAJIT,20050527,96.8,96.8,92.5,93,13499,0
SUPRAJIT,20050530,92.5,93.45,90.5,91.3,8885,0
SUPRAJIT,20050531,92.9,92.9,89,91.9,11593,0
SUPRAJIT,20050601,92.5,96.5,91,93.8,16784,0
SUPRAJIT,20050602,95.4,95.45,91.05,93.15,14482,0
SUPRAJIT,20050603,93.95,93.95,91,92.45,19011,0
SUPRAJIT,20050604,92.25,93.95,92.25,93.1,2896,0
SUPRAJIT,20050606,93.55,103.9,93.25,99.85,58303,0
SUPRAJIT,20050607,101,105.1,98.05,101.45,96205,0
SUPRAJIT,20050608,103.95,103.95,98.35,98.95,20728,0
SUPRAJIT,20050609,102,102,98,99.15,13583,0
SUPRAJIT,20050610,102,102,98.05,98.8,24068,0
SUPRAJIT,20050613,101.9,101.9,98.25,100.15,25473,0
SUPRAJIT,20050614,98.05,102.45,95,100.2,60897,31388
SUPRAJIT,20050615,100.75,103,100.75,102.3,43956,0
SUPRAJIT,20050616,102.5,102.5,96.05,96.9,16927,0
SUPRAJIT,20050617,96.05,98,91.7,92.65,21674,0
SUPRAJIT,20050620,95.8,95.8,92.1,92.8,15003,12804
SUPRAJIT,20050621,94.95,96.9,93.5,94.7,22047,15460
SUPRAJIT,20050622,93.6,102,93.6,99,61429,34370
SUPRAJIT,20050623,101,102.4,99.15,100.45,37399,25895
SUPRAJIT,20050624,100,101,99.25,99.75,9451,5807
SUPRAJIT,20050627,101,101,98.05,98.7,18659,0
SUPRAJIT,20050628,98.05,98.05,95.15,96.5,6992,0
SUPRAJIT,20050629,97.8,101.2,97.2,100,9791,6475
SUPRAJIT,20050630,100.15,100.35,98,98.5,3763,2661
SUPRAJIT,20050701,98,99.9,95.65,98.8,6449,5055
SUPRAJIT,20050704,99,100,98.45,99.3,6886,0
SUPRAJIT,20050705,98.1,104.9,98,103.3,39020,0
SUPRAJIT,20050706,102,124,102,124,352242,106792
SUPRAJIT,20050707,124.55,132,114.35,115.3,169743,0
SUPRAJIT,20050708,116.6,122.8,115.5,116.75,59504,0
SUPRAJIT,20050711,117.3,126.5,110.7,123.7,65602,0
SUPRAJIT,20050712,124,128,118.2,120.9,30269,0
SUPRAJIT,20050713,120.5,123.15,119,120.05,13589,0
SUPRAJIT,20050714,120,122,116,117,11347,6455
SUPRAJIT,20050715,115,119,114,118.35,14977,9715
SUPRAJIT,20050718,119,123,116.6,118.05,18637,0
SUPRAJIT,20050719,119,123,118.6,122,34937,0
SUPRAJIT,20050720,125.5,138,123,127.25,30544,20408
SUPRAJIT,20050721,132.9,132.9,121,124.2,29606,18686
SUPRAJIT,20050722,129.7,130,120,122.25,11693,0
SUPRAJIT,20050725,124,124,115,117.25,20209,0
SUPRAJIT,20050726,117.5,123,114.5,115.7,11394,7104
SUPRAJIT,20050727,117.5,120,117,118.1,4668,2492
SUPRAJIT,20050729,120,123,116.5,117.25,13085,0
SUPRAJIT,20050801,116.05,116.05,110,111.05,13167,9243
SUPRAJIT,20050802,115.75,117,111,115.35,17074,0
SUPRAJIT,20050803,113.5,116.4,113.5,115.2,3368,1886
SUPRAJIT,20050804,117,117,114,116.15,4922,3645
SUPRAJIT,20050805,118,119.95,111.4,113.3,22139,16076
SUPRAJIT,20050808,116.9,117,111.5,112.1,5570,3600
SUPRAJIT,20050809,111,122.95,111,115.6,26455,10276
SUPRAJIT,20050810,118.75,123.5,117,121.85,23911,15818
SUPRAJIT,20050811,125,146,122,125.05,25368,20250
SUPRAJIT,20050812,127.95,130,124.1,128.25,41372,0
SUPRAJIT,20050816,135,142,130,131.65,67513,44372
SUPRAJIT,20050817,133,137.45,133,134.1,27463,16036
SUPRAJIT,20050818,136.8,138,131.2,131.45,17649,12044
SUPRAJIT,20050819,134.55,134.55,131.1,131.6,17873,14875
SUPRAJIT,20050822,134,134,128,129.3,20551,15962
SUPRAJIT,20050823,128.5,131.4,128,128.4,17461,12854
SUPRAJIT,20050824,129,130,120.8,122.7,14375,10670
SUPRAJIT,20050825,130,130,124,125.4,13046,10889
SUPRAJIT,20050826,128.65,128.65,124.25,124.95,9583,6359
SUPRAJIT,20050829,125,127.75,124.05,126.25,8067,5884
SUPRAJIT,20050830,127.5,129.6,125.1,127.6,7942,6390
SUPRAJIT,20050831,128.8,130.5,126.95,127.6,6087,5095
SUPRAJIT,20050901,128,129.75,125.5,126.35,11216,10581
SUPRAJIT,20050902,129,132,127,129.15,14189,9951
SUPRAJIT,20050905,128.25,132,128,129.25,7949,5461
SUPRAJIT,20050906,130,133,129,130.1,13658,9150
SUPRAJIT,20050908,130.1,131.9,129.15,130.05,9401,6187
SUPRAJIT,20050909,132,132,129.5,131.3,7790,5445
SUPRAJIT,20050912,132,140.5,129.45,135.2,70469,33508
SUPRAJIT,20050913,136.05,139,134.1,135.7,14067,8099
SUPRAJIT,20050914,135,136.9,133,134.6,12011,9007
SUPRAJIT,20050915,132.1,140.95,132.1,136.65,24309,12101
SUPRAJIT,20050916,132.1,139.8,132.1,138.2,19877,16176
SUPRAJIT,20050919,135.5,141,135.5,140.05,16218,14645
SUPRAJIT,20050920,140.1,141.9,140,140.9,19757,17166
SUPRAJIT,20050921,141.4,147.45,135.7,144.15,42708,35411
SUPRAJIT,20050922,142,158.95,140.1,145.5,55813,29579
SUPRAJIT,20050923,156.8,156.8,136.15,142.05,18496,9230
SUPRAJIT,20050926,147.3,155,143,149.6,25206,16368
SUPRAJIT,20050927,152,157.45,151,153.1,16058,5739
SUPRAJIT,20050928,158.6,158.6,148.1,150.25,5069,3533
SUPRAJIT,20050929,157.85,158,146.35,148.4,7520,5313
SUPRAJIT,20050930,150.05,150.05,138.65,143.65,4361,2351
SUPRAJIT,20051003,142.5,156,142,152,21750,7454
SUPRAJIT,20051004,154.45,154.45,147,147.6,7175,3298
SUPRAJIT,20051005,149.9,149.9,143.65,145.3,1014,752
SUPRAJIT,20051006,144,145.4,142.5,143.7,1330,1055
SUPRAJIT,20051007,144.15,145,137.55,140.3,5558,3615
SUPRAJIT,20051010,140.05,144.9,134.5,140.2,2582,1253
SUPRAJIT,20051011,147,147,136.1,140.9,2096,1495
SUPRAJIT,20051013,140,141.95,138,139.6,2976,2025
SUPRAJIT,20051014,138,141,138,140.2,5137,4212
SUPRAJIT,20051017,138.25,141,136.7,137.15,2735,1650
SUPRAJIT,20051018,135.1,138.5,135.1,137.05,2712,2475
SUPRAJIT,20051019,134.05,138.55,134,137.4,7560,7485
SUPRAJIT,20051020,137,140,131,132.65,5166,4627
SUPRAJIT,20051021,133,139.65,127,135.55,5646,4477
SUPRAJIT,20051024,141.9,147,131.3,135.8,8731,6211
SUPRAJIT,20051025,139,139.5,133,135.7,4748,3350
SUPRAJIT,20051026,137.85,137.85,133,133.35,2172,2082
SUPRAJIT,20051027,134.9,136,133.8,134.2,3847,2625
SUPRAJIT,20051028,132.15,134.4,129.1,129.9,5102,4414
SUPRAJIT,20051031,130.2,134.2,129.25,129.35,985,985
SUPRAJIT,20051101,134.65,134.95,131.3,134.2,390,290
SUPRAJIT,20051102,130.5,131.05,130.15,131.05,545,545
SUPRAJIT,20051107,131,136.8,131,134.5,518,0
SUPRAJIT,20051108,136.85,142.9,136,139.95,5328,4396
SUPRAJIT,20051109,132,144,132,138.6,2808,0
SUPRAJIT,20051110,140.9,140.9,135.55,136.55,537,385
SUPRAJIT,20051111,139.5,141.5,138.6,140.7,1551,1396
SUPRAJIT,20051114,145,146,137,138.8,2832,0
SUPRAJIT,20051116,142.2,142.2,138.7,140,18453,18189
SUPRAJIT,20051117,140.5,142,140,140.5,2177,0
SUPRAJIT,20051118,142,142,140,140.05,635,635
SUPRAJIT,20051121,140.8,143.9,138.55,142.25,3403,2977
SUPRAJIT,20051122,139,145,135.55,140,2520,0
SUPRAJIT,20051123,141.25,145.35,140.5,140.7,3262,2595
SUPRAJIT,20051124,140.5,151.55,138.5,147.9,21779,15677
SUPRAJIT,20051125,143,155,143,154.05,18190,15334
SUPRAJIT,20051126,152.1,160,152.05,155.6,9154,0
SUPRAJIT,20051128,159.9,162,153.1,155.6,11401,8361
SUPRAJIT,20051129,151,154.9,151,153.25,5428,0
SUPRAJIT,20051130,156,168,154.25,160.45,51803,26478
SUPRAJIT,20051201,163.95,163.95,157.3,160.2,11644,7670
SUPRAJIT,20051202,164.7,164.9,160,161.05,6846,5236
SUPRAJIT,20051205,163,163,157.55,159,8969,6137
SUPRAJIT,20051206,160,162.5,158.3,161.9,2047,1721
SUPRAJIT,20051207,158.1,171,158.1,164.35,23648,8501
SUPRAJIT,20051208,170,170,162,163.9,19306,11893
SUPRAJIT,20051209,166,167.95,164,165.75,6986,5603
SUPRAJIT,20051212,169.9,169.9,162.15,166.4,8575,7528
SUPRAJIT,20051213,168,171,167.2,168.05,19898,9455
SUPRAJIT,20051214,166.55,170,166,168.05,8479,6793
