SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TANFACIND,20100303,33,33,32,32,5000,5000
TANFACIND,20100304,32,38.3,26.05,33.95,34491,19407
TANFACIND,20100305,33.95,36.4,33.1,33.55,5334,4820
TANFACIND,20100308,36,36,33.05,33.55,3421,3405
TANFACIND,20100309,33.05,34.4,33.05,34.4,202,150
TANFACIND,20100310,33,33.5,32.75,33.35,3519,3300
TANFACIND,20100311,32.05,33.25,32,32,821,500
TANFACIND,20100312,31.45,31.45,31.45,31.45,120,60
TANFACIND,20100316,29.5,30.95,29.45,29.65,347,300
TANFACIND,20100317,30.55,32.7,29.65,29.9,1808,302
TANFACIND,20100318,30.5,31,29.5,30.45,1176,1115
TANFACIND,20100319,30.55,31.8,27.7,29.5,13654,4421
TANFACIND,20100322,28.7,29.65,28.7,29.65,250,200
TANFACIND,20100323,29.6,30,29.55,29.6,128,118
TANFACIND,20100325,32,32,29.75,30.8,451,340
TANFACIND,20100326,31.2,31.2,31,31,332,332
TANFACIND,20100329,30.25,31.7,30.25,31.3,133,118
TANFACIND,20100330,30.6,31.1,29.7,31.1,1007,1000
TANFACIND,20100401,30,32.45,29.95,29.95,160,0
TANFACIND,20100405,31.05,31.45,31.05,31.45,353,53
TANFACIND,20100406,30.6,32.2,30.6,32.2,184,0
TANFACIND,20100408,31.3,31.3,31.3,31.3,3,3
TANFACIND,20100409,30.25,33,30.25,32.15,363,0
TANFACIND,20100412,31.5,34.9,31.3,32.9,2424,0
TANFACIND,20100413,31.75,31.75,31.75,31.75,50,50
TANFACIND,20100415,32.8,34,32.8,34,600,0
TANFACIND,20100416,31.05,34.15,31.05,34,550,0
TANFACIND,20100419,30.75,35.55,30.7,33.95,431,0
TANFACIND,20100420,30.1,34.4,30.1,31.6,703,50
TANFACIND,20100422,32.7,35,32.7,35,350,350
TANFACIND,20100423,32,34.45,31.85,32.75,487,300
TANFACIND,20100426,38.5,38.5,31.45,32.4,7793,270
TANFACIND,20100427,32.65,35,32.65,35,71,51
TANFACIND,20100428,33.2,33.7,32.6,33.45,385,300
TANFACIND,20100430,34.45,34.45,34.45,34.45,30,0
TANFACIND,20100503,34.85,35.95,33.15,34.2,489,365
TANFACIND,20100504,31.8,33.9,31.75,32.75,523,374
TANFACIND,20100505,33.05,33.05,30.25,32.05,774,650
TANFACIND,20100506,30.8,32,30.8,32,19,12
TANFACIND,20100507,37.8,37.8,30.25,30.75,688,645
TANFACIND,20100510,32.35,32.35,31,31,101,100
TANFACIND,20100511,31.5,31.5,30.6,31.2,410,0
TANFACIND,20100512,30,30.3,30,30.3,160,160
TANFACIND,20100513,29.2,32.85,29.2,30.45,436,0
TANFACIND,20100514,36.5,36.5,30.2,31,488,336
TANFACIND,20100519,29.65,30.5,29.5,29.95,155,75
TANFACIND,20100520,29.5,35.9,29.5,30.75,105,102
TANFACIND,20100524,28.55,31,28.55,29.3,852,850
TANFACIND,20100525,27.8,29.45,26.05,26.05,322,320
TANFACIND,20100526,29.25,29.25,27.1,28.4,1929,522
TANFACIND,20100528,28.4,28.4,27.7,27.7,60,60
TANFACIND,20100531,26.3,27.5,26.3,27.05,1504,1252
TANFACIND,20100601,29.25,29.25,27.25,27.25,411,410
TANFACIND,20100602,26.8,26.8,26.8,26.8,1,0
TANFACIND,20100603,27.45,28,27.4,27.4,120,110
TANFACIND,20100604,27.05,29.8,27.05,29.8,101,100
TANFACIND,20100607,29,29,27,28.35,2211,1804
TANFACIND,20100608,27,29.1,27,28.15,1436,1255
TANFACIND,20100609,28,28,27.65,27.65,201,200
TANFACIND,20100610,26.35,28.85,26.35,28.5,252,150
TANFACIND,20100611,29.3,29.3,27.6,27.6,107,107
TANFACIND,20100614,27.75,28.6,27.2,28.05,40,20
TANFACIND,20100615,28.1,28.1,28.1,28.1,200,200
TANFACIND,20100616,27.5,28,27.4,28,300,290
TANFACIND,20100617,26.95,28.5,26.8,28.45,510,400
TANFACIND,20100618,27.7,27.7,27.15,27.3,260,200
TANFACIND,20100621,27.35,27.95,27.3,27.3,410,400
TANFACIND,20100622,27.3,28,27.3,28,221,150
TANFACIND,20100623,28.35,28.35,28.35,28.35,25,25
TANFACIND,20100624,28,28,28,28,100,100
TANFACIND,20100625,27.4,27.4,27,27,1000,1000
TANFACIND,20100628,27.45,30.5,27.45,29.95,1506,1305
TANFACIND,20100629,31.5,33.6,29.6,29.6,4020,2709
TANFACIND,20100630,29.6,30.7,29.1,30,2027,601
TANFACIND,20100701,32.25,32.25,30.1,30.1,218,200
TANFACIND,20100702,30,32,30,31.75,11802,501
TANFACIND,20100705,31.85,31.85,31.5,31.5,110,55
TANFACIND,20100706,30.05,31,30.05,30.75,310,303
TANFACIND,20100707,29.7,33.4,29.7,31.25,1243,1186
TANFACIND,20100708,30.1,30.1,30.1,30.1,200,200
TANFACIND,20100709,31.55,31.55,30,30,263,263
TANFACIND,20100712,30.5,30.5,30.5,30.5,150,150
TANFACIND,20100713,29.6,31.35,29.5,29.75,552,535
TANFACIND,20100714,28.35,30.75,28.35,29.55,226,126
TANFACIND,20100715,28.15,31.3,28.15,31,379,203
TANFACIND,20100716,30,31.45,30,31.15,24,12
TANFACIND,20100719,31.55,31.85,30.65,31.85,370,250
TANFACIND,20100720,30.45,31.7,30.45,31.4,344,340
TANFACIND,20100722,29.4,30.95,29.4,30.95,274,274
TANFACIND,20100723,30.1,30.95,30,30.95,655,655
TANFACIND,20100726,27,30.8,27,29.5,328,325
TANFACIND,20100727,28.2,30.2,28.2,29.8,181,175
