SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TASCPHARMA,20020121,22,26,22,26,600,0
TASCPHARMA,20020218,26,26,26,26,100,100
TASCPHARMA,20020219,26,26,26,26,100,100
TASCPHARMA,20020220,21,31,21,23,8400,50
TASCPHARMA,20020221,26,26,26,26,100,100
TASCPHARMA,20020222,29,29.95,23.05,23.05,210,200
TASCPHARMA,20020403,19.35,23.5,19.3,19.35,201,200
TASCPHARMA,20020404,19.4,20,19.4,20,10,5
TASCPHARMA,20020409,21.9,21.9,21.9,21.9,100,100
TASCPHARMA,20020429,18,18,18,18,500,0
TASCPHARMA,20020515,16.5,16.5,16.5,16.5,50,0
TASCPHARMA,20020516,19.8,19.8,19.8,19.8,1,1
TASCPHARMA,20020524,16.1,16.1,16.1,16.1,5,5
TASCPHARMA,20020703,18,18,18,18,200,200
TASCPHARMA,20020704,21.4,21.4,21.4,21.4,50,50
TASCPHARMA,20020705,21.4,21.55,21.4,21.55,370,370
TASCPHARMA,20020709,22,22,22,22,200,200
TASCPHARMA,20020710,22.95,23.5,22,23.45,115,100
TASCPHARMA,20020711,23.55,23.55,23.5,23.5,550,550
TASCPHARMA,20020712,24.9,24.9,24.9,24.9,100,100
TASCPHARMA,20020719,24,24,24,24,1,1
TASCPHARMA,20030528,8.7,10.6,8.7,10.6,205,0
TASCPHARMA,20030529,11.65,11.7,11.65,11.7,2,0
TASCPHARMA,20030530,12.9,12.9,12.9,12.9,1,0
TASCPHARMA,20030602,14,14.2,14,14.2,2,0
TASCPHARMA,20030603,15.65,15.65,15.65,15.65,1,0
TASCPHARMA,20030604,17.25,17.25,17.25,17.25,701,0
TASCPHARMA,20030605,18.9,18.9,15.65,18.4,51,0
TASCPHARMA,20030606,20.25,20.25,20.25,20.25,1,0
TASCPHARMA,20030609,22.3,22.3,18.3,19.2,907,0
TASCPHARMA,20030610,17.5,18.45,17.5,18.45,205,0
TASCPHARMA,20030611,18.85,18.85,18.85,18.85,1,0
TASCPHARMA,20030612,18.45,18.45,18.45,18.45,1,0
TASCPHARMA,20030613,19.2,19.2,16.75,17,551,0
TASCPHARMA,20030616,18.6,18.6,18.6,18.6,1,0
TASCPHARMA,20030617,20.2,20.2,16.8,16.8,151,0
TASCPHARMA,20030618,18.5,18.5,16.7,17.85,102,0
TASCPHARMA,20030619,17.85,19.65,16.1,17.2,1983,0
TASCPHARMA,20030620,18.85,18.85,16.15,16.5,1392,0
TASCPHARMA,20030623,18,18,15.75,17,1250,1050
TASCPHARMA,20030624,16,16.5,15.9,15.9,601,0
TASCPHARMA,20030625,15.9,15.9,15.9,15.9,100,100
TASCPHARMA,20030626,17.5,17.5,14.5,17.4,221,219
TASCPHARMA,20030627,18.95,18.95,17.5,17.5,101,101
TASCPHARMA,20030630,16.5,18.35,16.5,18.1,3900,3590
TASCPHARMA,20030701,17.5,18.4,17,17.1,2571,2570
TASCPHARMA,20030702,16.8,17,16.8,17,400,0
TASCPHARMA,20030703,16.95,16.95,16.95,16.95,100,0
TASCPHARMA,20030704,17.4,17.5,15.5,16.25,1250,1150
TASCPHARMA,20030709,14.75,17.75,14.75,14.8,104,100
TASCPHARMA,20030710,15.5,15.5,15.5,15.5,200,200
TASCPHARMA,20030711,13.95,13.95,13.95,13.95,1,0
TASCPHARMA,20030714,13.55,14,13.55,14,400,400
TASCPHARMA,20030717,13.2,13.2,13.2,13.2,1,0
TASCPHARMA,20030718,13.2,14.5,13.2,13.25,601,400
TASCPHARMA,20030721,13.25,13.25,12.5,12.5,261,261
TASCPHARMA,20030722,11.5,11.5,11.5,11.5,100,100
TASCPHARMA,20030724,10.8,10.8,10.8,10.8,1,1
TASCPHARMA,20030804,12,12,12,12,300,300
TASCPHARMA,20030805,11.1,11.1,11.1,11.1,100,100
TASCPHARMA,20030806,10.8,12.25,10.8,12.25,200,100
TASCPHARMA,20030807,13,13.5,13,13.5,101,100
TASCPHARMA,20030808,14.85,14.85,14.85,14.85,300,300
TASCPHARMA,20030811,15.9,16.3,15.9,16.3,550,400
TASCPHARMA,20030812,17.95,17.95,16.1,16.1,1000,900
TASCPHARMA,20030813,17.6,17.6,17,17,500,500
TASCPHARMA,20030814,17,17.4,17,17.4,610,0
TASCPHARMA,20030818,16.1,16.1,16.1,16.1,200,200
TASCPHARMA,20030819,15.85,15.85,15.85,15.85,100,100
TASCPHARMA,20030821,14.6,16.95,14.6,16.95,200,100
TASCPHARMA,20030825,18.5,18.5,18.5,18.5,5,5
TASCPHARMA,20030826,16.8,17,16.7,16.7,400,0
TASCPHARMA,20030827,15.1,17.8,15.1,17.75,917,457
TASCPHARMA,20030828,17,17.5,17,17,1948,1948
TASCPHARMA,20030829,17,17.45,17,17.45,150,150
TASCPHARMA,20030901,17.5,19.2,17.5,19.1,1140,350
TASCPHARMA,20030902,19.4,20.9,19.25,19.5,5430,3810
TASCPHARMA,20030903,20,21.3,18,18,1181,1030
TASCPHARMA,20030904,18.3,19.6,18.3,19.6,1329,1329
TASCPHARMA,20030905,20,21.25,20,20.6,4883,4782
TASCPHARMA,20030908,19.15,20.95,19.15,20,558,357
TASCPHARMA,20030909,21.4,22,21,22,20218,20218
TASCPHARMA,20030910,24.2,24.2,23.5,24.2,47290,46990
TASCPHARMA,20030911,25.8,26.65,25.8,26.65,12780,12380
TASCPHARMA,20030912,29.3,29.35,28,28.4,159926,97959
TASCPHARMA,20030915,30.8,31,26.1,29.7,62474,30883
TASCPHARMA,20030916,29.25,31.2,29.05,29.75,40377,22910
TASCPHARMA,20030917,31,31.25,29.4,29.95,52322,12699
TASCPHARMA,20030918,31.15,31.15,28.45,29.15,34903,9227
TASCPHARMA,20030919,29.95,30.5,29,30,33013,11762
TASCPHARMA,20030922,30.9,31.5,30.9,31.5,25657,21770
TASCPHARMA,20030923,32.9,33.1,31.8,33.1,48599,14499
TASCPHARMA,20030924,33.7,34.7,33.25,34.1,67510,21371
TASCPHARMA,20030925,35.5,35.5,33.25,34.2,183815,106661
TASCPHARMA,20030926,34,35.25,33.5,34.9,75872,17295
TASCPHARMA,20030929,36.5,36.65,34.25,36.3,65811,25193
TASCPHARMA,20030930,37.6,37.75,36,36.25,83855,14459
TASCPHARMA,20031001,36.5,37.5,36,36.55,64411,12188
TASCPHARMA,20031003,37,38.4,36.3,36.3,103678,23513
TASCPHARMA,20031006,36.6,38.1,36.6,36.85,104951,18850
TASCPHARMA,20031007,37.5,37.75,35.05,35.05,95461,10386
TASCPHARMA,20031008,35.5,35.5,33.3,33.3,96400,17250
TASCPHARMA,20031009,33.5,33.75,32.05,32.35,62288,9974
TASCPHARMA,20031010,32.5,34,32.5,32.75,50201,5596
TASCPHARMA,20031013,33.5,34.4,32.65,34.2,43515,16850
TASCPHARMA,20031014,34,35.95,33.75,35.05,99246,15246
TASCPHARMA,20031015,34.65,36.8,34.5,36.8,215927,67450
TASCPHARMA,20031016,38.5,38.5,37,37.75,100850,13101
TASCPHARMA,20031017,38.7,39.65,38,39.65,182010,63876
TASCPHARMA,20031020,40.5,40.5,37.7,37.85,66026,17675
TASCPHARMA,20031021,38,38.3,36,36,169125,45900
TASCPHARMA,20031022,36.05,36.1,34.2,34.2,77766,11100
TASCPHARMA,20031023,33.25,34.4,32.8,33.05,44711,4069
TASCPHARMA,20031024,33.55,34.7,33.2,34.45,80961,14616
TASCPHARMA,20031025,34,36.2,34,35.8,39050,0
TASCPHARMA,20031027,36,36.2,34.65,34.75,34120,4100
TASCPHARMA,20031028,34.55,36.25,33.5,34.95,48162,4489
TASCPHARMA,20031029,34.1,35.6,33.6,33.7,44407,0
TASCPHARMA,20031030,33.6,35.25,33.6,34.7,95275,2878
TASCPHARMA,20031031,35.25,36,34,34.1,51901,0
TASCPHARMA,20031103,34.75,35.8,34.25,34.35,42942,0
TASCPHARMA,20031104,34.35,36.1,34,34.95,69330,0
TASCPHARMA,20031105,34.35,35.9,34,34.25,47375,0
TASCPHARMA,20031106,35.5,36,34.75,35,62137,7387
TASCPHARMA,20031107,35.5,35.95,34.5,35,31704,6825
TASCPHARMA,20031110,35.35,36.75,35.35,36.7,34438,0
TASCPHARMA,20031111,36.5,38.55,36.5,38.5,163877,0
TASCPHARMA,20031112,38.95,40.45,38.15,40.25,131283,47577
TASCPHARMA,20031113,40,40.7,38.25,38.25,99786,0
TASCPHARMA,20031114,37,37.85,36.5,36.6,41835,0
TASCPHARMA,20031115,36.5,37.15,35,36.45,44740,0
TASCPHARMA,20031117,35.55,38.3,35.55,36.3,72716,0
TASCPHARMA,20031118,36.4,36.5,34.5,35,65071,0
TASCPHARMA,20031119,34,35,34,34.5,23013,0
TASCPHARMA,20031120,36,36.2,34.35,34.6,76503,0
TASCPHARMA,20031121,35,35,34.1,34.2,38350,0
TASCPHARMA,20031124,34.5,35.8,34.3,34.45,35244,0
TASCPHARMA,20031125,34.8,35.7,34.25,34.45,61766,0
TASCPHARMA,20031127,35.65,35.7,34.35,34.35,54305,0
TASCPHARMA,20031128,35.4,36.1,35,35.2,69090,0
TASCPHARMA,20031201,35,37,35,37,65579,0
TASCPHARMA,20031202,38.8,38.85,37,38.55,64645,0
TASCPHARMA,20031203,38.75,40.5,38.5,40.5,68325,0
TASCPHARMA,20031205,44.2,44.2,42.1,42.3,73293,0
TASCPHARMA,20031208,44.4,44.45,44.4,44.45,1550,0
