SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TATAPRESS,19950103,305,305,305,305,50,0
TATAPRESS,19950105,305,305,305,305,50,0
TATAPRESS,19950109,305.5,305.5,305,305,200,0
TATAPRESS,19950113,305,305,305,305,100,0
TATAPRESS,19950120,280,280,280,280,100,0
TATAPRESS,19950201,280,280,280,280,50,0
TATAPRESS,19950202,270,270,270,270,100,0
TATAPRESS,19950203,270,270,270,270,100,0
TATAPRESS,19950206,270,270,270,270,50,0
TATAPRESS,19950209,260,260,260,260,50,0
TATAPRESS,19950214,272,272,272,272,100,0
TATAPRESS,19950215,265,265,265,265,100,0
TATAPRESS,19950216,261,265,261,265,150,0
TATAPRESS,19950217,262.5,262.5,262.5,262.5,100,0
TATAPRESS,19950220,240,240,240,240,100,0
TATAPRESS,19950221,240,245,240,245,550,0
TATAPRESS,19950222,260,260,260,260,50,0
TATAPRESS,19950223,250,250,250,250,100,0
TATAPRESS,19950224,250,255,250,250,200,0
TATAPRESS,19950228,270,270,260,260,150,0
TATAPRESS,19950301,260,260,260,260,150,0
TATAPRESS,19950302,265,265,265,265,50,0
TATAPRESS,19950310,270,270,270,270,50,0
TATAPRESS,19950314,260,260,260,260,50,0
TATAPRESS,19950315,270,270,270,270,200,0
TATAPRESS,19950327,255,255,255,255,50,0
TATAPRESS,19950403,260,260,260,260,200,0
TATAPRESS,19950404,260,260,260,260,200,0
TATAPRESS,19950407,265,265,265,265,100,0
TATAPRESS,19950410,270,270,270,270,100,0
TATAPRESS,19950418,270,270,270,270,50,0
TATAPRESS,19950505,220,220,220,220,300,0
TATAPRESS,19950508,220,220,220,220,100,0
TATAPRESS,19950509,220,220,220,220,150,0
TATAPRESS,19950512,220,220,220,220,100,0
TATAPRESS,19950515,215,215,215,215,150,0
TATAPRESS,19950516,210,210,210,210,50,0
TATAPRESS,19950518,211,211,211,211,50,0
TATAPRESS,19950523,225,230,225,230,150,0
TATAPRESS,19950524,240,241,240,241,200,0
TATAPRESS,19950525,255,255,255,255,100,0
TATAPRESS,19950526,252,252,241,241,150,0
TATAPRESS,19950530,255,255,255,255,250,0
TATAPRESS,19950612,255,255,255,255,50,0
TATAPRESS,19950626,263,265,263,265,150,0
TATAPRESS,19950629,258,258,258,258,100,0
TATAPRESS,19950630,255,258,255,258,150,0
TATAPRESS,19950703,258,258,258,258,450,0
TATAPRESS,19950710,250,250,250,250,50,0
TATAPRESS,19950711,230,230,230,230,100,0
TATAPRESS,19950712,231,231,231,231,200,0
TATAPRESS,19950713,240,240,240,240,50,0
TATAPRESS,19950714,240,240,240,240,100,0
TATAPRESS,19950718,254,254,250,250,250,0
TATAPRESS,19950724,255,255,255,255,200,0
TATAPRESS,19950801,235,235,235,235,50,0
TATAPRESS,19950807,255,263.5,255,263.5,200,0
TATAPRESS,19950808,262,263,262,263,350,0
TATAPRESS,19950809,263,275,263,275,300,0
TATAPRESS,19950814,260,275,260,275,150,0
TATAPRESS,19950816,284,284,284,284,50,0
TATAPRESS,19950817,290.25,290.25,290,290,150,0
TATAPRESS,19950818,290,290,290,290,100,0
TATAPRESS,19950823,275,275,275,275,50,0
TATAPRESS,19950824,270,275,270,275,200,0
TATAPRESS,19950825,273,273,273,273,100,0
TATAPRESS,19950901,260,260,260,260,50,0
TATAPRESS,19950906,270,270,270,270,150,0
TATAPRESS,19950911,270,273,265,265,600,0
TATAPRESS,19950913,270,270,270,270,100,0
TATAPRESS,19950914,270.1,275,270,275,600,0
TATAPRESS,19950918,270,270,260,260,150,0
TATAPRESS,19950919,265,270,265,270,200,0
TATAPRESS,19950922,275,275,275,275,50,0
TATAPRESS,19950926,274,274,274,274,50,0
TATAPRESS,19950927,277,277,277,277,100,0
TATAPRESS,19951004,257,257,257,257,200,0
TATAPRESS,19951005,257,260,260,260,50,0
TATAPRESS,19951006,273,273,273,273,100,0
TATAPRESS,19951009,273,275,246,275,100,0
TATAPRESS,19951010,275,270.05,270,270,100,0
TATAPRESS,19951016,270,250,250,250,50,0
TATAPRESS,19951018,250,260,259.75,260,200,0
TATAPRESS,19951019,260,263,263,263,50,0
TATAPRESS,19951024,268,268,268,268,50,0
TATAPRESS,19951031,260,260,250,250,500,0
TATAPRESS,19951102,262,262,262,262,50,0
TATAPRESS,19951106,262,260,260,260,50,0
TATAPRESS,19951107,258,258,258,258,50,0
TATAPRESS,19951108,251.25,251.25,251.25,251.25,100,0
TATAPRESS,19951109,250,250,250,250,50,0
TATAPRESS,19951110,250,250,247,247,100,0
TATAPRESS,19951113,247,250.5,250.2,250.2,150,0
