SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TEAMLEASE,20160212,860,1032,806.65,1022.85,5498099,1643152
TEAMLEASE,20160215,1077.95,1185,1075,1172.55,1484889,0
TEAMLEASE,20160216,1180,1209.45,1105,1164.45,913567,0
TEAMLEASE,20160217,1159.75,1159.75,1105,1126.95,277485,0
TEAMLEASE,20160218,1127.1,1154.4,1115,1131.05,204798,0
TEAMLEASE,20160219,1132,1177.7,912.65,1150.8,2972757,0
TEAMLEASE,20160222,1157,1175,1086.65,1124.6,743284,0
TEAMLEASE,20160223,1113.5,1141,1047.5,1084,501738,0
TEAMLEASE,20160224,1089,1089,1048,1065.75,201967,0
TEAMLEASE,20160225,1067.7,1075,1040,1052.35,69744,0
TEAMLEASE,20160226,1052.5,1065,971.3,1009.2,332636,0
TEAMLEASE,20160229,1004,1042,976,1017.75,271224,0
TEAMLEASE,20160301,1019.75,1075,1016.65,1060.45,159194,0
TEAMLEASE,20160302,1068.7,1094.5,1033.05,1043.7,101320,0
TEAMLEASE,20160303,1050,1063.8,1026.3,1042.1,78770,0
TEAMLEASE,20160304,1032,1065,1031,1039.9,51075,0
TEAMLEASE,20160308,1035,1053.9,1020,1029.05,34735,0
TEAMLEASE,20160309,1021,1045,1021,1030.5,25623,0
TEAMLEASE,20160310,1034.85,1058.6,1016,1020.55,38004,0
TEAMLEASE,20160311,1024.65,1031,975,979.75,37917,0
TEAMLEASE,20160314,966,1000,950.25,980.4,107739,0
TEAMLEASE,20160315,961.1,989,955.25,968.55,68522,0
TEAMLEASE,20160316,953.25,977,953.25,962.05,30646,0
TEAMLEASE,20160317,971.1,975.95,942,950.75,28816,0
TEAMLEASE,20160318,946,964,937,947.35,20736,0
TEAMLEASE,20160321,941.35,948.8,930,936.2,16515,0
TEAMLEASE,20160322,938,942.6,904.2,913.3,24696,0
TEAMLEASE,20160323,903,978.8,903,925.3,55254,0
TEAMLEASE,20160328,925.4,940.8,875,881.65,25222,0
TEAMLEASE,20160329,884.95,925,865.15,898.55,57395,0
