SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TECHNOE,20181204,304,304,288.8,288.8,57775,0
TECHNOE,20181205,274.4,274.4,274.4,274.4,42971,0
TECHNOE,20181206,260.7,260.7,260.7,260.7,85143,0
TECHNOE,20181207,247.7,250,247.7,247.7,6804,0
TECHNOE,20181210,235.35,240,235.35,235.35,55223,0
TECHNOE,20181211,223.6,234,223.6,224.6,44743,0
TECHNOE,20181212,221.05,235.8,215.6,233.35,252920,0
TECHNOE,20181213,245,245,245,245,7631,0
TECHNOE,20181214,257.25,257.25,252,257.25,191049,0
TECHNOE,20181217,261.9,270.1,256.7,260.45,74837,0
TECHNOE,20181218,264,274.45,252.9,260.2,132419,110366
TECHNOE,20181219,263,267,260.5,261.6,43171,32031
TECHNOE,20181220,261.5,261.5,254.75,258.15,104473,90826
TECHNOE,20181221,258.5,259.7,255.65,258,38311,34060
TECHNOE,20181224,260.85,265,260.85,261.85,55392,42040
TECHNOE,20181226,264,264,254.5,255.15,77811,54329
TECHNOE,20181227,256.05,260,255.2,259.1,28397,21048
TECHNOE,20181228,259.95,260,256.4,259.85,45026,39179
TECHNOE,20181231,260,275,260,264.3,107921,79892
TECHNOE,20190101,266.5,266.5,260.75,261.65,81585,73459
TECHNOE,20190102,252.05,252.05,237.35,247.7,99617,53677
TECHNOE,20190103,237.5,249,237.5,241.85,15318,11059
TECHNOE,20190104,240,242.8,238.25,240,51454,46798
TECHNOE,20190107,243.45,252.3,240,248.1,45525,30489
TECHNOE,20190108,246,246,240.1,245,6674,4125
TECHNOE,20190109,242.1,245.5,240.95,245,8169,5718
TECHNOE,20190110,248.95,248.95,241.15,245,4051,2609
TECHNOE,20190111,243.05,249.85,240.6,241.75,5149,3159
TECHNOE,20190114,242.45,247.4,240.6,243.55,19059,12219
TECHNOE,20190115,242.15,244.9,242.1,244,25730,24783
TECHNOE,20190116,249.75,257.95,243,253.3,14398,11723
TECHNOE,20190117,254.75,260,246.05,247.1,67942,51337
TECHNOE,20190118,245.3,249.55,242.75,245.5,14431,9821
TECHNOE,20190121,244.05,248,243.5,246.6,8357,6846
TECHNOE,20190122,245.8,249,244.05,246.55,9447,6540
TECHNOE,20190123,244.55,252,244.5,249.95,7949,6725
TECHNOE,20190124,248,254.3,246,251.95,6860,4703
TECHNOE,20190125,250.05,260,245.45,249.95,105061,55666
TECHNOE,20190128,243.1,248.15,243.1,243.65,12448,11571
TECHNOE,20190129,243,244.9,242.1,243.05,4063,3560
TECHNOE,20190130,245,255.1,236.2,237.7,5155,1832
TECHNOE,20190131,239.65,247.9,234.4,240.9,256928,145994
TECHNOE,20190201,244.25,244.3,235,237.3,7399,5703
TECHNOE,20190204,237.55,240.75,235,235.2,4704,4138
TECHNOE,20190205,241.05,241.05,234.5,235.1,9423,8188
TECHNOE,20190206,243.9,243.9,220.2,228.5,37410,22486
TECHNOE,20190207,231.8,236,225.05,227.95,4186,3009
TECHNOE,20190208,229.95,234.5,222.35,232.15,7768,4803
TECHNOE,20190211,230,230,223.1,226.25,19510,17502
TECHNOE,20190212,225.05,231,219.05,221.15,32648,30989
TECHNOE,20190213,223.4,223.9,218,221.65,9084,7749
TECHNOE,20190214,221.05,232,215.85,229,10217,7004
TECHNOE,20190215,231.95,241,219.5,236.9,33770,23519
TECHNOE,20190218,235.05,253.5,235.05,250.9,337524,287004
TECHNOE,20190219,250.2,250.2,242.3,246.85,15467,6840
TECHNOE,20190220,245.05,255.85,245.05,253.7,9532,7529
TECHNOE,20190221,252.05,266.35,250,262.6,224502,100376
TECHNOE,20190222,263.15,270,256.9,267.75,26275,19563
TECHNOE,20190225,264,268.95,259.05,265.65,343363,216217
TECHNOE,20190226,253,260.5,247,249.8,19997,11218
TECHNOE,20190227,253,253,244.3,245.35,46760,42130
TECHNOE,20190228,249,249,233.55,233.95,16834,10840
TECHNOE,20190301,233.55,246.8,230.6,232.8,4051900,39871
TECHNOE,20190305,234.75,234.75,222.75,230.5,39588,27524
TECHNOE,20190306,230.9,236.9,228.25,235.15,41129,26577
TECHNOE,20190307,236,236.9,231.1,233.65,69047,67284
TECHNOE,20190308,233,234.85,229,233.8,7944,4341
TECHNOE,20190311,233.9,237.4,231,236,196221,193970
TECHNOE,20190312,236.8,238,233,236.95,215777,210792
TECHNOE,20190313,236.5,247.9,231.35,243.1,12347,6794
TECHNOE,20190314,241,262.95,235.55,257.45,28500,20716
TECHNOE,20190315,252.5,256.4,245.25,247.75,13453,7457
TECHNOE,20190318,253.15,254.5,246,250.55,7273,5150
TECHNOE,20190319,250.15,265,245,262.8,39700,31259
TECHNOE,20190320,262.5,262.5,252.85,256.8,10879,7035
TECHNOE,20190322,255.05,265,250.1,258.2,22185,0
TECHNOE,20190325,258,265,249.25,250.55,44832,0
TECHNOE,20190326,250.95,254.45,250,252.9,62172,0
TECHNOE,20190327,253.45,257.65,245.25,249.95,104579,0
TECHNOE,20190328,251.25,258,245.1,255.85,22465,0
TECHNOE,20190329,257.85,299.95,250,274.5,194532,0
TECHNOE,20190401,273.9,273.9,263.25,264.6,14741,0
TECHNOE,20190402,264.05,267,259,260.4,12513,0
TECHNOE,20190403,257.5,261.9,252.05,258.85,52849,0
TECHNOE,20190404,258.55,258.55,255.05,257.35,8101,0
TECHNOE,20190405,260.9,265.3,255.2,263.6,19850,0
TECHNOE,20190408,261.2,266,257.55,263.75,20647,0
TECHNOE,20190409,262.95,267.3,257.05,263.65,16350,0
TECHNOE,20190410,263.65,266,260.05,263.45,10109,0
TECHNOE,20190411,262,267.05,255.9,265.9,24673,0
TECHNOE,20190412,263.6,265,257.25,263.8,26844,0
TECHNOE,20190415,263.8,266.3,261.85,265,2763,0
TECHNOE,20190416,264.15,264.95,261.1,264.5,7784,0
TECHNOE,20190418,261.8,265.35,258.4,264.05,36375,0
TECHNOE,20190422,258.1,259.9,244.25,249.95,69462,0
TECHNOE,20190423,240,248.1,240,245.75,36893,0
TECHNOE,20190424,242.05,244,234,242.05,153606,0
TECHNOE,20190425,240.6,243,220.3,234.9,58614,0
TECHNOE,20190426,238.35,243.3,236.75,239.5,57828,0
TECHNOE,20190430,239.5,239.5,228.7,236.95,14254,0
TECHNOE,20190502,236.05,237.55,232.25,235.55,27861,0
TECHNOE,20190503,233.15,236,230.3,235,15323,0
TECHNOE,20190506,233.45,234.9,230.2,233.05,9448,0
TECHNOE,20190507,233.15,238,231.95,236.75,12729,0
TECHNOE,20190508,235.5,236.3,228.1,231.25,155806,0
TECHNOE,20190509,230.15,232.5,229.1,231.5,11675,0
TECHNOE,20190510,230.2,234.95,225.25,234,9315,0
TECHNOE,20190513,231.05,232.7,224,229.7,15623,0
TECHNOE,20190514,230.05,235.45,224.15,233.95,327437,0
TECHNOE,20190515,233.85,233.85,225.65,229,8564,0
TECHNOE,20190516,230.05,232.3,226.15,230.85,6729,0
TECHNOE,20190517,229.45,232.05,227.45,230.05,3192,0
