SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TELCO,19941107,540,540,540,540,150,0
TELCO,19941108,550,550,545,547.5,300,0
TELCO,19941109,545,545,530,530,600,0
TELCO,19941110,535,535,530,530,700,0
TELCO,19941111,522.5,535,522.5,525,1300,0
TELCO,19941114,520,520,511,511,1200,0
TELCO,19941115,512,514,510,510,400,0
TELCO,19941117,520,530,517.5,522.5,2000,0
TELCO,19941121,520,520,520,520,100,0
TELCO,19941122,519.5,521,517.5,521,5150,0
TELCO,19941123,525,525,490,490,300,0
TELCO,19941124,500,500,500,500,150,0
TELCO,19941125,505,513.5,505,513.5,250,0
TELCO,19941129,510,510,510,510,400,0
TELCO,19941130,515,520,515,520,200,0
TELCO,19941201,515,515,508,508,500,0
TELCO,19941202,510,512,510,512,2800,0
TELCO,19941205,510,510,507,509,1650,0
TELCO,19941206,510,510,500,500,400,0
TELCO,19941207,495,495,495,495,1000,0
TELCO,19941209,490,507.5,490,507.5,8600,0
TELCO,19941212,500,500,500,500,150,0
TELCO,19941213,495,502,495,495,1650,0
TELCO,19941214,505,515,505,511.5,6800,0
TELCO,19941215,511,515,505,513,1850,0
TELCO,19941216,522,527.5,521,521,700,0
TELCO,19941219,525,525,517.5,521.5,4450,0
TELCO,19941220,520,520,517.5,519,3950,0
TELCO,19941221,518.9,525,518.9,525,2250,0
TELCO,19941222,525,525,515,523,2400,0
TELCO,19941223,520,525,520,524,2750,0
TELCO,19941226,522.5,525,522.5,524,4300,0
TELCO,19941227,521,524,520,521.5,2200,0
TELCO,19941228,520,520,520,520,300,0
TELCO,19941229,520,525,520,525,300,0
TELCO,19941230,520,522,520,522,1200,0
TELCO,19950102,517.5,524.7,517.5,524.2,1100,0
TELCO,19950103,518,520,515,515,1500,0
TELCO,19950104,515,515,515,515,300,0
TELCO,19950105,480,480,480,480,50,0
TELCO,19950106,495,501,495,498.7,200,0
TELCO,19950109,495,495,495,495,100,0
TELCO,19950110,490,490,490,490,450,0
TELCO,19950111,470,480,470,480,300,0
TELCO,19950112,485,485,480,480,250,0
TELCO,19950113,482,482,470,470,100,0
TELCO,19950116,480,484,480,482.95,200,0
TELCO,19950117,483,483,477,477,250,0
TELCO,19950118,482,482,475,476,200,0
TELCO,19950119,480,480,480,480,150,0
TELCO,19950120,481,485,481,482,300,0
TELCO,19950123,470,470,450,452.5,350,0
TELCO,19950124,460,467.5,456.75,467.5,700,0
TELCO,19950125,460,480,460,480,400,0
TELCO,19950127,465,485,465,485,2450,0
TELCO,19950130,479,497,479,497,1150,0
TELCO,19950131,500,507.5,498.5,507.5,5850,0
TELCO,19950201,510,510,505,505,450,0
TELCO,19950202,500,510,500,509.5,1650,0
TELCO,19950203,505,515,505,510,1700,0
TELCO,19950206,500,505,500,500,2900,0
TELCO,19950207,505,505,490,502,1550,0
TELCO,19950208,515,515,497.5,497.5,5850,0
TELCO,19950209,499.75,505,499.75,504,16100,0
TELCO,19950210,490,505,490,492,11100,0
TELCO,19950213,500,500,490,494.7,25850,0
TELCO,19950214,486,490,483,483,1850,0
TELCO,19950215,490,490,486.1,486.1,300,0
TELCO,19950216,480,482.5,480,482,1050,0
TELCO,19950217,480,485,475,481.5,50650,0
TELCO,19950220,481,481,474,475,1700,0
TELCO,19950221,468,468,456.05,464.1,850,0
TELCO,19950222,455,456,445,445.1,350,0
TELCO,19950223,479,485,467,474,2350,0
TELCO,19950224,484.95,485,470,470,6400,0
TELCO,19950228,468,470,460,463.35,20100,0
TELCO,19950301,470,490,470,480,17550,0
TELCO,19950302,485,489.95,480.5,481.5,27550,0
TELCO,19950303,482,485,480,485,900,0
TELCO,19950306,490,490,479,479,5800,0
TELCO,19950307,480.1,480.1,475,477.5,1500,0
TELCO,19950308,480,480,470,470,1200,0
TELCO,19950309,480,485,465,465,1800,0
TELCO,19950310,470,475,465,465,3850,0
TELCO,19950313,450,460,450,451,1850,0
TELCO,19950314,460,465,455,460,4800,0
TELCO,19950315,485,494,455,455,5800,0
TELCO,19950316,464,464,452,455,500,0
TELCO,19950320,455,457.5,451,451,800,0
TELCO,19950321,444,460,441.5,454.5,7500,0
TELCO,19950322,455,459,450,450,250,0
TELCO,19950323,455,455,445,447.1,950,0
TELCO,19950324,445,445,442,444.95,950,0
TELCO,19950327,450,450,431,431.5,450,0
TELCO,19950328,474,474,430,430.4,5300,0
TELCO,19950329,445,445,425,425.5,3800,0
TELCO,19950330,430,436,427.5,430,2000,0
TELCO,19950331,427.25,430,425,428,7150,0
TELCO,19950403,434,435,425,435,800,0
TELCO,19950404,435,460,435,452.55,2450,0
TELCO,19950407,475,490,475,483.5,46700,0
TELCO,19950410,490,490,475,480,158250,0
TELCO,19950411,479,486,475,484.3,83600,0
TELCO,19950412,476.25,510,476.25,500.05,3400,0
TELCO,19950417,499,502.5,490,491,2200,0
TELCO,19950418,490,492,475.1,476.95,13400,0
TELCO,19950419,482,502.5,475,495,11100,0
TELCO,19950420,495,510,488,490.5,54700,0
TELCO,19950421,493,500,485.25,495.25,15800,0
TELCO,19950424,492,497.45,482,483.25,30150,0
TELCO,19950425,480,480,462.5,464.65,19050,0
TELCO,19950426,470,470,460,467,3450,0
TELCO,19950427,464.95,465,458,459.95,2450,0
TELCO,19950428,460,460,445,445,1750,0
TELCO,19950502,444,444,425,426.7,3850,0
TELCO,19950503,425,450,420,443,3050,0
TELCO,19950504,459,480,452,474.55,8150,0
TELCO,19950505,475,500,475,476.5,9350,0
TELCO,19950508,478.95,480,470,470.55,7250,0
TELCO,19950509,472,474.95,466,467.5,7300,0
TELCO,19950510,478.95,478.95,465,465,2200,0
TELCO,19950512,465,467,459.5,461.5,1750,0
TELCO,19950515,467.75,467.75,456,461.55,4800,0
TELCO,19950516,460.05,470,450,465.75,3850,0
TELCO,19950517,485,508.75,485,503.1,24750,0
TELCO,19950518,508,535,508,519.85,19800,0
TELCO,19950519,530,535,515.25,522.15,21050,0
TELCO,19950522,518.75,520,506,507.6,12800,0
TELCO,19950523,500,512.5,495,507.15,10100,0
TELCO,19950524,517,518,495,504.65,17000,0
TELCO,19950525,505,512,498,508.1,52900,0
TELCO,19950526,530,530,515,522.7,66400,0
TELCO,19950529,520,527,516,523.15,37050,0
TELCO,19950530,525,532,521.05,529.2,101300,0
TELCO,19950531,574,575,555,566.4,221900,0
TELCO,19950601,570,573,566.05,569.55,116000,0
TELCO,19950602,568.5,572,560,563.3,62300,0
TELCO,19950605,567.5,567.5,558,561.15,45800,0
TELCO,19950606,560,571.4,560,569.2,77600,0
TELCO,19950607,575,579.9,568,570.35,53900,0
TELCO,19950608,565,569.75,561.5,568.3,29100,0
TELCO,19950609,568.25,568.75,565,566.6,15250,0
TELCO,19950612,567,568,563.05,567,41700,0
TELCO,19950613,567.9,569,560,563.2,82450,0
TELCO,19950614,570,571,560,567.95,45350,0
TELCO,19950615,565,569,565,567.25,8700,0
TELCO,19950616,572,599,571,593.75,80600,0
TELCO,19950619,600,615,595,600.15,50700,0
TELCO,19950620,600,605,596.5,601,53900,0
TELCO,19950621,607,607,597,597.5,9050,0
TELCO,19950622,598,598,588.5,590,13950,0
TELCO,19950623,589,589,582,582.5,3100,0
TELCO,19950626,580,580,565,569.25,5150,0
TELCO,19950627,560,566,557,562.1,11050,0
TELCO,19950628,569,576,566.15,575.65,12850,0
TELCO,19950629,579,579,570,572.2,4150,0
TELCO,19950630,562,568,558,562.45,7000,0
TELCO,19950703,561,561,541,546.8,6900,0
TELCO,19950704,540,555,535.5,539.4,15350,0
TELCO,19950705,555,561,547,547.35,31050,0
TELCO,19950706,541,553.5,540,551.2,11700,0
TELCO,19950707,554,560,545,559,61950,0
TELCO,19950710,560,565,557.5,560,3950,0
TELCO,19950711,558,565,555,560.25,48950,0
TELCO,19950712,565,567,556,565,6050,0
TELCO,19950713,565,573,565,571.65,6400,0
TELCO,19950714,576,593,575,586,20500,0
TELCO,19950717,601,601,585,589.7,8900,0
TELCO,19950718,587.5,587.5,569.55,581.3,19000,0
TELCO,19950719,575,585,560,583.55,7550,0
TELCO,19950720,596,596,575,593.1,16000,0
TELCO,19950721,590,595,585.1,592,9100,0
TELCO,19950724,600,600,591,593,12550,0
TELCO,19950725,595,595,577.55,588.1,22550,0
TELCO,19950726,600,609,585,592.3,79750,0
TELCO,19950727,591,593.5,580,589.5,41500,0
TELCO,19950728,556,580.5,556,572.65,62450,0
TELCO,19950731,566.25,575,564,573.7,87500,0
TELCO,19950801,570,587.5,568,583.25,48350,0
TELCO,19950802,585,600.9,582,593.3,49750,0
TELCO,19950803,595,597.5,583,585,52650,0
TELCO,19950804,580,594.75,580,591.6,34400,0
TELCO,19950807,575,598,575,594.15,29600,0
TELCO,19950808,593,609.75,592.5,604.85,43700,0
TELCO,19950809,602,606.75,599,604.3,57200,0
TELCO,19950811,602.1,604,600,603.2,84100,0
TELCO,19950814,600,604.5,595,602.15,20650,0
TELCO,19950816,601,610,601,609.3,16350,0
TELCO,19950817,610.25,624.95,610.25,617.65,23750,0
TELCO,19950818,616,621.5,616,619.05,5850,0
TELCO,19950821,619,623.5,617.1,619.05,23900,0
TELCO,19950822,616.1,620.5,600,612.7,23650,0
TELCO,19950823,616.25,619.5,616.25,618.7,5350,0
TELCO,19950824,620,620,611,617.5,14500,0
TELCO,19950825,610,616,607,613.25,41650,0
TELCO,19950828,608.1,613.5,608,609.8,40250,0
TELCO,19950830,600,604,598.8,603.5,6650,0
TELCO,19950831,608,611.25,606.5,610.3,90800,0
TELCO,19950901,610,610,607,608,1350,0
TELCO,19950905,604,604,597.1,598.9,11300,0
TELCO,19950906,595,605,595,604.3,8350,0
TELCO,19950907,606,608,603,604.65,9450,0
TELCO,19950908,605,616,604.5,612.75,12900,0
TELCO,19950911,620,622,615,618.6,13200,0
TELCO,19950912,622,627,616.5,619.5,20750,0
TELCO,19950913,615,620,612.5,618.85,64650,0
TELCO,19950914,616.5,625.5,616.5,625.25,14600,0
TELCO,19950915,621.5,629.25,621.5,625.05,67800,0
TELCO,19950918,618,620.2,618,619.15,5200,0
TELCO,19950919,618.25,622,615,620.15,32700,0
TELCO,19950920,626,629,622.3,623,3600,0
TELCO,19950921,622,645,622,637.65,18400,0
TELCO,19950922,640,656.95,640,655.6,42200,0
TELCO,19950925,650,669.5,649.3,668.1,68750,0
TELCO,19950926,671,690,665,677.1,197600,0
TELCO,19950927,675,678,662.3,662.85,24900,0
TELCO,19950928,660,671,657,659,23950,0
TELCO,19950929,660,677.5,660,672.6,21400,0
TELCO,19951004,675,695,670.5,673.5,8450,0
TELCO,19951005,673.5,686,668,683.75,32250,0
TELCO,19951006,683.75,682,672,679.85,14800,0
TELCO,19951009,679.85,677,665,665.85,5350,0
TELCO,19951010,660,667.95,658,661,11900,0
TELCO,19951011,413.15,431,428.25,429,77600,0
TELCO,19951012,429,432,427,429.5,31950,0
TELCO,19951013,429.5,433,428,430.1,2950,0
TELCO,19951016,430.1,432,428,430.05,42100,0
TELCO,19951017,430.05,431.75,429,431,2550,0
TELCO,19951018,431,433.5,420,427.85,3750,0
TELCO,19951019,427.85,427,418.05,421.5,5700,0
TELCO,19951020,419,424,417.05,422.35,7150,0
TELCO,19951023,421,424.45,409.05,416.5,15150,0
TELCO,19951024,416.5,420.95,415.5,418,1450,0
TELCO,19951025,420,422,420,420,2700,0
TELCO,19951026,420,418,409,409.1,10900,0
TELCO,19951027,409.1,415.5,405,413.35,9650,0
TELCO,19951030,413.35,417.95,413,414.15,5750,0
TELCO,19951031,414.15,416.8,410.5,413.15,11950,0
TELCO,19951101,415,421,415,421,1100,0
TELCO,19951102,421,422,415,415,2000,0
TELCO,19951103,416.05,416.05,414.95,415.25,1250,0
TELCO,19951106,416,416,397,402.1,3450,0
TELCO,19951107,402.1,404,398,400.85,1850,0
TELCO,19951108,400.85,395.7,385.25,389.6,3950,0
TELCO,19951109,389.6,391,380.25,389.55,2100,0
TELCO,19951110,383,387,379,386,6500,0
TELCO,19951113,386,385,369,373.15,6800,0
TELCO,19951114,373.15,371,360,363.45,6650,0
TELCO,19951115,363.45,374,366,370.15,3000,0
TELCO,19951116,370.15,374.95,364,365.25,2050,0
TELCO,19951117,361,365,359,362,4850,0
TELCO,19951120,355,361,355,360,1700,0
TELCO,19951121,360,363.75,349,354.5,5350,0
TELCO,19951122,354.5,360,342.5,348.65,32750,0
TELCO,19951123,348.65,351.75,339,344.1,11400,0
