SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TELEDATAIN,20041028,54,55,51.8,52.1,121939,69230
TELEDATAIN,20041029,53,53,50.1,50.5,70223,0
TELEDATAIN,20041101,52,53.9,50.8,52.85,221919,0
TELEDATAIN,20041102,53.5,53.8,51.2,51.55,189081,0
TELEDATAIN,20041103,53,53,51.55,51.75,154681,48184
TELEDATAIN,20041104,51.8,52.45,50.25,51.05,183623,31666
TELEDATAIN,20041105,52.7,52.7,50.5,50.9,160328,57548
TELEDATAIN,20041108,52.6,52.7,50,50.3,250974,81811
TELEDATAIN,20041109,50.65,53.1,49.2,52.55,317717,74852
TELEDATAIN,20041110,54,54.5,52.1,52.65,363945,0
TELEDATAIN,20041111,52.5,54.8,52,54.3,750283,252280
TELEDATAIN,20041112,54.75,54.85,53.25,54.4,144220,70562
TELEDATAIN,20041116,54.7,54.8,49.7,50.15,1014333,0
TELEDATAIN,20041117,50.25,51.5,49.8,50.1,899305,0
TELEDATAIN,20041118,50.8,51.95,50,50.25,808798,247337
TELEDATAIN,20041119,50.2,52,50,50.3,442008,197282
TELEDATAIN,20041122,51,51,50,50.5,768171,225843
TELEDATAIN,20041123,50.5,54.6,50,50.3,655821,0
TELEDATAIN,20041124,51,51.15,49.9,50.15,925292,0
TELEDATAIN,20041125,50.7,54.3,50.4,51.9,2578047,0
TELEDATAIN,20041129,52.5,52.7,49.9,50.25,2085627,813280
TELEDATAIN,20041130,51,51.2,48.05,48.6,1338344,476816
TELEDATAIN,20041201,48.95,51.8,48.25,51.4,810147,335841
TELEDATAIN,20041202,52.4,52.7,49.25,49.55,1624831,0
TELEDATAIN,20041203,50.15,51.5,49,50.05,654971,0
TELEDATAIN,20041206,50.5,50.85,49.75,49.85,317137,0
TELEDATAIN,20041207,50.9,51,48.75,49.05,825117,0
TELEDATAIN,20041208,49.3,50.25,47.5,47.9,857099,0
TELEDATAIN,20041209,48.55,49.95,48.2,49.5,491140,0
TELEDATAIN,20041210,50,53.5,49.8,52.95,2442748,0
TELEDATAIN,20041213,53.8,63.45,51.8,62.6,8232280,0
TELEDATAIN,20041214,63.3,63.3,53.75,55.2,9809724,3121553
TELEDATAIN,20041215,55.5,56.8,49.75,51.35,9426418,2686104
TELEDATAIN,20041216,52.5,54.9,51.5,53.9,5151784,0
TELEDATAIN,20041217,54.5,54.7,49.9,50.65,4036370,0
TELEDATAIN,20041220,51.3,51.75,49.8,50,2665075,0
TELEDATAIN,20041221,50.6,51.15,46.85,47.3,4307199,0
TELEDATAIN,20041222,48.5,48.7,47.3,47.8,1546229,0
TELEDATAIN,20041223,48.1,49.95,47.75,48.8,1440647,454563
TELEDATAIN,20041224,49.3,50,48.8,49.15,1035027,0
TELEDATAIN,20041227,48.4,49,47.5,47.75,1095864,0
TELEDATAIN,20041228,48.2,48.25,46.8,46.95,1256139,633394
TELEDATAIN,20041229,48.35,49,46.5,46.65,861218,335308
TELEDATAIN,20041230,48.5,50,46.5,46.7,3286678,0
TELEDATAIN,20041231,48,48,46.65,47.2,758684,377693
TELEDATAIN,20050103,47,48,46.65,46.85,612347,383447
TELEDATAIN,20050104,47.3,49.15,46.7,47.8,1273779,0
TELEDATAIN,20050105,47.9,48.3,44,45.4,957883,400532
TELEDATAIN,20050106,42.5,45.95,42.5,43.85,678432,0
TELEDATAIN,20050107,44.4,44.9,43.7,44.6,390682,0
