SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TELEDATAIT,20090715,65,65,5.2,10.9,11771809,3730147
TELEDATAIT,20090716,11.25,13,10.6,10.85,3814481,0
TELEDATAIT,20090717,11.2,11.3,9.7,9.85,1678832,785259
TELEDATAIT,20090720,10,10,8.7,8.85,1220542,693053
TELEDATAIT,20090721,8.15,9.8,7.75,9.2,2687201,751495
TELEDATAIT,20090722,9.45,9.6,8.8,8.95,693093,357518
TELEDATAIT,20090723,9,9.15,8.55,8.9,417939,184922
TELEDATAIT,20090724,8.85,9,8.65,8.8,424731,234402
TELEDATAIT,20090727,8.8,9.1,8.5,8.65,470588,284758
TELEDATAIT,20090728,8.5,9.3,8.3,8.85,618739,242159
TELEDATAIT,20090729,8.7,9,8.45,8.55,342432,188061
TELEDATAIT,20090730,8.45,8.6,8.2,8.3,412425,242953
TELEDATAIT,20090731,8.45,8.6,8.05,8.15,559554,323135
TELEDATAIT,20090803,8.05,8.05,7.25,7.3,1180460,831923
TELEDATAIT,20090804,7.45,7.8,6.8,7.5,700599,378157
TELEDATAIT,20090805,7.5,7.75,7.1,7.25,839660,397844
TELEDATAIT,20090806,6.55,7.4,6.55,6.95,765507,417848
TELEDATAIT,20090807,6.8,7.25,6.75,6.85,476886,279586
TELEDATAIT,20090810,7,7,6.6,6.7,244892,133757
TELEDATAIT,20090811,6.95,6.95,6.4,6.5,296400,171359
TELEDATAIT,20090812,6.5,6.6,6.35,6.5,298468,147729
TELEDATAIT,20090813,6.6,6.9,6.6,6.75,505083,262077
TELEDATAIT,20090814,6.8,6.9,6.5,6.65,485816,244609
TELEDATAIT,20090817,6.55,6.6,6.25,6.3,329189,204094
TELEDATAIT,20090818,6.7,6.7,6.2,6.45,243487,131731
TELEDATAIT,20090819,6.95,6.95,6.15,6.2,383724,211383
TELEDATAIT,20090820,7.4,7.4,6.1,6.15,323245,208513
TELEDATAIT,20090821,6,6.85,6,6.4,979356,545642
TELEDATAIT,20090824,6.8,6.9,6.45,6.55,572052,333698
TELEDATAIT,20090825,6.5,6.55,6.25,6.35,471757,245696
TELEDATAIT,20090826,6.05,6.55,6.05,6.45,659890,367349
TELEDATAIT,20090827,6.4,6.6,6.4,6.45,481161,279277
TELEDATAIT,20090828,6.5,6.55,6.4,6.5,307870,207005
TELEDATAIT,20090831,6.6,6.6,6.2,6.4,427450,252911
TELEDATAIT,20090901,6.7,7.45,6.35,6.7,2025132,799832
TELEDATAIT,20090902,6.15,6.75,6,6.45,1064219,546441
TELEDATAIT,20090903,6.3,6.6,6.1,6.2,780322,526345
TELEDATAIT,20090904,6.35,6.4,6,6.05,956928,709789
TELEDATAIT,20090907,6.05,6.1,5.6,6,685193,457977
TELEDATAIT,20090908,6.3,6.3,5.85,5.9,1183667,811295
TELEDATAIT,20090909,6.05,6.05,5.75,5.8,636841,400299
TELEDATAIT,20090910,5.8,5.95,5.6,5.65,644239,359865
TELEDATAIT,20090911,5.7,5.8,5.45,5.5,582998,333737
TELEDATAIT,20090914,5.5,5.75,5.5,5.55,637060,411461
TELEDATAIT,20090915,5.55,5.6,5.5,5.5,443513,265905
TELEDATAIT,20090916,5.5,5.6,5.45,5.5,280398,163764
TELEDATAIT,20090917,5.5,5.6,5.4,5.5,418103,237629
TELEDATAIT,20090918,5.55,5.55,5.4,5.5,253989,125151
TELEDATAIT,20090922,5.4,5.55,4.4,5.35,487469,243682
TELEDATAIT,20090923,5.8,5.8,5,5.25,344331,183015
TELEDATAIT,20090924,6.25,6.25,5,5,939082,722730
TELEDATAIT,20090925,4.3,5.1,4.3,5,394988,241740
TELEDATAIT,20090929,4.7,5.2,4.7,5,349157,218250
TELEDATAIT,20090930,5,5.15,4.95,4.95,437783,280402
TELEDATAIT,20091001,5,5.05,4.9,5,390252,266187
TELEDATAIT,20091005,4.9,5,4.5,4.6,807049,582865
TELEDATAIT,20091006,4.55,4.55,4,4.3,1746446,969820
TELEDATAIT,20091007,4.05,4.2,4,4,1913136,1003048
TELEDATAIT,20091008,4.1,4.15,3.95,4,974095,637227
TELEDATAIT,20091009,3.75,4.8,3.75,4.8,5708545,1679063
TELEDATAIT,20091012,5.1,5.8,5,5.8,2617332,1530092
TELEDATAIT,20091014,7,7,6.65,7,2765130,1302006
TELEDATAIT,20091015,7.7,7.7,7.25,7.7,8487393,4136638
TELEDATAIT,20091016,8.35,8.4,6.95,7.05,4127842,1973280
TELEDATAIT,20091017,7.1,7.4,7,7.05,782109,420127
TELEDATAIT,20091020,7.15,7.35,6.6,6.75,1633982,680000
TELEDATAIT,20091021,6.5,6.65,6.1,6.1,1457866,889208
TELEDATAIT,20091022,6.35,6.7,5.5,6.45,3511788,1414687
TELEDATAIT,20091023,6.7,6.9,6.15,6.25,1428296,619785
TELEDATAIT,20091026,6.4,6.5,6.1,6.25,1030241,421658
TELEDATAIT,20091027,6.2,6.2,5.75,5.85,1237912,623050
TELEDATAIT,20091028,5.85,5.95,5.55,5.75,931089,334417
TELEDATAIT,20091029,5.65,5.8,5.4,5.6,882146,340952
TELEDATAIT,20091030,5.8,5.9,5.5,5.6,409415,0
TELEDATAIT,20091103,5.6,5.8,5.35,5.35,137759,0
TELEDATAIT,20091104,5.35,5.35,5.1,5.1,172570,0
TELEDATAIT,20091105,5.1,5.1,4.85,4.95,429023,0
