SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
TEXRAIL,20110303,90,95,68,69.25,434099,0
TEXRAIL,20110304,68,69.85,65.8,68.3,55430,0
TEXRAIL,20110307,68.95,68.95,64.9,66.5,139368,0
TEXRAIL,20110308,66,68,63.2,66.95,249876,0
TEXRAIL,20110309,66.05,69.7,66,69.3,20795,0
TEXRAIL,20110310,68,68.25,66,66.7,380257,0
TEXRAIL,20110311,63.7,67.6,63.7,66.2,182990,0
TEXRAIL,20110314,64.55,67,64.2,67,26143,0
TEXRAIL,20110315,66,66.4,63.75,63.8,35704,0
TEXRAIL,20110316,63.05,67,63,66.35,219638,0
TEXRAIL,20110317,68.7,77,67.95,70.6,275285,0
TEXRAIL,20110318,70.1,71.6,66.3,66.75,37021,0
TEXRAIL,20110321,65.3,67,63.2,64.2,56647,0
TEXRAIL,20110322,65.05,65.65,63.85,64.55,138472,0
TEXRAIL,20110323,65.25,69,64.55,67.2,173261,83149
TEXRAIL,20110324,68.7,68.7,64.8,65.8,58773,0
TEXRAIL,20110325,65.25,67.3,63.75,64.2,162457,0
TEXRAIL,20110328,65.6,65.85,63.5,65.1,39157,0
TEXRAIL,20110329,65.9,68.75,64,67.65,126048,105186
TEXRAIL,20110330,67.65,69.9,67.65,69,38777,33685
TEXRAIL,20110331,69,71,65.5,70.05,64793,56951
TEXRAIL,20110401,69.3,72.6,69,70.55,71029,45271
TEXRAIL,20110404,70.5,77.2,70,76.8,109678,76840
TEXRAIL,20110405,76.8,77,74.1,75.25,74596,57841
TEXRAIL,20110406,74.25,76.5,72.15,73.3,65601,57664
TEXRAIL,20110407,73.55,74.95,73.3,73.6,32478,23484
TEXRAIL,20110408,74,76.9,73.5,75.9,110201,80634
TEXRAIL,20110411,74.7,75.65,73,73.5,74527,59475
TEXRAIL,20110413,72.55,75.1,72,74.7,48722,36649
TEXRAIL,20110415,73.55,74.4,72.1,72.4,69701,60273
TEXRAIL,20110418,71.65,72.05,69.25,70.1,31658,25806
TEXRAIL,20110419,71.15,73,70,72,421189,416022
TEXRAIL,20110420,73.2,74.75,70.95,71.9,57890,49812
TEXRAIL,20110421,71.15,75,71.15,74.3,32885,29361
TEXRAIL,20110425,74.9,76,72.9,75.25,42686,18860
TEXRAIL,20110426,74.9,76.45,73.65,76.05,48441,37042
TEXRAIL,20110427,75.4,75.95,74.75,75,20792,13651
TEXRAIL,20110428,75,75,73.55,74.15,31793,29954
TEXRAIL,20110429,74.7,74.7,73,74.05,24646,23083
TEXRAIL,20110502,74.5,75,71.75,74,60442,58270
TEXRAIL,20110503,73,74.05,72.55,73.9,50080,41748
TEXRAIL,20110504,71.1,75,71.05,74.4,22811,19064
TEXRAIL,20110505,75,75,73.1,73.8,11310,8601
TEXRAIL,20110506,73.3,74.9,73.3,74.2,21396,19365
TEXRAIL,20110509,73.5,74.85,73.05,74,25346,23209
TEXRAIL,20110510,73.5,74.5,72,72.95,34782,28145
TEXRAIL,20110511,73.25,75.1,73.25,73.8,28337,24687
TEXRAIL,20110512,73.2,74.05,72.5,72.5,27897,26533
TEXRAIL,20110513,71.5,74.7,71.5,74,56180,54434
TEXRAIL,20110516,73.95,73.95,72.5,72.8,15558,15084
TEXRAIL,20110517,72.25,73.85,72,73.5,20091,18408
TEXRAIL,20110518,73,74,70.15,73.05,25622,0
TEXRAIL,20110519,72.6,73.1,71.1,72.7,39831,37082
TEXRAIL,20110520,72,75.5,71.5,73.05,30545,28554
TEXRAIL,20110523,72.1,74.5,71.55,72.75,8687,0
TEXRAIL,20110524,73.2,77,73.2,76.45,37654,29434
TEXRAIL,20110525,75.25,78.7,75,77.1,50969,23727
TEXRAIL,20110526,77.5,79.35,76.25,76.85,14772,0
TEXRAIL,20110527,76.25,77.5,75.45,76.95,19346,0
TEXRAIL,20110530,76.25,77.45,76.2,76.95,11807,0
TEXRAIL,20110531,78.9,78.9,73.55,75.55,213409,0
TEXRAIL,20110601,76.6,76.6,74.6,75.6,90548,0
TEXRAIL,20110602,75.2,76.85,75.2,75.95,4693,0
TEXRAIL,20110603,76,78,76,77.25,51817,49387
TEXRAIL,20110606,77,79.3,76.05,78.75,16791,10672
TEXRAIL,20110607,79.6,79.9,77.75,79.4,12128,9227
TEXRAIL,20110608,78.4,84.4,78.35,81.4,36416,0
TEXRAIL,20110609,81.4,83,81.15,82.05,34252,23512
TEXRAIL,20110610,82.3,83.45,82,83.1,16534,0
TEXRAIL,20110613,81.75,85,81.75,83.8,10509,7686
TEXRAIL,20110614,83,84.1,82,83.45,11442,9751
TEXRAIL,20110615,83.5,84.5,82.3,82.4,15866,11950
TEXRAIL,20110616,82.3,83.55,81.15,83.15,18693,0
TEXRAIL,20110617,82.25,85.25,81.95,84.15,21264,0
TEXRAIL,20110620,82.35,87.2,80,83.55,37431,0
TEXRAIL,20110621,83.05,86,82.15,83,21182,17359
TEXRAIL,20110622,81.25,83.75,81.25,83,23507,0
TEXRAIL,20110623,83,84.5,82.5,83,13555,12269
TEXRAIL,20110624,80.05,84.45,80.05,83.7,20120,18829
TEXRAIL,20110627,82.05,85.35,82.05,84.75,70725,0
TEXRAIL,20110628,84.95,84.95,83.1,83.95,55903,0
TEXRAIL,20110629,84,86.8,82.95,85.6,60850,0
